SipNo,CariKod,TedFirmaCode,BelgeNo,SendtoMail,kgid,insUN,insDT,insApp,updUN,updDT,updApp
22219,320.266,100,000607,*,20,yulya,2024-12-30 12:41:24.843000,KGShop,yulya,2024-12-30 12:41:45.140000,KGShop
22220,320.054,100,000607,*,21,yulya,2024-12-30 12:50:08.010000,KGShop,yulya,2024-12-30 12:51:44.557000,KGShop
22221,320.052,100,000607,*,22,yulya,2024-12-30 12:53:55.213000,KGShop,yulya,2024-12-30 12:56:44.320000,KGShop
22222,320.219,100,000607,*,23,yulya,2024-12-30 13:00:02.143000,KGShop,yulya,2024-12-30 13:01:44.277000,KGShop
22223,320.017,100,000607,*,24,yulya,2024-12-30 13:03:57.327000,KGShop,yulya,2024-12-30 13:06:44.260000,KGShop
22224,320.059,100,000607,*,25,yulya,2024-12-30 13:03:57.360000,KGShop,yulya,2024-12-30 13:06:45.130000,KGShop
22225,320.265,100,000607,*,26,yulya,2024-12-30 13:03:57.380000,KGShop,yulya,2024-12-30 13:06:45.290000,KGShop
22226,320.023,100,000609,*,27,yulya,2024-12-30 13:31:19.777000,KGShop,yulya,2024-12-30 13:31:44.880000,KGShop
22227,320.043,100,000609,*,28,yulya,2024-12-30 13:31:19.823000,KGShop,yulya,2024-12-30 13:31:46.430000,KGShop
22228,320.072,100,000609,*,29,yulya,2024-12-30 13:31:19.897000,KGShop,yulya,2024-12-30 13:31:47.707000,KGShop
22229,320.080,100,000609,*,30,yulya,2024-12-30 13:31:19.943000,KGShop,yulya,2024-12-30 13:31:49.100000,KGShop
22230,320.129,100,000609,*,31,yulya,2024-12-30 13:31:19.993000,KGShop,yulya,2024-12-30 13:31:50.133000,KGShop
22231,320.219,100,000609,*,32,yulya,2024-12-30 13:31:20.030000,KGShop,yulya,2024-12-30 13:31:51.103000,KGShop
22232,320.080,100,000609,*,33,yulya,2024-12-30 13:32:22.760000,KGShop,yulya,2024-12-30 13:37:05.340000,KGShop
22233,320.265,100,000609,*,34,yulya,2024-12-30 13:33:46.050000,KGShop,yulya,2024-12-30 13:37:06.710000,KGShop
22234,320.063,100,000609,*,35,yulya,2024-12-30 13:35:51.840000,KGShop,yulya,2024-12-30 13:37:07.733000,KGShop
22235,320.004,100,000609,*,36,yulya,2024-12-30 14:15:23.163000,KGShop,yulya,2024-12-30 14:16:44.113000,KGShop
22236,320.101,100,000609,*,37,yulya,2024-12-30 14:20:36.193000,KGShop,yulya,2024-12-30 14:21:44.480000,KGShop
22237,320.018,100,000609,*,38,yulya,2024-12-30 14:45:58.607000,KGShop,yulya,2024-12-30 14:46:44.147000,KGShop
22238,320.018,100,000609,*,39,yulya,2024-12-30 14:46:31.940000,KGShop,yulya,2024-12-30 14:46:44.927000,KGShop
22239,320.074,100,000609,*,40,yulya,2024-12-30 14:49:08.903000,KGShop,yulya,2024-12-30 14:51:44.157000,KGShop
22240,320.214,100,000609,*,41,yulya,2024-12-30 14:49:08.940000,KGShop,yulya,2024-12-30 14:51:45.093000,KGShop
22241,320.255,100,000609,*,42,yulya,2024-12-30 14:49:08.980000,KGShop,yulya,2024-12-30 14:51:46.113000,KGShop
22242,320.127,100,000609,*,43,yulya,2024-12-30 14:59:25.647000,KGShop,yulya,2024-12-30 15:01:44.317000,KGShop
22243,320.131,100,000609,*,44,yulya,2024-12-30 14:59:25.667000,KGShop,yulya,2024-12-30 15:01:45.333000,KGShop
22244,320.132,100,000609,*,45,yulya,2024-12-30 14:59:25.687000,KGShop,yulya,2024-12-30 15:01:46.523000,KGShop
22245,320.161,100,000609,*,46,yulya,2024-12-30 14:59:25.707000,KGShop,yulya,2024-12-30 15:01:47.720000,KGShop
22246,320.207,100,000609,*,47,yulya,2024-12-30 14:59:25.727000,KGShop,yulya,2024-12-30 15:01:48.853000,KGShop
22247,320.063,100,000616,*,48,yulya,2024-12-30 15:28:05.590000,KGShop,yulya,2024-12-30 15:31:45.897000,KGShop
22248,320.122,100,000622,*,49,yulya,2024-12-30 15:33:40.493000,KGShop,yulya,2024-12-30 15:36:47.133000,KGShop
22251,320.009,100,000626,*,50,yulya,2025-01-08 12:11:18.787000,KGShop,yulya,2025-01-08 12:17:56.267000,KGShop
22252,320.031,100,000626,*,51,yulya,2025-01-08 12:11:18.820000,KGShop,yulya,2025-01-08 12:17:57.113000,KGShop
22253,320.144,100,000626,*,52,yulya,2025-01-08 12:11:18.840000,KGShop,yulya,2025-01-08 12:17:57.967000,KGShop
22254,320.009,100,000626,*,53,yulya,2025-01-08 12:20:10.470000,KGShop,yulya,2025-01-08 12:22:55.997000,KGShop
22255,320.031,100,000626,*,54,yulya,2025-01-08 12:20:10.490000,KGShop,yulya,2025-01-08 12:22:56.930000,KGShop
22256,320.144,100,000626,*,55,yulya,2025-01-08 12:20:10.510000,KGShop,yulya,2025-01-08 12:22:57.787000,KGShop
22257,320.031,100,000626,*,56,yulya,2025-01-08 12:44:48.360000,KGShop,yulya,2025-01-08 12:47:55.963000,KGShop
22261,320.144,100,000629,*,57,yulya,2025-01-10 12:00:35.570000,KGShop,yulya,2025-01-10 12:04:23.177000,KGShop
22262,320.196,100,000629,*,58,yulya,2025-01-10 12:07:13.710000,KGShop,yulya,2025-01-10 12:09:22.193000,KGShop
22267,320.130,100,000633,*,59,yulya,2025-01-13 11:46:09.850000,KGShop,yulya,2025-01-13 11:49:47.133000,KGShop
22268,320.130,100,000632,*,60,yulya,2025-01-13 11:46:33.720000,KGShop,yulya,2025-01-13 11:49:48.083000,KGShop
22269,320.023,100,000627,*,61,yulya,2025-01-13 16:20:16.407000,KGShop,yulya,2025-01-13 16:24:47.210000,KGShop
22270,320.080,100,000627,*,62,yulya,2025-01-13 16:20:16.427000,KGShop,yulya,2025-01-13 16:24:48.103000,KGShop
22271,320.101,100,000627,*,63,yulya,2025-01-13 16:20:16.500000,KGShop,yulya,2025-01-13 16:24:49.163000,KGShop
22272,320.161,100,000627,*,64,yulya,2025-01-13 16:22:07.660000,KGShop,yulya,2025-01-13 16:24:50.130000,KGShop
22273,320.219,100,000627,*,65,yulya,2025-01-13 16:22:07.693000,KGShop,yulya,2025-01-13 16:24:51.300000,KGShop
22274,320.263,100,000627,*,66,yulya,2025-01-13 16:26:59.297000,KGShop,yulya,2025-01-13 16:29:46.350000,KGShop
22276,320.072,100,000630,*,67,yulya,2025-01-13 16:43:08.437000,KGShop,yulya,2025-01-13 16:44:46.230000,KGShop
22277,320.077,100,000630,*,68,yulya,2025-01-13 16:43:08.467000,KGShop,yulya,2025-01-13 16:44:47.403000,KGShop
22278,320.080,100,000630,*,69,yulya,2025-01-13 16:43:08.500000,KGShop,yulya,2025-01-13 16:44:48.347000,KGShop
22279,320.129,100,000630,*,70,yulya,2025-01-13 16:52:52.247000,KGShop,yulya,2025-01-13 16:54:46.260000,KGShop
22280,320.219,100,000630,*,71,yulya,2025-01-13 16:52:52.280000,KGShop,yulya,2025-01-13 16:54:47.123000,KGShop
22281,320.229,100,000630,*,72,yulya,2025-01-13 16:52:52.313000,KGShop,yulya,2025-01-13 16:54:48.027000,KGShop
22282,320.207,100,000630,*,73,yulya,2025-01-13 16:55:14.400000,KGShop,yulya,2025-01-13 16:59:46.597000,KGShop
22283,320.213,100,000630,*,74,yulya,2025-01-13 16:59:15.630000,KGShop,yulya,2025-01-13 16:59:47.467000,KGShop
22284,320.054,100,000630,*,75,yulya,2025-01-13 17:00:24.710000,KGShop,yulya,2025-01-13 17:04:46.913000,KGShop
22285,320.018,100,000630,*,76,yulya,2025-01-13 17:03:04.637000,KGShop,yulya,2025-01-13 17:04:47.950000,KGShop
22286,320.213,100,000630,*,77,yulya,2025-01-13 17:03:04.683000,KGShop,yulya,2025-01-13 17:04:49.417000,KGShop
22287,320.163,100,000630,*,78,yulya,2025-01-13 17:17:12.187000,KGShop,yulya,2025-01-13 17:19:46.443000,KGShop
22288,320.259,100,000630,*,79,yulya,2025-01-13 17:21:05.463000,KGShop,yulya,2025-01-13 17:24:47.103000,KGShop
22289,320.063,100,000630,*,80,yulya,2025-01-13 17:22:24.397000,KGShop,yulya,2025-01-13 17:24:48.460000,KGShop
22290,320.266,100,000619,*,81,yulya,2025-01-13 17:43:59.817000,KGShop,yulya,2025-01-13 17:44:46.460000,KGShop
22291,320.250,100,000630,*,82,yulya,2025-01-14 10:44:59.177000,KGShop,yulya,2025-01-14 10:50:11.653000,KGShop
22297,320.023,100,000620,*,83,yulya,2025-01-15 15:26:23.560000,KGShop,yulya,2025-01-15 15:26:38.650000,KGShop
22298,320.031,100,000620,*,84,yulya,2025-01-15 15:26:23.583000,KGShop,yulya,2025-01-15 15:26:40.233000,KGShop
22299,320.133,100,000620,*,85,yulya,2025-01-15 15:26:23.600000,KGShop,yulya,2025-01-15 15:26:41.833000,KGShop
22300,320.160,100,000620,*,86,yulya,2025-01-15 15:26:23.620000,KGShop,yulya,2025-01-15 15:26:43.360000,KGShop
22301,320.219,100,000620,*,87,yulya,2025-01-15 15:26:23.667000,KGShop,yulya,2025-01-15 15:26:44.963000,KGShop
22302,320.031,100,000620,*,88,yulya,2025-01-15 15:27:01.890000,KGShop,yulya,2025-01-15 15:31:38.263000,KGShop
22303,320.013,100,000620,*,89,yulya,2025-01-15 15:34:48.600000,KGShop,yulya,2025-01-15 15:36:37.690000,KGShop
22304,320.059,100,000620,*,90,yulya,2025-01-15 15:34:48.637000,KGShop,yulya,2025-01-15 15:36:38.790000,KGShop
22305,320.225,100,000620,*,91,yulya,2025-01-15 15:34:48.653000,KGShop,yulya,2025-01-15 15:36:39.990000,KGShop
22306,320.260,100,000620,*,92,yulya,2025-01-15 15:45:17.500000,KGShop,yulya,2025-01-15 15:46:37.933000,KGShop
22307,320.004,100,000621,*,93,yulya,2025-01-15 15:59:43.553000,KGShop,yulya,2025-01-15 16:01:38.593000,KGShop
22308,320.043,100,000621,*,94,yulya,2025-01-15 15:59:43.570000,KGShop,yulya,2025-01-15 16:01:39.957000,KGShop
22309,320.052,100,000621,*,95,yulya,2025-01-15 15:59:43.600000,KGShop,yulya,2025-01-15 16:01:41.347000,KGShop
22310,320.063,100,000621,*,96,yulya,2025-01-15 15:59:43.617000,KGShop,yulya,2025-01-15 16:01:42.733000,KGShop
22311,320.144,100,000621,*,97,yulya,2025-01-15 15:59:43.633000,KGShop,yulya,2025-01-15 16:01:44.610000,KGShop
22312,320.077,100,000625,*,98,yulya,2025-01-15 16:12:10.157000,KGShop,yulya,2025-01-15 16:16:39.040000,KGShop
22313,320.133,100,000625,*,99,yulya,2025-01-15 16:12:10.173000,KGShop,yulya,2025-01-15 16:16:41.470000,KGShop
22314,320.229,100,000625,*,100,yulya,2025-01-15 16:12:10.217000,KGShop,yulya,2025-01-15 16:16:42.957000,KGShop
22316,320.276,100,000640,*,101,yulya,2025-01-15 17:39:56.373000,KGShop,yulya,2025-01-15 17:41:36.930000,KGShop
22323,320.020,100,000631,*,102,yulya,2025-01-20 14:53:51.213000,KGShop,yulya,2025-01-20 14:57:59.650000,KGShop
22324,320.077,100,000631,*,103,yulya,2025-01-20 14:53:51.233000,KGShop,yulya,2025-01-20 14:58:00.623000,KGShop
22326,320.072,100,000592,*,104,yulya,2025-01-20 15:09:03.517000,KGShop,yulya,2025-01-20 15:13:04.023000,KGShop
22327,320.080,100,000592,*,105,yulya,2025-01-20 15:09:03.660000,KGShop,yulya,2025-01-20 15:13:05.133000,KGShop
22328,320.127,100,000592,*,106,yulya,2025-01-20 15:09:03.710000,KGShop,yulya,2025-01-20 15:13:06.117000,KGShop
22329,320.131,100,000592,*,107,yulya,2025-01-20 15:09:03.737000,KGShop,yulya,2025-01-20 15:13:06.863000,KGShop
22330,320.213,100,000592,*,108,yulya,2025-01-20 15:09:03.760000,KGShop,yulya,2025-01-20 15:13:07.870000,KGShop
22331,320.268,100,000592,*,109,yulya,2025-01-20 15:09:03.777000,KGShop,yulya,2025-01-20 15:13:08.740000,KGShop
22332,320.023,100,000605,*,110,yulya,2025-01-20 15:29:05.523000,KGShop,yulya,2025-01-20 15:32:59.580000,KGShop
22333,320.072,100,000605,*,111,yulya,2025-01-20 15:29:05.560000,KGShop,yulya,2025-01-20 15:33:00.320000,KGShop
22334,320.133,100,000605,*,112,yulya,2025-01-20 15:29:05.583000,KGShop,yulya,2025-01-20 15:33:01.210000,KGShop
22335,320.144,100,000605,*,113,yulya,2025-01-20 15:29:05.620000,KGShop,yulya,2025-01-20 15:33:02.280000,KGShop
22336,320.190,100,000605,*,114,yulya,2025-01-20 15:29:05.777000,KGShop,yulya,2025-01-20 15:33:03.213000,KGShop
22337,320.023,100,000606,*,115,yulya,2025-01-20 15:37:09.633000,KGShop,yulya,2025-01-20 15:37:58.903000,KGShop
22338,320.072,100,000606,*,116,yulya,2025-01-20 15:37:09.660000,KGShop,yulya,2025-01-20 15:38:00.210000,KGShop
22339,320.133,100,000606,*,117,yulya,2025-01-20 15:37:09.680000,KGShop,yulya,2025-01-20 15:38:01.390000,KGShop
22340,320.144,100,000606,*,118,yulya,2025-01-20 15:37:09.693000,KGShop,yulya,2025-01-20 15:38:02.123000,KGShop
22341,320.190,100,000606,*,119,yulya,2025-01-20 15:37:09.743000,KGShop,yulya,2025-01-20 15:38:02.827000,KGShop
22342,320.219,100,000606,*,120,yulya,2025-01-20 15:37:09.780000,KGShop,yulya,2025-01-20 15:38:03.603000,KGShop
22343,320.066,100,000606,*,121,yulya,2025-01-20 15:41:04.287000,KGShop,yulya,2025-01-20 15:42:59.130000,KGShop
22344,320.004,100,000628,*,122,yulya,2025-01-20 16:08:26.877000,KGShop,yulya,2025-01-20 16:12:59.003000,KGShop
22345,320.072,100,000628,*,123,yulya,2025-01-20 16:08:26.893000,KGShop,yulya,2025-01-20 16:12:59.820000,KGShop
22346,320.074,100,000628,*,124,yulya,2025-01-20 16:08:26.907000,KGShop,yulya,2025-01-20 16:13:00.810000,KGShop
22347,320.131,100,000628,*,125,yulya,2025-01-20 16:08:26.920000,KGShop,yulya,2025-01-20 16:13:01.717000,KGShop
22348,320.133,100,000628,*,126,yulya,2025-01-20 16:08:26.933000,KGShop,yulya,2025-01-20 16:13:02.967000,KGShop
22349,320.261,100,000628,*,127,yulya,2025-01-20 16:08:26.950000,KGShop,yulya,2025-01-20 16:13:03.117000,KGShop
22350,320.263,100,000628,*,128,yulya,2025-01-20 16:08:26.963000,KGShop,yulya,2025-01-20 16:13:04.310000,KGShop
22351,320.268,100,000628,*,129,yulya,2025-01-20 16:08:26.980000,KGShop,yulya,2025-01-20 16:13:05.447000,KGShop
22352,320.155,100,000628,*,130,yulya,2025-01-20 16:20:04.217000,KGShop,yulya,2025-01-20 16:22:58.963000,KGShop
22353,320.009,100,000637,*,131,yulya,2025-01-20 16:56:28.910000,KGShop,yulya,2025-01-20 16:57:59.173000,KGShop
22354,320.063,100,000637,*,132,yulya,2025-01-20 16:56:28.927000,KGShop,yulya,2025-01-20 16:57:59.963000,KGShop
22355,320.072,100,000637,*,133,yulya,2025-01-20 16:56:28.947000,KGShop,yulya,2025-01-20 16:58:01.553000,KGShop
22356,320.092,100,000637,*,134,yulya,2025-01-20 16:56:28.963000,KGShop,yulya,2025-01-20 16:58:02.570000,KGShop
22357,320.127,100,000637,*,135,yulya,2025-01-20 16:56:29.010000,KGShop,yulya,2025-01-20 16:58:03.560000,KGShop
22358,320.132,100,000637,*,136,yulya,2025-01-20 16:56:29.027000,KGShop,yulya,2025-01-20 16:58:04.573000,KGShop
22359,320.141,100,000637,*,137,yulya,2025-01-20 16:56:29.043000,KGShop,yulya,2025-01-20 16:58:05.540000,KGShop
22360,320.144,100,000637,*,138,yulya,2025-01-20 16:56:29.063000,KGShop,yulya,2025-01-20 16:58:06.417000,KGShop
22361,320.161,100,000637,*,139,yulya,2025-01-20 16:56:29.080000,KGShop,yulya,2025-01-20 16:58:07.280000,KGShop
22362,320.260,100,000637,*,140,yulya,2025-01-20 16:56:29.100000,KGShop,yulya,2025-01-20 16:58:08.233000,KGShop
22363,320.134,100,000637,*,141,yulya,2025-01-20 17:07:42.273000,KGShop,yulya,2025-01-20 17:07:58.970000,KGShop
22364,320.004,100,000638,*,142,yulya,2025-01-20 17:21:44.777000,KGShop,yulya,2025-01-20 17:22:59.020000,KGShop
22365,320.006,100,000638,*,143,yulya,2025-01-20 17:21:44.800000,KGShop,yulya,2025-01-20 17:23:00.037000,KGShop
22366,320.009,100,000638,*,144,yulya,2025-01-20 17:21:44.833000,KGShop,yulya,2025-01-20 17:23:01.010000,KGShop
22367,320.017,100,000638,*,145,yulya,2025-01-20 17:21:44.853000,KGShop,yulya,2025-01-20 17:23:01.813000,KGShop
22368,320.020,100,000638,*,146,yulya,2025-01-20 17:21:44.873000,KGShop,yulya,2025-01-20 17:23:02.690000,KGShop
22369,320.023,100,000638,*,147,yulya,2025-01-20 17:21:44.890000,KGShop,yulya,2025-01-20 17:23:03.750000,KGShop
22370,320.063,100,000638,*,148,yulya,2025-01-20 17:21:44.910000,KGShop,yulya,2025-01-20 17:23:04.603000,KGShop
22371,320.161,100,000638,*,149,yulya,2025-01-20 17:21:44.947000,KGShop,yulya,2025-01-20 17:23:05.650000,KGShop
22372,320.163,100,000638,*,150,yulya,2025-01-20 17:21:44.967000,KGShop,yulya,2025-01-20 17:23:06.433000,KGShop
22373,320.219,100,000638,*,151,yulya,2025-01-20 17:21:45.017000,KGShop,yulya,2025-01-20 17:23:07.513000,KGShop
22374,320.265,100,000638,*,152,yulya,2025-01-20 17:21:45.067000,KGShop,yulya,2025-01-20 17:23:08.373000,KGShop
22375,320.020,100,000639,*,153,yulya,2025-01-20 17:50:44.490000,KGShop,yulya,2025-01-20 17:52:59.120000,KGShop
22376,320.023,100,000639,*,154,yulya,2025-01-20 17:50:44.520000,KGShop,yulya,2025-01-20 17:52:59.937000,KGShop
22377,320.043,100,000639,*,155,yulya,2025-01-20 17:50:44.540000,KGShop,yulya,2025-01-20 17:53:01.017000,KGShop
22378,320.072,100,000639,*,156,yulya,2025-01-20 17:50:44.557000,KGShop,yulya,2025-01-20 17:53:01.930000,KGShop
22379,320.074,100,000639,*,157,yulya,2025-01-20 17:50:44.587000,KGShop,yulya,2025-01-20 17:53:02.703000,KGShop
22380,320.080,100,000639,*,158,yulya,2025-01-20 17:50:44.610000,KGShop,yulya,2025-01-20 17:53:03.447000,KGShop
22381,320.160,100,000639,*,159,yulya,2025-01-20 17:50:44.630000,KGShop,yulya,2025-01-20 17:53:04.397000,KGShop
22382,320.229,100,000639,*,160,yulya,2025-01-20 17:51:23.403000,KGShop,yulya,2025-01-20 17:53:05.530000,KGShop
22383,320.020,100,000640,*,161,yulya,2025-01-20 18:00:14.590000,KGShop,yulya,2025-01-20 18:02:58.800000,KGShop
22384,320.072,100,000640,*,162,yulya,2025-01-20 18:00:14.603000,KGShop,yulya,2025-01-20 18:03:00.103000,KGShop
22385,320.133,100,000640,*,163,yulya,2025-01-20 18:00:14.630000,KGShop,yulya,2025-01-20 18:03:01.013000,KGShop
22386,320.031,100,000641,*,164,yulya,2025-01-20 18:01:30.743000,KGShop,yulya,2025-01-20 18:03:01.860000,KGShop
22387,320.229,100,000641,*,165,yulya,2025-01-20 18:01:30.773000,KGShop,yulya,2025-01-20 18:03:02.620000,KGShop
22388,320.144,100,000642,*,166,yulya,2025-01-20 18:02:35.123000,KGShop,yulya,2025-01-20 18:03:03.457000,KGShop
22389,320.195,100,000639,*,167,yulya,2025-01-20 18:16:38.830000,KGShop,yulya,2025-01-20 18:17:58.903000,KGShop
22390,320.267,100,000639,*,168,yulya,2025-01-20 18:16:38.850000,KGShop,yulya,2025-01-20 18:17:59.643000,KGShop
22391,320.105,100,000639,*,169,yulya,2025-01-20 18:18:32.557000,KGShop,yulya,2025-01-20 18:22:59.007000,KGShop
22392,320.207,100,000639,*,170,yulya,2025-01-20 18:20:02.127000,KGShop,yulya,2025-01-20 18:22:59.810000,KGShop
22393,320.269,100,000639,*,171,yulya,2025-01-20 18:24:20.980000,KGShop,yulya,2025-01-20 18:27:59.063000,KGShop
22394,320.256,100,000639,*,172,yulya,2025-01-20 18:29:57.527000,KGShop,yulya,2025-01-20 18:32:59.153000,KGShop
22395,320.272,100,000639,*,173,yulya,2025-01-20 18:33:43.170000,KGShop,yulya,2025-01-20 18:37:58.760000,KGShop
22396,320.119,100,000643,*,174,yulya,2025-01-20 18:42:31.717000,KGShop,yulya,2025-01-20 18:42:58.770000,KGShop
22397,320.264,100,000637,*,175,yulya,2025-01-21 12:22:52.940000,KGShop,yulya,2025-01-21 12:27:41.647000,KGShop
22399,320.190,100,000648,*,176,yulya,2025-01-21 15:38:48.767000,KGShop,yulya,2025-01-21 15:42:48.117000,KGShop
22401,320.077,100,000649,*,177,yulya,2025-01-22 11:53:57.660000,KGShop,yulya,2025-01-22 11:58:47.550000,KGShop
22407,320.144,100,000654,*,178,yulya,2025-01-22 18:12:42.950000,KGShop,yulya,2025-01-22 18:13:41.477000,KGShop
22413,320.004,100,000645,*,179,yulya,2025-01-24 11:04:50.533000,KGShop,yulya,2025-01-24 11:06:51.533000,KGShop
22414,320.018,100,000645,*,180,yulya,2025-01-24 11:04:50.630000,KGShop,yulya,2025-01-24 11:06:52.800000,KGShop
22415,320.020,100,000645,*,181,yulya,2025-01-24 11:04:50.667000,KGShop,yulya,2025-01-24 11:06:54.310000,KGShop
22416,320.023,100,000645,*,182,yulya,2025-01-24 11:04:50.727000,KGShop,yulya,2025-01-24 11:06:55.727000,KGShop
22417,320.059,100,000645,*,183,yulya,2025-01-24 11:04:50.773000,KGShop,yulya,2025-01-24 11:06:56.727000,KGShop
22418,320.063,100,000645,*,184,yulya,2025-01-24 11:04:50.797000,KGShop,yulya,2025-01-24 11:06:57.677000,KGShop
22419,320.072,100,000645,*,185,yulya,2025-01-24 11:04:50.923000,KGShop,yulya,2025-01-24 11:06:58.540000,KGShop
22420,320.080,100,000645,*,186,yulya,2025-01-24 11:04:50.967000,KGShop,yulya,2025-01-24 11:06:59.440000,KGShop
22421,320.092,100,000645,*,187,yulya,2025-01-24 11:04:51.070000,KGShop,yulya,2025-01-24 11:07:00.397000,KGShop
22422,320.105,100,000645,*,188,yulya,2025-01-24 11:04:51.133000,KGShop,yulya,2025-01-24 11:07:01.200000,KGShop
22423,320.129,100,000645,*,189,yulya,2025-01-24 11:04:51.177000,KGShop,yulya,2025-01-24 11:07:02.203000,KGShop
22424,320.130,100,000645,*,190,yulya,2025-01-24 11:04:51.203000,KGShop,yulya,2025-01-24 11:07:03.650000,KGShop
22425,320.160,100,000645,*,191,yulya,2025-01-24 11:04:51.237000,KGShop,yulya,2025-01-24 11:07:04.517000,KGShop
22426,320.161,100,000645,*,192,yulya,2025-01-24 11:04:51.270000,KGShop,yulya,2025-01-24 11:07:05.703000,KGShop
22427,320.163,100,000645,*,193,yulya,2025-01-24 11:04:51.293000,KGShop,yulya,2025-01-24 11:07:07.333000,KGShop
22428,320.190,100,000645,*,194,yulya,2025-01-24 11:04:51.320000,KGShop,yulya,2025-01-24 11:07:08.523000,KGShop
22429,320.207,100,000645,*,195,yulya,2025-01-24 11:04:51.363000,KGShop,yulya,2025-01-24 11:07:10.157000,KGShop
22430,320.214,100,000645,*,196,yulya,2025-01-24 11:04:51.417000,KGShop,yulya,2025-01-24 11:07:11.270000,KGShop
22431,320.263,100,000645,*,197,yulya,2025-01-24 11:04:51.443000,KGShop,yulya,2025-01-24 11:07:12.630000,KGShop
22432,320.266,100,000645,*,198,yulya,2025-01-24 11:04:51.540000,KGShop,yulya,2025-01-24 11:07:14.063000,KGShop
22433,320.002,100,000645,*,199,yulya,2025-01-24 11:50:39.413000,KGShop,yulya,2025-01-24 11:51:51.127000,KGShop
22434,320.048,100,000645,*,200,yulya,2025-01-24 11:50:39.460000,KGShop,yulya,2025-01-24 11:51:52.093000,KGShop
22435,320.270,100,000645,*,201,yulya,2025-01-24 11:50:39.490000,KGShop,yulya,2025-01-24 11:51:53.053000,KGShop
22436,320.277,100,000645,*,202,yulya,2025-01-24 11:50:39.517000,KGShop,yulya,2025-01-24 11:51:54.123000,KGShop
22437,320.020,100,000646,*,203,yulya,2025-01-24 12:19:04.577000,KGShop,yulya,2025-01-24 12:21:50.920000,KGShop
22438,320.031,100,000646,*,204,yulya,2025-01-24 12:19:04.603000,KGShop,yulya,2025-01-24 12:21:51.757000,KGShop
22439,320.092,100,000646,*,205,yulya,2025-01-24 12:19:04.647000,KGShop,yulya,2025-01-24 12:21:52.647000,KGShop
22440,320.141,100,000646,*,206,yulya,2025-01-24 12:19:04.673000,KGShop,yulya,2025-01-24 12:21:53.923000,KGShop
22441,320.144,100,000646,*,207,yulya,2025-01-24 12:19:04.700000,KGShop,yulya,2025-01-24 12:21:54.713000,KGShop
22442,320.225,100,000646,*,208,yulya,2025-01-24 12:19:04.730000,KGShop,yulya,2025-01-24 12:21:55.513000,KGShop
22443,320.256,100,000646,*,209,yulya,2025-01-24 12:19:04.777000,KGShop,yulya,2025-01-24 12:21:56.303000,KGShop
22444,320.031,100,000647,*,210,yulya,2025-01-24 12:34:35.913000,KGShop,yulya,2025-01-24 12:36:51.360000,KGShop
