FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
49,79,120.013,HESAP KAPAMA,US,,320.0000000000,,,,,,,,,,,,,,,,,,,,,,79,49,yulya,2024-12-02 17:35:09.227000,KGShop,,,
49,80,120.015,HESAP KAPAMA,US,,900.0000000000,,,,,,,,,,,,,,,,,,,,,,80,49,yulya,2024-12-02 17:35:09.230000,KGShop,,,
49,81,120.016 ,HESAP KAPAMA,US,,425.0000000000,,,,,,,,,,,,,,,,,,,,,,81,49,yulya,2024-12-02 17:35:09.237000,KGShop,,,
49,82,120.017,HESAP KAPAMA,US,,300.0000000000,,,,,,,,,,,,,,,,,,,,,,82,49,yulya,2024-12-02 17:35:09.237000,KGShop,,,
49,83,120.018,HESAP KAPAMA,US,,2286.0000000000,,,,,,,,,,,,,,,,,,,,,,83,49,yulya,2024-12-02 17:35:09.240000,KGShop,,,
49,84,120.019 ,HESAP KAPAMA,US,,500.0000000000,,,,,,,,,,,,,,,,,,,,,,84,49,yulya,2024-12-02 17:35:09.243000,KGShop,,,
49,85,120.021 ,HESAP KAPAMA,US,,220.0000000000,,,,,,,,,,,,,,,,,,,,,,85,49,yulya,2024-12-02 17:35:09.243000,KGShop,,,
49,86,120.023,HESAP KAPAMA,US,,2000.0000000000,,,,,,,,,,,,,,,,,,,,,,86,49,yulya,2024-12-02 17:35:09.247000,KGShop,,,
49,87,120.027,HESAP KAPAMA,US,,1032.0000000000,,,,,,,,,,,,,,,,,,,,,,87,49,yulya,2024-12-02 17:35:09.250000,KGShop,,,
50,88,320.020,1 ÇİFT İADE 29 KALİTE,US,,38.0000000000,,,,,,,,,,,,,1 TEKİN DİLİ UZUN,,,,,,,,,88,50,yulya,2024-12-04 10:12:13.617000,KGShop,yulya,2025-01-23 19:01:25.337000,KGShop
50,89,320.132,8 ÇİFT İADE S.ASTAR GELMİŞ 1507 KALİTE ,US,,336.0000000000,,,,,,,,,,,,,SİPARİŞ KÜRKLÜ  42 $,,,,,,,,,89,50,yulya,2024-12-04 10:12:13.677000,KGShop,yulya,2024-12-04 10:12:58.080000,KGShop
50,90,320.129,1 ÇİFT İADE 074 KALİTE,US,,31.0000000000,,,,,,,,,,,,,,,,,,,,,,90,50,yulya,2024-12-04 10:12:13.687000,KGShop,yulya,2024-12-04 10:12:58.083000,KGShop
51,91,320.144,3 ÇİFT İADE 25 $,US,,75.0000000000,,,,,,,,,,,,,,,,,,,,,,91,51,yulya,2024-12-04 12:01:49.180000,KGShop,,,
53,93,120.012,KIŞLIK ALACAKLI,US,,4779.0000000000,,,,,,,,,,,,,,,,,,,,,,93,53,yulya,2024-12-06 16:45:14.583000,KGShop,yulya,2024-12-06 16:59:19.687000,KGShop
53,94,120.047,KIŞLIK ALACAKLI,US,,277.0000000000,,,,,,,,,,,,,,,,,,,,,,94,53,yulya,2024-12-06 16:59:19.713000,KGShop,,,
53,95,120.134,KIŞLIK ALACAKLI,US,,122.0000000000,,,,,,,,,,,,,,,,,,,,,,95,53,yulya,2024-12-06 17:06:15.400000,KGShop,,,
53,96,120.018,KIŞLIK ALACAKLI,US,,686.0000000000,,,,,,,,,,,,,,,,,,,,,,96,53,yulya,2024-12-06 17:06:15.400000,KGShop,,,
53,97,120.035 ,KIŞLIK ALACAKLI,US,,54.0000000000,,,,,,,,,,,,,,,,,,,,,,97,53,yulya,2024-12-06 17:06:15.407000,KGShop,,,
53,98,120.120,KIŞLIK ALACAKLI,US,,296.0000000000,,,,,,,,,,,,,,,,,,,,,,98,53,yulya,2024-12-06 17:06:15.410000,KGShop,,,
53,99,120.107,KIŞLIK ALACAKLI,US,,440.0000000000,,,,,,,,,,,,,,,,,,,,,,99,53,yulya,2024-12-06 17:06:15.413000,KGShop,,,
53,100,120.037,KIŞLIK ALACAKLI,US,,480.0000000000,,,,,,,,,,,,,,,,,,,,,,100,53,yulya,2024-12-06 17:06:15.413000,KGShop,,,
53,101,120.086,KIŞLIK ALACAKLI,US,,24.0000000000,,,,,,,,,,,,,,,,,,,,,,101,53,yulya,2024-12-06 17:06:15.417000,KGShop,,,
53,102,120.059,KIŞLIK ALACAKLI,US,,704.0000000000,,,,,,,,,,,,,,,,,,,,,,102,53,yulya,2024-12-06 17:06:15.420000,KGShop,,,
54,104,120.029,KIŞLIK BORÇU,US,,1860.0000000000,,,,,,,,,,,,,,,,,,,,,,104,54,yulya,2024-12-06 17:46:50.690000,KGShop,,,
54,105,120.140,KIŞLIK BORCU,US,,2996.0000000000,,,,,,,,,,,,,,,,,,,,,,105,54,yulya,2024-12-06 17:46:50.693000,KGShop,,,
54,106,120.156,KIŞLIK BORCU,US,,320.0000000000,,,,,,,,,,,,,,,,,,,,,,106,54,yulya,2024-12-06 17:46:50.697000,KGShop,,,
54,107,120.082,KIŞLIK BORCU,US,,150.0000000000,,,,,,,,,,,,,,,,,,,,,,107,54,yulya,2024-12-06 17:46:50.700000,KGShop,,,
54,108,120.023,KIŞLIK BORCU,US,,502.0000000000,,,,,,,,,,,,,,,,,,,,,,108,54,yulya,2024-12-06 17:46:50.700000,KGShop,,,
54,109,120.122,KIŞLIK BORCU,US,,2304.0000000000,,,,,,,,,,,,,,,,,,,,,,109,54,yulya,2024-12-06 17:46:50.703000,KGShop,,,
54,110,120.157,KIŞLIK BORCU,US,,660.0000000000,,,,,,,,,,,,,,,,,,,,,,110,54,yulya,2024-12-06 17:46:50.703000,KGShop,,,
54,111,120.064,KIŞLIK BORCU,US,,3094.0000000000,,,,,,,,,,,,,,,,,,,,,,111,54,yulya,2024-12-06 17:46:50.707000,KGShop,,,
54,112,120.058,KIŞLIK BORCU,US,,3165.0000000000,,,,,,,,,,,,,,,,,,,,,,112,54,yulya,2024-12-06 17:46:50.710000,KGShop,,,
54,113,120.113,KIŞLIK BORCU,US,,2924.0000000000,,,,,,,,,,,,,,,,,,,,,,113,54,yulya,2024-12-06 17:46:50.710000,KGShop,yulya,2024-12-06 18:08:38.003000,KGShop
54,115,120.078,KIŞLIK BORCU,US,,4374.0000000000,,,,,,,,,,,,,,,,,,,,,,115,54,yulya,2024-12-06 17:46:50.713000,KGShop,,,
54,117,120.049,KIŞLIK BORCU,US,,17573.0000000000,,,,,,,,,,,,,,,,,,,,,,117,54,yulya,2024-12-06 17:46:50.720000,KGShop,,,
54,118,120.039,KIŞLIK BORCU,US,,3133.0000000000,,,,,,,,,,,,,,,,,,,,,,118,54,yulya,2024-12-06 17:46:50.720000,KGShop,,,
54,119,120.109,KIŞLIK BORCU,US,,1360.0000000000,,,,,,,,,,,,,,,,,,,,,,119,54,yulya,2024-12-06 17:46:50.723000,KGShop,,,
54,120,120.069,KIŞLIK BORCU,US,,2192.0000000000,,,,,,,,,,,,,,,,,,,,,,120,54,yulya,2024-12-06 17:46:50.723000,KGShop,,,
54,121,120.142,KIŞLIK BORCU,US,,5714.0000000000,,,,,,,,,,,,,,,,,,,,,,121,54,yulya,2024-12-06 17:46:50.727000,KGShop,,,
54,122,120.046,KIŞLIK BORCU,US,,4900.0000000000,,,,,,,,,,,,,,,,,,,,,,122,54,yulya,2024-12-06 17:46:50.730000,KGShop,,,
54,123,120.062,KIŞLIK BORCU,US,,1340.0000000000,,,,,,,,,,,,,,,,,,,,,,123,54,yulya,2024-12-06 17:46:50.730000,KGShop,,,
54,124,120.061,KIŞLIK BORCU,US,,1912.0000000000,,,,,,,,,,,,,,,,,,,,,,124,54,yulya,2024-12-06 17:46:50.733000,KGShop,,,
54,125,120.093,KIŞLIK BORCU,US,,3000.0000000000,,,,,,,,,,,,,,,,,,,,,,125,54,yulya,2024-12-06 17:46:50.733000,KGShop,,,
54,126,120.032,KIŞLIK BORCU,US,,11393.0000000000,,,,,,,,,,,,,,,,,,,,,,126,54,yulya,2024-12-06 17:46:50.737000,KGShop,,,
54,127,120.056,KIŞLIK BORCU,US,,2125.0000000000,,,,,,,,,,,,,,,,,,,,,,127,54,yulya,2024-12-06 17:46:50.740000,KGShop,,,
54,128,120.141,KIŞLIK BORCU,US,,108.0000000000,,,,,,,,,,,,,,,,,,,,,,128,54,yulya,2024-12-06 17:46:50.740000,KGShop,,,
54,129,120.048,KIŞLIK BORCU,US,,66.0000000000,,,,,,,,,,,,,,,,,,,,,,129,54,yulya,2024-12-06 17:46:50.743000,KGShop,,,
54,130,120.068,KIŞLIK BORCU,US,,3384.0000000000,,,,,,,,,,,,,,,,,,,,,,130,54,yulya,2024-12-06 17:46:50.743000,KGShop,,,
54,131,120.036,KIŞLIK BORCU,US,,792.0000000000,,,,,,,,,,,,,,,,,,,,,,131,54,yulya,2024-12-06 17:46:50.747000,KGShop,,,
54,132,120.033,KIŞLIK BORCU,US,,492.0000000000,,,,,,,,,,,,,,,,,,,,,,132,54,yulya,2024-12-06 17:46:50.750000,KGShop,,,
54,133,120.133,KIŞLIK BORCU,US,,7156.0000000000,,,,,,,,,,,,,,,,,,,,,,133,54,yulya,2024-12-06 17:46:50.750000,KGShop,yulya,2024-12-06 18:31:38.187000,KGShop
54,134,120.132,KIŞLIK BORCU,US,,897.0000000000,,,,,,,,,,,,,,,,,,,,,,134,54,yulya,2024-12-06 17:46:50.753000,KGShop,,,
54,135,120.128,KIŞLIK BORCU,US,,216.0000000000,,,,,,,,,,,,,,,,,,,,,,135,54,yulya,2024-12-06 17:46:50.757000,KGShop,,,
54,136,120.154,KIŞLIK BORCU,US,,7192.0000000000,,,,,,,,,,,,,,,,,,,,,,136,54,yulya,2024-12-06 17:51:22.007000,KGShop,,,
54,137,120.100,KIŞLIK BORCU,US,,8482.0000000000,,,,,,,,,,,,,,,,,,,,,,137,54,yulya,2024-12-06 17:51:22.010000,KGShop,,,
54,138,120.099,KIŞLIK BORCU,US,,1230.0000000000,,,,,,,,,,,,,,,,,,,,,,138,54,yulya,2024-12-06 17:51:22.013000,KGShop,,,
54,139,120.095,KIŞLIK BORCU,US,,2860.0000000000,,,,,,,,,,,,,,,,,,,,,,139,54,yulya,2024-12-06 17:51:22.020000,KGShop,yulya,2025-04-21 13:45:57.923000,KGShop
54,140,120.108,KIŞLIK BORCU,US,,480.0000000000,,,,,,,,,,,,,,,,,,,,,,140,54,yulya,2024-12-06 17:51:22.020000,KGShop,,,
56,142,320.072,devir,US,,1782.0000000000,,,,,,,,,,,,,,,,,,,,,,142,56,yulya,2024-12-09 10:36:17.307000,KGShop,,,
57,143,320.072,ödeme,US,,1500.0000000000,,,,,,,,,,,,,,,,,,,,,,143,57,yulya,2024-12-09 10:37:11.830000,KGShop,,,
58,144,320.077,354 KALİTE 1 ÇİFT İADE,US,,31.0000000000,,,,,,,,,,,,,,,,,,,,,,144,58,yulya,2024-12-09 11:02:27.003000,KGShop,,,
58,145,320.043,1352 KALİTE 8 ÇİFT İADE *43 KÜRKLÜ,US,,344.0000000000,,,,,,,,,,,,,,,,,,,,,,145,58,yulya,2024-12-09 11:02:27.010000,KGShop,yulya,2025-01-13 16:07:03.277000,KGShop
58,146,320.144,2 ÇİFT İADE*25,US,,50.0000000000,,,,,,,,,,,,,,,,,,,,,,146,58,yulya,2024-12-09 11:02:27.017000,KGShop,,,
61,149,120.020,,US,,500.0000000000,,,,,,,,,,,,,,,,,,,,,,149,61,yulya,2024-12-10 15:18:54.397000,KGShop,,,
62,150,320.129,devir,US,,441.0000000000,,,,,,,,,,,,,,,,,,,,,,150,62,yulya,2024-12-10 18:05:17.990000,KGShop,,,
62,151,320.043,devir,US,,524.0000000000,,,,,,,,,,,,,,,,,,,,,,151,62,yulya,2024-12-10 18:09:16.567000,KGShop,yulya,2025-03-18 17:33:30.497000,KGShop
63,152,120.031,KIŞLIK BORCU,US,,3730.0000000000,,,,,,,,,,,,,,,,,,,,,,152,63,yulya,2024-12-11 12:44:08.753000,KGShop,,,
64,153,120.032,,US,,4053.0000000000,,,,,,,,,,,,,,,,,,,,,,153,64,yulya,2024-12-11 13:00:31.230000,KGShop,,,
66,156,320.077,720 kalite 2 çift 33 dolar,US,,66.0000000000,,,,,,,,,,,,,,,,,,,,,,156,66,yulya,2024-12-11 14:28:34.700000,KGShop,,,
66,157,320.077,724 kalite 2 çift 33 dolar,US,,66.0000000000,,,,,,,,,,,,,,,,,,,,,,157,66,yulya,2024-12-11 14:28:34.700000,KGShop,,,
66,158,320.077,456 kalite 1 çift 22 dolar,US,,22.0000000000,,,,,,,,,,,,,,,,,,,,,,158,66,yulya,2024-12-11 14:28:34.703000,KGShop,,,
68,160,120.039,,US,,2000.0000000000,,,,,,,,,,,,,,,,,,,,,,160,68,yulya,2024-12-17 13:42:39.783000,KGShop,,,
68,161,120.039,İADE,US,,116.0000000000,,,,,,,,,,,,,,,,,,,,,,161,68,yulya,2024-12-17 14:49:29.407000,KGShop,,,
69,162,320.161,8 ÇİFT TERLİK İADE *18,US,,144.0000000000,,,,,,,,,,,,,,,,,,,,,,162,69,yulya,2024-12-17 16:06:36.743000,KGShop,,,
69,163,320.129,6 ÇİFT ÇİZME İADE*40,US,,240.0000000000,,,,,,,,,,,,,,,,,,,,,,163,69,yulya,2024-12-17 16:06:36.757000,KGShop,,,
69,164,320.129,HERMES 2 ÇİFT İADE  *36,US,,72.0000000000,,,,,,,,,,,,,075 KALİTE BOT,,,,,,,,,164,69,yulya,2024-12-17 16:06:36.767000,KGShop,,,
69,165,320.129,22 ÇİFT İADE * 20,US,,440.0000000000,,,,,,,,,,,,,,,,,,,,,,165,69,yulya,2024-12-17 16:06:36.770000,KGShop,,,
69,166,320.110,9 ÇİT BOT İADE * 30,US,,270.0000000000,,,,,,,,,,,,,,,,,,,,,,166,69,yulya,2024-12-17 16:06:36.777000,KGShop,,,
70,167,120.055,YAZ BORCU,US,,6436.0000000000,,,,,,,,,,,,,,,,,,,,,,167,70,yulya,2024-12-18 17:39:28.133000,KGShop,,,
71,168,120.055,ÖDEME,US,,10000.0000000000,,,,,,,,,,,,,,,,,,,,,,168,71,yulya,2024-12-18 17:40:24.480000,KGShop,,,
72,169,120.055,ÖDEME,US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,169,72,yulya,2024-12-18 17:40:53.823000,KGShop,,,
73,170,120.055,ÖDEME,US,,10000.0000000000,,,,,,,,,,,,,,,,,,,,,,170,73,yulya,2024-12-18 17:42:23.080000,KGShop,yulya,2024-12-18 18:08:00.270000,KGShop
74,171,120.055,"10,06,2024 NOLU FİŞ",US,,1334.0000000000,,,,,,,,,,,,,,,,,,,,,,171,74,yulya,2024-12-18 17:47:42.217000,KGShop,,,
74,172,120.055,"24,06,2024 NOLU FİŞ",US,,6011.0000000000,,,,,,,,,,,,,,,,,,,,,,172,74,yulya,2024-12-18 17:47:42.220000,KGShop,,,
74,173,120.055,"22,07,2024 NOLU FİŞ",US,,1016.0000000000,,,,,,,,,,,,,,,,,,,,,,173,74,yulya,2024-12-18 17:47:42.220000,KGShop,yulya,2024-12-18 18:09:21.893000,KGShop
74,174,120.055,"12,08,2024 NOLU FİŞ",US,,580.0000000000,,,,,,,,,,,,,,,,,,,,,,174,74,yulya,2024-12-18 17:47:42.223000,KGShop,,,
74,175,120.055,"16,08,2024 NOLU FİŞ",US,,1291.0000000000,,,,,,,,,,,,,,,,,,,,,,175,74,yulya,2024-12-18 17:47:42.223000,KGShop,,,
74,176,120.055,"28,11,2024 NOLU FİŞ",US,,1296.0000000000,,,,,,,,,,,,,,,,,,,,,,176,74,yulya,2024-12-18 18:11:19.603000,KGShop,,,
75,177,120.055,16 ÇİFT İADE 41 DOLAR,US,,656.0000000000,,,,,,,,,,,,,,,,,,,,,,177,75,yulya,2024-12-18 18:16:34.600000,KGShop,,,
77,179,120.122,"19,12,2024",US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,179,77,yulya,2024-12-19 12:30:21.600000,KGShop,,,
77,180,120.099,"12,12,2024",US,,756.0000000000,,,,,,,,,,,,,,,,,,,,,,180,77,yulya,2024-12-19 12:30:21.620000,KGShop,,,
77,181,120.100,"09,12,2024",US,,3000.0000000000,,,,,,,,,,,,,,,,,,,,,,181,77,yulya,2024-12-19 12:30:21.627000,KGShop,,,
77,182,120.100,"16,12,2024",US,,1750.0000000000,,,,,,,,,,,,,,,,,,,,,,182,77,yulya,2024-12-19 12:30:21.630000,KGShop,,,
77,183,120.100,1 çift iade,US,,34.0000000000,,,,,,,,,,,,,,,,,,,,,,183,77,yulya,2024-12-19 12:30:21.637000,KGShop,,,
77,184,120.095,"09,12,2024",US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,184,77,yulya,2024-12-19 12:30:21.640000,KGShop,,,
77,185,120.095,"18,12,2024",US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,185,77,yulya,2024-12-19 12:30:21.640000,KGShop,,,
77,186,120.154,"16,12,2024",US,,1900.0000000000,,,,,,,,,,,,,,,,,,,,,,186,77,yulya,2024-12-19 12:30:21.643000,KGShop,,,
77,187,120.133,"16,12,2024",US,,1500.0000000000,,,,,,,,,,,,,,,,,,,,,,187,77,yulya,2024-12-19 12:30:21.643000,KGShop,,,
77,188,120.068,"12,12,2024",US,,1500.0000000000,,,,,,,,,,,,,,,,,,,,,,188,77,yulya,2024-12-19 12:30:21.647000,KGShop,,,
77,189,120.142,"14,12,2024",US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,189,77,yulya,2024-12-19 12:30:21.650000,KGShop,,,
77,190,120.049,"12,12,2024",US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,190,77,yulya,2024-12-19 12:30:21.650000,KGShop,,,
77,191,120.064,"12,12,2024",US,,1800.0000000000,,,,,,,,,,,,,,,,,,,,,,191,77,yulya,2024-12-19 12:30:21.653000,KGShop,,,
77,192,120.058,"14,12,2024",US,,1550.0000000000,,,,,,,,,,,,,,,,,,,,,,192,77,yulya,2024-12-19 12:30:21.653000,KGShop,,,
77,193,120.078,"12,12,2024",US,,2000.0000000000,,,,,,,,,,,,,,,,,,,,,,193,77,yulya,2024-12-19 12:30:21.657000,KGShop,,,
77,194,120.029,"17,12,2024",US,,1700.0000000000,,,,,,,,,,,,,,,,,,,,,,194,77,yulya,2024-12-19 12:30:21.660000,KGShop,,,
77,195,120.093,"12,12,2024",US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,195,77,yulya,2024-12-19 12:30:21.660000,KGShop,,,
77,196,120.061,1 ÇİFT İADE,US,,40.0000000000,,,,,,,,,,,,,,,,,,,,,,196,77,yulya,2024-12-19 12:30:21.660000,KGShop,,,
77,197,120.061,"09,12,2024",US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,197,77,yulya,2024-12-19 12:30:21.663000,KGShop,,,
78,198,320.229,,US,,215.0000000000,,,,,,,,,,,,,,,,,,,,,,198,78,yulya,2024-12-20 11:03:43.687000,KGShop,,,
79,199,320.072,,US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,199,79,yulya,2024-12-20 14:47:07.373000,KGShop,,,
79,200,320.077,,US,,1500.0000000000,,,,,,,,,,,,,,,,,,,,,,200,79,yulya,2024-12-20 14:47:07.390000,KGShop,,,
80,202,120.093,ödeme,US,,500.0000000000,,,,,,,,,,,,,,,,,,,,,,202,80,yulya,2024-12-23 10:59:24.333000,KGShop,yulya,2024-12-23 11:01:40.833000,KGShop
80,203,120.061,ödeme,US,,862.0000000000,,,,,,,,,,,,,,,,,,,,,,203,80,yulya,2024-12-23 11:00:32.680000,KGShop,yulya,2024-12-23 11:01:40.837000,KGShop
81,204,120.069,ÖDEME,US,,1000.0000000000,,,,,,,,,,,,,,,,,,,,,,204,81,yulya,2024-12-23 15:51:00.350000,KGShop,,,
82,205,120.131,ÖDEME,US,,2000.0000000000,,,,,,,,,,,,,,,,,,,,,,205,82,yulya,2024-12-24 12:04:35.527000,KGShop,,,
82,206,120.132,ÖDEME,US,,500.0000000000,,,,,,,,,,,,,,,,,,,,,,206,82,yulya,2024-12-24 12:05:15.160000,KGShop,,,
83,207,120.095,ödeme,US,,500.0000000000,,,,,,,,,,,,,,,,,,,,,,207,83,yulya,2024-12-24 12:15:23.793000,KGShop,,,
86,210,320.144,devir,US,,7025.0000000000,,,,,,,,,,,,,,,,,,,,,,210,86,yulya,2024-12-25 11:51:06.557000,KGShop,,,
86,211,320.077,devir,US,,14370.0000000000,,,,,,,,,,,,,,,,,,,,,,211,86,yulya,2024-12-25 11:53:39.787000,KGShop,,,
