Koli_KOD,Beden_No,Koli_ADET,kgid,insUN,insDT,insApp,updUN,updDT,updApp
A032,2,0.000000,170,,,,,,
A032,3,0.000000,171,,,,,,
A032,4,1.000000,172,,,,,,
A032,5,2.000000,173,,,,,,
A032,6,2.000000,174,,,,,,
A032,7,2.000000,175,,,,,,
A032,8,2.000000,176,,,,,,
A032,9,2.000000,177,,,,,,
A032,10,1.000000,178,,,,,,
A032,11,0.000000,179,,,,,,
A032,12,0.000000,180,,,,,,
A033,1,0.000000,181,,,,,,
A033,2,0.000000,182,,,,,,
A033,3,0.000000,183,,,,,,
A033,4,1.000000,184,,,,,,
A033,5,1.000000,185,,,,,,
A033,6,2.000000,186,,,,,,
A033,7,2.000000,187,,,,,,
A033,8,2.000000,188,,,,,,
A033,9,0.000000,189,,,,,,
A033,10,0.000000,190,,,,,,
A033,11,0.000000,191,,,,,,
A033,12,0.000000,192,,,,,,
A034,1,0.000000,193,,,,,,
A034,2,0.000000,194,,,,,,
A034,3,0.000000,195,,,,,,
A034,4,0.000000,196,,,,,,
A034,5,0.000000,197,,,,,,
A034,6,0.000000,198,,,,,,
A034,7,0.000000,199,,,,,,
A034,8,2.000000,200,,,,,,
A034,9,3.000000,201,,,,,,
A034,10,3.000000,202,,,,,,
A034,11,0.000000,203,,,,,,
A034,12,0.000000,204,,,,,,
A035,1,0.000000,205,,,,,,
A035,2,0.000000,206,,,,,,
A035,3,0.000000,207,,,,,,
A035,4,2.000000,208,,,,,,
A035,5,2.000000,209,,,,,,
A035,6,2.000000,210,,,,,,
A035,7,2.000000,211,,,,,,
A035,8,2.000000,212,,,,,,
A035,9,2.000000,213,,,,,,
A035,10,2.000000,214,,,,,,
A035,11,0.000000,215,,,,,,
A035,12,0.000000,216,,,,,,
A036,1,0.000000,217,,,,,,
A036,2,0.000000,218,,,,,,
A036,3,0.000000,219,,,,,,
A036,4,0.000000,220,,,,,,
A036,5,1.000000,221,,,,,,
A036,6,1.000000,222,,,,,,
A036,7,2.000000,223,,,,,,
A036,8,2.000000,224,,,,,,
A036,9,2.000000,225,,,,,,
A036,10,2.000000,226,,,,,,
A036,11,0.000000,227,,,,,,
A036,12,0.000000,228,,,,,,
A037,1,0.000000,229,,,,,,
A037,2,0.000000,230,,,,,,
A037,3,0.000000,231,,,,,,
A037,4,1.000000,232,,,,,,
A037,5,2.000000,233,,,,,,
A037,6,2.000000,234,,,,,,
A037,7,2.000000,235,,,,,,
A037,8,2.000000,236,,,,,,
A037,9,1.000000,237,,,,,,
A037,10,0.000000,238,,,,,,
A037,11,0.000000,239,,,,,,
A037,12,0.000000,240,,,,,,
A038,1,0.000000,241,,,,,,
A038,2,1.000000,242,,,,,,
A038,3,1.000000,243,,,,,,
A038,4,1.000000,244,,,,,,
A038,5,2.000000,245,,,,,,
A038,6,2.000000,246,,,,,,
A038,7,2.000000,247,,,,,,
A038,8,1.000000,248,,,,,,
A038,9,0.000000,249,,,,,,
A038,10,0.000000,250,,,,,,
A038,11,0.000000,251,,,,,,
A038,12,0.000000,252,,,,,,
A039,1,0.000000,253,,,,,,
A039,2,0.000000,254,,,,,,
A039,3,0.000000,255,,,,,,
A039,4,0.000000,256,,,,,,
A039,5,1.000000,257,,,,,,
A039,6,2.000000,258,,,,,,
A039,7,2.000000,259,,,,,,
A039,8,1.000000,260,,,,,,
A039,9,1.000000,261,,,,,,
A039,10,1.000000,262,,,,,,
A039,11,0.000000,263,,,,,,
A039,12,0.000000,264,,,,,,
A040,1,0.000000,265,,,,,,
A040,2,2.000000,266,,,,,,
A040,3,2.000000,267,,,,,,
A040,4,2.000000,268,,,,,,
A040,5,2.000000,269,,,,,,
A040,6,0.000000,270,,,,,,
A040,7,0.000000,271,,,,,,
A040,8,0.000000,272,,,,,,
A040,9,0.000000,273,,,,,,
A040,10,0.000000,274,,,,,,
A040,11,0.000000,275,,,,,,
A040,12,0.000000,276,,,,,,
A041,1,0.000000,277,,,,,,
A041,2,0.000000,278,,,,,,
A041,3,1.000000,279,,,,,,
A041,4,1.000000,280,,,,,,
A041,5,2.000000,281,,,,,,
A041,6,3.000000,282,,,,,,
A041,7,3.000000,283,,,,,,
A041,8,2.000000,284,,,,,,
A041,9,2.000000,285,,,,,,
A041,10,2.000000,286,,,,,,
A041,11,1.000000,287,,,,,,
A041,12,0.000000,288,,,,,,
A042,1,0.000000,289,,,,,,
A042,2,0.000000,290,,,,,,
A042,3,0.000000,291,,,,,,
A042,4,1.000000,292,,,,,,
A042,5,2.000000,293,,,,,,
A042,6,2.000000,294,,,,,,
A042,7,2.000000,295,,,,,,
A042,8,1.000000,296,,,,,,
A042,9,2.000000,297,,,,,,
A042,10,2.000000,298,,,,,,
A042,11,0.000000,299,,,,,,
A042,12,0.000000,300,,,,,,
A043,1,0.000000,301,,,,,,
A043,2,2.000000,302,,,,,,
A043,3,2.000000,303,,,,,,
A043,4,0.000000,304,,,,,,
A043,5,0.000000,305,,,,,,
A043,6,0.000000,306,,,,,,
A043,7,0.000000,307,,,,,,
A043,8,0.000000,308,,,,,,
A043,9,2.000000,309,,,,,,
A043,10,2.000000,310,,,,,,
A043,11,0.000000,311,,,,,,
A043,12,0.000000,312,,,,,,
A044,1,0.000000,313,,,,,,
A044,2,2.000000,314,,,,,,
A044,3,2.000000,315,,,,,,
A044,4,0.000000,316,,,,,,
A044,5,0.000000,317,,,,,,
A044,6,0.000000,318,,,,,,
A044,7,0.000000,319,,,,,,
A044,8,0.000000,320,,,,,,
A044,9,2.000000,321,,,,,,
A044,10,2.000000,322,,,,,,
A044,11,2.000000,323,,,,,,
A044,12,0.000000,324,,,,,,
A045,1,0.000000,325,,,,,,
A045,2,0.000000,326,,,,,,
A045,3,0.000000,327,,,,,,
A045,4,2.000000,328,,,,,,
A045,5,2.000000,329,,,,,,
A045,6,2.000000,330,,,,,,
A045,7,2.000000,331,,,,,,
A045,8,2.000000,332,,,,,,
A045,9,2.000000,333,,,,,,
A045,10,2.000000,334,,,,,,
A045,11,0.000000,335,,,,,,
A045,12,0.000000,336,,,,,,
A046,1,0.000000,337,,,,,,
A046,2,1.000000,338,,,,,,
A046,3,1.000000,339,,,,,,
A046,4,1.000000,340,,,,,,
A046,5,2.000000,341,,,,,,
A046,6,2.000000,342,,,,,,
A046,7,2.000000,343,,,,,,
A046,8,1.000000,344,,,,,,
A046,9,1.000000,345,,,,,,
A046,10,1.000000,346,,,,,,
A046,11,0.000000,347,,,,,,
A046,12,0.000000,348,,,,,,
A047,1,0.000000,349,,,,,,
A047,2,0.000000,350,,,,,,
A047,3,0.000000,351,,,,,,
A047,4,1.000000,352,,,,,,
A047,5,2.000000,353,,,,,,
A047,6,2.000000,354,,,,,,
A047,7,2.000000,355,,,,,,
A047,8,1.000000,356,,,,,,
A047,9,1.000000,357,,,,,,
A047,10,1.000000,358,,,,,,
A047,11,0.000000,359,,,,,,
A047,12,0.000000,360,,,,,,
A048,1,0.000000,361,,,,,,
A048,2,1.000000,362,,,,,,
A048,3,1.000000,363,,,,,,
A048,4,2.000000,364,,,,,,
A048,5,2.000000,365,,,,,,
A048,6,2.000000,366,,,,,,
A048,7,2.000000,367,,,,,,
A048,8,1.000000,368,,,,,,
A048,9,2.000000,369,,,,,,
A048,10,2.000000,370,,,,,,
A048,11,0.000000,371,,,,,,
A048,12,0.000000,372,,,,,,
A049,1,0.000000,373,,,,,,
A049,2,1.000000,374,,,,,,
A049,3,1.000000,375,,,,,,
A049,4,1.000000,376,,,,,,
A049,5,2.000000,377,,,,,,
A049,6,2.000000,378,,,,,,
A049,7,2.000000,379,,,,,,
A049,8,1.000000,380,,,,,,
A049,9,1.000000,381,,,,,,
A049,10,1.000000,382,,,,,,
A049,11,0.000000,383,,,,,,
A049,12,0.000000,384,,,,,,
A050,1,0.000000,385,,,,,,
A050,2,2.000000,386,,,,,,
A050,3,2.000000,387,,,,,,
A050,4,2.000000,388,,,,,,
A050,5,2.000000,389,,,,,,
A050,6,2.000000,390,,,,,,
A050,7,2.000000,391,,,,,,
A050,8,2.000000,392,,,,,,
A050,9,2.000000,393,,,,,,
A050,10,2.000000,394,,,,,,
A050,11,0.000000,395,,,,,,
A050,12,0.000000,396,,,,,,
A051,1,0.000000,397,,,,,,
A051,2,0.000000,398,,,,,,
A051,3,0.000000,399,,,,,,
A051,4,2.000000,400,,,,,,
A051,5,2.000000,401,,,,,,
A051,6,2.000000,402,,,,,,
A051,7,2.000000,403,,,,,,
A051,8,2.000000,404,,,,,,
A051,9,2.000000,405,,,,,,
A051,10,2.000000,406,,,,,,
A051,11,0.000000,407,,,,,,
A051,12,0.000000,408,,,,,,
A052,1,0.000000,409,,,,,,
A052,2,0.000000,410,,,,,,
A052,3,0.000000,411,,,,,,
A052,4,1.000000,412,,,,,,
A052,5,1.000000,413,,,,,,
A052,6,1.000000,414,,,,,,
A052,7,1.000000,415,,,,,,
A052,8,1.000000,416,,,,,,
A052,9,1.000000,417,,,,,,
A052,10,1.000000,418,,,,,,
A052,11,0.000000,419,,,,,,
A052,12,0.000000,420,,,,,,
A053,1,0.000000,421,,,,,,
A053,2,0.000000,422,,,,,,
A053,3,1.000000,423,,,,,,
A053,4,1.000000,424,,,,,,
A053,5,2.000000,425,,,,,,
A053,6,2.000000,426,,,,,,
A053,7,2.000000,427,,,,,,
A053,8,1.000000,428,,,,,,
A053,9,1.000000,429,,,,,,
A053,10,0.000000,430,,,,,,
A053,11,0.000000,431,,,,,,
A053,12,0.000000,432,,,,,,
A054,1,0.000000,433,,,,,,
A054,2,2.000000,434,,,,,,
A054,3,2.000000,435,,,,,,
A054,4,1.000000,436,,,,,,
A054,5,2.000000,437,,,,,,
A054,6,2.000000,438,,,,,,
A054,7,2.000000,439,,,,,,
A054,8,1.000000,440,,,,,,
A054,9,0.000000,441,,,,,,
A054,10,0.000000,442,,,,,,
A054,11,0.000000,443,,,,,,
A054,12,0.000000,444,,,,,,
A055,1,0.000000,445,,,,,,
A055,2,0.000000,446,,,,,,
A055,3,1.000000,447,,,,,,
A055,4,1.000000,448,,,,,,
A055,5,2.000000,449,,,,,,
A055,6,2.000000,450,,,,,,
A055,7,1.000000,451,,,,,,
A055,8,1.000000,452,,,,,,
A055,9,0.000000,453,,,,,,
A055,10,0.000000,454,,,,,,
A055,11,0.000000,455,,,,,,
A055,12,0.000000,456,,,,,,
A056,1,1.000000,457,,,,,,
A056,2,1.000000,458,,,,,,
A056,3,1.000000,459,,,,,,
A056,4,1.000000,460,,,,,,
A056,5,1.000000,461,,,,,,
A056,6,1.000000,462,,,,,,
A056,7,1.000000,463,,,,,,
A056,8,1.000000,464,,,,,,
A056,9,1.000000,465,,,,,,
A056,10,1.000000,466,,,,,,
A056,11,1.000000,467,,,,,,
A056,12,0.000000,468,,,,,,
A057,1,0.000000,469,,,,,,
A057,2,1.000000,470,,,,,,
A057,3,1.000000,471,,,,,,
A057,4,1.000000,472,,,,,,
A057,5,1.000000,473,,,,,,
A057,6,1.000000,474,,,,,,
A057,7,1.000000,475,,,,,,
A057,8,1.000000,476,,,,,,
A057,9,1.000000,477,,,,,,
A057,10,1.000000,478,,,,,,
A057,11,1.000000,479,,,,,,
A057,12,0.000000,480,,,,,,
A058,1,0.000000,481,,,,,,
A058,2,0.000000,482,,,,,,
A058,3,0.000000,483,,,,,,
A058,4,1.000000,484,,,,,,
A058,5,1.000000,485,,,,,,
A058,6,2.000000,486,,,,,,
A058,7,1.000000,487,,,,,,
A058,8,1.000000,488,,,,,,
A058,9,1.000000,489,,,,,,
A058,10,1.000000,490,,,,,,
A058,11,0.000000,491,,,,,,
A058,12,0.000000,492,,,,,,
A059,1,0.000000,493,,,,,,
A059,2,0.000000,494,,,,,,
A059,3,0.000000,495,,,,,,
A059,4,0.000000,496,,,,,,
A059,5,1.000000,497,,,,,,
A059,6,2.000000,498,,,,,,
A059,7,2.000000,499,,,,,,
A059,8,2.000000,500,,,,,,
A059,9,2.000000,501,,,,,,
A059,10,1.000000,502,,,,,,
A059,11,0.000000,503,,,,,,
A059,12,0.000000,504,,,,,,
A060,1,0.000000,505,,,,,,
A060,2,0.000000,506,,,,,,
A060,3,0.000000,507,,,,,,
A060,4,0.000000,508,,,,,,
A060,5,1.000000,509,,,,,,
A060,6,2.000000,510,,,,,,
A060,7,2.000000,511,,,,,,
A060,8,2.000000,512,,,,,,
A060,9,1.000000,513,,,,,,
A060,10,0.000000,514,,,,,,
A060,11,0.000000,515,,,,,,
A060,12,0.000000,516,,,,,,
A061,1,0.000000,517,,,,,,
A061,2,1.000000,518,,,,,,
A061,3,1.000000,519,,,,,,
A061,4,1.000000,520,,,,,,
A061,5,1.000000,521,,,,,,
A061,6,2.000000,522,,,,,,
A061,7,2.000000,523,,,,,,
A061,8,2.000000,524,,,,,,
A061,9,1.000000,525,,,,,,
A061,10,1.000000,526,,,,,,
A061,11,0.000000,527,,,,,,
A061,12,0.000000,528,,,,,,
A062,1,0.000000,529,,,,,,
A062,2,0.000000,530,,,,,,
A062,3,0.000000,531,,,,,,
A062,4,1.000000,532,,,,,,
A062,5,1.000000,533,,,,,,
A062,6,1.000000,534,,,,,,
A062,7,1.000000,535,,,,,,
A062,8,1.000000,536,,,,,,
A062,9,1.000000,537,,,,,,
A062,10,1.000000,538,,,,,,
A062,11,1.000000,539,,,,,,
A062,12,0.000000,540,,,,,,
A063,1,0.000000,541,,,,,,
A063,2,0.000000,542,,,,,,
A063,3,0.000000,543,,,,,,
A063,4,1.000000,544,,,,,,
A063,5,1.000000,545,,,,,,
A063,6,2.000000,546,,,,,,
A063,7,2.000000,547,,,,,,
A063,8,1.000000,548,,,,,,
A063,9,1.000000,549,,,,,,
A063,10,0.000000,550,,,,,,
A063,11,0.000000,551,,,,,,
A063,12,0.000000,552,,,,,,
A064,1,0.000000,553,,,,,,
A064,2,0.000000,554,,,,,,
A064,3,0.000000,555,,,,,,
A064,4,1.000000,556,,,,,,
A064,5,2.000000,557,,,,,,
A064,6,2.000000,558,,,,,,
A064,7,2.000000,559,,,,,,
A064,8,1.000000,560,,,,,,
A064,9,2.000000,561,,,,,,
A064,10,0.000000,562,,,,,,
A064,11,0.000000,563,,,,,,
A064,12,0.000000,564,,,,,,
A065,1,0.000000,565,,,,,,
A065,2,1.000000,566,,,,,,
A065,3,1.000000,567,,,,,,
A065,4,1.000000,568,,,,,,
A065,5,1.000000,569,,,,,,
A065,6,2.000000,570,,,,,,
A065,7,1.000000,571,,,,,,
A065,8,1.000000,572,,,,,,
A065,9,1.000000,573,,,,,,
A065,10,1.000000,574,,,,,,
A065,11,0.000000,575,,,,,,
A065,12,0.000000,576,,,,,,
A066,1,0.000000,577,,,,,,
A066,2,0.000000,578,,,,,,
A066,3,0.000000,579,,,,,,
A066,4,0.000000,580,,,,,,
A066,5,1.000000,581,,,,,,
A066,6,3.000000,582,,,,,,
A066,7,2.000000,583,,,,,,
A066,8,2.000000,584,,,,,,
A066,9,0.000000,585,,,,,,
A066,10,0.000000,586,,,,,,
A066,11,0.000000,587,,,,,,
A066,12,0.000000,588,,,,,,
A067,1,0.000000,589,,,,,,
A067,2,0.000000,590,,,,,,
A067,3,0.000000,591,,,,,,
A067,4,0.000000,592,,,,,,
A067,5,1.000000,593,,,,,,
A067,6,2.000000,594,,,,,,
A067,7,2.000000,595,,,,,,
A067,8,3.000000,596,,,,,,
A067,9,0.000000,597,,,,,,
A067,10,0.000000,598,,,,,,
A067,11,0.000000,599,,,,,,
A067,12,0.000000,600,,,,,,
A068,1,0.000000,601,,,,,,
A068,2,0.000000,602,,,,,,
A068,3,0.000000,603,,,,,,
A068,4,0.000000,604,,,,,,
A068,5,0.000000,605,,,,,,
A068,6,1.000000,606,,,,,,
A068,7,1.000000,607,,,,,,
A068,8,2.000000,608,,,,,,
A068,9,2.000000,609,,,,,,
A068,10,2.000000,610,,,,,,
A068,11,0.000000,611,,,,,,
A068,12,0.000000,612,,,,,,
A069,1,0.000000,613,,,,,,
A069,2,0.000000,614,,,,,,
A069,3,0.000000,615,,,,,,
A069,4,1.000000,616,,,,,,
A069,5,1.000000,617,,,,,,
A069,6,3.000000,618,,,,,,
A069,7,3.000000,619,,,,,,
A069,8,3.000000,620,,,,,,
A069,9,3.000000,621,,,,,,
A069,10,2.000000,622,,,,,,
A069,11,0.000000,623,,,,,,
A069,12,0.000000,624,,,,,,
A070,1,0.000000,625,,,,,,
A070,2,2.000000,626,,,,,,
A070,3,2.000000,627,,,,,,
A070,4,0.000000,628,,,,,,
A070,5,0.000000,629,,,,,,
A070,6,0.000000,630,,,,,,
A070,7,0.000000,631,,,,,,
A070,8,0.000000,632,,,,,,
A070,9,2.000000,633,,,,,,
A070,10,2.000000,634,,,,,,
A070,11,2.000000,635,,,,,,
A070,12,0.000000,636,,,,,,
A071,1,0.000000,637,,,,,,
A071,2,0.000000,638,,,,,,
A071,3,0.000000,639,,,,,,
A071,4,1.000000,640,,,,,,
A071,5,2.000000,641,,,,,,
A071,6,2.000000,642,,,,,,
A071,7,2.000000,643,,,,,,
A071,8,1.000000,644,,,,,,
A071,9,2.000000,645,,,,,,
A071,10,2.000000,646,,,,,,
A071,11,2.000000,647,,,,,,
A071,12,0.000000,648,,,,,,
A072,1,0.000000,649,,,,,,
A072,2,2.000000,650,,,,,,
A072,3,2.000000,651,,,,,,
A072,4,1.000000,652,,,,,,
A072,5,2.000000,653,,,,,,
A072,6,2.000000,654,,,,,,
A072,7,2.000000,655,,,,,,
A072,8,1.000000,656,,,,,,
A072,9,2.000000,657,,,,,,
A072,10,2.000000,658,,,,,,
A072,11,2.000000,659,,,,,,
A072,12,0.000000,660,,,,,,
A073,1,0.000000,661,,,,,,
A073,2,2.000000,662,,,,,,
A073,3,1.000000,663,,,,,,
A073,4,0.000000,664,,,,,,
A073,5,0.000000,665,,,,,,
A073,6,1.000000,666,,,,,,
A073,7,1.000000,667,,,,,,
A073,8,1.000000,668,,,,,,
A073,9,1.000000,669,,,,,,
A073,10,2.000000,670,,,,,,
A073,11,3.000000,671,,,,,,
A073,12,0.000000,672,,,,,,
A074,1,0.000000,673,,,,,,
A074,2,0.000000,674,,,,,,
A074,3,1.000000,675,,,,,,
A074,4,0.000000,676,,,,,,
A074,5,0.000000,677,,,,,,
A074,6,1.000000,678,,,,,,
A074,7,1.000000,679,,,,,,
A074,8,1.000000,680,,,,,,
A074,9,1.000000,681,,,,,,
A074,10,1.000000,682,,,,,,
A074,11,2.000000,683,,,,,,
A074,12,0.000000,684,,,,,,
A075,1,0.000000,685,,,,,,
A075,2,0.000000,686,,,,,,
A075,3,1.000000,687,,,,,,
A075,4,1.000000,688,,,,,,
A075,5,1.000000,689,,,,,,
A075,6,2.000000,690,,,,,,
A075,7,1.000000,691,,,,,,
A075,8,1.000000,692,,,,,,
A075,9,1.000000,693,,,,,,
A075,10,0.000000,694,,,,,,
A075,11,0.000000,695,,,,,,
A075,12,0.000000,696,,,,,,
A076,1,0.000000,697,,,,,,
A076,2,0.000000,698,,,,,,
A076,3,1.000000,699,,,,,,
A076,4,0.000000,700,,,,,,
A076,5,0.000000,701,,,,,,
A076,6,1.000000,702,,,,,,
A076,7,1.000000,703,,,,,,
A076,8,1.000000,704,,,,,,
A076,9,1.000000,705,,,,,,
A076,10,1.000000,706,,,,,,
A076,11,2.000000,707,,,,,,
A076,12,2.000000,708,,,,,,
A077,1,0.000000,709,,,,,,
A077,2,0.000000,710,,,,,,
A077,3,0.000000,711,,,,,,
A077,4,0.000000,712,,,,,,
A077,5,0.000000,713,,,,,,
A077,6,2.000000,714,,,,,,
A077,7,1.000000,715,,,,,,
A077,8,1.000000,716,,,,,,
A077,9,1.000000,717,,,,,,
A077,10,2.000000,718,,,,,,
A077,11,3.000000,719,,,,,,
A077,12,0.000000,720,,,,,,
A078,1,0.000000,721,,,,,,
A078,2,0.000000,722,,,,,,
A078,3,0.000000,723,,,,,,
A078,4,0.000000,724,,,,,,
A078,5,0.000000,725,,,,,,
A078,6,3.000000,726,,,,,,
A078,7,1.000000,727,,,,,,
A078,8,1.000000,728,,,,,,
A078,9,1.000000,729,,,,,,
A078,10,2.000000,730,,,,,,
A078,11,3.000000,731,,,,,,
A078,12,0.000000,732,,,,,,
A079,1,0.000000,733,,,,,,
A079,2,0.000000,734,,,,,,
A079,3,0.000000,735,,,,,,
A079,4,1.000000,736,,,,,,
A079,5,1.000000,737,,,,,,
A079,6,3.000000,738,,,,,,
A079,7,3.000000,739,,,,,,
A079,8,2.000000,740,,,,,,
A079,9,1.000000,741,,,,,,
A079,10,1.000000,742,,,,,,
A079,11,0.000000,743,,,,,,
A079,12,0.000000,744,,,,,,
A080,1,0.000000,745,,,,,,
