kgid,mkgid,RKod,BedKod,Miktar,insUN,insDT,insApp,updUN,updDT,updApp
26,45,18714,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
27,44,16784,10,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
28,42,18247,10,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
29,37,18959,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
30,33,18813,10,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
31,23,17683,10,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
32,22,17683,10,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
33,20,17683,10,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
34,19,17683,10,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
35,153,19133,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
36,152,19133,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
37,147,16778,9,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
38,137,18610,9,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
39,136,18057,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
40,134,18817,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
41,131,18116,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
42,129,16540,9,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
43,124,17674,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
44,123,17529,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
45,122,18057,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
46,115,18118,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
47,114,18110,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
48,113,16525,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
49,112,16603,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
50,110,16603,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
51,108,18752,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
52,107,18752,9,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
53,105,17289,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
54,104,17289,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
55,103,16525,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
56,100,17821,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
57,97,17832,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
58,95,16599,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
59,89,18664,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
60,83,16900,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
61,74,16519,9,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
62,71,17470,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
63,67,17190,9,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
64,64,17505,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
65,55,17999,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
66,54,17470,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
67,53,16725,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
68,51,16603,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
69,50,16545,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
70,49,18632,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
71,48,16603,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
72,46,18715,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
73,45,18714,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
74,44,16784,9,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
75,42,18247,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
76,40,18237,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
77,37,18959,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
78,35,18816,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
79,34,18814,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
80,33,18813,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
81,23,17683,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
82,22,17683,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
83,20,17683,9,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
84,19,17683,9,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
85,16,17683,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
86,15,17683,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
87,12,19505,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
88,8,17543,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
89,4,16813,9,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
90,3,19398,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
91,2,16547,9,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
92,155,17290,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
93,154,16704,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
94,153,19133,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
95,152,19133,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
96,151,18136,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
97,150,17528,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
98,148,16778,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
99,146,16603,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
100,145,17916,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
101,144,18786,8,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
102,143,16603,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
103,142,19063,8,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
104,140,17196,8,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
105,139,18580,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
106,138,18610,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
107,137,18610,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
108,136,18057,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
109,135,19134,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
110,134,18817,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
111,133,18217,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
112,132,18215,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
113,131,18116,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
114,130,16748,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
115,129,16540,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
116,128,18116,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
117,127,18057,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
118,126,19245,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
119,125,17674,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
120,124,17674,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
121,123,17529,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
122,122,18057,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
123,121,18210,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
124,120,17674,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
125,119,18992,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
126,118,16879,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
127,117,16603,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
128,116,18621,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
129,115,18118,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
130,114,18110,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
131,113,16525,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
132,112,16603,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
133,111,16603,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
134,110,16603,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
135,108,18752,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
136,107,18752,8,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
137,105,17289,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
138,104,17289,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
139,103,16525,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
140,102,16523,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
141,101,19039,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
142,100,17821,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
143,99,17833,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
144,98,18513,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
145,97,17832,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
146,96,16525,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
147,95,16599,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
148,94,16525,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
149,93,18497,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
150,92,18661,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
151,90,18664,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
152,89,18664,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
153,88,18664,8,7.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
154,87,18663,8,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
155,86,18662,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
156,85,18673,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
157,84,18670,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
158,83,16900,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
159,82,16900,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
160,81,16519,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
161,80,18445,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
162,79,18445,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
163,77,16897,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
164,76,16519,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
165,75,17470,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
166,73,16519,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
167,72,16519,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
168,71,17470,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
169,70,17470,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
170,69,17190,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
171,68,17190,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
172,67,17190,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
173,66,17190,8,7.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
174,65,16519,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
175,64,17505,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
176,63,17505,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
177,62,17470,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
178,61,17470,8,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
179,60,17470,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
180,59,17253,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
181,58,17470,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
182,57,16784,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
183,56,16603,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
184,55,17999,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
185,54,17470,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
186,53,16725,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
187,52,16725,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
188,51,16603,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
189,50,16545,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
190,49,18632,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
191,48,16603,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
192,47,18806,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
193,46,18715,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
194,45,18714,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
195,44,16784,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
196,43,19136,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
197,42,18247,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
198,41,18247,8,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
199,40,18237,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
200,39,18237,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
201,38,18247,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
202,37,18959,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
203,36,18691,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
204,35,18816,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
205,34,18814,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
206,33,18813,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
207,31,18700,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
208,30,18700,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
209,29,18098,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
210,28,19018,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
211,27,19017,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
212,26,16603,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
213,25,16603,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
214,23,17683,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
215,22,17683,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
216,21,17683,8,6.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
217,20,17683,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
218,18,17683,8,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
219,17,17683,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
220,16,17683,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
221,15,17683,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
222,14,17683,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
223,13,17756,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
224,12,19505,8,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
225,11,18414,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
226,10,16813,8,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
227,8,17543,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
228,6,18332,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
229,5,18331,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
230,4,16813,8,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
231,3,19398,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
232,2,16547,8,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
233,155,17290,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
234,154,16704,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
235,153,19133,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
236,152,19133,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
237,151,18136,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
238,150,17528,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
239,148,16778,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
240,146,16603,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
241,145,17916,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
242,144,18786,7,6.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
243,143,16603,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
244,142,19063,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
245,140,17196,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
246,139,18580,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
247,138,18610,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
248,136,18057,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
249,135,19134,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
250,134,18817,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
251,133,18217,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
252,132,18215,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
253,131,18116,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
254,130,16748,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
255,129,16540,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
256,128,18116,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
257,127,18057,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
258,126,19245,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
259,125,17674,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
260,124,17674,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
261,123,17529,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
262,122,18057,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
263,121,18210,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
264,120,17674,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
265,119,18992,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
266,118,16879,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
267,117,16603,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
268,116,18621,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
269,115,18118,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
270,114,18110,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
271,113,16525,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
272,112,16603,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
273,111,16603,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
274,110,16603,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
275,109,18752,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
276,108,18752,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
277,106,18752,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
278,105,17289,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
279,104,17289,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
280,103,16525,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
281,102,16523,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
282,101,19039,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
283,100,17821,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
284,99,17833,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
285,98,18513,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
286,97,17832,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
287,96,16525,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
288,95,16599,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
289,94,16525,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
290,93,18497,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
291,92,18661,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
292,91,18665,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
293,90,18664,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
294,89,18664,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
295,88,18664,7,14.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
296,87,18663,7,8.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
297,86,18662,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
298,85,18673,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
299,84,18670,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
300,83,16900,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
301,82,16900,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
302,81,16519,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
303,80,18445,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
304,79,18445,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
305,78,16519,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
306,77,16897,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
307,76,16519,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
308,75,17470,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
309,73,16519,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
310,72,16519,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
311,71,17470,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
312,70,17470,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
313,69,17190,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
314,68,17190,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
315,67,17190,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
316,66,17190,7,14.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
