kgid,mkgid,RKod,Asorti,Miktar,insUN,insDT,insApp,updUN,updDT,updApp
32,118,16725,A02,1.0000000000,yulya,2024-10-28 09:53:47.393000,KGShop,,,
33,119,18786,A01,3.0000000000,yulya,2024-10-28 09:54:35.293000,KGShop,,,
34,120,17683,A01,3.0000000000,yulya,2024-10-28 09:55:21.587000,KGShop,,,
35,121,18237,A02,1.0000000000,yulya,2024-10-28 09:56:47.170000,KGShop,,,
36,122,19136,A01,1.0000000000,yulya,2024-10-28 09:56:47.170000,KGShop,,,
37,123,18217,A01,1.0000000000,yulya,2024-10-28 10:00:47.097000,KGShop,,,
38,123,18817,A045,1.0000000000,yulya,2024-10-28 10:00:47.100000,KGShop,,,
39,124,18663,A01,2.0000000000,yulya,2024-10-28 13:03:07.003000,KGShop,,,
40,126,18445,A01,1.0000000000,yulya,2024-10-29 11:06:37.300000,KGShop,,,
41,127,16519,A01,1.0000000000,yulya,2024-10-29 11:06:37.320000,KGShop,,,
42,128,17999,A02,1.0000000000,yulya,2024-10-29 11:08:41.590000,KGShop,,,
43,129,17470,A02,1.0000000000,yulya,2024-10-29 11:08:41.590000,KGShop,,,
44,130,17683,A060,1.0000000000,yulya,2024-10-30 11:01:13.367000,KGShop,,,
45,131,17683,A01,1.0000000000,yulya,2024-10-30 11:01:37.613000,KGShop,,,
46,132,16525,A01,1.0000000000,yulya,2024-10-30 11:03:32.937000,KGShop,,,
47,133,17505,A02,1.0000000000,yulya,2024-10-30 11:05:29.693000,KGShop,,,
48,134,17505,A01,2.0000000000,yulya,2024-10-30 11:05:29.710000,KGShop,,,
49,135,16519,A01,1.0000000000,yulya,2024-10-30 11:05:29.717000,KGShop,,,
50,136,18237,A01,1.0000000000,yulya,2024-10-30 11:07:25.567000,KGShop,,,
51,136,18247,A01,1.0000000000,yulya,2024-10-30 11:07:25.583000,KGShop,,,
52,137,16879,A01,2.0000000000,yulya,2024-10-30 17:57:59.513000,KGShop,,,
53,138,18992,A01,1.0000000000,yulya,2024-10-30 17:57:59.530000,KGShop,,,
54,139,17683,A686,1.0000000000,yulya,2024-10-31 15:18:40.290000,KGShop,,,
55,140,18664,A01,1.0000000000,yulya,2024-10-31 15:20:51.127000,KGShop,,,
56,141,16525,A02,1.0000000000,yulya,2024-10-31 15:22:30.507000,KGShop,,,
57,141,16523,A054,1.0000000000,yulya,2024-10-31 15:22:30.510000,KGShop,,,
58,142,16784,A704,1.0000000000,yulya,2024-10-31 15:23:28.293000,KGShop,,,
59,143,17683,A688,1.0000000000,yulya,2024-11-01 17:55:50.467000,KGShop,,,
60,144,18247,A01,1.0000000000,yulya,2024-11-01 17:56:52.940000,KGShop,,,
61,145,18664,A01,3.0000000000,yulya,2024-11-04 17:38:33.820000,KGShop,,,
62,147,18664,A01,1.0000000000,yulya,2024-11-04 17:38:33.853000,KGShop,,,
63,146,17190,A01,5.0000000000,yulya,2024-11-04 17:38:33.860000,KGShop,,,
64,148,17190,A02,1.0000000000,yulya,2024-11-04 17:38:33.860000,KGShop,,,
66,150,18610,A682,1.0000000000,yulya,2024-11-05 13:08:26.860000,KGShop,,,
67,151,18610,A574,1.0000000000,yulya,2024-11-05 13:08:27.477000,KGShop,,,
68,152,19398,A593,1.0000000000,yulya,2024-11-05 13:09:45.917000,KGShop,,,
69,152,16547,A593,1.0000000000,yulya,2024-11-05 13:09:45.917000,KGShop,,,
70,153,16519,A01,1.0000000000,yulya,2024-11-05 17:33:24.630000,KGShop,,,
71,154,17683,A058,2.0000000000,yulya,2024-11-06 10:01:40.510000,KGShop,,,
72,155,17683,A694,1.0000000000,yulya,2024-11-06 10:01:57.237000,KGShop,,,
73,156,16603,A01,1.0000000000,yulya,2024-11-07 10:33:38.147000,KGShop,,,
74,157,16603,A058,1.0000000000,yulya,2024-11-07 10:34:46.297000,KGShop,,,
75,157,16545,A143,1.0000000000,yulya,2024-11-07 10:34:46.297000,KGShop,,,
76,158,18715,A143,1.0000000000,yulya,2024-11-07 10:34:46.353000,KGShop,,,
77,158,18714,A058,1.0000000000,yulya,2024-11-07 10:34:46.353000,KGShop,,,
78,159,18806,A01,1.0000000000,yulya,2024-11-07 10:36:47.500000,KGShop,,,
79,160,17833,A01,1.0000000000,yulya,2024-11-07 10:38:07.590000,KGShop,,,
80,161,18700,A01,1.0000000000,yulya,2024-11-07 15:40:00.840000,KGShop,,,
81,162,18691,A01,1.0000000000,yulya,2024-11-07 15:41:48.730000,KGShop,,,
82,163,16725,A01,1.0000000000,yulya,2024-11-07 15:42:34.350000,KGShop,,,
86,167,16813,A423,1.0000000000,yulya,2024-11-08 10:21:09.247000,KGShop,,,
87,168,16813,A679,1.0000000000,yulya,2024-11-08 10:21:09.393000,KGShop,,,
88,169,18332,A01,1.0000000000,yulya,2024-11-08 10:21:09.447000,KGShop,,,
89,170,19505,A121,1.0000000000,yulya,2024-11-08 10:21:26.910000,KGShop,,,
90,171,17683,A492,1.0000000000,yulya,2024-11-08 10:22:17.977000,KGShop,,,
91,172,17253,A01,1.0000000000,yulya,2024-11-08 10:32:24.890000,KGShop,,,
92,173,18752,A706,1.0000000000,yulya,2024-11-08 10:34:13.660000,KGShop,,,
93,174,18752,A299,1.0000000000,yulya,2024-11-08 10:34:13.687000,KGShop,,,
94,175,16603,A347,1.0000000000,yulya,2024-11-08 10:35:02.283000,KGShop,,,
95,176,17290,A01,1.0000000000,yulya,2024-11-08 13:42:59.753000,KGShop,,,
96,176,16704,A01,1.0000000000,yulya,2024-11-08 13:42:59.753000,KGShop,,,
97,177,18661,A01,1.0000000000,yulya,2024-11-12 12:30:09.113000,KGShop,,,
98,178,17756,A01,1.0000000000,yulya,2024-11-13 15:55:46.790000,KGShop,,,
99,179,17529,A058,1.0000000000,yulya,2024-11-13 15:56:50.080000,KGShop,,,
100,180,17470,A524,1.0000000000,yulya,2024-11-13 15:58:14.123000,KGShop,,,
101,181,17190,A01,1.0000000000,yulya,2024-11-13 16:00:31.340000,KGShop,,,
102,182,18663,A01,1.0000000000,yulya,2024-11-13 16:00:31.367000,KGShop,,,
104,184,18331,A01,1.0000000000,yulya,2024-11-14 11:00:16.090000,KGShop,,,
105,185,18414,A01,1.0000000000,yulya,2024-11-14 11:00:16.527000,KGShop,,,
106,186,17543,A700,1.0000000000,yulya,2024-11-14 11:00:42.613000,KGShop,,,
107,187,17543,A698,1.0000000000,yulya,2024-11-14 11:00:42.650000,KGShop,,,
110,191,18116,A01,1.0000000000,yulya,2024-11-14 11:10:46.703000,KGShop,,,
112,193,16525,A720,1.0000000000,yulya,2024-11-14 12:30:01.560000,KGShop,,,
113,194,17683,A01,2.0000000000,yulya,2024-11-14 12:30:01.567000,KGShop,,,
114,196,16519,A192,1.0000000000,yulya,2024-11-15 10:05:42.797000,KGShop,,,
115,197,19063,A336,1.0000000000,yulya,2024-11-15 10:15:10.050000,KGShop,,,
116,198,19063,A427,1.0000000000,yulya,2024-11-15 10:15:10.107000,KGShop,,,
117,199,17196,A702,1.0000000000,yulya,2024-11-15 10:15:41.297000,KGShop,,,
118,200,18959,A174,1.0000000000,yulya,2024-11-18 10:03:34.220000,KGShop,,,
119,201,18057,A01,1.0000000000,yulya,2024-11-18 10:05:28.060000,KGShop,,,
120,202,19245,A01,1.0000000000,yulya,2024-11-18 10:06:01.273000,KGShop,,,
121,203,18110,A058,1.0000000000,yulya,2024-11-19 12:32:39.097000,KGShop,,,
122,203,16525,A143,1.0000000000,yulya,2024-11-19 12:32:39.097000,KGShop,,,
123,204,18621,A01,1.0000000000,yulya,2024-11-19 12:32:39.500000,KGShop,,,
124,205,18445,A708,1.0000000000,yulya,2024-11-19 12:34:44.350000,KGShop,,,
125,206,17470,A708,1.0000000000,yulya,2024-11-19 12:35:06.783000,KGShop,,,
126,207,16603,A201,1.0000000000,yulya,2024-11-20 10:14:03.030000,KGShop,,,
127,208,16603,A201,1.0000000000,yulya,2024-11-20 10:14:03.740000,KGShop,,,
128,209,18497,A01,1.0000000000,yulya,2024-11-20 10:14:52.337000,KGShop,,,
129,210,18210,A01,1.0000000000,yulya,2024-11-20 10:15:24.833000,KGShop,,,
130,211,19134,A01,1.0000000000,yulya,2024-11-20 10:15:24.860000,KGShop,,,
131,212,16603,A172,1.0000000000,yulya,2024-11-20 10:16:15.120000,KGShop,,,
132,213,18690,A316,1.0000000000,yulya,2024-11-20 10:16:35.080000,KGShop,,,
133,214,16603,A01,1.0000000000,yulya,2024-11-20 10:16:35.110000,KGShop,,,
134,215,17683,A712,1.0000000000,yulya,2024-11-21 10:19:47.037000,KGShop,,,
135,216,18098,A01,1.0000000000,yulya,2024-11-21 10:28:19.853000,KGShop,,,
136,217,16784,A01,1.0000000000,yulya,2024-11-22 10:49:53.600000,KGShop,,,
137,218,18663,A01,1.0000000000,yulya,2024-11-22 10:53:28.293000,KGShop,,,
138,219,19039,A441,1.0000000000,yulya,2024-11-22 10:55:06.473000,KGShop,,,
139,220,18752,A710,1.0000000000,yulya,2024-11-22 10:55:36.937000,KGShop,,,
140,221,18752,A361,1.0000000000,yulya,2024-11-22 10:55:36.967000,KGShop,,,
141,222,17289,A716,1.0000000000,yulya,2024-11-22 11:01:34.190000,KGShop,,,
142,223,16778,A387,1.0000000000,yulya,2024-11-22 18:08:48.753000,KGShop,,,
143,224,16778,A261,1.0000000000,yulya,2024-11-22 18:08:48.787000,KGShop,,,
144,225,18513,A01,1.0000000000,yulya,2024-11-25 10:35:32.620000,KGShop,,,
145,226,17190,A201,1.0000000000,yulya,2024-11-28 10:14:18.090000,KGShop,,,
146,227,17190,A387,1.0000000000,yulya,2024-11-28 10:14:28.710000,KGShop,,,
147,228,16784,A01,1.0000000000,yulya,2024-11-28 10:33:16.770000,KGShop,,,
148,229,17674,A01,1.0000000000,yulya,2024-11-28 10:34:14.867000,KGShop,,,
149,230,17674,A058,1.0000000000,yulya,2024-11-28 10:34:14.897000,KGShop,,,
150,231,18116,A143,1.0000000000,yulya,2024-11-28 10:34:14.947000,KGShop,,,
151,232,18057,A058,1.0000000000,yulya,2024-11-28 10:34:15,KGShop,,,
152,233,17674,A01,1.0000000000,yulya,2024-11-28 10:35:19.967000,KGShop,,,
159,239,18664,A201,1.0000000000,yulya,2024-11-29 10:11:24.103000,KGShop,,,
160,240,19444,A01,1.0000000000,yulya,2024-11-29 10:12:15.903000,KGShop,,,
161,241,17125,A01,1.0000000000,yulya,2024-11-29 10:12:15.933000,KGShop,,,
162,242,18670,A01,1.0000000000,yulya,2024-11-29 18:21:41.853000,KGShop,,,
163,243,18632,A557,1.0000000000,yulya,2024-12-05 10:29:00.137000,KGShop,,,
164,243,16603,A557,1.0000000000,yulya,2024-12-05 10:29:00.137000,KGShop,,,
165,245,17916,A650,1.0000000000,yulya,2024-12-05 10:31:31.240000,KGShop,,,
166,246,18057,A039,1.0000000000,yulya,2024-12-06 09:55:16.890000,KGShop,,,
175,251,16540,A02,2.0000000000,yulya,2024-12-10 10:11:10.540000,KGShop,,,
176,251,16748,A01,2.0000000000,yulya,2024-12-10 10:11:10.567000,KGShop,,,
177,252,16603,A242,1.0000000000,yulya,2024-12-10 16:14:21.173000,KGShop,,,
183,256,17813,A268,1.0000000000,yulya,2024-12-18 10:18:39.953000,KGShop,,,
184,258,18806,A644,2.0000000000,yulya,2024-12-18 10:36:42.973000,KGShop,,,
185,258,16599,A644,2.0000000000,yulya,2024-12-18 10:36:42.973000,KGShop,,,
186,260,18806,A644,2.0000000000,yulya,2024-12-19 10:31:26.683000,KGShop,,,
187,260,16599,A644,2.0000000000,yulya,2024-12-19 10:31:26.683000,KGShop,,,
188,261,19444,A01,1.0000000000,yulya,2024-12-19 10:32:12.663000,KGShop,,,
189,262,17125,A01,1.0000000000,yulya,2024-12-19 10:32:12.697000,KGShop,,,
190,263,17813,A268,1.0000000000,yulya,2024-12-19 10:32:12.737000,KGShop,,,
191,266,16742,A155,1.0000000000,yulya,2024-12-26 10:34:59.037000,KGShop,,,
192,267,16548,A033,1.0000000000,yulya,2024-12-26 10:36:23.213000,KGShop,,,
193,268,16742,A155,1.0000000000,yulya,2024-12-26 12:06:55.927000,KGShop,,,
194,269,16548,A033,1.0000000000,yulya,2024-12-26 12:07:08.267000,KGShop,,,
195,270,17926,A174,1.0000000000,yulya,2024-12-27 11:30:23.890000,KGShop,,,
196,271,18664,A01,1.0000000000,yulya,2025-01-08 10:17:17.380000,KGShop,,,
197,272,16784,A179,1.0000000000,yulya,2025-01-08 17:55:36.920000,,,,
198,273,17289,A174,1.0000000000,yulya,2025-01-08 17:56:24.497000,,,,
199,274,16788,A157,1.0000000000,yulya,2025-01-08 17:56:32.140000,,,,
200,275,16788,A038,1.0000000000,yulya,2025-01-08 17:56:37.163000,,,,
201,276,17077,A038,1.0000000000,yulya,2025-01-08 17:56:42.220000,,,,
202,277,16785,A278,1.0000000000,yulya,2025-01-08 17:56:58.850000,,,,
203,278,16789,A01,1.0000000000,yulya,2025-01-08 17:57:04.380000,,,,
204,279,16784,A174,1.0000000000,yulya,2025-01-08 17:57:12.597000,,,,
205,280,18097,A01,1.0000000000,yulya,2025-01-08 17:57:16.630000,,,,
206,281,19135,A174,1.0000000000,yulya,2025-01-08 17:57:21.180000,,,,
207,282,16599,A01,1.0000000000,yulya,2025-01-08 17:57:33.017000,,,,
208,283,16548,A01,1.0000000000,yulya,2025-01-08 17:57:37.530000,,,,
209,284,16792,A143,1.0000000000,yulya,2025-01-08 18:12:14.393000,,,,
210,285,17126,A143,1.0000000000,yulya,2025-01-08 18:12:29.540000,,,,
211,286,16524,A034,1.0000000000,yulya,2025-01-08 18:12:39.153000,,,,
212,287,18173,A01,1.0000000000,yulya,2025-01-08 18:12:51.910000,,,,
213,288,17848,A202,1.0000000000,yulya,2025-01-08 18:13:07.810000,,,,
214,289,18806,A034,1.0000000000,yulya,2025-01-08 18:13:21.523000,,,,
215,290,18806,A034,1.0000000000,yulya,2025-01-08 18:13:30.110000,,,,
216,291,17848,A202,1.0000000000,yulya,2025-01-08 18:13:40.243000,,,,
217,292,18806,A083,1.0000000000,yulya,2025-01-08 18:13:48.363000,,,,
218,293,18806,A083,1.0000000000,yulya,2025-01-08 18:13:58.453000,,,,
219,294,16523,A047,1.0000000000,yulya,2025-01-08 18:15:23.970000,,,,
220,295,17833,A111,1.0000000000,yulya,2025-01-08 18:17:46.740000,,,,
221,296,17841,A111,1.0000000000,yulya,2025-01-08 18:18:07.567000,,,,
222,297,17833,A111,1.0000000000,yulya,2025-01-08 18:18:15.230000,,,,
223,298,17832,A111,1.0000000000,yulya,2025-01-08 18:18:34.020000,,,,
226,301,17369,A01,1.0000000000,yulya,2025-01-09 10:21:05.357000,KGShop,,,
227,302,17369,A034,1.0000000000,yulya,2025-01-09 10:21:28.217000,KGShop,,,
228,303,17534,A01,1.0000000000,yulya,2025-01-09 10:26:38.340000,KGShop,,,
229,303,16525,A01,1.0000000000,yulya,2025-01-09 10:26:38.340000,KGShop,,,
230,304,20287,A01,2.0000000000,yulya,2025-01-13 17:55:04.003000,KGShop,,,
231,304,20288,A01,2.0000000000,yulya,2025-01-13 17:55:04.027000,KGShop,,,
232,304,17927,A01,2.0000000000,yulya,2025-01-13 17:55:04.030000,KGShop,,,
233,304,16725,A01,2.0000000000,yulya,2025-01-13 17:55:04.033000,KGShop,,,
234,304,18823,A01,2.0000000000,yulya,2025-01-13 17:55:04.033000,KGShop,,,
235,305,20288,A01,1.0000000000,yulya,2025-01-14 10:52:47.340000,KGShop,,,
236,305,18823,A01,1.0000000000,yulya,2025-01-14 10:52:47.340000,KGShop,,,
237,306,17841,A111,1.0000000000,Depo,2025-01-14 11:41:32.730000,,,,
238,307,17833,A111,1.0000000000,Depo,2025-01-14 11:41:41.163000,,,,
239,308,17832,A111,1.0000000000,Depo,2025-01-14 11:41:44.697000,,,,
240,309,17833,A111,1.0000000000,Depo,2025-01-14 11:41:48.273000,,,,
241,310,20288,A01,1.0000000000,yulya,2025-01-14 11:55:10.897000,KGShop,,,
242,310,20287,A01,1.0000000000,yulya,2025-01-14 11:55:10.897000,KGShop,,,
243,310,18823,A01,1.0000000000,yulya,2025-01-14 11:55:10.897000,KGShop,,,
244,311,17289,A174,1.0000000000,Depo,2025-01-14 12:49:48.410000,,,,
245,312,16784,A174,1.0000000000,Depo,2025-01-14 12:49:59.007000,,,,
246,313,19135,A174,1.0000000000,Depo,2025-01-14 12:50:02.020000,,,,
247,314,17926,A174,1.0000000000,Depo,2025-01-14 12:50:26.547000,,,,
248,315,18097,A01,1.0000000000,Depo,2025-01-14 13:40:29.290000,,,,
249,316,16599,A01,1.0000000000,Depo,2025-01-14 13:40:36.747000,,,,
250,317,17077,A038,1.0000000000,Depo,2025-01-14 13:40:41.800000,,,,
251,318,16548,A01,1.0000000000,Depo,2025-01-14 13:40:44.900000,,,,
252,319,16785,A278,1.0000000000,Depo,2025-01-14 13:40:48.960000,,,,
253,320,16788,A038,1.0000000000,Depo,2025-01-14 13:41:01.123000,,,,
254,321,17369,A034,1.0000000000,Depo,2025-01-14 14:30:50.973000,,,,
255,322,17369,A01,1.0000000000,Depo,2025-01-14 14:30:55.477000,,,,
256,323,16792,A143,1.0000000000,Depo,2025-01-14 14:30:58.530000,,,,
257,324,17126,A143,1.0000000000,Depo,2025-01-14 14:31:01.580000,,,,
258,325,16524,A034,1.0000000000,Depo,2025-01-14 14:31:04.167000,,,,
259,326,18173,A01,1.0000000000,Depo,2025-01-14 14:31:06.143000,,,,
260,327,17534,A01,1.0000000000,Depo,2025-01-14 14:31:15.430000,,,,
261,328,16525,A01,1.0000000000,Depo,2025-01-14 14:31:16.943000,,,,
262,329,16603,A01,1.0000000000,yulya,2025-01-14 16:12:40.203000,KGShop,,,
263,330,16784,A01,1.0000000000,yulya,2025-01-14 16:48:02.910000,,,,
264,331,16784,A01,1.0000000000,yulya,2025-01-14 16:48:06.810000,,,,
265,332,16778,A156,1.0000000000,yulya,2025-01-14 16:48:18.563000,,,,
267,334,16599,A728,1.0000000000,yulya,2025-01-14 17:00:23.383000,KGShop,,,
268,335,16784,A01,1.0000000000,Depo,2025-01-14 17:24:36.990000,,,,
269,336,16784,A01,1.0000000000,Depo,2025-01-14 17:24:38.987000,,,,
270,337,16784,A179,1.0000000000,Depo,2025-01-14 18:09:56.043000,,,,
271,338,16778,A156,1.0000000000,Depo,2025-01-14 18:10:03.540000,,,,
272,339,16788,A157,1.0000000000,Depo,2025-01-14 18:10:06.120000,,,,
273,340,16789,A01,1.0000000000,Depo,2025-01-14 18:10:08.160000,,,,
274,341,16523,A047,1.0000000000,Depo,2025-01-14 18:10:10.207000,,,,
275,342,17848,A202,1.0000000000,Depo,2025-01-14 18:38:10.610000,,,,
276,343,18806,A083,1.0000000000,Depo,2025-01-14 18:38:18.143000,,,,
277,344,17848,A202,1.0000000000,Depo,2025-01-14 18:41:29.253000,,,,
278,345,18806,A034,1.0000000000,Depo,2025-01-14 18:41:41.413000,,,,
279,346,18806,A034,1.0000000000,Depo,2025-01-14 18:41:49.010000,,,,
280,347,18806,A083,1.0000000000,Depo,2025-01-14 18:47:21.990000,,,,
281,348,16577,A01,1.0000000000,yulya,2025-01-16 14:38:10.673000,,,,
282,349,16784,A01,1.0000000000,yulya,2025-01-16 14:38:14.527000,,,,
283,350,16784,A047,1.0000000000,yulya,2025-01-16 14:38:15.480000,,,,
284,351,16792,A01,1.0000000000,yulya,2025-01-16 14:38:18.537000,,,,
285,352,16551,A034,1.0000000000,yulya,2025-01-16 14:38:29.120000,,,,
286,353,16545,A01,1.0000000000,yulya,2025-01-16 14:38:35.233000,,,,
287,354,16525,A01,1.0000000000,yulya,2025-01-16 14:38:45.810000,,,,
288,355,16525,A01,1.0000000000,yulya,2025-01-16 14:38:47.833000,,,,
289,356,18784,A01,1.0000000000,yulya,2025-01-16 14:38:51.330000,,,,
290,357,16525,A034,1.0000000000,yulya,2025-01-16 14:38:53.380000,,,,
291,358,16528,A01,1.0000000000,yulya,2025-01-16 14:38:58.137000,,,,
292,359,16792,A01,1.0000000000,yulya,2025-01-16 14:39:03.500000,,,,
293,360,19938,A01,1.0000000000,yulya,2025-01-16 14:39:06.067000,,,,
294,361,18718,A01,1.0000000000,yulya,2025-01-16 14:39:08.543000,,,,
295,362,18078,A01,1.0000000000,yulya,2025-01-16 14:39:11.077000,,,,
296,363,18726,A053,1.0000000000,yulya,2025-01-16 14:39:14.660000,,,,
297,364,16525,A01,1.0000000000,yulya,2025-01-16 14:39:22.220000,,,,
298,365,19466,A01,1.0000000000,yulya,2025-01-16 14:39:39.023000,,,,
299,366,17400,A750,1.0000000000,yulya,2025-01-16 14:39:40.453000,,,,
300,367,16603,A02,1.0000000000,yulya,2025-01-16 14:39:42.530000,,,,
301,368,20287,A01,1.0000000000,yulya,2025-01-16 15:36:36.840000,KGShop,,,
302,368,17927,A01,1.0000000000,yulya,2025-01-16 15:36:36.840000,KGShop,,,
303,369,16784,A01,1.0000000000,Depo,2025-01-16 15:47:23.103000,,,,
304,370,16577,A01,1.0000000000,Depo,2025-01-16 15:47:26.073000,,,,
305,371,16784,A047,1.0000000000,Depo,2025-01-16 15:47:31.113000,,,,
306,372,16792,A01,1.0000000000,Depo,2025-01-16 15:47:34.107000,,,,
307,373,16551,A034,1.0000000000,Depo,2025-01-16 16:07:37.880000,,,,
308,374,16545,A01,1.0000000000,Depo,2025-01-16 16:07:39.920000,,,,
309,375,16525,A01,1.0000000000,Depo,2025-01-16 16:07:42.400000,,,,
310,376,16525,A01,1.0000000000,Depo,2025-01-16 16:07:43.907000,,,,
311,377,18784,A01,1.0000000000,Depo,2025-01-16 16:07:46.430000,,,,
312,378,16525,A034,1.0000000000,Depo,2025-01-16 16:07:50.997000,,,,
313,379,16528,A01,1.0000000000,Depo,2025-01-16 16:07:54.037000,,,,
314,380,16792,A01,1.0000000000,Depo,2025-01-16 16:07:56.047000,,,,
315,381,19938,A01,1.0000000000,Depo,2025-01-16 16:07:57.563000,,,,
316,382,18718,A01,1.0000000000,Depo,2025-01-16 16:07:59.583000,,,,
317,383,18078,A01,1.0000000000,Depo,2025-01-16 16:08:10.133000,,,,
318,384,18726,A053,1.0000000000,Depo,2025-01-16 16:08:12.730000,,,,
319,385,16525,A01,1.0000000000,Depo,2025-01-16 16:08:22.290000,,,,
320,386,18217,A01,1.0000000000,yulya,2025-01-16 18:24:28.450000,,,,
321,387,18116,A01,1.0000000000,yulya,2025-01-16 18:27:38.210000,,,,
322,388,16748,A744,1.0000000000,yulya,2025-01-16 18:27:46.807000,,,,
323,389,18217,A01,1.0000000000,Depo,2025-01-17 10:45:49.780000,,,,
324,390,18664,A01,1.0000000000,Depo,2025-01-17 10:46:00.910000,,,,
325,391,20368,A01,1.0000000000,yulya,2025-01-17 10:49:52.800000,KGShop,,,
326,392,20369,A01,1.0000000000,yulya,2025-01-17 10:49:52.837000,KGShop,,,
327,393,19368,A01,1.0000000000,yulya,2025-01-17 10:49:52.840000,KGShop,,,
328,394,19368,A01,1.0000000000,yulya,2025-01-17 10:49:52.847000,KGShop,,,
329,395,20370,A01,1.0000000000,yulya,2025-01-17 10:49:52.847000,KGShop,,,
330,396,19361,A01,1.0000000000,yulya,2025-01-17 10:49:52.850000,KGShop,,,
331,397,19376,A01,1.0000000000,yulya,2025-01-17 10:49:52.850000,KGShop,,,
332,397,19363,A01,1.0000000000,yulya,2025-01-17 10:49:52.853000,KGShop,,,
333,397,19378,A01,1.0000000000,yulya,2025-01-17 10:49:52.857000,KGShop,,,
334,398,19366,A01,1.0000000000,yulya,2025-01-17 10:49:52.860000,KGShop,,,
335,398,19367,A01,1.0000000000,yulya,2025-01-17 10:49:52.860000,KGShop,,,
336,399,19358,A01,1.0000000000,yulya,2025-01-17 10:49:52.863000,KGShop,,,
337,400,19361,A01,1.0000000000,yulya,2025-01-17 10:49:52.863000,KGShop,,,
338,401,19365,A01,1.0000000000,yulya,2025-01-17 10:49:52.867000,KGShop,,,
339,402,17811,A497,1.0000000000,yulya,2025-01-18 11:49:52.487000,,,,
340,403,16570,A01,1.0000000000,yulya,2025-01-18 13:20:27.263000,,,,
341,404,16599,A01,1.0000000000,yulya,2025-01-20 18:21:32.860000,,,,
342,405,16549,A01,1.0000000000,yulya,2025-01-20 18:21:43.250000,,,,
343,406,17136,A01,1.0000000000,yulya,2025-01-20 18:21:51.340000,,,,
344,407,17926,A01,1.0000000000,yulya,2025-01-20 18:21:58.763000,,,,
345,408,19466,A082,1.0000000000,yulya,2025-01-20 18:22:03.760000,,,,
346,409,16576,A01,1.0000000000,yulya,2025-01-20 18:22:08.823000,,,,
347,410,16792,A034,1.0000000000,yulya,2025-01-20 18:22:13.960000,,,,
348,411,19466,A01,1.0000000000,yulya,2025-01-20 18:22:18.903000,,,,
349,412,16792,A01,1.0000000000,yulya,2025-01-20 18:22:24.483000,,,,
350,413,16792,A01,1.0000000000,yulya,2025-01-20 18:22:29.063000,,,,
351,414,19973,A037,1.0000000000,yulya,2025-01-20 18:22:33.150000,,,,
352,415,19972,A037,1.0000000000,yulya,2025-01-20 18:22:39.133000,,,,
353,416,16532,A143,1.0000000000,yulya,2025-01-21 12:08:52.900000,,,,
354,417,16768,A143,1.0000000000,yulya,2025-01-21 12:09:12.937000,,,,
355,418,16768,A143,1.0000000000,Depo,2025-01-21 15:58:13.110000,,,,
356,419,16792,A034,1.0000000000,Depo,2025-01-21 15:58:18.110000,,,,
