Bolum,FisTur,FisTip,HareketNo,EvrakNo,EvrakNo2,DeleteUN,DeleteDT,EvrakNo3,FisTar,kgid
CK,,,0,120.008,,yulya,2023-11-21 11:46:23.757000,,2023-10-24 00:00:00,29
CK,,,0,120.009,,yulya,2023-11-21 11:46:30.750000,,2023-10-24 00:00:00,30
CK,,,0,120.0444,,yulya,2024-01-15 11:40:31.897000,,2024-01-15 00:00:00,31
CK,,,0,120.170,,yulya,2024-12-24 12:04:10.763000,,2024-12-17 00:00:00,2382
CK,,,0,120.173,,yulya,2024-12-26 17:18:03.827000,,2024-12-26 00:00:00,2387
CK,,,0,150,,yulya,2024-07-03 16:10:28.233000,,2024-07-03 00:00:00,32
CK,,,0,320.001,,yulya,2023-09-25 11:47:03.910000,,2023-09-18 00:00:00,33
CK,,,0,320.033,,yulya,2024-01-17 10:20:32.997000,,2023-09-29 00:00:00,34
CK,,,0,320.053,,yulya,2024-02-20 18:16:12.900000,,2023-09-29 00:00:00,35
CK,,,0,320.055,,yulya,2024-06-04 13:37:29.297000,,2023-09-29 00:00:00,36
CK,,,0,320.139,,yulya,2025-05-30 11:09:46.940000,,2023-09-29 00:00:00,2541
CK,,,0,320.140,,yulya,2024-02-09 09:28:53.263000,,2023-09-29 00:00:00,37
CK,,,0,320.146,,yulya,2024-05-28 15:43:32.313000,,2023-09-29 00:00:00,38
CK,,,0,320.163,,yulya,2024-01-15 09:34:26.877000,,2023-09-29 00:00:00,39
CK,,,0,320.189,,yulya,2023-12-08 15:21:36.123000,,2023-09-29 00:00:00,40
CK,,,0,320.200,,yulya,2025-02-18 14:55:22.613000,,2023-09-29 00:00:00,2435
CK,,,0,320.231,,yulya,2024-06-12 14:51:23.220000,,2023-11-21 00:00:00,41
CK,,,0,320.233,,yulya,2024-06-12 14:52:43.740000,,2023-11-21 00:00:00,42
CK,,,0,320.234,,yulya,2024-06-12 14:52:30.230000,,2023-11-21 00:00:00,43
CK,,,0,320.235,,yulya,2024-06-12 14:52:14.597000,,2023-11-21 00:00:00,44
CK,,,0,320.236,,yulya,2023-11-21 14:24:09.233000,,2023-11-21 00:00:00,45
CK,,,0,320.237,,yulya,2024-06-12 14:50:26.560000,,2023-11-21 00:00:00,46
CK,,,0,320.241,,yulya,2024-06-12 14:50:40.530000,,2023-11-21 00:00:00,47
CK,,,0,320.242,,yulya,2024-06-12 14:50:48.350000,,2023-11-21 00:00:00,48
CK,,,0,320.243,,yulya,2024-06-12 14:51:52.547000,,2023-11-21 00:00:00,49
CK,,,0,320.244,,yulya,2024-06-12 14:50:00.287000,,2023-11-21 00:00:00,50
CK,,,0,320.245,,yulya,2024-06-12 14:47:38.970000,,2023-11-21 00:00:00,51
CK,,,0,320.246,,yulya,2024-01-30 10:12:53.503000,,2023-11-21 00:00:00,52
CK,,,0,320.247,,yulya,2024-06-12 14:49:40.160000,,2023-11-21 00:00:00,53
CK,,,0,320.248,,yulya,2024-06-12 14:48:39.650000,,2023-11-21 00:00:00,54
CK,,,0,320.249,,yulya,2024-06-12 14:48:12.293000,,2023-11-21 00:00:00,55
CK,,,0,320.251,,yulya,2024-06-12 14:49:18.180000,,2023-11-21 00:00:00,56
CK,,,0,320.275,,yulya,2025-01-10 15:17:11.623000,,2025-01-10 00:00:00,2400
CK,,,0,asd,,yulya,2023-09-18 15:10:22.610000,,2023-09-18 00:00:00,57
CSB,,M,1,0000000001,1230231,yulya,2024-10-28 17:57:24.287000,,2024-10-28 00:00:00,2141
F,f,fai,570,,,yulya,2025-02-26 17:36:15.437000,,2025-02-26 17:00:08,2452
F,f,fal,2,,,yulya,2023-09-25 11:03:02.190000,,2023-09-25 11:00:55.717000,58
F,f,fal,3,,,yulya,2023-09-25 11:09:45.150000,,2023-09-25 11:08:28.710000,59
F,f,fal,4,1,,yulya,2023-09-25 11:09:04.147000,,2023-09-25 11:08:51.383000,60
F,f,fal,5,,,yulya,2023-09-25 11:11:49.523000,,2023-09-25 11:10:10,61
F,f,fal,6,,,yulya,2023-09-25 11:46:22.117000,,2023-09-25 11:36:30,62
F,f,fal,7,,,yulya,2023-10-24 11:22:59.317000,,2023-10-24 11:17:54,63
F,f,fal,8,,,yulya,2023-10-24 11:53:32.970000,,2023-10-24 11:51:25.143000,64
F,f,fal,9,,,yulya,2023-11-21 11:43:23.070000,,2023-11-21 11:42:51,65
F,f,fal,10,,,yulya,2023-11-21 13:03:08.403000,,2023-11-21 13:02:23.477000,66
F,f,fal,12,,,yulya,2024-10-18 09:45:45.457000,,2023-12-12 13:53:54,67
F,f,fal,13,1,,yulya,2024-10-18 09:39:31.233000,,2023-12-14 12:59:48,68
F,f,fal,14,2,,yulya,2024-10-18 09:41:39.350000,,2023-12-14 13:12:47,69
F,f,fal,15,3,,yulya,2024-10-18 09:39:38.053000,,2023-12-14 13:34:44,70
F,f,fal,16,4,,yulya,2024-10-18 09:43:18.473000,,2023-12-14 13:47:08,71
F,f,fal,17,29165,,yulya,2024-10-18 09:41:22.860000,,2023-12-18 15:34:02,72
F,f,fal,25,,,yulya,2024-10-18 09:40:48.263000,,2024-04-30 11:09:49,73
F,f,fal,26,,,yulya,2024-10-18 09:40:31.883000,,2024-04-30 11:12:50,74
F,f,fal,30,,,yulya,2024-10-18 09:44:23.017000,,2024-04-30 11:42:49,75
F,f,fal,31,,,yulya,2024-10-18 09:43:00.860000,,2024-04-30 11:44:19,76
F,f,fal,32,,,yulya,2024-10-18 09:39:56.500000,,2024-04-30 11:45:57,77
F,f,fal,35,5,,yulya,2024-10-14 17:08:02.540000,,2024-10-14 17:07:10.080000,78
F,f,fal,36,,,yulya,2024-10-16 14:47:40.173000,,2024-10-14 17:08:02,79
F,f,fal,41,8,,yulya,2024-10-16 14:46:25.390000,,2024-10-16 14:38:09,80
F,f,fal,73,,,yulya,2024-10-28 17:55:27.367000,,2024-10-28 17:54:50,2140
F,f,fal,87,,,yulya,2024-11-05 13:07:33.250000,,2024-11-05 10:06:13,2305
F,f,fal,97,10,,yulya,2024-11-08 10:20:49.947000,,2024-11-08 10:19:52.680000,2341
F,f,fal,118,10,,yulya,2024-11-14 12:05:13.003000,,2024-11-14 11:02:25,2354
F,f,fal,120,10,,yulya,2024-11-14 12:07:03.717000,,2024-11-14 12:05:40.150000,2355
F,f,fal,143,10,,yulya,2024-11-28 13:04:06.073000,,2024-11-28 11:29:51,2361
F,f,fal,147,,,yulya,2024-11-29 10:11:14.687000,,2024-11-29 10:10:16,2364
F,f,fal,154,10,,yulya,2024-12-10 09:59:38.873000,,2024-12-10 09:58:41.077000,2370
F,f,fal,155,10,,yulya,2024-12-10 10:05:57.450000,,2024-12-10 10:05:12.233000,2371
F,f,fal,158,10,,yulya,2024-12-18 10:36:28.027000,,2024-12-13 18:24:29,2378
F,f,fal,187,10,,yulya,2025-01-14 16:59:48.793000,,2025-01-14 16:58:26.767000,2401
F,f,fal,469,,,yulya,2025-02-26 17:29:22.403000,,2025-02-19 19:37:20,2451
F,f,fal,496,,,yulya,2025-02-20 18:04:18.937000,,2025-02-20 17:45:24,2440
F,f,fal,610,,,yulya,2025-03-04 18:11:39.773000,,2025-02-27 16:37:19,2459
F,f,fsa,1,,,yulya,2023-09-18 14:29:19.830000,,2023-09-18 14:11:09.943000,81
F,f,fsa,21,,,yulya,2024-02-15 15:29:32.370000,,2024-02-15 15:25:44,82
F,f,fsa,22,,,yulya,2024-02-15 15:34:38.050000,,2024-02-15 15:32:05,83
F,f,fsa,502,,,yulya,2025-02-24 12:23:56.120000,,2025-02-20 18:46:17,2446
F,f,fsa,503,,,yulya,2025-02-24 12:17:59.567000,,2025-02-20 18:46:23,2445
F,f,fsa,504,,,yulya,2025-02-24 12:17:47.350000,,2025-02-20 18:46:24,2444
F,f,fsa,525,,,yulya,2025-02-21 17:39:42.917000,,2025-02-21 17:02:34,2443
F,f,fsa,548,,,yulya,2025-02-25 18:20:27.893000,,2025-02-25 12:23:01,2450
F,f,fsa,611,,,yulya,2025-03-05 16:58:53.387000,,2025-02-27 16:38:16,2461
F,f,fsa,1148,,,yulya,2025-04-11 16:41:23.120000,,2025-03-27 16:32:08,2494
F,f,fsa,1239,,,yulya,2025-04-10 10:53:36.700000,,2025-04-09 20:05:03,2493
F,f,fsa,1428,9,,yulya,2025-04-28 12:29:37.180000,,2025-04-24 10:03:08,2511
F,i,fal,11,1,,yulya,2024-04-30 12:33:13.390000,,2023-12-06 17:12:10.240000,84
F,i,fal,18,2,,yulya,2024-02-15 15:06:05.680000,,2024-02-15 15:02:30,85
F,i,fal,19,2,,yulya,2024-02-15 15:10:54.870000,,2024-02-15 15:06:30,86
F,i,fal,20,2,,yulya,2024-02-15 15:34:49.903000,,2024-02-15 15:17:49,87
F,i,fal,23,2,,yulya,2024-04-30 11:03:02.557000,,2024-04-30 10:50:55,88
F,i,fal,24,2,,yulya,2024-04-30 11:07:58.357000,,2024-04-30 11:04:16,89
F,i,fal,27,4,,yulya,2024-10-14 16:10:14.493000,,2024-04-30 11:17:11,90
F,i,fal,28,5,,yulya,2024-10-14 16:10:08.597000,,2024-04-30 11:26:01,91
F,i,fal,29,6,,yulya,2024-10-14 16:09:56.237000,,2024-04-30 11:37:23,92
F,i,fal,34,10,,yulya,2024-04-30 12:42:14.817000,,2024-04-30 12:37:15,93
F,i,fal,102,,,yulya,2024-11-08 12:36:59.660000,,2024-11-08 12:35:41.550000,2342
F,i,fal,103,,,yulya,2024-11-08 13:17:40.540000,,2024-11-08 13:17:06.713000,2343
F,i,fal,104,,,yulya,2024-11-08 13:20:25.027000,,2024-11-08 13:19:51.523000,2344
F,i,fal,106,,,yulya,2024-11-08 14:21:24.373000,,2024-11-08 14:20:50.303000,2345
F,i,fal,107,,,yulya,2024-11-08 14:30:41.037000,,2024-11-08 14:30:17.193000,2346
F,i,fal,108,,,yulya,2024-11-08 14:54:31.083000,,2024-11-08 14:31:43.693000,2347
F,i,fal,109,,,yulya,2024-11-08 15:00:52.560000,,2024-11-08 14:58:42.210000,2348
F,i,fal,111,,,yulya,2024-11-13 12:31:36.650000,,2024-11-13 12:31:08.730000,2350
F,i,fal,115,,,yulya,2024-11-14 09:57:44.540000,,2024-11-14 09:56:55.633000,2352
F,i,fal,116,,,yulya,2024-11-14 10:30:04.297000,,2024-11-14 10:28:57.227000,2353
F,i,fal,144,,,yulya,2024-11-28 13:08:23.457000,,2024-11-28 13:05:31.010000,2362
F,i,fal,145,,,yulya,2024-12-04 17:32:57.427000,,2024-11-28 13:10:02.663000,2366
F,i,fal,275,,,yulya,2025-01-31 09:50:14.313000,,2025-01-30 18:25:24.960000,2421
F,i,fal,276,3,,yulya,2025-01-31 10:35:38.920000,,2025-01-31 09:50:40.333000,2422
F,i,fal,330,,,yulya,2025-02-06 17:34:08.363000,,2025-02-06 12:27:44.933000,2424
F,i,fal,349,7,,yulya,2025-02-10 10:56:52.443000,,2025-02-10 09:42:04,2426
F,i,fal,375,8,,yulya,2025-02-12 11:01:33.020000,,2025-02-12 09:30:39.840000,2430
F,i,fal,511,,,yulya,2025-02-21 17:36:47.710000,,2025-02-21 09:35:07.283000,2442
F,i,fal,714,,,yulya,2025-03-06 14:17:13.727000,,2025-03-06 12:20:34.047000,2464
F,i,fal,720,,,yulya,2025-03-06 14:20:46.563000,,2025-03-06 14:18:41.143000,2465
F,i,fal,879,10,,yulya,2025-03-14 09:42:12.770000,,2025-03-14 09:41:27,2468
F,i,fal,1310,,,yulya,2025-04-16 15:23:19.337000,,2025-04-16 15:16:22.650000,2498
F,i,fal,1650,,,yulya,2025-05-16 11:49:48.163000,,2025-05-15 18:45:54.880000,2530
F,i,fal,1752,,,yulya,2025-05-28 15:39:26.693000,,2025-05-28 15:35:43.250000,2537
F,i,fsa,33,1,,yulya,2024-10-14 14:03:22.413000,,2024-04-30 11:47:58,94
F,i,fsa,146,,,yulya,2024-11-28 13:14:24.027000,,2024-11-28 13:13:24.233000,2363
F,i,fsa,175,,,yulya,2025-01-09 10:25:17.293000,,2025-01-08 18:33:08.790000,2397
F,i,fsa,460,,,yulya,2025-02-19 10:53:33.307000,,2025-02-19 10:45:24.510000,2438
F,i,fsa,547,8,,yulya,2025-02-25 12:23:01.587000,,2025-02-25 12:22:13,2448
F,i,fsa,746,,,yulya,2025-03-07 16:06:14.097000,,2025-03-07 15:51:52.240000,2466
F,i,fsa,1134,,,yulya,2025-03-27 13:05:05.167000,,2025-03-27 12:53:33.057000,2485
F,i,fsa,1238,,,yulya,2025-04-10 10:52:51.410000,,2025-04-09 20:04:49.900000,2492
F,i,fsa,1559,,,yulya,2025-05-06 15:46:00.090000,,2025-05-06 15:06:49,2523
HBB,0,,1,1,,yulya,2023-09-18 13:23:57.820000,,2023-09-18 13:11:09,95
HBB,0,,2,2,,yulya,2024-10-18 17:21:37.967000,,2023-09-18 13:23:57,96
HBB,0,,3,3,,yulya,2024-10-18 17:21:44.720000,,2023-09-18 15:03:16,97
HBB,0,,4,4,,yulya,2024-10-18 17:21:52.367000,,2023-09-18 15:27:21,98
HBB,0,,5,5,,yulya,2024-10-18 17:21:58.770000,,2023-09-18 15:43:33,99
HBB,0,,6,6,,yulya,2024-10-18 17:21:30.790000,,2023-09-20 16:33:00,100
HBB,0,,7,7,,yulya,2024-10-18 17:22:06.137000,,2023-09-20 16:56:00,101
HBB,0,,8,8,,yulya,2024-10-18 17:22:12.750000,,2023-09-20 17:00:01,102
HBB,0,,9,9,,yulya,2023-09-25 10:56:47.957000,,2023-09-20 17:04:01,103
HBB,0,,10,10,,yulya,2024-10-18 17:22:19.330000,,2023-09-25 10:56:50,104
HBB,0,,11,11,,yulya,2024-10-18 17:22:27.770000,,2023-09-30 11:13:58,105
HBB,0,,12,12,,yulya,2024-10-18 17:22:35.433000,,2023-09-30 11:17:29,106
HBB,0,,13,13,,yulya,2024-10-18 17:22:43.187000,,2023-09-30 11:19:30,107
HBB,0,,14,14,,yulya,2024-10-18 17:22:50.147000,,2023-09-30 11:21:23,108
HBB,0,,15,15,,yulya,2024-10-18 17:22:57.957000,,2023-09-30 11:26:46,109
HBB,0,,16,16,,yulya,2024-10-18 17:25:30.503000,,2023-09-30 11:32:11,110
HBB,0,,17,17,,yulya,2024-10-18 17:25:37.270000,,2023-09-30 11:40:52,111
HBB,0,,18,18,,yulya,2024-10-18 17:25:44.207000,,2023-09-30 11:55:51,112
HBB,0,,19,19,,yulya,2024-10-18 17:25:50.913000,,2023-09-30 12:08:56,113
HBB,0,,20,20,,yulya,2024-10-18 17:25:58.737000,,2023-09-30 12:15:57,114
HBB,0,,21,21,,yulya,2024-10-18 17:26:05.977000,,2023-09-30 12:24:50,115
HBB,0,,22,22,,yulya,2024-10-18 17:26:12.553000,,2023-09-30 12:31:20,116
HBB,0,,23,23,,yulya,2024-10-18 17:26:18.940000,,2023-09-30 12:41:15,117
HBB,0,,24,24,,yulya,2024-10-18 17:26:25.620000,,2023-09-30 12:52:45,118
HBB,0,,25,25,,yulya,2024-10-18 17:26:32.767000,,2023-09-30 12:57:43,119
HBB,0,,26,26,,yulya,2024-10-18 17:26:39.363000,,2023-09-30 13:03:00,120
HBB,0,,27,27,,yulya,2024-10-18 17:26:46.277000,,2023-09-30 13:08:26,121
HBB,0,,28,28,,yulya,2024-10-18 17:26:53.373000,,2023-09-30 13:14:13,122
HBB,0,,29,29,,yulya,2024-10-18 17:26:59.330000,,2023-09-30 13:18:23,123
HBB,0,,30,30,,yulya,2024-10-18 17:27:05.600000,,2023-09-30 13:24:05,124
HBB,0,,31,31,,yulya,2024-10-18 17:27:11.610000,,2023-09-30 13:27:14,125
HBB,0,,32,32,,yulya,2024-10-18 17:27:17.520000,,2023-09-30 13:30:12,126
HBB,0,,33,33,,yulya,2024-10-18 17:27:25.083000,,2023-09-30 13:37:24,127
HBB,0,,34,34,,yulya,2024-10-18 17:27:42.817000,,2023-09-30 13:44:11,128
HBB,0,,49,49,,yulya,2024-10-18 17:27:31.933000,,2023-10-10 11:29:05,129
HBB,0,,212,212,,yulya,2023-10-24 11:33:23.877000,,2023-10-24 11:27:29,130
HBB,0,,404,404,,yulya,2023-12-19 16:24:04.737000,,2023-12-19 16:17:14,131
HBB,0,,6636,6636,,yulya,2024-10-18 17:27:37.363000,,2024-09-25 15:56:51,132
HBB,0,,7845,7845,,yulya,2025-01-15 13:45:12.630000,,2025-01-15 12:37:07,2409
HBB,0,,7846,7846,,yulya,2025-01-15 13:45:05.803000,,2025-01-15 12:47:09,2407
HBB,0,,7847,7847,,yulya,2025-01-15 13:44:53.160000,,2025-01-15 13:03:51,2403
HBB,0,,7848,7848,,yulya,2025-01-15 13:44:58.987000,,2025-01-15 13:06:01,2405
HBB,0,,7849,7849,,yulya,2025-01-15 13:45:25.003000,,2025-01-15 13:08:13,2411
HBB,0,,7909,7909,,yulya,2025-05-29 15:17:24.190000,,2025-05-29 14:56:41,2539
S_BF,,0,1,,,yulya,2023-09-18 13:23:57.810000,,2023-09-18 13:11:09,133
S_BF,,0,2,,,yulya,2024-10-18 17:21:37.963000,,2023-09-18 13:23:57,134
S_BF,,0,3,,,yulya,2024-10-18 17:21:44.717000,,2023-09-18 15:03:16,135
S_BF,,0,4,,,yulya,2024-10-18 17:21:52.360000,,2023-09-18 15:27:21,136
S_BF,,0,5,,,yulya,2024-10-18 17:21:58.767000,,2023-09-18 15:43:33,137
S_BF,,0,6,,,yulya,2024-10-18 17:21:30.783000,,2023-09-20 16:33:00,138
S_BF,,0,7,,,yulya,2024-10-18 17:22:06.130000,,2023-09-20 16:56:00,139
S_BF,,0,8,,,yulya,2024-10-18 17:22:12.747000,,2023-09-20 17:00:01,140
S_BF,,0,9,,,yulya,2023-09-25 10:56:47.947000,,2023-09-20 17:04:01,141
S_BF,,0,10,,,yulya,2024-10-18 17:22:19.327000,,2023-09-25 10:56:50,142
S_BF,,0,11,,,yulya,2024-10-18 17:22:27.767000,,2023-09-30 11:13:58,143
S_BF,,0,12,,,yulya,2024-10-18 17:22:35.430000,,2023-09-30 11:17:29,144
S_BF,,0,13,,,yulya,2024-10-18 17:22:43.180000,,2023-09-30 11:19:30,145
S_BF,,0,14,,,yulya,2024-10-18 17:22:50.140000,,2023-09-30 11:21:23,146
S_BF,,0,15,,,yulya,2024-10-18 17:22:57.950000,,2023-09-30 11:26:46,147
S_BF,,0,16,,,yulya,2024-10-18 17:25:30.500000,,2023-09-30 11:32:11,148
S_BF,,0,17,,,yulya,2024-10-18 17:25:37.263000,,2023-09-30 11:40:52,149
S_BF,,0,18,,,yulya,2024-10-18 17:25:44.203000,,2023-09-30 11:55:51,150
S_BF,,0,19,,,yulya,2024-10-18 17:25:50.907000,,2023-09-30 12:08:56,151
S_BF,,0,20,,,yulya,2024-10-18 17:25:58.730000,,2023-09-30 12:15:57,152
S_BF,,0,21,,,yulya,2024-10-18 17:26:05.973000,,2023-09-30 12:24:50,153
S_BF,,0,22,,,yulya,2024-10-18 17:26:12.547000,,2023-09-30 12:31:20,154
S_BF,,0,23,,,yulya,2024-10-18 17:26:18.933000,,2023-09-30 12:41:15,155
S_BF,,0,24,,,yulya,2024-10-18 17:26:25.617000,,2023-09-30 12:52:45,156
S_BF,,0,25,,,yulya,2024-10-18 17:26:32.763000,,2023-09-30 12:57:43,157
S_BF,,0,26,,,yulya,2024-10-18 17:26:39.360000,,2023-09-30 13:03:00,158
S_BF,,0,27,,,yulya,2024-10-18 17:26:46.273000,,2023-09-30 13:08:26,159
S_BF,,0,28,,,yulya,2024-10-18 17:26:53.370000,,2023-09-30 13:14:13,160
S_BF,,0,29,,,yulya,2024-10-18 17:26:59.327000,,2023-09-30 13:18:23,161
S_BF,,0,30,,,yulya,2024-10-18 17:27:05.597000,,2023-09-30 13:24:05,162
S_BF,,0,31,,,yulya,2024-10-18 17:27:11.603000,,2023-09-30 13:27:14,163
S_BF,,0,32,,,yulya,2024-10-18 17:27:17.517000,,2023-09-30 13:30:12,164
S_BF,,0,33,,,yulya,2024-10-18 17:27:25.080000,,2023-09-30 13:37:24,165
S_BF,,0,34,,,yulya,2024-10-18 17:27:42.810000,,2023-09-30 13:44:11,166
S_BF,,0,49,,,yulya,2024-10-18 17:27:31.930000,,2023-10-10 11:29:05,167
S_BF,,0,212,,,yulya,2023-10-24 11:33:23.870000,,2023-10-24 11:27:29,168
S_BF,,0,404,,,yulya,2023-12-19 16:24:04.730000,,2023-12-19 16:17:14,169
S_BF,,0,6636,,,yulya,2024-10-18 17:27:37.360000,,2024-09-25 15:56:51,170
S_BF,,0,7845,,,yulya,2025-01-15 13:45:12.623000,,2025-01-15 12:37:07,2408
S_BF,,0,7846,,,yulya,2025-01-15 13:45:05.797000,,2025-01-15 12:47:09,2406
S_BF,,0,7847,,,yulya,2025-01-15 13:44:53.137000,,2025-01-15 13:03:51,2402
S_BF,,0,7848,,,yulya,2025-01-15 13:44:58.980000,,2025-01-15 13:06:01,2404
