inx,Tanim,Bolum,UserName
268,MAGAZALAR+IADE+SEVK+KARI,miStokKZYon,web
269,KRITER1,miPerYonetim,ERSEN
270,KRITER,miirsaliyeYon,ERSEN
271,MUSTERI+ALCAK+120,miCariYonet,OZGUR
272,MUSTERI+ALCAK+150,miCariYonet,OZGUR
273,PERSONELE+BORC+USD,miCariYonet,OZGUR
274,PERSONELDEN+ALCAK+TL,miCariYonet,OZGUR
275,PERSONELDEN+ALACAK+USD,miCariYonet,OZGUR
276,PERSONELE+BORC+TL,miCariYonet,OZGUR
277,TOPTAN+KAR,miFaturaYon,MURAT
278,KRITER,miFaturaYon,ERSEN
279,ALCAKDEKONTU+USD,miCariYon,OZGUR
280,ALACAKDEKONTU+TL,miCariYon,OZGUR
281,KRITER,miirsaliyeYon,OZGUR
282,MUSTERIALACAKYENICARILERRR,miCariYonet,web
283,KRITER,miPerKZYon,AKSANA
284,KRITER,miSiparisYon2,ERSEN
285,MIZAN,miMizan,web
289,TOPTANASEVK,miirsaliyeYon,web
290,STOKONTROL,miStokYonetim,sedat
293,KAR,miPerKZYon,semra
294,MAGAZASEVK,miirsaliyeYon,BAHMET 
295,KRITER,miMMuavin,BEKIR
296,SIPARIS,miSiparisYon2,bekır
297,TOPTANALIS,miStokYonetim,bahmet
298,TURKIYE_MAGAZALAR,miStokYonetim,bahmet
299,IRAKMAGAZALAR,miStokYonetim,bahmet
301,KARLILIK,miPerKZYon,Y
302,YENISIPARIS,miSiparisYon2,BEKIR
303,ISMAIL,miStokYonetim,bahmet
306,MUSTERIALACAK150,miCariYonet,MURAT
307,MUSTERIALACAKYENICARILE1,miCariYonet,MURAT
308,BORCLUMUSTERILER1,miCariYonet,MURAT
309,BORCLUMUSTERILER150,miCariYonet,MURAT
314,INTERNETSITE,miStokYonetim,internet
315,KRITER,miFaturaYon,NADIR
316,KRITER,miPerKZYon,HALIL
317,KARFARS,miPerKZYon,HALIL
318,ONLINEMAGAZA,miKasaYon,web
320,ONLINE,miStokYonetim,web
321,HALIL,miPerKZYon,halıl
322,SATISKAR,miPerKZYon,KADIR
324,HMDFATURALIALACAKLI,miCariYonet,web
325,KRITER,miPerKZYon,MUSTAFA
326,VZNFATURALI,miFaturaYon,web
327,HMDFATURALI,miFaturaYon,web
329,VZNFATURALIBAKIYE,miCariYonet,web
330,BAGDAT,miStokYonetim,web
331,KARZARAR,miPerKZYon,bagdat
334,MUSTERILISTESI,miCariYonet,RİZAGÜL
335,VEZNECILERMUSTERILISTESI,miCariYonet,RİZAGÜL
336,HAMIDIYEMUSTERILISTESI,miCariYonet,RİZAGÜL
337,KRITER,miCariYonet,RİZAGÜL
338,KRITER,miStokGCYon,ERSEN
339,MODANISA,miStokYonetim,ERSEN
340,ONLINEFATURALIBAKIYE,miCariYonet,web
341,ONLINEFATURALI,miFaturaYon,web
342,MODANISA,miStokYonetim,internet
344,KAR,miPerKZYon,YASEMIN
346,KRITER,miStokYonetim,web
347,ALISFATURAKRITER,miFaturaYon,web
348,STOKISLEMI+CIKIS+FISI,miStokislemYon,web
349,STOKISLEMI+GIRIS+FISI,miStokislemYon,web
350,TOPTAN+ALIS,miFaturaYon,web
351,TOPTAN+ALISIADE,miFaturaYon,web
353,TOPTAN+SATIS+IADE,miFaturaYon,web
354,MAGAZA+SATIS+IADE,miFaturaYon,web
355,MAGAZA+SATIS+TOPLAM,miFaturaYon,web
356,TOPTAN+SATIS+KAR,miFaturaYon,web
357,SIL,miCariYonet,MURAT
358,TOPTANZEYTINBURNUSEVKIYAT,miirsaliyeYon,web
359,TOPTANDANDRAMANASEVK,miirsaliyeYon,web
360,TOPTANVEZNECILERSEVKIYAT,miirsaliyeYon,web
361,TOPTANERBILSEVKIYAT,miirsaliyeYon,web
362,TOPTANFAMILMOOLSEVKIYAT,miirsaliyeYon,web
363,TOPTANRAYMOOLSEVKIYAT,miirsaliyeYon,web
364,TOPTANHAMIDIYESEVKIYAT,miirsaliyeYon,web
365,TOPTANONLINESEVKIYAT,miirsaliyeYon,web
366,KALANSIPARISTOPALMI,miSiparisYon2,web
368,TOPTAN,miStokYonetim,BERRIN
369,MUSTERISIPARIS,miSiparisYon1,BERRIN
371,MUSTERIALACAK150,miCariYonet,BERRIN
374,TOPTAN+KAR,miStokKZYon,BERRIN
375,ERBIL,miKasaYon,BERRIN
376,RAYMOOL,miKasaYon,BERRIN
377,FAMILYMOOL,miKasaYon,BERRIN
378,VEZNECILER,miKasaYon,BERRIN
379,TOPTAN,miKasaYon,BERRIN
380,ZEYTINBURNU,miKasaYon,BERRIN
381,DRAMAN,miKasaYon,BERRIN
382,AYLIK+VAD+CEK+USD,miCekYon,BERRIN
383,AYLIK+VAD+CEK+TL,miCekYon,BERRIN
385,TOPTANTAHSILATLAR,miKasaYon,BERRIN
386,BORC+USD,miCariYonet,BERRIN 
387,BORC+TL,miCariYonet,BERRIN
388,HAMIDIYE,miKasaYon,BERRIN
389,ERBIL+RYM+FM,miPerKZYon,BERRIN
390,VZN+ZB+DR+LALE+HMD,miStokYonetim,berrın
391,MAGAZA+URUN+SATIS,miPerYonetim,BERRIN
392,VZN+ZB+DR+LALE+HMD,miPerKZYon,BERRIN
393,VZN_KAR,miPerYonetim,BERRIN
394,TOPTAN,miEn_Filter,BERRIN
395,VZN+ZB+DR+LALE+HMD,miEn_Filter,BERRIN
396,ERBIL+RYM+FAMILY,miStokYonetim,BERRIN
397,ALIS,miStokGCYon,BERRIN
398,SIPARISLER,miSiparisYon2,berrın
399,TOPTANSATIS+KAR,miFaturaYon,BERRIN
401,ALACAKDEKONTU+TL,miCariYon,BERRIN
402,ALACAKDEKONTU+USD,miCariYon,BERRIN
404,MUSTERIALACAKYENICARILERRR,miCariYonet,BERRIN
405,MIZAN,miMizan,BERRIN
406,TOPTANASEVK,miirsaliyeYon,BERRIN
407,ONLINEMAGAZA,miKasaYon,BERRIN
408,ONLINE,miStokYonetim,BERRIN
409,HMDFATURALIALACAKLI,miCariYonet,BERRIN
410,VZNFATURALI,miFaturaYon,BERRIN
411,HMDFATURALI,miFaturaYon,BERRIN
412,VZNFATURALIBAKIYE,miCariYonet,berrın
415,ONLINEFATURALI,miFaturaYon,BERRIN
416,STOKISLEMI+CIKIS+FISI,miStokislemYon,BERRIN
417,STOKISLEMI+GIRIS+FISI,miStokislemYon,BERRIN
419,TOPTAN+ALISIADE,miFaturaYon,BERRIN
420,TOPTAN+SATIS+IADE,miFaturaYon,BERRIN
424,TOPTANZEYTINBURNUSEVKIYAT,miirsaliyeYon,BERRIN
425,TOPTANDANDRAMANASEVK,miirsaliyeYon,BERRIN
426,TOPTANVEZNECILERSEVKIYAT,miirsaliyeYon,BERRIN
427,TOPTANERBILSEVKIYAT,miirsaliyeYon,BERRIN
428,TOPTANFAMILMOOLSEVKIYAT,miirsaliyeYon,BERRIN
429,TOPTANRAYMOOLSEVKIYAT,miirsaliyeYon,BERRIN
430,TOPTANHAMIDIYESEVKIYAT,miirsaliyeYon,BERRIN
431,TOPTANONLINESEVKIYAT,miirsaliyeYon,BERRIN
432,KALANSIPARISTOPALMI,miSiparisYon2,BERRIN
433,C11SIPARIS,miSiparisYon2,WEB
434,C103,miSiparisYon2,WEB
435,H50_LALELI,miKasaYon,web
436,DEMIRODA,miStokYonetim,BERRIN
437,I10ONLINE,miStokYonetim,WEB
438,DEMIRODAI15,miStokYonetim,WEB
439,DRAMANTAKSITLISATIS,miTakSatYonetim,BERRIN
440,KALANSIPARIS,miSiparisYon2,BERRIN
452,ONLINEFIRMABAKIYELERI,miCariYonet,BERRIN
455,GELENMAL,miFaturaYon,BERRIN
459,CIKIS,miStokGCYon,BERRIN
460,ALISTOPTAN,miStokGCYon,BERRIN
461,ALIS+SATIS+MAGAZALAR,miStokGCYon,BERRIN
463,USD+BANKA+BAKIYE,miBankaYon,berrın
464,TL+BANKA+BAKIYE,miBankaYon,berrın
465,SATISFATURALARI,miFaturaYon,internet
466,ONLINEMAGAZAYASEVK,miirsaliyeYon,BERRIN
467,ALINANPOSBAKIYE,miBankaYon,berrın
468,DRAMANGUNCELBAKIYE,miTakSatYonetim,berrın
469,CEKTAKIP,miCariYonet,BERRIN
472,FIRMA+BANKA+ODEME,miCariYonet,BERRIN
473,EMANETBANKA,miCariYonet,BERRIN
474,POSHESABIGELEN,miBankaYon,BAHMET
475,GELENEFTNAKIT,miBankaYon,BERRIN
476,SATISKARZARAR,miPerKZYon,AGRIS
478,KRITER,miFaturaYon,AGRIS
480,AKTAU,miStokYonetim,AGRIS
481,USDKASA,miBankaYon,BERRIN
482,KARLILIK,miPerKZYon,URFA
484,URFAKAR,miPerKZYon,URFA
486,USDFATURA,miFaturaYon,internet
488,AKTAU,miPerKZYon,AGRIS
489,URFA,miStokYonetim,BERRIN
490,TOPTANDANURFAMAG,miirsaliyeYon,BERRIN
491,URFA,miPerKZYon,berrın
492,URFA,miKasaYon,BERRIN
493,TAMASASTOK,miStokYonetim,TAMASA
494,FRANCHISE+BORC+BAKIYE,miCariYonet,BERRIN
495,FR+MAGAZA+SATIS+KAR,miFaturaYon,BERRIN
497,SATISADET,miPerKZYon,LILIA
498,TAMASA+AKTAU,miPerKZYon,BERRIN
499,MUSTERICARILER,miCariYonet,LILIA
500,BORCLUMUSTERILER,miCariYonet,LILIA
501,VEZNECILER+FATURALI+TOPTAN,miCariYonet,LILIA
502,TAMASA,miStokYonetim,BERRIN
503,AKTAU,miStokYonetim,BERRIN
504,FATURALI_TAHSILAT,miKasaYon,LILIA
505,FATURARAPORU,miFaturaYon,HALIL
506,FATURALI,miFaturaYon,HALIL
507,ALACAKKK,miCariYonet,bekır
508,BORCCC,miCariYonet,bekır
509,TOPTANSATISRAPORU,miFaturaYon,MUHAMMED
510,ESKI+CARILER,miCariYonet,MUHAMMED
511,N+YENICARILER,miCariYonet,MUHAMMED
512,NAKIT+KONTROL,miCariYonet,LILIA
513,NAKI+KONTROL2,miCariYonet,LILIA
514,CARIKONTROLLER,miCariYonet,bekır
515,NWSLISTESI,miCariYonet,LILIA
516,BAYI,miStokYonetim,MUHAMMED
517,NWS,miCariYonet,BEKIR
518,BAYI2,miStokYonetim,MUHAMMED
519,NWS,miCariYonet,BERRIN
520,ERSEN,miSiparisYon2,ERSEN
522,NWS,miCariYonet,web
523,BANKALAR,miBankaYon,bekır
524,TAMASA,miStokYonetim,bekır
525,ERSEN,miCariYonet,ERSEN
526,TURKIYEMAGAZALARSTOKKALANI,miStokYonetim,EDA
528,SATISKARZARAR,miPerKZYon,EDA
529,MAGAZAGIDERLERI,miKasaYon,EDA
530,IRAKMAGAZAGIDER,miKasaYon,EDA
532,NWSALACAKLI,miCariYonet,EDA
533,NWSBORCLU,miCariYonet,EDA
534,KDV,miirsaliyeYon,EDA
535,VZNTOPTAN,miirsaliyeYon,EDA
536,VZNTOPTAN,miirsaliyeYon,NADIR
537,SATINALMA,miSiparisYon2,BARIŞ
538,TURKIYEMAGAZA_KAR,miPerKZYon,WEB
539,ALISFATURASI,miFaturaYon,eda
540,KALANSIPARIS,miSiparisYon2,bahmet
542,NWSSATISRAPOR,miFaturaYon,bekır
543,FATURAKARLILIK,miFaturaYon,BERRIN
544,ERBILKARLILIK,miPerKZYon,BEKIR
545,VEZNECILERKARLILIK,miPerKZYon,bekır
546,ERBIL2021,miPerKZYon,korgun
547,TURKIYE2021,miPerKZYon,BEKIR
548,SİPARİSKALAN,miSiparisYon2,BARIŞ
549,SIPARISKALAN1,miSiparisYon2,BARIŞ
550,PERSONELE_BORC_USD,miCariYonet,laleli
552,PERSONELIN BORCU TL,miCariYonet,laleli
553,PERSOENELIN_ALACAGI_TL,miCariYonet,laleli
554,PERSONEL BORC ALACAK TL VE USD,miCariYonet,laleli
555,KRITER,miPerKZYon,sedat
556,IRAK,miPerKZYon,sedat
557,NWSSATISLISTESI,miFaturaYon,bekır
559,TAMASA,miPerKZYon,LILIA
560,TAMASA,miFaturaYon,LILIA
562,NWS,miKasaYon,berrın
563,YENIKARLILIK,miirsaliyeYon,BERRIN
564,KRITER,DahiliUyari,MUHAMMED
565,MAGAZALAR,SatTakip,bahmet
567,IRAKMAGAZASATISNAKIT,SatTakip,EDA
568,SATIS,miPerKZYon,AKKALAMALL
569,KAZAKHSTAN,miirsaliyeYon,bekır
570,GARNDPARK,miKasaYon,berrın
571,APORT,miKasaYon,berrın
572,KRITERQR,miirsaliyeYon,oguzhan
573,GUNLUKBARISSIP,miSiparisYon2,BARIŞ
574,KRITER,miStokYonetim,ERSEN
575,KRITER,miStokYonetim,ERSEN
576,KRITER,SatTakip,AIDAANA
577,STOKYONETIMI,miStokYonetim,BARIŞ
578,TENGEBNK,miBankaYon,BERRIN
579,KRITER,miPerKZYon,AIDAANA
580,KRITER,miPerKZYon,KLAS
581,MAGAZAKARLILIK,miPerKZYon,aslınur
582,KRITER,miPerKZYon,LIN
583,NWSSATIS,miFaturaYon,aslınur
584,ONLINESATISLAR,miFaturaYon,aslınur
585,YENI SATINALMA,miSiparisYon2,BARIŞ
586,ONLINESATISLAR,miFaturaYon,eda
587,NWSSATISLAR,miFaturaYon,eda
588,BARKODLUSATIS,miPerYonetim,OGUZHAN
589,RAPOR,miPerKZYon,BEKIR
590,SERISONU,miStokYonetim,SERKAN
591,KRITER,miStokYonetim,KLAS
592,KAZAKISTANONLINE,miKasaYon,berrın
593,YENIAPORT,miKasaYon,berrın
594,KAZAKSTAN,miPerKZYon,CAN
595,KRITER,DahiliUyari,nazerke
596,KARLILIK,miPerKZYon,AIDAANA
597,SATIS,miPerYonetim,AIDAANA
598,SATIS,miPerYonetim,AIDAANA
599,SATIS,miPerYonetim,AIDAANA
600,ALISFATURA,miFaturaYon,DILARA
602,KRITER,miMizan,MESUT
603,KRITER,miCariYonet,NURKIZI
604,KRITER,miCariYonet,NURKIZI
605,MAGAZASTOKKALAN,miStokYonetim,BEKIR
606,ZYTNWSKRITER,miPerYonetim,nurkızı
607,EURHESAP,miBankaYon,BERRIN
608,KONTROL,miPerYonetim,bekır
609,KONTRL,miPerKZYon,nurkızı
