Koli_KOD,Tanim,Beden_KOD,Tanim2
A004,34- 40 = 1 1 1 2 2 2 1 0 0 0=10,Z1,34- 40 = 1 1 1 2 2 2 1 0 0 0=10
A005,36- 39 = 2 3 3 2 0 0 0 0 0 0 0 0=10,M1,36- 39 = 2 3 3 2 0 0 0 0 0 0 0 0=10
A006,40- 45 = 2 2 3 3 1 1 0 0=12,M1,40- 45 = 2 2 3 3 1 1 0 0=12
A007,37- 41 = 2 2 2 2 2 0 0=10,Z1,37- 41 = 2 2 2 2 2 0 0=10
A008,36- 40 = 1 2 3 2 1 0 0 0=9,Z1,36- 40 = 1 2 3 2 1 0 0 0=9
A009,41- 44 = 1 2 2 2 0 0 0=7,M1,41- 44 = 1 2 2 2 0 0 0=7
A010,37- 40 = 1 2 2 1 0 0 0=6,Z1,37- 40 = 1 2 2 1 0 0 0=6
A011,41- 44 = 2 4 4 4 0 0 0=14,M1,41- 44 = 2 4 4 4 0 0 0=14
A012,40- 45 = 1 3 1 3 1 1 0 0=10,M1,40- 45 = 1 3 1 3 1 1 0 0=10
A013,39- 44 = 1 2 2 2 1 2 0 0 0=10,M1,39- 44 = 1 2 2 2 1 2 0 0 0=10
A014,40- 44 = 2 1 3 0 2 0 0 0=8,M1,40- 44 = 2 1 3 0 2 0 0 0=8
A015,40- 43 = 2 2 3 1 0 0 0 0=8,M1,40- 43 = 2 2 3 1 0 0 0 0=8
A016,40- 44 = 2 2 1 2 1 0 0 0=8,M1,40- 44 = 2 2 1 2 1 0 0 0=8
A017,40- 44 = 2 2 1 1 2 0 0 0=8,M1,40- 44 = 2 2 1 1 2 0 0 0=8
A018,40- 45 = 3 1 2 2 1 1 0 0=10,M1,40- 45 = 3 1 2 2 1 1 0 0=10
A019,40- 45 = 2 1 2 2 2 1 0 0=10,M1,40- 45 = 2 1 2 2 2 1 0 0=10
A020,40- 44 = 2 5 4 3 1 0 0 0=15,M1,40- 44 = 2 5 4 3 1 0 0 0=15
A021,40- 44 = 1 4 2 2 1 0 0 0=10,M1,40- 44 = 1 4 2 2 1 0 0 0=10
A022,39- 44 = 1 3 3 1 1 1 0 0 0=10,M1,39- 44 = 1 3 3 1 1 1 0 0 0=10
A023,38- 44 = 1 1 0 1 2 1 2 0 0 0=8,M1,38- 44 = 1 1 0 1 2 1 2 0 0 0=8
A024,40- 43 = 1 4 2 3 0 0 0 0=10,M1,40- 43 = 1 4 2 3 0 0 0 0=10
A025,40- 44 = 1 3 0 3 1 0 0 0=8,M1,40- 44 = 1 3 0 3 1 0 0 0=8
A026,40- 44 = 1 1 3 2 2 0 0 0=9,M1,40- 44 = 1 1 3 2 2 0 0 0=9
A027,36- 40 = 2 2 2 2 2 0 0 0 0 0 0 0=10,M1,36- 40 = 2 2 2 2 2 0 0 0 0 0 0 0=10
A028,39- 44 = 1 1 2 2 2 1 0 0 0=9,M1,39- 44 = 1 1 2 2 2 1 0 0 0=9
A029,35- 42 = 1 1 2 2 1 1 1 1 0=10,Z1,35- 42 = 1 1 2 2 1 1 1 1 0=10
A030,34- 41 = 1 1 1 2 2 2 1 1 0 0=11,Z1,34- 41 = 1 1 1 2 2 2 1 1 0 0=11
A031,34- 41 = 1 1 1 2 2 1 1 1 0 0=10,Z1,34- 41 = 1 1 1 2 2 1 1 1 0 0=10
A032,40- 44 = 1 4 2 4 1 0 0 0=12,M1,40- 44 = 1 4 2 4 1 0 0 0=12
A033,40- 44 = 1 2 3 2 1 0 0 0=9,M1,40- 44 = 1 2 3 2 1 0 0 0=9
A034,40- 44 = 1 4 4 3 1 0 0 0=13,M1,40- 44 = 1 4 4 3 1 0 0 0=13
A035,40- 45 = 1 1 3 1 2 1 0 0=9,M1,40- 45 = 1 1 3 1 2 1 0 0=9
A036,41- 43 = 1 0 1 0 0 0 0=2,M1,41- 43 = 1 0 1 0 0 0 0=2
A037,39- 45 = 1 1 1 2 2 1 1 0 0=9,M1,39- 45 = 1 1 1 2 2 1 1 0 0=9
A038,36- 39 = 1 2 3 2 0 0 0 0 0 0 0 0=8,M1,36- 39 = 1 2 3 2 0 0 0 0 0 0 0 0=8
A039,36- 39 = 1 2 3 2 0 0 0 0=8,Z1,36- 39 = 1 2 3 2 0 0 0 0=8
A040,41- 44 = 2 3 2 1 0 0 0=8,M1,41- 44 = 2 3 2 1 0 0 0=8
A041,40- 46 = 1 1 1 2 1 1 1 0=8,M1,40- 46 = 1 1 1 2 1 1 1 0=8
A042,41- 46 = 1 2 2 1 1 1 0=8,M1,41- 46 = 1 2 2 1 1 1 0=8
A043,37- 40 = 1 3 3 1 0 0 0=8,Z1,37- 40 = 1 3 3 1 0 0 0=8
A044,37- 40 = 1 2 2 3 0 0 0=8,Z1,37- 40 = 1 2 2 3 0 0 0=8
A045,37- 40 = 1 3 2 2 0 0 0=8,Z1,37- 40 = 1 3 2 2 0 0 0=8
A046,41- 44 = 1 2 2 3 0 0 0=8,M1,41- 44 = 1 2 2 3 0 0 0=8
A047,36- 40 = 1 1 3 0 3 0 0 0=8,Z1,36- 40 = 1 1 3 0 3 0 0 0=8
A048,42- 46 = 2 2 2 1 1 0=8,M1,42- 46 = 2 2 2 1 1 0=8
A049,41- 45 = 2 2 2 1 1 0 0=8,M1,41- 45 = 2 2 2 1 1 0 0=8
A050,37- 40 = 2 2 3 1 0 0 0=8,Z3,37- 40 = 2 2 3 1 0 0 0=8
A051,35- 41 = 1 1 2 2 2 2 1 0 0=11,Z1,35- 41 = 1 1 2 2 2 2 1 0 0=11
A052,41- 45 = 1 1 2 2 2 0 0=8,M1,41- 45 = 1 1 2 2 2 0 0=8
A053,45- 47 = 3 3 2=8,M1,45- 47 = 3 3 2=8
A054,36- 41 = 1 3 2 2 1 1 0 0=10,Z1,36- 41 = 1 3 2 2 1 1 0 0=10
A055,38- 44 = 1 1 1 2 2 2 1 0 0 0=10,M1,38- 44 = 1 1 1 2 2 2 1 0 0 0=10
A056,35- 40 = 1 1 2 2 2 2 0 0 0=10,Z1,35- 40 = 1 1 2 2 2 2 0 0 0=10
A057,38- 46 = 1 1 1 1 2 1 1 1 1 0=10,M1,38- 46 = 1 1 1 1 2 1 1 1 1 0=10
A058,41- 45 = 1 2 2 1 1 0 0=7,M1,41- 45 = 1 2 2 1 1 0 0=7
A059,35- 41 = 1 1 2 2 1 2 1 0 0=10,Z1,35- 41 = 1 1 2 2 1 2 1 0 0=10
A060,35- 42 = 1 2 2 2 1 1 1 1 0=11,Z1,35- 42 = 1 2 2 2 1 1 1 1 0=11
A061,36- 39 = 1 3 3 1 0 0 0 0=8,Z1,36- 39 = 1 3 3 1 0 0 0 0=8
A062,34- 42 = 1 1 1 2 1 1 1 1 1 0=10,Z1,34- 42 = 1 1 1 2 1 1 1 1 1 0=10
A063,36- 41 = 1 1 3 3 1 1 0 0=10,Z1,36- 41 = 1 1 3 3 1 1 0 0=10
A064,39- 46 = 1 1 2 2 1 1 1 1 0=10,M1,39- 46 = 1 1 2 2 1 1 1 1 0=10
A065,36- 40 = 1 3 3 2 1 0 0 0 0 0 0 0=10,M1,36- 40 = 1 3 3 2 1 0 0 0 0 0 0 0=10
A066,40- 44 = 2 3 3 2 1 0 0 0=11,M1,40- 44 = 2 3 3 2 1 0 0 0=11
A067,36- 41 = 2 2 2 2 2 2 0 0=12,Z1,36- 41 = 2 2 2 2 2 2 0 0=12
A068,37- 41 = 4 2 2 2 2 0 0=12,Z1,37- 41 = 4 2 2 2 2 0 0=12
A069,37- 41 = 2 4 2 2 2 0 0=12,Z1,37- 41 = 2 4 2 2 2 0 0=12
A070,40- 45 = 1 2 2 2 1 2 0 0=10,M1,40- 45 = 1 2 2 2 1 2 0 0=10
A071,36- 41 = 1 2 2 1 2 2 0 0=10,Z1,36- 41 = 1 2 2 1 2 2 0 0=10
A072,36- 40 = 1 2 2 1 1 0 0 0=7,Z1,36- 40 = 1 2 2 1 1 0 0 0=7
A073,41- 45 = 2 4 2 2 2 0 0=12,M1,41- 45 = 2 4 2 2 2 0 0=12
A074,45- 47 = 4 2 2=8,M1,45- 47 = 4 2 2=8
A075,40- 46 = 2 2 2 1 1 1 1 0=10,M1,40- 46 = 2 2 2 1 1 1 1 0=10
A076,35- 39 = 1 1 2 2 2 0 0 0 0=8,Z1,35- 39 = 1 1 2 2 2 0 0 0 0=8
A077,40- 45 = 1 2 3 2 2 2 0 0=12,M1,40- 45 = 1 2 3 2 2 2 0 0=12
A078,36- 40 = 1 1 4 1 1 0 0 0=8,Z1,36- 40 = 1 1 4 1 1 0 0 0=8
A079,36- 39 = 1 2 3 2 0 0 0 0=8,Z3,36- 39 = 1 2 3 2 0 0 0 0=8
A080,36- 41 = 2 3 3 2 1 1 0 0=12,Z1,36- 41 = 2 3 3 2 1 1 0 0=12
A081,31- 35 = 1 1 2 2 2 0=8,FLT,31- 35 = 1 1 2 2 2 0=8
A082,41- 45 = 1 2 1 1 1 0 0=6,M1,41- 45 = 1 2 1 1 1 0 0=6
A083,22- 25 = 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0=8,FLT,22- 25 = 1 1 3 3 0 0 0 0 0 0 0 0 0 0 0=8
A084,45- 47 = 2 3 3=8,M1,45- 47 = 2 3 3=8
A085,36- 39 = 2 2 2 2 0 0 0 0 0 0 0 0=8,M1,36- 39 = 2 2 2 2 0 0 0 0 0 0 0 0=8
A086,34- 43 = 1 1 1 1 1 1 1 1 1 1=10,Z1,34- 43 = 1 1 1 1 1 1 1 1 1 1=10
A087,35- 43 = 1 1 1 2 1 1 1 1 1=10,Z1,35- 43 = 1 1 1 2 1 1 1 1 1=10
A088,26- 30 = 2 2 2 2 2 0 0 0 0 0 0 0=10,X3,26- 30 = 2 2 2 2 2 0 0 0 0 0 0 0=10
A089,21- 25 = 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0=8,FLT,21- 25 = 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0=8
A090,31- 36 = 2 2 2 2 2 2 0=12,X3,31- 36 = 2 2 2 2 2 2 0=12
A091,36- 40 = 2 3 3 3 1 0 0 0=12,Z1,36- 40 = 2 3 3 3 1 0 0 0=12
A092,21- 36 = 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0=16,X3,21- 36 = 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0=16
A093,39- 45 = 1 1 2 1 1 1 1 0 0=8,M1,39- 45 = 1 1 2 1 1 1 1 0 0=8
A094,30- 35 = 1 1 2 2 1 1 0 0=8,X3,30- 35 = 1 1 2 2 1 1 0 0=8
A095,36- 42 = 1 2 1 1 1 1 1 0=8,Z1,36- 42 = 1 2 1 1 1 1 1 0=8
A096,31- 35 = 2 2 2 2 2 0 0=10,X3,31- 35 = 2 2 2 2 2 0 0=10
A097,35- 40 = 1 1 2 2 1 1 0 0 0=8,Z3,35- 40 = 1 1 2 2 1 1 0 0 0=8
A098,21- 25 = 1 1 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0=10,X3,21- 25 = 1 1 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0=10
A099,35- 41 = 1 1 2 1 1 1 1 0 0=8,Z3,35- 41 = 1 1 2 1 1 1 1 0 0=8
A100,26- 30 = 1 1 2 2 2 0 0 0 0 0 0 0=8,X3,26- 30 = 1 1 2 2 2 0 0 0 0 0 0 0=8
A101,35- 42 = 1 1 1 1 1 1 1 1 0=8,Z3,35- 42 = 1 1 1 1 1 1 1 1 0=8
A102,31- 35 = 1 1 2 2 2 0 0=8,X3,31- 35 = 1 1 2 2 2 0 0=8
A103,39- 46 = 1 1 1 1 1 1 1 1 0=8,M1,39- 46 = 1 1 1 1 1 1 1 1 0=8
A104,22- 25 = 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0=8,X3,22- 25 = 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0=8
A105,36- 40 = 2 3 2 2 1 0 0 0 0 0 0 0=10,M1,36- 40 = 2 3 2 2 1 0 0 0 0 0 0 0=10
A106,29- 35 = 1 1 1 2 1 1 1 0 0 0 0 0=8,X3,29- 35 = 1 1 1 2 1 1 1 0 0 0 0 0=8
A107,38- 39 = 5 5 0 0 0 0 0 0 0 0=10,M1,38- 39 = 5 5 0 0 0 0 0 0 0 0=10
A108,36- 40 = 1 2 2 2 1=8,X3,36- 40 = 1 2 2 2 1=8
A109,38- 39 = 2 8 0 0 0 0 0 0 0 0=10,M1,38- 39 = 2 8 0 0 0 0 0 0 0 0=10
A110,24- 29 = 1 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0=8,X3,24- 29 = 1 1 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0=8
A111,38- 40 = 3 6 1 0 0 0 0 0 0 0=10,M1,38- 40 = 3 6 1 0 0 0 0 0 0 0=10
A112,31- 36 = 2 2 2 2 1 1 0 0 0 0=10,X3,31- 36 = 2 2 2 2 1 1 0 0 0 0=10
A113,36- 39 = 2 2 3 3 0 0 0 0 0 0 0 0=10,M1,36- 39 = 2 2 3 3 0 0 0 0 0 0 0 0=10
A114,36- 39 = 1 3 3 3 0 0 0 0 0 0 0 0=10,M1,36- 39 = 1 3 3 3 0 0 0 0 0 0 0 0=10
A115,31- 36 = 1 1 2 2 1 1 0 0 0 0=8,X3,31- 36 = 1 1 2 2 1 1 0 0 0 0=8
A116,22- 25 = 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0=8,FLT,22- 25 = 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0=8
A117,38- 44 = 1 1 1 2 1 1 1 0 0 0=8,M1,38- 44 = 1 1 1 2 1 1 1 0 0 0=8
A118,31- 36 = 1 1 2 2 1 1=8,FLT,31- 36 = 1 1 2 2 1 1=8
A119,38- 45 = 1 1 1 1 1 1 1 1 0 0=8,M1,38- 45 = 1 1 1 1 1 1 1 1 0 0=8
A120,39- 45 = 1 1 1 2 1 1 1 0 0=8,M1,39- 45 = 1 1 1 2 1 1 1 0 0=8
A121,40- 40 = 8 0 0 0=8,Z1,40- 40 = 8 0 0 0=8
A122,35- 42 = 1 1 1 1 1 1 1 1 0=8,Z1,35- 42 = 1 1 1 1 1 1 1 1 0=8
A123,43- 44 = 5 5 0 0 0=10,M1,43- 44 = 5 5 0 0 0=10
A124,A124,M1,124
A125,A125,Z1,A125
A126,36- 39 = 1 4 2 3 0 0 0 0 0 0 0 0=10,M1,36- 39 = 1 4 2 3 0 0 0 0 0 0 0 0=10
A127,42- 45 = 4 2 2 2 0 0=10,M1,42- 45 = 4 2 2 2 0 0=10
A128,41- 44 = 2 0 3 5 0 0 0=10,M1,41- 44 = 2 0 3 5 0 0 0=10
A129,44- 44 = 10 0 0 0=10,M1,44- 44 = 10 0 0 0=10
A130,40- 44 = 3 4 1 0 2 0 0 0=10,M1,40- 44 = 3 4 1 0 2 0 0 0=10
A131,41- 44 = 2 0 0 8 0 0 0=10,M1,41- 44 = 2 0 0 8 0 0 0=10
A132,41- 43 = 1 3 6 0 0 0 0=10,M1,41- 43 = 1 3 6 0 0 0 0=10
A133,41- 44 = 1 2 4 3 0 0 0=10,M1,41- 44 = 1 2 4 3 0 0 0=10
A134,41- 44 = 2 3 4 1 0 0 0=10,M1,41- 44 = 2 3 4 1 0 0 0=10
A135,42- 44 = 2 4 4 0 0 0=10,M1,42- 44 = 2 4 4 0 0 0=10
A136,43- 43 = 10 0 0 0 0=10,M1,43- 43 = 10 0 0 0 0=10
A137,40- 45 = 1 0 3 3 2 1 0 0=10,M1,40- 45 = 1 0 3 3 2 1 0 0=10
A138,41- 45 = 2 3 2 2 1 0 0=10,M1,41- 45 = 2 3 2 2 1 0 0=10
A139,41- 44 = 2 3 3 2 0 0 0=10,M1,41- 44 = 2 3 3 2 0 0 0=10
A140,42- 44 = 3 5 2 0 0 0=10,M1,42- 44 = 3 5 2 0 0 0=10
A141,42- 45 = 3 4 2 1 0 0=10,M1,42- 45 = 3 4 2 1 0 0=10
A142,40- 45 = 2 4 3 0 0 1 0 0=10,M1,40- 45 = 2 4 3 0 0 1 0 0=10
A143,40- 44 = 1 0 3 2 1 0 0 0=7,M1,40- 44 = 1 0 3 2 1 0 0 0=7
A144,40- 45 = 1 1 1 2 1 1 0 0=7,M1,40- 45 = 1 1 1 2 1 1 0 0=7
A145,31- 31 = 8 0 0 0 0 0=8,FLT,31- 31 = 8 0 0 0 0 0=8
A146,37- 38 = 4 4 0 0 0 0 0=8,Z1,37- 38 = 4 4 0 0 0 0 0=8
A147,33- 33 = 8 0 0 0=8,FLT,33- 33 = 8 0 0 0=8
A148,38- 38 = 8 0 0 0 0 0=8,Z1,38- 38 = 8 0 0 0 0 0=8
A149,34- 34 = 8 0 0=8,FLT,34- 34 = 8 0 0=8
A150,37- 37 = 8 0 0 0 0 0 0=8,Z1,37- 37 = 8 0 0 0 0 0 0=8
A151,35- 35 = 8 0=8,FLT,35- 35 = 8 0=8
A152,42- 42 = 10 0 0 0 0 0=10,M1,42- 42 = 10 0 0 0 0 0=10
A153,36- 41 = 3 2 2 1 1 1 0 0=10,Z1,36- 41 = 3 2 2 1 1 1 0 0=10
A154,39- 45 = 4 4 8 8 8 4 4 0 0=40,M1,39- 45 = 4 4 8 8 8 4 4 0 0=40
A155,39- 45 = 1 2 2 2 2 1 1 0 0=11,M1,39- 45 = 1 2 2 2 2 1 1 0 0=11
A156,36- 40 = 11 1 1 1 1 0 0 0=15,Z1,36- 40 = 11 1 1 1 1 0 0 0=15
A157,40- 46 = 1 1 2 2 2 1 1 0=10,M1,40- 46 = 1 1 2 2 2 1 1 0=10
A158,39- 46 = 1 1 2 1 0 1 1 1 0=8,M1,39- 46 = 1 1 2 1 0 1 1 1 0=8
A159,26- 30 = 1 2 2 2 1 0 0 0 0 0 0=8,FLT,26- 30 = 1 2 2 2 1 0 0 0 0 0 0=8
A160,39- 43 = 1 1 2 2 2 0 0 0 0=8,M1,39- 43 = 1 1 2 2 2 0 0 0 0=8
A161,31- 36 = 1 2 2 2 2 1 0 0 0 0=10,X3,31- 36 = 1 2 2 2 2 1 0 0 0 0=10
A162,36- 40 = 2 2 3 2 1 0 0 0 0 0 0 0=10,M1,36- 40 = 2 2 3 2 1 0 0 0 0 0 0 0=10
A163,40- 45 = 1 1 2 2 2 1 0 0=9,M1,40- 45 = 1 1 2 2 2 1 0 0=9
A164,39- 45 = 1 1 1 2 2 2 1 0 0=10,M1,39- 45 = 1 1 1 2 2 2 1 0 0=10
A165,40- 45 = 2 2 1 1 2 2 0 0=10,M1,40- 45 = 2 2 1 1 2 2 0 0=10
A166,37- 40 = 2 2 2 2 0 0 0=8,Z1,37- 40 = 2 2 2 2 0 0 0=8
A167,35- 41 = 2 2 2 2 2 1 1 0 0=12,Z1,35- 41 = 2 2 2 2 2 1 1 0 0=12
A168,35- 41 = 2 2 0 2 2 1 1 0 0=10,Z1,35- 41 = 2 2 0 2 2 1 1 0 0=10
A169,35- 37 = 4 2 2 0 0 0 0 0 0=8,Z1,35- 37 = 4 2 2 0 0 0 0 0 0=8
A170,37- 40 = 3 2 2 1 0 0 0=8,Z1,37- 40 = 3 2 2 1 0 0 0=8
A171,36- 41 = 2 3 2 2 2 1 0 0=12,Z1,36- 41 = 2 3 2 2 2 1 0 0=12
A172,36- 40 = 3 3 3 2 1 0 0 0=12,Z1,36- 40 = 3 3 3 2 1 0 0 0=12
A173,36- 38 = 2 3 3 0 0 0 0 0=8,Z1,36- 38 = 2 3 3 0 0 0 0 0=8
A174,36- 38 = 2 10 3 0 0 0 0 0=15,Z1,36- 38 = 2 10 3 0 0 0 0 0=15
A175,37- 40 = 2 3 3 1 0 0 0=9,Z1,37- 40 = 2 3 3 1 0 0 0=9
A176,37- 39 = 2 3 3 0 0 0 0=8,Z1,37- 39 = 2 3 3 0 0 0 0=8
A177,34- 36 = 2 3 3 0 0 0 0 0 0 0=8,Z1,34- 36 = 2 3 3 0 0 0 0 0 0 0=8
A178,37- 42 = 3 3 1 1 1 1 0=10,Z1,37- 42 = 3 3 1 1 1 1 0=10
A179,39- 40 = 6 3 0 0 0=9,Z1,39- 40 = 6 3 0 0 0=9
A180,36- 40 = 1 3 3 3 1 0 0 0=11,Z1,36- 40 = 1 3 3 3 1 0 0 0=11
A181,37- 39 = 2 4 2 0 0 0 0=8,Z1,37- 39 = 2 4 2 0 0 0 0=8
A182,37- 40 = 2 2 3 1 0 0 0=8,Z1,37- 40 = 2 2 3 1 0 0 0=8
A183,36- 41 = 1 1 3 1 1 3 0 0=10,Z1,36- 41 = 1 1 3 1 1 3 0 0=10
A184,40- 43 = 2 2 2 2 0 0 0 0=8,M1,40- 43 = 2 2 2 2 0 0 0 0=8
A185,38- 45 = 1 1 2 2 1 1 1 1 0 0=10,M1,38- 45 = 1 1 2 2 1 1 1 1 0 0=10
A186,35- 40 = 1 2 3 2 3 1 0 0 0=12,Z1,35- 40 = 1 2 3 2 3 1 0 0 0=12
A187,36- 40 = 1 3 1 2 1 0 0 0=8,Z1,36- 40 = 1 3 1 2 1 0 0 0=8
A188,37- 41 = 5 1 3 1 2 0 0=12,Z1,37- 41 = 5 1 3 1 2 0 0=12
A189,36- 39 = 2 3 2 3 0 0 0 0=10,Z1,36- 39 = 2 3 2 3 0 0 0 0=10
A190,36- 40 = 1 4 3 3 2 0 0 0=13,Z1,36- 40 = 1 4 3 3 2 0 0 0=13
A191,37- 38 = 4 4 0 0 0 0 0=8,Z1,37- 38 = 4 4 0 0 0 0 0=8
A192,36- 42 = 1 1 2 1 1 1 1 0=8,Z1,36- 42 = 1 1 2 1 1 1 1 0=8
A193,36- 40 = 1 4 2 2 1 0 0 0=10,Z1,36- 40 = 1 4 2 2 1 0 0 0=10
A194,36- 41 = 1 2 3 2 2 1 0 0=11,Z1,36- 41 = 1 2 3 2 2 1 0 0=11
A195,42- 42 = 8 0 0 0 0 0=8,M1,42- 42 = 8 0 0 0 0 0=8
A196,43- 43 = 8 0 0 0 0=8,M1,43- 43 = 8 0 0 0 0=8
