Modul,RaporName,CmpName,CmpType,CmpParent,CmpVisible,CmpCaption,CmpTop,CmpLeft,CmpWidth,CmpHeight,CmpFont
BankaFis,<Default>,QRAdres,TQRLabel,TitleBand1,F,Adres :,57,630,41,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRAntlasma,TQRLabel,TitleBand1,F,Antlaşma :,73,662,59,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRBand1,TQRBand,QuickRep1,T,,235,19,756,26,Arial	10	-2147483640	-13	1
BankaFis,<Default>,QRBand2,TQRBand,QuickRep1,T,,209,19,756,26,Arial	10	-2147483640	-13	1
BankaFis,<Default>,QRDBT_Aciklama,TQRDBText,QRBand1,T,Aciklama,8,2,57,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRDBT_GiderKod,TQRDBText,QRBand1,F,GiderKod,8,66,58,17,MS Sans Serif	10	-16777208	-13	1
BankaFis,<Default>,QRDBT_GiderTanim,TQRDBText,QRBand1,F,GiderTanim,8,130,72,17,MS Sans Serif	10	-16777208	-13	1
BankaFis,<Default>,QRDBT_Masraf,TQRDBText,QRBand1,T,Masraf,8,370,42,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRDBT_MasrafTipi,TQRDBText,QRBand1,T,GiderTip,8,506,54,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRDBT_Tarih1,TQRDBText,QRBand1,T,Tarih1,8,370,39,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRDBT_Tarih2,TQRDBText,QRBand1,T,Tarih2,8,506,39,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRDBT_Tutar,TQRDBText,QRBand1,T,Tutar,8,234,32,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRDBT_Vade,TQRDBText,QRBand1,T,VadeOran,8,635,63,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRDBText1,TQRDBText,QRBand1,F,cbpg,32,2,32,17,MS Sans Serif	10	-16777208	-13	1
BankaFis,<Default>,QRFaks,TQRLabel,TitleBand1,F,Faks :,57,646,33,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRGenTop,TQRLabel,SummaryBand,F,Toplam,21,3,46,16,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRL_EvrakNo,TQRLabel,TitleBand1,T,QRL_islem,48,457,67,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRL_Hesap1,TQRLabel,TitleBand1,T,QRL_islem,120,10,67,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRL_Hesap2,TQRLabel,TitleBand1,T,QRL_islem,136,10,67,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRL_Hesap3,TQRLabel,TitleBand1,T,QRL_islem,152,10,67,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRL_islem,TQRLabel,TitleBand1,T,QRL_islem,48,90,65,17,Arial	10	-2147483640	-13	1
BankaFis,<Default>,QRL_Karsi1,TQRLabel,TitleBand1,T,QRL_islem,120,377,67,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRL_Karsi2,TQRLabel,TitleBand1,T,QRL_islem,136,377,67,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRL_Karsi3,TQRLabel,TitleBand1,T,QRL_islem,152,377,67,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRL_Lokasyon,TQRLabel,TitleBand1,T,QRL_islem,72,90,65,17,Arial	10	-2147483640	-13	1
BankaFis,<Default>,QRL_Tarih,TQRLabel,TitleBand1,T,QRL_islem,72,457,67,17,MS Sans Serif	10	-2147483640	-13	1
BankaFis,<Default>,QRNot,TQRLabel,TitleBand1,F,Not : ,73,670,28,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QROzKod3,TQRLabel,TitleBand1,F,Özel Kod 3 :,73,630,64,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QROzKod4,TQRLabel,TitleBand1,F,Özel Kod 4 :,73,638,64,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QROzKod5,TQRLabel,TitleBand1,F,Özel Kod 5 :,73,646,64,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRPKodu,TQRLabel,TitleBand1,F,P. Kodu,57,678,42,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRSehir,TQRLabel,TitleBand1,F,Şehir,57,670,30,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRShape1,TQRShape,TitleBand1,F,QRShape1,36,0,757,17,Arial	10	-16777208	-13	1
BankaFis,<Default>,QRSysData_Baslik,TQRSysData,TitleBand1,F,(Report title),4,328,134,28,Arial	18	0	-24	1
BankaFis,<Default>,QRTel,TQRLabel,TitleBand1,F,Telefon :,57,638,49,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRTSN,TQRLabel,TitleBand1,F,Tic. Sic. No :,57,686,65,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRVDaire,TQRLabel,TitleBand1,F,V. Dairesi,57,654,53,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRVNo,TQRLabel,TitleBand1,F,V. Numarası,57,662,67,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRYalniz,TQRLabel,SummaryBand,F,Yalnız,45,3,46,16,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,QRYetkili,TQRLabel,TitleBand1,F,Yetkililer :,73,654,56,17,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,SummaryBand,TQRBand,QuickRep1,F,,225,2,790,65,Arial	10	-16777208	-13	1
BankaFis,<Default>,TitleBand1,TQRBand,QuickRep1,T,,38,19,756,171,Arial	10	-2147483640	-13	1
BankaFis,<Default>,XQRAdres,TQRMemo,TitleBand1,F,XQRAdres,112,616,61,17,Arial	10	-16777208	-13	1
BankaFis,<Default>,XQRAntlasma,TQRMemo,TitleBand1,F,XQRAntlasma,112,688,82,17,Arial	10	-16777208	-13	1
BankaFis,<Default>,xQRFaks,TQRLabel,TitleBand1,F,XQRFaks,105,632,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,xQRGenTop,TQRLabel,SummaryBand,F,[Toplam],21,51,50,16,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,xQRL_Aciklama,TQRLabel,QRBand2,T,Açıklama,8,2,60,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_Catalog,TQRLabel,TitleBand1,F,xQRL_Catalog,149,620,85,17,Arial	10	-16777208	-13	1
BankaFis,<Default>,xQRL_EvrakNo,TQRLabel,TitleBand1,T,Evrak No,48,378,57,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_Hesap,TQRLabel,TitleBand1,T,Hesap,96,10,40,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_islem,TQRLabel,TitleBand1,T,İşlem Türü,48,10,68,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_KarsiHesap,TQRLabel,TitleBand1,T,Karşı Hesap Bilgileri,96,378,130,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_Lokasyon,TQRLabel,TitleBand1,T,Lokasyon,72,10,61,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_Masraf,TQRLabel,QRBand2,T,Masraf,8,370,43,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_MasrafTipi,TQRLabel,QRBand2,T,Masraf Tipi,8,506,71,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_Tarih,TQRLabel,TitleBand1,T,Tarih,72,378,34,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_Tarih1,TQRLabel,QRBand2,T,Başlangıç,8,370,63,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_Tarih2,TQRLabel,QRBand2,T,Bitiş,8,506,28,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_Tutar,TQRLabel,QRBand2,T,Tutar,8,234,34,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,xQRL_Vade,TQRLabel,QRBand2,T,Vade Oranı,8,626,73,17,Arial	10	-2147483640	-13	1	fsBold
BankaFis,<Default>,XQRNot,TQRMemo,TitleBand1,F,XQRNot,120,648,47,17,Arial	10	-16777208	-13	1
BankaFis,<Default>,XQROzKod3,TQRLabel,TitleBand1,F,XQROzKod3,121,616,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,XQROzKod4,TQRLabel,TitleBand1,F,XQROzKod4,121,624,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,XQROzKod5,TQRLabel,TitleBand1,F,XQROzKod5,121,632,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,xQRPKodu,TQRLabel,TitleBand1,F,XQRPKodu,105,664,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,xQRSehir,TQRLabel,TitleBand1,F,XQRSehir,105,656,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,xQRTel,TQRLabel,TitleBand1,F,XQRTel,105,624,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,XQRTSN,TQRLabel,TitleBand1,F,XQRTSN,105,672,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,xQRVDaire,TQRLabel,TitleBand1,F,XQRVDaire,105,640,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,xQRVNo,TQRLabel,TitleBand1,F,XQRVNo,105,648,57,17,Arial	8	-16777208	-11	1
BankaFis,<Default>,xQRYalniz,TQRLabel,SummaryBand,F,[Yalnız],45,51,638,16,Arial	8	-16777208	-11	1	fsBold
BankaFis,<Default>,XQRYetkili,TQRLabel,TitleBand1,F,XQRYetkili,121,640,57,17,Arial	8	-16777208	-11	1
BankaHar,<Default>,ColumnHeaderBand1,TQRBand,QuickRep1,T,,97,48,698,19,Arial	10	-2147483640	-13	1
BankaHar,<Default>,DetailBand1,TQRBand,QuickRep1,T,,135,48,698,18,Arial	10	-2147483640	-13	1
BankaHar,<Default>,PageFooterBand1,TQRBand,QuickRep1,T,,225,48,698,24,Arial	10	-2147483640	-13	1
BankaHar,<Default>,QRDBKonum,TQRDBText,DetailBand1,T,Karsi,1,37,84,15,Arial	8	-2147483640	-11	1
BankaHar,<Default>,QRDevir,TQRLabel,ColumnHeaderBand1,F,Devir,19,338,34,17,Arial	10	-16777208	-13	1	fsBold
BankaHar,<Default>,QRGroup1,TQRGroup,QuickRep1,F,,116,48,698,19,Arial	10	-16777208	-13	1
BankaHar,<Default>,QRGroupFooter1,TQRBand,QuickRep1,T,,153,48,698,72,Arial	10	-2147483640	-13	1
BankaHar,<Default>,QRL_ToplamBakiye,TQRLabel,QRGroupFooter1,F,TOPLAM BAKİYE,48,273,107,17,Arial	10	-16777208	-13	1	fsBold
BankaHar,<Default>,QRLabel1,TQRLabel,ColumnHeaderBand1,F,Bakiye,0,656,37,17,Arial	8	128	-11	1	fsBold
BankaHar,<Default>,TitleBand1,TQRBand,QuickRep1,T,,48,48,698,49,Arial	10	-2147483640	-13	1
BankaHar,<Default>,xQR_BSHTanim,TQRLabel,TitleBand1,F,QR_BSHTanim,47,4,245,17,Arial	10	-16777208	-13	1
BankaHar,<Default>,xQRAlacak,TQRLabel,ColumnHeaderBand1,T,Alacak,0,654,37,17,Arial	8	128	-11	1	fsBold
BankaHar,<Default>,xQRAlaDev,TQRLabel,ColumnHeaderBand1,F,Alacak Devri,19,489,100,17,Arial	10	-16777208	-13	1	fsBold
BankaHar,<Default>,xQRBak,TQRLabel,DetailBand1,F,Bakiye,1,593,100,15,Arial	8	-16777208	-11	1
BankaHar,<Default>,xQRBorc,TQRLabel,ColumnHeaderBand1,T,Borç,0,523,26,17,Arial	8	128	-11	1	fsBold
BankaHar,<Default>,xQRBorcDev,TQRLabel,ColumnHeaderBand1,F,Borç Devri,19,386,100,17,Arial	10	-16777208	-13	1	fsBold
BankaHar,<Default>,xQRDBAlacak,TQRDBText,DetailBand1,T,Alacak,1,593,100,15,Arial	8	-2147483640	-11	1
BankaHar,<Default>,xQRDBBorc,TQRDBText,DetailBand1,T,Borc,1,450,100,15,Arial	8	-2147483640	-11	1
BankaHar,<Default>,xQRDBCari,TQRDBText,DetailBand1,T,islem,1,131,110,15,Arial	8	-2147483640	-11	1
BankaHar,<Default>,xQRDBTanim,TQRDBText,DetailBand1,T,Aciklama,1,256,161,15,Arial	8	-2147483640	-11	1
BankaHar,<Default>,xQRDBText5,TQRDBText,QRGroup1,T,Tarih,0,73,160,17,Arial	8	-2147483640	-11	1
BankaHar,<Default>,xQRDevBak,TQRLabel,ColumnHeaderBand1,F,Bakiye,19,593,100,17,Arial	10	-16777208	-13	1	fsBold
BankaHar,<Default>,xQRL_AlacakBakiye,TQRLabel,QRGroupFooter1,T,TOPLAM BAKİYE,48,586,107,17,Arial	10	-2147483640	-13	1	fsBold
BankaHar,<Default>,xQRL_Bakiye,TQRLabel,QRGroupFooter1,F,Bakiye,48,593,100,17,Arial	10	-16777208	-13	1	fsBold
BankaHar,<Default>,xQRL_BorcBakiye,TQRLabel,QRGroupFooter1,T,TOPLAM BAKİYE,48,444,107,17,Arial	10	-2147483640	-13	1	fsBold
BankaHar,<Default>,xQRL_Catalog,TQRLabel,TitleBand1,F,xQRL_Catalog,29,282,135,17,Arial	10	-16777208	-13	1
BankaHar,<Default>,xQRL_Location,TQRLabel,TitleBand1,T,QRL_Location,29,4,83,17,Arial	10	-2147483640	-13	1
BankaHar,<Default>,xQRL_SayfaNo,TQRSysData,PageFooterBand1,F,Page (Page#),4,8,80,17,Arial	10	-16777208	-13	1
BankaHar,<Default>,xQRL_Tarih,TQRLabel,TitleBand1,F,01.01.2000 - 01.01.2005,29,554,141,17,Arial	10	-16777208	-13	1
BankaHar,<Default>,xQRL_Toplam,TQRLabel,QRGroupFooter1,T,TOPLAM,8,636,56,17,Arial	10	-2147483640	-13	1	fsBold
BankaHar,<Default>,xQRL_ToplamBakiye,TQRLabel,QRGroupFooter1,T,TOPLAM BAKİYE,48,265,107,17,Arial	10	-2147483640	-13	1	fsBold
BankaHar,<Default>,xQRLabel3,TQRLabel,QRGroup1,T,Tarih,0,4,29,17,Arial	8	128	-11	1	fsBold
BankaHar,<Default>,xQRSysData_Baslik,TQRSysData,TitleBand1,F,(Report title),4,282,134,28,Arial	18	0	-24	1
Cariislem,<Default>,ColumnHeaderBand1,TQRBand,YzcCariislem,T,,133,38,718,18,Arial	10	-2147483640	-13	1
Cariislem,<Default>,DetailBand1,TQRBand,YzcCariislem,T,,151,38,718,19,Arial	10	-2147483640	-13	1
Cariislem,<Default>,PageFooterBand1,TQRBand,YzcCariislem,T,,200,38,718,24,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRAciklama,TQRLabel,QRBand1,F,Açıklama,13,675,37,16,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRAciklama2,TQRLabel,QRBand1,F,Açıklama 2,13,683,37,16,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRAciklama3,TQRLabel,QRBand1,F,Açıklama 3,13,691,37,16,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRAdres,TQRLabel,ColumnHeaderBand1,F,Adres :,1,622,41,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRAntlasma,TQRLabel,ColumnHeaderBand1,F,Antlaşma :,17,654,59,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRBakiye,TQRLabel,ColumnHeaderBand1,F,Bakiye :,1,686,43,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRBand1,TQRBand,YzcCariislem,T,,170,38,718,30,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRBelgeNo,TQRLabel,TitleBand1,T,Belge No :,72,21,55,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRBrutToplam,TQRLabel,QRBand1,F,Brut Toplam,23,337,68,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRcbpg,TQRLabel,ColumnHeaderBand1,T,Kod,-1,0,22,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRCKod,TQRLabel,TitleBand1,T,Cari :,72,199,29,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QREvrakNo,TQRLabel,ColumnHeaderBand1,T,Evrak No,-1,615,48,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRFaks,TQRLabel,ColumnHeaderBand1,F,Faks :,1,638,33,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRFisNo,TQRLabel,TitleBand1,T,Fiş No :,49,22,40,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRFisTar,TQRLabel,TitleBand1,T,Fiş Tarihi :,48,151,57,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRKarsiCari,TQRLabel,ColumnHeaderBand1,F,Karşı Cari :,1,670,60,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRKesToplam,TQRLabel,QRBand1,F,Kesinti Toplamı,40,319,86,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRKTanim,TQRLabel,ColumnHeaderBand1,T,Tanim,-1,110,35,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRKur1,TQRLabel,QRBand1,F,EU/TL,15,225,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur10,TQRLabel,QRBand1,F,EU/TL,15,240,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur11,TQRLabel,QRBand1,F,US/TL,35,240,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur12,TQRLabel,QRBand1,F,EU/US,44,103,113,17,Arial	10	-2147483640	-13	162
Cariislem,<Default>,QRKur2,TQRLabel,QRBand1,F,EU/US,35,225,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur3,TQRLabel,QRBand1,F,EU/US,55,225,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur4,TQRLabel,QRBand1,F,EU/TL,15,230,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur5,TQRLabel,QRBand1,F,US/TL,35,230,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur6,TQRLabel,QRBand1,F,EU/US,55,230,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur7,TQRLabel,QRBand1,F,EU/TL,15,235,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur8,TQRLabel,QRBand1,F,US/TL,35,235,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRKur9,TQRLabel,QRBand1,F,EU/US,55,235,110,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRNetToplam,TQRLabel,QRBand1,F,Net Toplam,57,342,63,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRNot,TQRLabel,ColumnHeaderBand1,F,Not : ,17,662,28,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QROzKod1,TQRLabel,TitleBand1,T,Özel Kod 1 :,48,327,64,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QROzKod2,TQRLabel,TitleBand1,T,Özel Kod 2 :,48,503,64,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QROzKod3,TQRLabel,ColumnHeaderBand1,F,Özel Kod 3 :,17,622,64,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QROzKod4,TQRLabel,ColumnHeaderBand1,F,Özel Kod 4 :,17,630,64,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QROzKod5,TQRLabel,ColumnHeaderBand1,F,Özel Kod 5 :,17,638,64,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRParaCinsi,TQRLabel,ColumnHeaderBand1,T,Kur,-1,589,20,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRPKodu,TQRLabel,ColumnHeaderBand1,F,P. Kodu,1,670,42,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRSehir,TQRLabel,ColumnHeaderBand1,F,Şehir,1,662,30,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRSysData1,TQRSysData,TitleBand1,F,(Report title),4,292,134,28,Arial	18	0	-24	1
Cariislem,<Default>,QRSysData2,TQRSysData,PageFooterBand1,F,Page (Page#),4,8,80,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,QRTanim,TQRLabel,ColumnHeaderBand1,T,Tanim,-1,270,35,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRTel,TQRLabel,ColumnHeaderBand1,F,Telefon :,1,630,49,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRToplam,TQRLabel,QRBand1,T,Toplam,6,339,42,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRTSN,TQRLabel,ColumnHeaderBand1,F,Tic. Sic. No :,1,678,65,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRTutar,TQRLabel,ColumnHeaderBand1,T,Tutar,-1,548,30,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRVDaire,TQRLabel,ColumnHeaderBand1,F,V. Dairesi,1,646,53,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRVNo,TQRLabel,ColumnHeaderBand1,F,V. Numarası,1,654,67,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRYalniz,TQRLabel,QRBand1,F,Yalnız,5,3,37,16,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,QRYetkili,TQRLabel,ColumnHeaderBand1,F,Yetkililer :,17,646,56,17,Arial	8	-2147483640	-11	1	fsBold
Cariislem,<Default>,TitleBand1,TQRBand,YzcCariislem,T,,38,38,718,95,Arial	10	-2147483640	-13	1
Cariislem,<Default>,XQRAdres,TQRMemo,DetailBand1,F,XQRAdres,8,592,61,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,XQRAntlasma,TQRMemo,DetailBand1,F,XQRAntlasma,8,664,82,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,XQRBakiye,TQRLabel,DetailBand1,F,XQRBakiye,1,656,57,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,XQRBelgeNo,TQRLabel,TitleBand1,T,XQRBelgeNo,72,78,97,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,xQRBrutToplam,TQRLabel,QRBand1,F,xQRBrutToplam,23,417,161,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,XQRcbpg,TQRDBText,DetailBand1,T,cbpg,0,0,105,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,XQRCKod,TQRLabel,TitleBand1,T,XQRCKod,72,232,97,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,XQRCName,TQRLabel,TitleBand1,T,XQRCName,72,336,377,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,XQREvrakNo,TQRDBText,DetailBand1,T,EvrakNo,0,615,100,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,xQRFaks,TQRLabel,DetailBand1,F,XQRFaks,1,608,57,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,XQRFisNo,TQRLabel,TitleBand1,T,XQRFisNo,49,64,57,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,XQRFisTar,TQRLabel,TitleBand1,T,XQRFisTar,48,208,97,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,xQRKarsiCari,TQRLabel,DetailBand1,F,XQRKarsiCari,1,640,57,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,xQRKesToplam,TQRLabel,QRBand1,F,xQRKesToplam,40,417,161,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,XQRKTanim,TQRLabel,DetailBand1,T,Tanim,0,110,155,17,Arial	8	-2147483640	-11	1
Cariislem,<Default>,xQRL_Catalog,TQRLabel,TitleBand1,F,xQRL_Catalog,6,9,85,17,Arial	10	-2147483640	-13	1
Cariislem,<Default>,XQRLocation,TQRLabel,TitleBand1,T,XQRLocation,31,6,225,15,Arial	8	-2147483640	-11	1
