Tarih,DOV_KOD,DOV_BazKOD,carpan
2003-06-02,YTL,TL,1000000.0
2003-06-03,YTL,TL,1000000.0
2003-06-04,YTL,TL,1000000.0
2003-06-05,YTL,TL,1000000.0
2003-06-06,YTL,TL,1000000.0
2003-06-07,YTL,TL,1000000.0
2003-06-08,YTL,TL,1000000.0
2003-06-09,YTL,TL,1000000.0
2003-06-10,YTL,TL,1000000.0
2003-06-11,YTL,TL,1000000.0
2003-06-12,YTL,TL,1000000.0
2003-06-13,YTL,TL,1000000.0
2003-06-14,YTL,TL,1000000.0
2003-06-15,YTL,TL,1000000.0
2003-06-16,YTL,TL,1000000.0
2003-06-17,YTL,TL,1000000.0
2003-06-18,YTL,TL,1000000.0
2003-06-19,YTL,TL,1000000.0
2003-06-20,YTL,TL,1000000.0
2003-06-21,YTL,TL,1000000.0
2003-06-22,YTL,TL,1000000.0
2003-06-23,YTL,TL,1000000.0
2003-06-24,YTL,TL,1000000.0
2003-06-25,YTL,TL,1000000.0
2003-06-26,YTL,TL,1000000.0
2003-06-27,YTL,TL,1000000.0
2003-06-28,YTL,TL,1000000.0
2003-06-29,YTL,TL,1000000.0
2003-06-30,YTL,TL,1000000.0
2003-07-01,YTL,TL,1000000.0
2003-07-02,YTL,TL,1000000.0
2003-07-03,YTL,TL,1000000.0
2003-07-04,YTL,TL,1000000.0
2003-07-05,YTL,TL,1000000.0
2003-07-06,YTL,TL,1000000.0
2003-07-07,YTL,TL,1000000.0
2003-07-08,YTL,TL,1000000.0
2003-07-09,YTL,TL,1000000.0
2003-07-10,YTL,TL,1000000.0
2003-07-11,YTL,TL,1000000.0
2003-07-12,YTL,TL,1000000.0
2003-07-13,YTL,TL,1000000.0
2003-07-14,YTL,TL,1000000.0
2003-07-15,YTL,TL,1000000.0
2003-07-16,YTL,TL,1000000.0
2003-07-17,YTL,TL,1000000.0
2003-07-18,YTL,TL,1000000.0
2003-07-19,YTL,TL,1000000.0
2003-07-20,YTL,TL,1000000.0
2003-07-21,YTL,TL,1000000.0
2003-07-22,YTL,TL,1000000.0
2003-07-23,YTL,TL,1000000.0
2003-07-24,YTL,TL,1000000.0
2003-07-25,YTL,TL,1000000.0
2003-07-26,YTL,TL,1000000.0
2003-07-27,YTL,TL,1000000.0
2003-07-28,YTL,TL,1000000.0
2003-07-29,YTL,TL,1000000.0
2003-07-30,YTL,TL,1000000.0
2003-07-31,YTL,TL,1000000.0
2003-08-01,YTL,TL,1000000.0
2003-08-02,YTL,TL,1000000.0
2003-08-03,YTL,TL,1000000.0
2003-08-04,YTL,TL,1000000.0
2003-08-05,YTL,TL,1000000.0
2003-08-06,YTL,TL,1000000.0
2003-08-07,YTL,TL,1000000.0
2003-08-08,YTL,TL,1000000.0
2003-08-09,YTL,TL,1000000.0
2003-08-10,YTL,TL,1000000.0
2003-08-11,YTL,TL,1000000.0
2003-08-12,YTL,TL,1000000.0
2003-08-13,YTL,TL,1000000.0
2003-08-14,YTL,TL,1000000.0
2003-08-15,YTL,TL,1000000.0
2003-08-16,YTL,TL,1000000.0
2003-08-17,YTL,TL,1000000.0
2003-08-18,YTL,TL,1000000.0
2003-08-19,YTL,TL,1000000.0
2003-08-20,YTL,TL,1000000.0
2003-08-21,YTL,TL,1000000.0
2003-08-22,YTL,TL,1000000.0
2003-08-23,YTL,TL,1000000.0
2003-08-24,YTL,TL,1000000.0
2003-08-25,YTL,TL,1000000.0
2003-08-26,YTL,TL,1000000.0
2003-08-27,YTL,TL,1000000.0
2003-08-28,YTL,TL,1000000.0
2003-08-29,YTL,TL,1000000.0
2003-08-30,YTL,TL,1000000.0
2003-08-31,YTL,TL,1000000.0
2003-09-01,YTL,TL,1000000.0
2003-09-02,YTL,TL,1000000.0
2003-09-03,YTL,TL,1000000.0
2003-09-04,YTL,TL,1000000.0
2003-09-05,YTL,TL,1000000.0
2003-09-06,YTL,TL,1000000.0
2003-09-07,YTL,TL,1000000.0
2003-09-08,YTL,TL,1000000.0
2003-09-09,YTL,TL,1000000.0
2003-09-10,YTL,TL,1000000.0
2003-09-11,YTL,TL,1000000.0
2003-09-12,YTL,TL,1000000.0
2003-09-13,YTL,TL,1000000.0
2003-09-14,YTL,TL,1000000.0
2003-09-15,YTL,TL,1000000.0
2003-09-16,YTL,TL,1000000.0
2003-09-17,YTL,TL,1000000.0
2003-09-18,YTL,TL,1000000.0
2003-09-19,YTL,TL,1000000.0
2003-09-20,YTL,TL,1000000.0
2003-09-21,YTL,TL,1000000.0
2003-09-22,YTL,TL,1000000.0
2003-09-23,YTL,TL,1000000.0
2003-09-24,YTL,TL,1000000.0
2003-09-25,YTL,TL,1000000.0
2003-09-26,YTL,TL,1000000.0
2003-09-27,YTL,TL,1000000.0
2003-09-28,YTL,TL,1000000.0
2003-09-29,YTL,TL,1000000.0
2003-09-30,YTL,TL,1000000.0
2003-10-01,YTL,TL,1000000.0
2003-10-02,YTL,TL,1000000.0
2003-10-03,YTL,TL,1000000.0
2003-10-04,YTL,TL,1000000.0
2003-10-05,YTL,TL,1000000.0
2003-10-06,YTL,TL,1000000.0
2003-10-07,YTL,TL,1000000.0
2003-10-08,YTL,TL,1000000.0
2003-10-09,YTL,TL,1000000.0
2003-10-10,YTL,TL,1000000.0
2003-10-11,YTL,TL,1000000.0
2003-10-12,YTL,TL,1000000.0
2003-10-13,YTL,TL,1000000.0
2003-10-14,YTL,TL,1000000.0
2003-10-15,YTL,TL,1000000.0
2003-10-16,YTL,TL,1000000.0
2003-10-17,YTL,TL,1000000.0
2003-10-18,YTL,TL,1000000.0
2003-10-19,YTL,TL,1000000.0
2003-10-20,YTL,TL,1000000.0
2003-10-21,YTL,TL,1000000.0
2003-10-22,YTL,TL,1000000.0
2003-10-23,YTL,TL,1000000.0
2003-10-24,YTL,TL,1000000.0
2003-10-25,YTL,TL,1000000.0
2003-10-26,YTL,TL,1000000.0
2003-10-27,YTL,TL,1000000.0
2003-10-28,YTL,TL,1000000.0
2003-10-29,YTL,TL,1000000.0
2003-10-30,YTL,TL,1000000.0
2003-10-31,YTL,TL,1000000.0
2003-11-01,YTL,TL,1000000.0
2003-11-02,YTL,TL,1000000.0
2003-11-03,YTL,TL,1000000.0
2003-11-04,YTL,TL,1000000.0
2003-11-05,YTL,TL,1000000.0
2003-11-06,YTL,TL,1000000.0
2003-11-07,YTL,TL,1000000.0
2003-11-08,YTL,TL,1000000.0
2003-11-09,YTL,TL,1000000.0
2003-11-10,YTL,TL,1000000.0
2003-11-11,YTL,TL,1000000.0
2003-11-12,YTL,TL,1000000.0
2003-11-13,YTL,TL,1000000.0
2003-11-14,YTL,TL,1000000.0
2003-11-15,YTL,TL,1000000.0
2003-11-16,YTL,TL,1000000.0
2003-11-17,YTL,TL,1000000.0
2003-11-18,YTL,TL,1000000.0
2003-11-19,YTL,TL,1000000.0
2003-11-20,YTL,TL,1000000.0
2003-11-21,YTL,TL,1000000.0
2003-11-22,YTL,TL,1000000.0
2003-11-23,YTL,TL,1000000.0
2003-11-24,YTL,TL,1000000.0
2003-11-25,YTL,TL,1000000.0
2003-11-26,YTL,TL,1000000.0
2003-11-27,YTL,TL,1000000.0
2003-11-28,YTL,TL,1000000.0
2003-11-29,YTL,TL,1000000.0
2003-11-30,YTL,TL,1000000.0
2003-12-01,YTL,TL,1000000.0
2003-12-02,YTL,TL,1000000.0
2003-12-03,YTL,TL,1000000.0
2003-12-04,YTL,TL,1000000.0
2003-12-05,YTL,TL,1000000.0
2003-12-06,YTL,TL,1000000.0
2003-12-07,YTL,TL,1000000.0
2003-12-08,YTL,TL,1000000.0
2003-12-09,YTL,TL,1000000.0
2003-12-10,YTL,TL,1000000.0
2003-12-11,YTL,TL,1000000.0
2003-12-12,YTL,TL,1000000.0
2003-12-13,YTL,TL,1000000.0
2003-12-14,YTL,TL,1000000.0
2003-12-15,YTL,TL,1000000.0
2003-12-16,YTL,TL,1000000.0
2003-12-17,YTL,TL,1000000.0
2003-12-18,YTL,TL,1000000.0
2003-12-19,YTL,TL,1000000.0
2003-12-20,YTL,TL,1000000.0
2003-12-21,YTL,TL,1000000.0
2003-12-22,YTL,TL,1000000.0
2003-12-23,YTL,TL,1000000.0
2003-12-24,YTL,TL,1000000.0
2003-12-25,YTL,TL,1000000.0
2003-12-26,YTL,TL,1000000.0
2003-12-27,YTL,TL,1000000.0
2003-12-28,YTL,TL,1000000.0
2003-12-29,YTL,TL,1000000.0
2003-12-30,YTL,TL,1000000.0
2003-12-31,YTL,TL,1000000.0
2004-01-01,YTL,TL,1000000.0
2004-01-02,YTL,TL,1000000.0
2004-01-03,YTL,TL,1000000.0
2004-01-04,YTL,TL,1000000.0
2004-01-05,YTL,TL,1000000.0
2004-01-06,YTL,TL,1000000.0
2004-01-07,YTL,TL,1000000.0
2004-01-08,YTL,TL,1000000.0
2004-01-09,YTL,TL,1000000.0
2004-01-10,YTL,TL,1000000.0
2004-01-11,YTL,TL,1000000.0
2004-01-12,YTL,TL,1000000.0
2004-01-13,YTL,TL,1000000.0
2004-01-14,YTL,TL,1000000.0
2004-01-15,YTL,TL,1000000.0
2004-01-16,YTL,TL,1000000.0
2004-01-17,YTL,TL,1000000.0
2004-01-18,YTL,TL,1000000.0
2004-01-19,YTL,TL,1000000.0
2004-01-20,YTL,TL,1000000.0
2004-01-21,YTL,TL,1000000.0
2004-01-22,YTL,TL,1000000.0
2004-01-23,YTL,TL,1000000.0
2004-01-24,YTL,TL,1000000.0
2004-01-25,YTL,TL,1000000.0
2004-01-26,YTL,TL,1000000.0
2004-01-27,YTL,TL,1000000.0
2004-01-28,YTL,TL,1000000.0
2004-01-29,YTL,TL,1000000.0
2004-01-30,YTL,TL,1000000.0
2004-01-31,YTL,TL,1000000.0
2004-02-01,YTL,TL,1000000.0
2004-02-02,YTL,TL,1000000.0
2004-02-03,YTL,TL,1000000.0
2004-02-04,YTL,TL,1000000.0
2004-02-05,YTL,TL,1000000.0
2004-02-06,YTL,TL,1000000.0
2004-02-07,YTL,TL,1000000.0
2004-02-08,YTL,TL,1000000.0
2004-02-09,YTL,TL,1000000.0
2004-02-10,YTL,TL,1000000.0
2004-02-11,YTL,TL,1000000.0
2004-02-12,YTL,TL,1000000.0
2004-02-13,YTL,TL,1000000.0
2004-02-14,YTL,TL,1000000.0
2004-02-15,YTL,TL,1000000.0
2004-02-16,YTL,TL,1000000.0
2004-02-17,YTL,TL,1000000.0
2004-02-18,YTL,TL,1000000.0
2004-02-19,YTL,TL,1000000.0
2004-02-20,YTL,TL,1000000.0
2004-02-21,YTL,TL,1000000.0
2004-02-22,YTL,TL,1000000.0
2004-02-23,YTL,TL,1000000.0
2004-02-24,YTL,TL,1000000.0
2004-02-25,YTL,TL,1000000.0
2004-02-26,YTL,TL,1000000.0
2004-02-27,YTL,TL,1000000.0
2004-02-28,YTL,TL,1000000.0
2004-02-29,YTL,TL,1000000.0
2004-03-01,YTL,TL,1000000.0
2004-03-02,YTL,TL,1000000.0
2004-03-03,YTL,TL,1000000.0
2004-03-04,YTL,TL,1000000.0
2004-03-05,YTL,TL,1000000.0
2004-03-06,YTL,TL,1000000.0
2004-03-07,YTL,TL,1000000.0
2004-03-08,YTL,TL,1000000.0
2004-03-09,YTL,TL,1000000.0
2004-03-10,YTL,TL,1000000.0
2004-03-11,YTL,TL,1000000.0
2004-03-12,YTL,TL,1000000.0
2004-03-13,YTL,TL,1000000.0
2004-03-14,YTL,TL,1000000.0
2004-03-15,YTL,TL,1000000.0
2004-03-16,YTL,TL,1000000.0
2004-03-17,YTL,TL,1000000.0
2004-03-18,YTL,TL,1000000.0
2004-03-19,YTL,TL,1000000.0
2004-03-20,YTL,TL,1000000.0
2004-03-21,YTL,TL,1000000.0
2004-03-22,YTL,TL,1000000.0
2004-03-23,YTL,TL,1000000.0
2004-03-24,YTL,TL,1000000.0
2004-03-25,YTL,TL,1000000.0
2004-03-26,YTL,TL,1000000.0
2004-03-27,YTL,TL,1000000.0
2004-03-28,YTL,TL,1000000.0
2004-03-29,YTL,TL,1000000.0
2004-03-30,YTL,TL,1000000.0
2004-03-31,YTL,TL,1000000.0
2004-04-01,YTL,TL,1000000.0
2004-04-02,YTL,TL,1000000.0
2004-04-03,YTL,TL,1000000.0
2004-04-04,YTL,TL,1000000.0
2004-04-05,YTL,TL,1000000.0
2004-04-06,YTL,TL,1000000.0
2004-04-07,YTL,TL,1000000.0
2004-04-08,YTL,TL,1000000.0
2004-04-09,YTL,TL,1000000.0
2004-04-10,YTL,TL,1000000.0
2004-04-11,YTL,TL,1000000.0
2004-04-12,YTL,TL,1000000.0
2004-04-13,YTL,TL,1000000.0
2004-04-14,YTL,TL,1000000.0
2004-04-15,YTL,TL,1000000.0
2004-04-16,YTL,TL,1000000.0
2004-04-17,YTL,TL,1000000.0
2004-04-18,YTL,TL,1000000.0
2004-04-19,YTL,TL,1000000.0
2004-04-20,YTL,TL,1000000.0
2004-04-21,YTL,TL,1000000.0
2004-04-22,YTL,TL,1000000.0
2004-04-23,YTL,TL,1000000.0
2004-04-24,YTL,TL,1000000.0
2004-04-25,YTL,TL,1000000.0
2004-04-26,YTL,TL,1000000.0
2004-04-27,YTL,TL,1000000.0
2004-04-28,YTL,TL,1000000.0
2004-04-29,YTL,TL,1000000.0
2004-04-30,YTL,TL,1000000.0
2004-05-01,YTL,TL,1000000.0
2004-05-02,YTL,TL,1000000.0
2004-05-03,YTL,TL,1000000.0
2004-05-04,YTL,TL,1000000.0
2004-05-05,YTL,TL,1000000.0
2004-05-06,YTL,TL,1000000.0
2004-05-07,YTL,TL,1000000.0
2004-05-08,YTL,TL,1000000.0
2004-05-09,YTL,TL,1000000.0
2004-05-10,YTL,TL,1000000.0
2004-05-11,YTL,TL,1000000.0
2004-05-12,YTL,TL,1000000.0
2004-05-13,YTL,TL,1000000.0
2004-05-14,YTL,TL,1000000.0
2004-05-15,YTL,TL,1000000.0
2004-05-16,YTL,TL,1000000.0
2004-05-17,YTL,TL,1000000.0
2004-05-18,YTL,TL,1000000.0
2004-05-19,YTL,TL,1000000.0
2004-05-20,YTL,TL,1000000.0
2004-05-21,YTL,TL,1000000.0
2004-05-22,YTL,TL,1000000.0
2004-05-23,YTL,TL,1000000.0
2004-05-24,YTL,TL,1000000.0
2004-05-25,YTL,TL,1000000.0
2004-05-26,YTL,TL,1000000.0
2004-05-27,YTL,TL,1000000.0
2004-05-28,YTL,TL,1000000.0
2004-05-29,YTL,TL,1000000.0
2004-05-30,YTL,TL,1000000.0
2004-05-31,YTL,TL,1000000.0
2004-06-01,YTL,TL,1000000.0
2004-06-02,YTL,TL,1000000.0
2004-06-03,YTL,TL,1000000.0
2004-06-04,YTL,TL,1000000.0
2004-06-05,YTL,TL,1000000.0
2004-06-06,YTL,TL,1000000.0
2004-06-07,YTL,TL,1000000.0
2004-06-08,YTL,TL,1000000.0
2004-06-09,YTL,TL,1000000.0
2004-06-10,YTL,TL,1000000.0
2004-06-11,YTL,TL,1000000.0
2004-06-12,YTL,TL,1000000.0
2004-06-13,YTL,TL,1000000.0
2004-06-14,YTL,TL,1000000.0
2004-06-15,YTL,TL,1000000.0
2004-06-16,YTL,TL,1000000.0
2004-06-17,YTL,TL,1000000.0
2004-06-18,YTL,TL,1000000.0
2004-06-19,YTL,TL,1000000.0
2004-06-20,YTL,TL,1000000.0
2004-06-21,YTL,TL,1000000.0
2004-06-22,YTL,TL,1000000.0
2004-06-23,YTL,TL,1000000.0
2004-06-24,YTL,TL,1000000.0
2004-06-25,YTL,TL,1000000.0
2004-06-26,YTL,TL,1000000.0
2004-06-27,YTL,TL,1000000.0
2004-06-28,YTL,TL,1000000.0
2004-06-29,YTL,TL,1000000.0
2004-06-30,YTL,TL,1000000.0
2004-07-01,YTL,TL,1000000.0
2004-07-02,YTL,TL,1000000.0
2004-07-03,YTL,TL,1000000.0
2004-07-04,YTL,TL,1000000.0
2004-07-05,YTL,TL,1000000.0
2004-07-06,YTL,TL,1000000.0
2004-07-07,YTL,TL,1000000.0
2004-07-08,YTL,TL,1000000.0
2004-07-09,YTL,TL,1000000.0
2004-07-10,YTL,TL,1000000.0
2004-07-11,YTL,TL,1000000.0
2004-07-12,YTL,TL,1000000.0
2004-07-13,YTL,TL,1000000.0
2004-07-14,YTL,TL,1000000.0
2004-07-15,YTL,TL,1000000.0
2004-07-16,YTL,TL,1000000.0
2004-07-17,YTL,TL,1000000.0
2004-07-18,YTL,TL,1000000.0
2004-07-19,YTL,TL,1000000.0
2004-07-20,YTL,TL,1000000.0
2004-07-21,YTL,TL,1000000.0
2004-07-22,YTL,TL,1000000.0
2004-07-23,YTL,TL,1000000.0
2004-07-24,YTL,TL,1000000.0
2004-07-25,YTL,TL,1000000.0
2004-07-26,YTL,TL,1000000.0
2004-07-27,YTL,TL,1000000.0
2004-07-28,YTL,TL,1000000.0
2004-07-29,YTL,TL,1000000.0
2004-07-30,YTL,TL,1000000.0
2004-07-31,YTL,TL,1000000.0
2004-08-01,YTL,TL,1000000.0
2004-08-02,YTL,TL,1000000.0
2004-08-03,YTL,TL,1000000.0
2004-08-04,YTL,TL,1000000.0
2004-08-05,YTL,TL,1000000.0
2004-08-06,YTL,TL,1000000.0
2004-08-07,YTL,TL,1000000.0
2004-08-08,YTL,TL,1000000.0
2004-08-09,YTL,TL,1000000.0
2004-08-10,YTL,TL,1000000.0
2004-08-11,YTL,TL,1000000.0
2004-08-12,YTL,TL,1000000.0
2004-08-13,YTL,TL,1000000.0
2004-08-14,YTL,TL,1000000.0
2004-08-15,YTL,TL,1000000.0
2004-08-16,YTL,TL,1000000.0
2004-08-17,YTL,TL,1000000.0
2004-08-18,YTL,TL,1000000.0
2004-08-19,YTL,TL,1000000.0
2004-08-20,YTL,TL,1000000.0
2004-08-21,YTL,TL,1000000.0
2004-08-22,YTL,TL,1000000.0
2004-08-23,YTL,TL,1000000.0
2004-08-24,YTL,TL,1000000.0
2004-08-25,YTL,TL,1000000.0
2004-08-26,YTL,TL,1000000.0
2004-08-27,YTL,TL,1000000.0
2004-08-28,YTL,TL,1000000.0
2004-08-29,YTL,TL,1000000.0
2004-08-30,YTL,TL,1000000.0
2004-08-31,YTL,TL,1000000.0
2004-09-01,YTL,TL,1000000.0
2004-09-02,YTL,TL,1000000.0
2004-09-03,YTL,TL,1000000.0
2004-09-04,YTL,TL,1000000.0
2004-09-05,YTL,TL,1000000.0
2004-09-06,YTL,TL,1000000.0
2004-09-07,YTL,TL,1000000.0
2004-09-08,YTL,TL,1000000.0
2004-09-09,YTL,TL,1000000.0
2004-09-10,YTL,TL,1000000.0
2004-09-11,YTL,TL,1000000.0
2004-09-12,YTL,TL,1000000.0
2004-09-13,YTL,TL,1000000.0
2004-09-14,YTL,TL,1000000.0
2004-09-15,YTL,TL,1000000.0
2004-09-16,YTL,TL,1000000.0
2004-09-17,YTL,TL,1000000.0
2004-09-18,YTL,TL,1000000.0
2004-09-19,YTL,TL,1000000.0
2004-09-20,YTL,TL,1000000.0
2004-09-21,YTL,TL,1000000.0
2004-09-22,YTL,TL,1000000.0
2004-09-23,YTL,TL,1000000.0
2004-09-24,YTL,TL,1000000.0
2004-09-25,YTL,TL,1000000.0
2004-09-26,YTL,TL,1000000.0
2004-09-27,YTL,TL,1000000.0
2004-09-28,YTL,TL,1000000.0
2004-09-29,YTL,TL,1000000.0
2004-09-30,YTL,TL,1000000.0
2004-10-01,YTL,TL,1000000.0
2004-10-02,YTL,TL,1000000.0
2004-10-03,YTL,TL,1000000.0
2004-10-04,YTL,TL,1000000.0
2004-10-05,YTL,TL,1000000.0
2004-10-06,YTL,TL,1000000.0
2004-10-07,YTL,TL,1000000.0
2004-10-08,YTL,TL,1000000.0
2004-10-09,YTL,TL,1000000.0
2004-10-10,YTL,TL,1000000.0
2004-10-11,YTL,TL,1000000.0
2004-10-12,YTL,TL,1000000.0
2004-10-13,YTL,TL,1000000.0
2004-10-14,YTL,TL,1000000.0
2004-10-15,YTL,TL,1000000.0
2004-10-16,YTL,TL,1000000.0
2004-10-17,YTL,TL,1000000.0
2004-10-18,YTL,TL,1000000.0
2004-10-19,YTL,TL,1000000.0
2004-10-20,YTL,TL,1000000.0
2004-10-21,YTL,TL,1000000.0
2004-10-22,YTL,TL,1000000.0
2004-10-23,YTL,TL,1000000.0
2004-10-24,YTL,TL,1000000.0
2004-10-25,YTL,TL,1000000.0
2004-10-26,YTL,TL,1000000.0
2004-10-27,YTL,TL,1000000.0
2004-10-28,YTL,TL,1000000.0
2004-10-29,YTL,TL,1000000.0
2004-10-30,YTL,TL,1000000.0
2004-10-31,YTL,TL,1000000.0
2004-11-01,YTL,TL,1000000.0
2004-11-02,YTL,TL,1000000.0
2004-11-03,YTL,TL,1000000.0
2004-11-04,YTL,TL,1000000.0
2004-11-05,YTL,TL,1000000.0
2004-11-06,YTL,TL,1000000.0
2004-11-07,YTL,TL,1000000.0
2004-11-08,YTL,TL,1000000.0
2004-11-09,YTL,TL,1000000.0
2004-11-10,YTL,TL,1000000.0
2004-11-11,YTL,TL,1000000.0
2004-11-12,YTL,TL,1000000.0
2004-11-13,YTL,TL,1000000.0
2004-11-14,YTL,TL,1000000.0
2004-11-15,YTL,TL,1000000.0
2004-11-16,YTL,TL,1000000.0
2004-11-17,YTL,TL,1000000.0
2004-11-18,YTL,TL,1000000.0
2004-11-19,YTL,TL,1000000.0
2004-11-20,YTL,TL,1000000.0
2004-11-21,YTL,TL,1000000.0
2004-11-22,YTL,TL,1000000.0
2004-11-23,YTL,TL,1000000.0
2004-11-24,YTL,TL,1000000.0
2004-11-25,YTL,TL,1000000.0
2004-11-26,YTL,TL,1000000.0
2004-11-27,YTL,TL,1000000.0
2004-11-28,YTL,TL,1000000.0
2004-11-29,YTL,TL,1000000.0
2004-11-30,YTL,TL,1000000.0
2004-12-01,YTL,TL,1000000.0
2004-12-02,YTL,TL,1000000.0
2004-12-03,YTL,TL,1000000.0
2004-12-04,US,TL,1420000.0
2004-12-04,YTL,TL,1000000.0
2004-12-05,EU,TL,1850000.0
2004-12-05,US,TL,1450000.0
2004-12-05,YTL,TL,1000000.0
2004-12-06,EU,TL,1850000.0
2004-12-06,US,TL,1450000.0
2004-12-06,YTL,TL,1000000.0
2004-12-07,YTL,TL,1000000.0
2004-12-08,YTL,TL,1000000.0
2004-12-09,YTL,TL,1000000.0
2004-12-10,YTL,TL,1000000.0
2004-12-11,YTL,TL,1000000.0
2004-12-12,YTL,TL,1000000.0
2004-12-13,YTL,TL,1000000.0
2004-12-14,YTL,TL,1000000.0
2004-12-15,EU,TL,1850000.0
2004-12-15,US,TL,1500000.0
2004-12-15,YTL,TL,1000.0
2004-12-16,YTL,TL,1000000.0
2004-12-17,EU,TL,1850000.0
2004-12-17,US,TL,1500000.0
2004-12-17,YTL,TL,1000000.0
