PARAD,MCTable,COLPLACE,FieldName,COLNAME,COLWidth,ColDispFormat,ToplamGoster
EksiyeDusenRaporu,0,3,COLUMN1,Beden,52,,
EksiyeDusenRaporu,0,4,Lokasyon,Lokasyon,181,,
EksiyeDusenRaporu,0,5,Mevcut,Mevcut,64,"#,##0.00####",*
SİP,0,0,cariKod,Sipariş Cari Ko,68,,
SİP,0,1,CariKod_Tanim,Sipariş Cari Ko,178,,
SİP,0,2,BelgeNo,Belge No       ,87,,
SİP,0,3,SKod,Stok Kodu,94,,
SİP,0,4,SKod_Tanim,Stok Kodu Tanım,159,,
SİP,0,5,Siparis_Miktari,Sipariş Miktarı,57,"#,###.###",
SİP,0,6,Birim,Birim,34,,
SİP,0,7,Tutar,Tutar,87,"#,##0.00####",
SİP,0,8,ParaCinsi,Kur,23,,
SİP2,0,0,cariKod,Sipariş Cari Ko,68,,
GÜNLÜK SİP,0,0,cariKod,Sipariş Cari Ko,4,,
GÜNLÜK SİP,0,1,CariKod_Tanim,Sipariş Cari Ko,120,,
GÜNLÜK SİP,0,2,BelgeNo,Belge No       ,52,,
GÜNLÜK SİP,0,3,SKod_Tanim,Stok Kodu Tanım,111,,
GÜNLÜK SİP,0,4,SipTar,Sipariş Tarihi,76,,
GÜNLÜK SİP,0,5,Siparis_Miktari,Sipariş Miktarı,45,"#,###.###",
GÜNLÜK SİP,0,6,Birim,Birim,34,,
GÜNLÜK SİP,0,7,RKod,Renk,3,"#,###.###",
GÜNLÜK SİP,0,8,SKod,Stok Kodu,5,,
GÜNLÜK SİP,0,9,RKod_Tanim,Renk Tanımı,304,,
AHMETSIP,0,0,cariKod,Sipariş Cari Ko,76,,
AHMETSIP,0,1,CariKod_Tanim,Sipariş Cari Ko,170,,
AHMETSIP,0,2,SKod,Stok Kodu,151,,
AHMETSIP,0,3,SKod_Tanim,Stok Kodu Tanım,0,,
AHMETSIP,0,4,SipTar,Sipariş Tarihi,76,,
AHMETSIP,0,5,RKod,Renk,0,"#,###.###",
AHMETSIP,0,6,RKod_Tanim,Renk Tanımı,151,,
AHMETSIP,0,7,Siparis_Miktari,Sipariş Miktarı,57,"#,###.###",
AHMETSIP,0,8,Birim,Birim,34,,
AHMETSIP,0,9,Tutar,Tutar,0,"#,##0.00####",
AHMETSIP,0,10,ParaCinsi,Kur,23,,
SİP2,0,1,CariKod_Tanim,Sipariş Cari Ko,132,,
SİP2,0,2,BelgeNo,Belge No       ,76,,
SİP2,0,3,SKod,Stok Kodu,94,,
SİP2,0,4,SKod_Tanim,Stok Kodu Tanım,132,,
SİP2,0,5,SipTar,Sipariş Tarihi,76,,
SİP2,0,6,Siparis_Miktari,Sipariş Miktarı,45,"#,###.###",
SİP2,0,7,Birim,Birim,34,,
SİP2,0,8,Tutar,Tutar,64,"#,##0.00####",
SİP2,0,9,ParaCinsi,Kur,23,,
