Uretici_KOD,Tanim,CariKod,DBName
157,Fbs Ayakkabı,,Antrepo20
158,Feliciano Shoes,320.02.048,Antrepo20
159,Fener,320.02.029,Antrepo20
160,Fisto Ayakkabı,,Antrepo20
161,Footcare-Gold Kimya,,Antrepo20
162,Gaspara,,Antrepo20
163,Gladyatör Ayakkabı,320.02.042,Antrepo20
164,Gloria Ayakkabı,,Antrepo20
165,Gümüş Kardesler,320.02.006,Antrepo20
166,Gunaydın Ayakkabı,320.02.007,Antrepo20
167,Guvercin Ayakkabı,,Antrepo20
168,Hasem Ayakkabı,,Antrepo20
169,Havaianas,,Antrepo20
170,Hb,,Antrepo20
171,Hcs,,Antrepo20
172,Hemkon,,Antrepo20
173,Hes Ayakkabı,,Antrepo20
174,Hobi Çorap,,Antrepo20
175,Hocaoğlu,,Antrepo20
176,Hsnbelt Kemer,,Antrepo20
177,Iloz,320.02.027,Antrepo20
178,İçten Spor Ayakkabı (Lig),,Antrepo20
179,Jag Club,,Antrepo20
180,Just Jive,,Antrepo20
181,K&B Ayakkabı,,Antrepo20
182,Kab Ayakkabı-Melody,,Antrepo20
183,Kar Kundura,,Antrepo20
184,Karabacak Ayakkabı,,Antrepo20
185,Karayurek Ayakkabı,,Antrepo20
186,Kd Çanta,,Antrepo20
187,Keen Road Masters,,Antrepo20
188,Kemeraltı Çanta,,Antrepo20
189,Kırsan Kozmetık,,Antrepo20
190,Kisas Ayakkabı,,Antrepo20
191,Klas Taban,,Antrepo20
192,Kuzunay Ayakkabı,,Antrepo20
193,Lateks Çorap,,Antrepo20
194,Liba,,Antrepo20
195,Lota Ayakkabı,,Antrepo20
196,Luk Kozmetik,,Antrepo20
197,Mabu,,Antrepo20
198,Magza,,Antrepo20
199,Marco Fonti,,Antrepo20
200,Mertim Ayakkabı (Ferhat Fener),320.02.033,Antrepo20
201,Messimod Ayakkabı,,Antrepo20
202,Mi Piace (Ves Deri),,Antrepo20
203,Mıs Kundura,,Antrepo20
204,Modelle,,Antrepo20
205,Moyra Socks,,Antrepo20
206,Mudomay Çorap,,Antrepo20
207,Nehir Ayakkabı,,Antrepo20
208,Net Çanta (19V69),,Antrepo20
209,Nevzat Onay,120.01.055,Antrepo20
210,Nükte Ayakkabı,,Antrepo20
211,Nur,,Antrepo20
212,Özarpa Ayakkabı (Real),120.02.025,Antrepo20
213,Özözler Deri,,Antrepo20
214,Övgü Kemer,,Antrepo20
215,Palaska,,Antrepo20
216,Pamfilya Ayakkabı,,Antrepo20
217,Patricia,,Antrepo20
218,Pellagio,320.02.061,Antrepo20
219,Pixy - Plastab,,Antrepo20
220,Pinokyo Ayakkabı,,Antrepo20
221,Platin Ayakkabı,,Antrepo20
222,Polat Ayakkabı,320.02.060,Antrepo20
223,Pozitif,,Antrepo20
224,Puka Ayakkabı (Maskaret),,Antrepo20
225,Pürsan Tic. Aş.,,Antrepo20
226,Rapsodi Çorap,,Antrepo20
227,Reyhan,,Antrepo20
228,Rios-Alfa Ayakkabı,,Antrepo20
229,Rockford,,Antrepo20
230,Rollbab (Eternal Ayakkabı),,Antrepo20
231,Roselia Ayakkabı,,Antrepo20
232,Rosetti Ayakkabı,,Antrepo20
233,Safak Kımya - Leflef,320.02.159,Antrepo20
234,Sahin Uçar,,Antrepo20
235,Sahra Ayakkabı,,Antrepo20
236,Sarıkaya Ayakkabı,,Antrepo20
237,Sayılır Ayakkabı,320.02.072,Antrepo20
238,Sebata Ayakkabı,320.02.468,Antrepo20
239,Sekada-Davarcı Kundura,,Antrepo20
240,Selçuk Ayakkabı,320.02.035,Antrepo20
241,Semih Kapucu-Eses Ayakkabı,,Antrepo20
242,Sentini,,Antrepo20
243,Seraş Ayakkabı,,Antrepo20
244,Serdar Ayakkabı,,Antrepo20
245,Serender Ayakkabı,,Antrepo20
246,Serkan Yalgı,,Antrepo20
247,Sermes Ayakkabı,,Antrepo20
248,Sette Ayakkabı,320.02.066,Antrepo20
249,Shalin Ayakkabı,,Antrepo20
250,Sidar Ayakkabı,,Antrepo20
251,Sılver Boya,,Antrepo20
252,Söyler Ayakkabı,,Antrepo20
253,Strano,,Antrepo20
254,Sümbül Ayakkabı,,Antrepo20
255,Tarlak Ayakkabı( Elite),,Antrepo20
256,Tek-Or Plastık,,Antrepo20
257,Tersan,,Antrepo20
258,Topbas,,Antrepo20
259,Torento Ayakkabı,,Antrepo20
260,Üçel Ayakkabı,,Antrepo20
261,Ufuk Kuran Sandalet,,Antrepo20
262,Ülker Ayakkabı (Kadır Ülker),,Antrepo20
263,Uludağ Kundura,,Antrepo20
264,Uyar,,Antrepo20
265,Vahap Ayakkabı,320.02.021,Antrepo20
266,Valizce,,Antrepo20
267,Volkan Ayakkabı,320.02.071,Antrepo20
268,Westtowest,,Antrepo20
269,Yedili Ayakkabı,320.02.023,Antrepo20
270,Yeni Mevsim,,Antrepo20
271,Yeşilim Çanta,,Antrepo20
272,Zafer Türkoğlu,,Antrepo20
273,Zandar Ayakkabı,,Antrepo20
274,Berk Ayakkabı,320.02.076,Antrepo20
275,Nova Ayakkabı,,Antrepo20
276,Deva Ayakkabı,320.02.276,Antrepo20
277,Goes (Gider Ayakkabı),,Antrepo20
278,Alaska Deri (Yunus Dursun),,Antrepo20
279,Beks Ayakkabı,,Antrepo20
280,Esimod (Esin Kundura),320.02.280,Antrepo20
281,Imaj Ayakkabı,320.02.032,Antrepo20
282,Çantaş,,Antrepo20
283,Savaşoğlu (Hamra),320.02.054,Antrepo20
284,Akar Ayakkabı,320.02.011,Antrepo20
285,Acarlar Ayakkabı,,Antrepo20
286,Adım Kundura,,Antrepo20
287,Angelli,,Antrepo20
288,Akyol Kemer,,Antrepo20
2880,Cabani,,Antrepo20
289,Almira Ayakkabı,,Antrepo20
290,Altun Ayakkabı,,Antrepo20
291,As Ayakkabı,,Antrepo20
292,Derion Ayakkabı,,Antrepo20
293,Diverson,,Antrepo20
294,Doğanlar Saraciye,,Antrepo20
295,Erkan Makine,,Antrepo20
296,Estile Ayakkabı,,Antrepo20
297,Fabi,,Antrepo20
298,Faruk Karar (Kısmet Kundura),,Antrepo20
299,Fem (Femıs) Ayakkabı,,Antrepo20
300,Ferde,,Antrepo20
301,Forte,,Antrepo20
302,Geox,,Antrepo20
303,Gezer Ayakkabı,,Antrepo20
304,Güleray,,Antrepo20
305,Güner Ayakkabı-Icemen,,Antrepo20
306,İkızler,,Antrepo20
307,İlhan Esen,,Antrepo20
309,Liberty,,Antrepo20
310,Lizpa,,Antrepo20
311,Mc Arthur,,Antrepo20
312,Metplas,,Antrepo20
313,Metplast,,Antrepo20
314,Milano Ambalaj,,Antrepo20
315,Molyer Ayakkabı,320.02.065,Antrepo20
316,Mon Ayakkabı,,Antrepo20
317,Myr Meyra (Divino),,Antrepo20
318,New Balance,,Antrepo20
319,New Balance,,Antrepo20
320,Polat Zaman,,Antrepo20
321,Sabo Boya,,Antrepo20
322,Sanel,,Antrepo20
323,Sarı Toprak,,Antrepo20
324,Sc,,Antrepo20
325,Sperry,,Antrepo20
326,Tabanex,,Antrepo20
327,Tekor Plastik,,Antrepo20
328,Tue Shoes,,Antrepo20
329,Versilia,,Antrepo20
330,Victoria,,Antrepo20
331,Vrossi Ayaakabı,,Antrepo20
332,Wolly,,Antrepo20
333,Miray Ayakkabı,,Antrepo20
334,Agnelli Shoes,,Antrepo20
335,Alenta,,Antrepo20
336,Alto Gradimento,,Antrepo20
337,Akform,,Antrepo20
338,Alima,,Antrepo20
339,Baydar Ayakkabı,,Antrepo20
340,Ars Ayakkabı,,Antrepo20
341,Bond - Meşin Deri,,Antrepo20
342,Atakan Ayakkabı,,Antrepo20
343,Cesa Ayakkabı,,Antrepo20
344,Babette Ayakkabı,,Antrepo20
345,Clup Bambini - Orhan Arslan,,Antrepo20
346,Besa Ayakkabı,,Antrepo20
347,Crisiss,,Antrepo20
348,By Leaf,,Antrepo20
349,Beyoğlu Ayakkabı,,Antrepo20
350,Crunell,,Antrepo20
351,Çizgi Ayakkabı (Beatrice),,Antrepo20
352,Deriva - Süren Deri,,Antrepo20
353,Delsey - Meb Deri,,Antrepo20
354,Diva Clup,,Antrepo20
355,Global Ayakkabı,,Antrepo20
356,Dolce Venetta,,Antrepo20
357,Grup Çanta,,Antrepo20
358,Gözde Ayakkabı,,Antrepo20
359,Ege Narin,,Antrepo20
360,İkbal Ayakkabı,,Antrepo20
361,Guzder Ayakkabı,,Antrepo20
362,Mare,,Antrepo20
363,Kazım Süren Deri,,Antrepo20
364,FDG,,Antrepo20
365,Markadu,,Antrepo20
366,Kopuzlar Deri,,Antrepo20
367,Pegasus Ayakkabı,,Antrepo20
368,Gianni,,Antrepo20
369,Petek Saraciye,,Antrepo20
370,Özdersan Deri,,Antrepo20
371,İçten Spor Ayakkabı (LİK),,Antrepo20
372,Rengarenk Ayakkabı,,Antrepo20
373,Poletto,,Antrepo20
374,Kaya Taban,,Antrepo20
375,Romanelli,,Antrepo20
376,Promosyon,,Antrepo20
377,Şengül Kundura,,Antrepo20
378,Saluro Ayakkabı,,Antrepo20
379,Londrest,,Antrepo20
380,Samsun Ayakkabı,,Antrepo20
381,Saran Kozmetik,,Antrepo20
382,Savcılı Ayakkabı,,Antrepo20
383,Seçim Çanta,,Antrepo20
384,Scorpion,,Antrepo20
385,Selrifon Shoes,,Antrepo20
386,Şakrak Ayakkabı,,Antrepo20
387,Sergio Ripari,,Antrepo20
388,Tersan,,Antrepo20
389,Sudex,,Antrepo20
390,Topbaş Ayakkabı - Enis Topbaş,,Antrepo20
391,Tempo,,Antrepo20
392,Walk&More (MMA Ayakkabı),,Antrepo20
393,Vivino Ayakkabı,,Antrepo20
394,Fason Outlet,,Antrepo20
395,Cantaş Saraciye,,Antrepo20
396,Zeki Rok (Kuzey Ayakkabı),,Antrepo20
397,Manas,,Antrepo20
398,Trenti Kids (Levent Ayakkabı),,Antrepo20
399,Cihan Kundura,,Antrepo20
400,Desi Ayakkabı,,Antrepo20
401,Bizmi Kundura (Ruiscuto),,Antrepo20
402,Klasik Ayakkabı,,Antrepo20
403,Zensan Ayakkabı (Prima),,Antrepo20
404,Papsan Ayakkabı,,Antrepo20
405,Burç Ayakkabı,,Antrepo20
406,Pia Mia Ayakkabı (Derpa),,Antrepo20
407,Zirve Ayakkabı,,Antrepo20
408,Aronay Ayakkabı,,Antrepo20
409,Salih Uçar,,Antrepo20
410,Vedat Aksin,,Antrepo20
411,Nurhan Çanta,,Antrepo20
412,De Vip,,Antrepo20
413,Manily,,Antrepo20
414,Yıldız Ayakkabı,,Antrepo20
415,Rebelle,,Antrepo20
416,Bagatto,,Antrepo20
417,Canbulut,320.02.479,Antrepo20
418,Danalya Ayakkabı,,Antrepo20
419,Çelik Ayakkabı,,Antrepo20
420,Clarks Ayakabı,,Antrepo20
421,Lorelei,,Antrepo20
422,Voder Ayakkabı,,Antrepo20
423,Yılmaz Çanta,,Antrepo20
424,Mammamia (Dialog),,Antrepo20
425,Ves Deri,,Antrepo20
426,Alberes Ayakkabı,,Antrepo20
427,Marco Benetti,,Antrepo20
428,Desan Çanta (Dsn),,Antrepo20
429,Ceylan Ayakkabı,,Antrepo20
430,Romani Ayakkabı,,Antrepo20
432,Köyüm Kundura,,Antrepo20
433,Pedrino,,Antrepo20
434,Sebastian Çanta,,Antrepo20
435,Esminare Ayakkabı,,Antrepo20
436,Engin Vardar,,Antrepo20
437,Güven Birlik,,Antrepo20
438,Bender Ayakkabı,,Antrepo20
439,Bestello Ayakkabı,,Antrepo20
440,Florra,,Antrepo20
441,Lotris Ayakkabı,,Antrepo20
442,Mcs,,Antrepo20
443,Çavuşoğlu Ayakkabı (Thunderhead),,Antrepo20
444,La Pinta Ayakkabı,,Antrepo20
445,Gözde Giyim,,Antrepo20
446,Tezcan Kundura,,Antrepo20
447,Folder (Bogard),,Antrepo20
448,Özbircan,,Antrepo20
449,Patis Ayakkabı,,Antrepo20
450,Beady,,Antrepo20
451,Göl Ayakkabı (Sail Lakers),,Antrepo20
452,S.Y. Ayakkabı,,Antrepo20
453,Sanatel,,Antrepo20
454,Sarissa Ayakkabı,,Antrepo20
455,Derisn,,Antrepo20
456,Gia Ayakkabı,,Antrepo20
457,Kazan (2day) Ayakkabı,320.02.167,Antrepo20
458,Hsnbelt Kemer,,Antrepo20
459,Gümüş (Eko Grup),320.02.006,Antrepo20
460,Cashka (Üstündağ Ayakkabı),,Antrepo20
461,BRC AYAKKABI,320.02.461,Antrepo20
462,Lapenn,320.02.067,Antrepo20
463,Omze Bayan Ayakkabı,320.02.068,Antrepo20
464,Truva Ayakkabı,,Antrepo20
465,Mod Brama (Sezer Ayakkabı),,Antrepo20
466,Olesea Ayakkabı,,Antrepo20
467,Sürmeli Ayakkabı,,Antrepo20
468,Scottmen Ayakkabı,,Antrepo20
469,Ryt Ayakkabı,,Antrepo20
470,Fonem,320.01.144,Antrepo20
471,Efsane Ayakkabı,320.03.187,Antrepo20
472,Bektaş Saraciye,,Antrepo20
473,Üstündağ Ayakkabı,,Antrepo20
474,Vinicci-Bircan,,Antrepo20
475,Nuh Akçay,320.03.188,Antrepo20
476,Sekada - Davarcı Kundura,,Antrepo20
477,Önder Group,,Antrepo20
478,Yıldırım Kardeşler,,Antrepo20
479,İdemo Ayakkabı,320.02.469,Antrepo20
480,Deniz Ayakkabı,320.02.470,Antrepo20
481,Sns Ayakkabı,,Antrepo20
482,Alparslan Ortopedik Ayakkabı,,Antrepo20
483,Bilgi Birikim Ayakkabı,,Antrepo20
484,Erat Sport-Sonimix,,Antrepo20
485,Guzını Deri Çanta,,Antrepo20
486,Albini Ayakkabı,320.02.472,Antrepo20
487,Hasan Uzman Ayakkabı,,Antrepo20
488,Çiçek Kundura,,Antrepo20
489,Alta Gracia,,Antrepo20
490,Alpler Ayakkabı,,Antrepo20
491,Farve,,Antrepo20
492,Van Orion,,Antrepo20
493,Nors Çanta,,Antrepo20
494,Savcılı Ayakkabı,320.02.475,Antrepo20
495,Zeki Arslan Ayakkabı,,Antrepo20
496,Pipons Ayakkabı,,Antrepo20
497,Pati Ayakkabı,320.02.477,Antrepo20
498,Isabel Ayakkabı,,Antrepo20
499,Ottimo-Dağhan Ayakkabı,,Antrepo20
5,,,Antrepo20
500,Ceyhan Ayakkabı,,Antrepo20
501,Flexinos Ayakkabı,,Antrepo20
502,Eses LTD,,Antrepo20
503,Fethi Spor,,Antrepo20
504,Ender Plastik,,Antrepo20
505,Defa Terlik,,Antrepo20
506,Tigra,320.02.031,Antrepo20
507,Bestello-(Bükülmez),,Antrepo20
508,Smella Kozmetik,,Antrepo20
509,Sertsan,,Antrepo20
510,Elvera Ayakkabı,,Antrepo20
511,Formaş Ayakkabı,,Antrepo20
512,Dry S Ayakkabı,,Antrepo20
513,Burç Ayakkabı,,Antrepo20
514,Savelli Ayakkabı,320.02.480,Antrepo20
515,Saran Ayakkabı,,Antrepo20
516,Algusto Ayakkabı,320.02.214,Antrepo20
517,Oray Çanta,,Antrepo20
518,Özler Çanta,320.02.217,Antrepo20
519,Şenkal Ayakkabı,,Antrepo20
520 ,Sergio-Ayhan Erol,,Antrepo20
521,Bulut Ayakkabı,,Antrepo20
522,Alba Ayakkabı,,Antrepo20
523 ,Kaya Kardeşler-İloz,,Antrepo20
524,Gutan Ayakkabı,320.02.226,Antrepo20
525,Pureny-Kadir Erdoğan,,Antrepo20
526,Ayyıldız Ayakkabı,,Antrepo20
527,Alfa Deri,,Antrepo20
528,Mısra Ayakkabı,,Antrepo20
529,Kenan Şimşek-Keçeli Ayakkabı,,Antrepo20
530,Wel Ayakkabı,320.03.328,Antrepo20
531,Berdani Ayakkabı,320.02.482,Antrepo20
532,Title Ayakkabı,320.02.481,Antrepo20
533,Birlik Ayakkabı,320.02.050,Antrepo20
534,Semih Taşçı,320.02.200,Antrepo20
535,Mata Ayakkabı,,Antrepo20
536,Çelik Ayakkabı,,Antrepo20
537,MÇS-Mekin Saraciye,,Antrepo20
538,Uğur Kundura-Z15,320.02.485,Antrepo20
539,Akk Ayakkabı,,Antrepo20
540,Step Ayakkabı,320.01.163,Antrepo20
541,Nevzat Özel Ayakkabı,,Antrepo20
542,Nadir Ayakkabı,,Antrepo20
543,OGS Ayakkabı,320.02.487,Antrepo20
544,Evva Shoes,320.02.488,Antrepo20
545,Egepass-İsmail Polat Ay,,Antrepo20
546,Roal-Alfonso Espadril,,Antrepo20
547,Salma[Doctor] Ayakkabı,,Antrepo20
548,Yeniay Ayakkabı,,Antrepo20
549,Tezcan Kundura,320.02.490,Antrepo20
550,Nadir Gürsel,320.02.492,Antrepo20
551,Gümüş Saraciye,,Antrepo20
552,KEEN-EB CONNECTION,,Antrepo20
553,Retto Ayakkabı,,Antrepo20
554,Ftm Ayakkabı,320.02.496,Antrepo20
555,Ferromen Ayakkabı,320.01.108,Antrepo20
556,Yekta Ayakkabı,320.02.497,Antrepo20
557,Kazancı Ayakkabı,,Antrepo20
558,Oğuz Fener Ayakkabı,320.02.498,Antrepo20
559,Zeki Ayakkabı,,Antrepo20
560,Süren Espadril,,Antrepo20
561,Adel Ayakkabı,,Antrepo20
562,4K Ayakkabı (Canbey),320.02.499,Antrepo20
563,Melda Ayakkabı,,Antrepo20
564,Alkan Çekecek,,Antrepo20
565,Çelemli Ayakkabı,,Antrepo20
566,Fatih Kalender Ayakkabı,,Antrepo20
567,Şenaslan Terlik,,Antrepo20
65,,,Antrepo20
A001,Balta Deri Astar,,Antrepo20
A002,Özer Örme Strech,,Antrepo20
B001,Kord Bagçık,,Antrepo20
C001,Elit Taban Salpa,,Antrepo20
Cabani  ,Cabani,,Antrepo20
CR-205,,,Antrepo20
D001,Kazım Suren ,,Antrepo20
D002,Karaca Deri,,Antrepo20
D003,Sepıcı Derii,,Antrepo20
D004,Turgut Kardeşler,,Antrepo20
D005,Irmak Saya Triko,,Antrepo20
D006,Karızma Bez,,Antrepo20
D007,Efeler Deri,,Antrepo20
D008,Yenı Hayat Triko,,Antrepo20
D009,Ahı Deri,,Antrepo20
D010,Ars Deri,,Antrepo20
D011,Balta Deri,,Antrepo20
D012,Bırdallar Deri,,Antrepo20
D013,Cevahir Deri,,Antrepo20
D014,Cihan Deri,,Antrepo20
D015 ,Derimsan Deri,,Antrepo20
D016,Goryakınlar Deri,,Antrepo20
D017,Guclu Deri,,Antrepo20
D018,Kopuz Deri,,Antrepo20
D019,Massorotti-Ithal,,Antrepo20
D020,Ithal Deri,,Antrepo20
D021,Modas Deri,,Antrepo20
D022,Kupon Deri ,,Antrepo20
D023,Ozdersan,,Antrepo20
D024,Pakistan ,,Antrepo20
D025,Prima ,,Antrepo20
D026,Yağmur Deri,,Antrepo20
D027,Spillover,,Antrepo20
D028,Ata Deri ,,Antrepo20
D029,Akman Deri ,,Antrepo20
D030,Estetik Deri,,Antrepo20
D18,,,Antrepo20
D31,Dönertaş,,Antrepo20
E001,Teknika Mostra Etiket,,Antrepo20
E002,Fatih Etiket,,Antrepo20
F001,Inter Fermuar,,Antrepo20
I001,Oynurden İlac,,Antrepo20
J001,Sesa Ofset Kutu,,Antrepo20
J009,Metplas Çekecek,,Antrepo20
K001,Gül Metal,,Antrepo20
K002,Altın Teknik ,,Antrepo20
L001,Sabo Ahsap Kalıp,320.01.043,Antrepo20
M001,Algul Poliuretan Mostra,,Antrepo20
M002,Ad Spor Pet,,Antrepo20
R001,Elit Fort-Bombe,,Antrepo20
R002,Akform,,Antrepo20
R02,,,Antrepo20
Rino Kemer,Rino,,Antrepo20
T001,Ziylan Taban,,Antrepo20
T002,Guneşli Taban,,Antrepo20
T003,Fatih Ökçe,,Antrepo20
T004,The Gom (Eba Taban),,Antrepo20
T005,Bayrak Taban,,Antrepo20
T006,Ege Taban,,Antrepo20
T007,Üçgen Taban,,Antrepo20
T008,Umut Taban,,Antrepo20
T009,Aykal Taban,,Antrepo20
T010,Poltab Taban,,Antrepo20
T011,Gks Taban,,Antrepo20
T012,Bay Taban Ecevit Sonmez,,Antrepo20
T013,Gommer Taban,,Antrepo20
T014,Oset Taban,,Antrepo20
T015,Sert Taban,,Antrepo20
T016,Emre Taban ,,Antrepo20
T017,XGOM,,Antrepo20
Yekta,Yekta Ayakkabı,,Antrepo20
,,,Cabani20
001,,,Cabani20
101,Cabani Shoes,,Cabani20
102,,,Cabani20
103,,,Cabani20
104,Delessy Ayakkabı,,Cabani20
105,Altis Ayakkabı,,Cabani20
106,Anka Saracıye,,Cabani20
107,Arto,320.02.002,Cabani20
108,Asar Ayakkabı (Brant),,Cabani20
109,Asorti-Marcha Ayakkabı,,Cabani20
110,Baronum Ayakkabı,320.02.001,Cabani20
111,Belini,,Cabani20
112,Besa,,Cabani20
113,Bgj Çanta,,Cabani20
114,Biberoğlu Ayakkabı,,Cabani20
115,Birkenstock,,Cabani20
116,Bolero Ayakkabı,,Cabani20
117,Bruma Ayakkabı,320.02.009,Cabani20
118,Bülbül Ayakkabı,,Cabani20
119,Bülent Aksin,320.03.194,Cabani20
121,Cabanirog,,Cabani20
122,Canilh Ayakkabı,,Cabani20
123,Çantaş Saraciye,,Cabani20
124,Capriolo Ayakkabı-(Aek),,Cabani20
125,Carisma,,Cabani20
126,Carlo Vento,320.02.003,Cabani20
127,Carlo Verde,,Cabani20
128,Çavusoğlu Çanta,,Cabani20
129,Cebeci Ayakkabı,,Cabani20
130,Clavo Ayakkabı,,Cabani20
131,Collina Shoes,320.02.026,Cabani20
132,Crocodile,320.02.025,Cabani20
133,Ctm Ayakkabı (Papino),320.02.014,Cabani20
134,D&E Ayakkabı,,Cabani20
135,Danacı Ayakkabı,,Cabani20
136,Deery Ayakkabı,,Cabani20
137,Delessi Ayak,320.02.038,Cabani20
138,Demet Ayakkabı,320.02.047,Cabani20
139,Dempa Ayakkabı,,Cabani20
140,Derimen  Ayakkabı,320.02.056,Cabani20
141,Derin Mavi,,Cabani20
142,Divum Ayakkabı-Nalbant,,Cabani20
143,Dorf Ayakkabı,320.02.024,Cabani20
144,Edo Ayakkabı (John Rıhardo),,Cabani20
145,Effe Tre Shoes,,Cabani20
146,Elile Ayakkabı,,Cabani20
147,Elif Çanta,,Cabani20
148,Ellanor Ayakkabı,,Cabani20
149,Emin Ayakkabı ( Trust Shoes),,Cabani20
150,Engindere Ayakkabı,,Cabani20
151,Erdoğan Deri - Pegia,,Cabani20
152,Erler,320.02.028,Cabani20
153,Erzan Shoes-(Mendl Shoes),320.02.043,Cabani20
154,Esilya,,Cabani20
155,Esse (Önder Ayakkabı),320.02.069,Cabani20
156,Faraciler,,Cabani20
157,Fbs Ayakkabı,,Cabani20
158,Feliciano Shoes,320.02.048,Cabani20
159,Fener,320.02.029,Cabani20
160,Fisto Ayakkabı,,Cabani20
161,Footcare-Gold Kimya,,Cabani20
162,Gaspara,,Cabani20
163,Gladyatör Ayakkabı,320.02.042,Cabani20
164,Gloria Ayakkabı,,Cabani20
165,Gümüş Kardesler,320.02.006,Cabani20
166,Gunaydın Ayakkabı,320.02.007,Cabani20
167,Guvercin Ayakkabı,,Cabani20
168,Hasem Ayakkabı,,Cabani20
169,Havaianas,,Cabani20
170,Hb,,Cabani20
171,Hcs,,Cabani20
172,Hemkon,,Cabani20
173,Hes Ayakkabı,,Cabani20
174,Hobi Çorap,,Cabani20
175,Hocaoğlu,,Cabani20
176,Hsnbelt Kemer,,Cabani20
177,Iloz,320.02.027,Cabani20
178,İçten Spor Ayakkabı (Lig),,Cabani20
179,Jag Club,,Cabani20
180,Just Jive,,Cabani20
181,K&B Ayakkabı,,Cabani20
182,Kab Ayakkabı-Melody,,Cabani20
183,Kar Kundura,,Cabani20
184,Karabacak Ayakkabı,,Cabani20
185,Karayurek Ayakkabı,,Cabani20
186,Kd Çanta,,Cabani20
187,Keen Road Masters,,Cabani20
188,Kemeraltı Çanta,,Cabani20
189,Kırsan Kozmetık,,Cabani20
190,Kisas Ayakkabı,,Cabani20
191,Klas Taban,,Cabani20
192,Kuzunay Ayakkabı,,Cabani20
193,Lateks Çorap,,Cabani20
194,Liba,,Cabani20
195,Lota Ayakkabı,,Cabani20
196,Luk Kozmetik,,Cabani20
197,Mabu,,Cabani20
198,Magza,,Cabani20
199,Marco Fonti,,Cabani20
200,Mertim Ayakkabı (Ferhat Fener),320.02.033,Cabani20
201,Messimod Ayakkabı,,Cabani20
202,Mi Piace (Ves Deri),,Cabani20
203,Mıs Kundura,,Cabani20
204,Modelle,,Cabani20
205,Moyra Socks,,Cabani20
206,Mudomay Çorap,,Cabani20
207,Nehir Ayakkabı,,Cabani20
208,Net Çanta (19V69),,Cabani20
209,Nevzat Onay,120.01.055,Cabani20
210,Nükte Ayakkabı,,Cabani20
211,Nur,,Cabani20
212,Özarpa Ayakkabı (Real),120.02.025,Cabani20
213,Özözler Deri,,Cabani20
214,Övgü Kemer,,Cabani20
215,Palaska,,Cabani20
216,Pamfilya Ayakkabı,,Cabani20
217,Patricia,,Cabani20
218,Pellagio,320.02.061,Cabani20
219,Pixy - Plastab,,Cabani20
220,Pinokyo Ayakkabı,,Cabani20
221,Platin Ayakkabı,,Cabani20
222,Polat Ayakkabı,320.02.060,Cabani20
223,Pozitif,,Cabani20
224,Puka Ayakkabı (Maskaret),,Cabani20
225,Pürsan Tic. Aş.,,Cabani20
