UserName,CatalogName,AccessKasa,ReadLoc,WriteLoc,DBName
cansu.demir,Antrepo20,C003,,,Antrepo20
cansu.demir,Antrepo20,F001,,,Antrepo20
cansu.demir,Antrepo20,F002,,,Antrepo20
cansu.demir,Antrepo20,S001,,,Antrepo20
cansu.demir,Antrepo20,S002,,,Antrepo20
cansu.demir,Antrepo20,S003,,,Antrepo20
cansu.demir,Antrepo20,W001,,,Antrepo20
cansu.demir,Cabani20,R001,,,Antrepo20
cansu.demir,Cabani20,R002,,,Antrepo20
cansu.demir,Cabani20,R003,,,Antrepo20
cansu.demir,Kampanya,A001,,,Antrepo20
cansu.demir,Kampanya,A002,,,Antrepo20
cansu.demir,Kampanya,A003,,,Antrepo20
cansu.demir,Kampanya,B001,,,Antrepo20
cansu.demir,Kampanya,B002,,,Antrepo20
cansu.demir,Kampanya,B003,,,Antrepo20
cansu.demir,Kampanya,C002,,,Antrepo20
cansu.demir,Kampanya,C003,,,Antrepo20
cansu.demir,Kampanya,F001,,,Antrepo20
cansu.demir,Kampanya,F002,,,Antrepo20
cansu.demir,Kampanya,S001,,,Antrepo20
cansu.demir,Kampanya,S002,,,Antrepo20
cansu.demir,Kampanya,S003,,,Antrepo20
cansu.demir,Kampanya,W001,,,Antrepo20
ceyhun.yavas,Antrepo20,A001,,,Antrepo20
ceyhun.yavas,Antrepo20,A002,,,Antrepo20
ceyhun.yavas,Antrepo20,A003,,,Antrepo20
ceyhun.yavas,Antrepo20,B001,,,Antrepo20
ceyhun.yavas,Antrepo20,B002,,,Antrepo20
ceyhun.yavas,Antrepo20,B003,,,Antrepo20
ceyhun.yavas,Antrepo20,F001,,,Antrepo20
ceyhun.yavas,Antrepo20,F002,,,Antrepo20
ceyhun.yavas,Antrepo20,S001,,,Antrepo20
ceyhun.yavas,Antrepo20,S002,,,Antrepo20
ceyhun.yavas,Antrepo20,S003,,,Antrepo20
ceyhun.yavas,Antrepo20,W001,,,Antrepo20
ceyhun.yavas,AntYedek,A001,,,Antrepo20
ceyhun.yavas,AntYedek,A002,,,Antrepo20
ceyhun.yavas,AntYedek,A003,,,Antrepo20
ceyhun.yavas,AntYedek,B001,,,Antrepo20
ceyhun.yavas,AntYedek,B002,,,Antrepo20
ceyhun.yavas,AntYedek,B003,,,Antrepo20
ceyhun.yavas,AntYedek,F001,,,Antrepo20
ceyhun.yavas,AntYedek,F002,,,Antrepo20
ceyhun.yavas,AntYedek,W001,,,Antrepo20
ceyhun.yavas,Cabani20,R001,,,Antrepo20
ceyhun.yavas,Cabani20,R002,,,Antrepo20
ceyhun.yavas,Cabani20,R003,,,Antrepo20
ceyhun.yavas,Kampanya,A001,,,Antrepo20
ceyhun.yavas,Kampanya,A002,,,Antrepo20
ceyhun.yavas,Kampanya,A003,,,Antrepo20
ceyhun.yavas,Kampanya,B001,,,Antrepo20
ceyhun.yavas,Kampanya,B002,,,Antrepo20
ceyhun.yavas,Kampanya,B003,,,Antrepo20
ceyhun.yavas,Kampanya,F001,,,Antrepo20
ceyhun.yavas,Kampanya,F002,,,Antrepo20
ceyhun.yavas,Kampanya,S001,,,Antrepo20
ceyhun.yavas,Kampanya,S002,,,Antrepo20
ceyhun.yavas,Kampanya,S003,,,Antrepo20
ceyhun.yavas,Kampanya,W001,,,Antrepo20
ceyhun.yavas,Uretim20,K001,,,Antrepo20
ceyhun.yavas,Uretim20,K002,,,Antrepo20
ceyhun.yavas,Uretim20,K003,,,Antrepo20
ceyhun.yavas,Uretim20,L001,,,Antrepo20
ceyhun.yavas,Uretim20,L002,,,Antrepo20
ceyhun.yavas,Uretim20,L003,,,Antrepo20
ceyhun.yavas,Uretim20,R001,,,Antrepo20
ceyhun.yavas,Uretim20,R002,,,Antrepo20
ceyhun.yavas,Uretim20,R003,,,Antrepo20
dildar.rozkul,Antrepo20,B001,,,Antrepo20
dildar.rozkul,Kampanya,B001,,,Antrepo20
ekrem.koc,Antrepo20,A001,,,Antrepo20
ekrem.koc,Antrepo20,A002,,,Antrepo20
ekrem.koc,Antrepo20,A003,,,Antrepo20
ekrem.koc,Antrepo20,B001,,,Antrepo20
ekrem.koc,Antrepo20,B002,,,Antrepo20
ekrem.koc,Antrepo20,B003,,,Antrepo20
ekrem.koc,Antrepo20,F001,,,Antrepo20
ekrem.koc,Antrepo20,F002,,,Antrepo20
ekrem.koc,Antrepo20,S001,,,Antrepo20
ekrem.koc,Antrepo20,S002,,,Antrepo20
ekrem.koc,Antrepo20,S003,,,Antrepo20
ekrem.koc,Antrepo20,W001,,,Antrepo20
ekrem.koc,AntYedek,A001,,,Antrepo20
ekrem.koc,AntYedek,A002,,,Antrepo20
ekrem.koc,AntYedek,A003,,,Antrepo20
ekrem.koc,AntYedek,B001,,,Antrepo20
ekrem.koc,AntYedek,B002,,,Antrepo20
ekrem.koc,AntYedek,B003,,,Antrepo20
ekrem.koc,AntYedek,F001,,,Antrepo20
ekrem.koc,AntYedek,F002,,,Antrepo20
ekrem.koc,AntYedek,W001,,,Antrepo20
ekrem.koc,Cabani20,R001,,,Antrepo20
ekrem.koc,Cabani20,R002,,,Antrepo20
ekrem.koc,Cabani20,R003,,,Antrepo20
ekrem.koc,Kampanya,A001,,,Antrepo20
ekrem.koc,Kampanya,A002,,,Antrepo20
ekrem.koc,Kampanya,A003,,,Antrepo20
ekrem.koc,Kampanya,B001,,,Antrepo20
ekrem.koc,Kampanya,B002,,,Antrepo20
ekrem.koc,Kampanya,B003,,,Antrepo20
ekrem.koc,Kampanya,F001,,,Antrepo20
ekrem.koc,Kampanya,F002,,,Antrepo20
ekrem.koc,Kampanya,S001,,,Antrepo20
ekrem.koc,Kampanya,S002,,,Antrepo20
ekrem.koc,Kampanya,S003,,,Antrepo20
ekrem.koc,Kampanya,W001,,,Antrepo20
ekrem.koc,Uretim20,K001,,,Antrepo20
ekrem.koc,Uretim20,K002,,,Antrepo20
ekrem.koc,Uretim20,K003,,,Antrepo20
ekrem.koc,Uretim20,L001,,,Antrepo20
ekrem.koc,Uretim20,L002,,,Antrepo20
ekrem.koc,Uretim20,L003,,,Antrepo20
ekrem.koc,Uretim20,R001,,,Antrepo20
ekrem.koc,Uretim20,R002,,,Antrepo20
ekrem.koc,Uretim20,R003,,,Antrepo20
emin.baser,Antrepo20,F001,,,Antrepo20
emin.baser,Kampanya,F001,,,Antrepo20
emine.kuscu,Antrepo20,A001,,,Antrepo20
emine.kuscu,Antrepo20,A002,,,Antrepo20
emine.kuscu,Antrepo20,A003,,,Antrepo20
emine.kuscu,Antrepo20,B001,,,Antrepo20
emine.kuscu,Antrepo20,B002,,,Antrepo20
emine.kuscu,Antrepo20,B003,,,Antrepo20
emine.kuscu,Antrepo20,B004,,,Antrepo20
emine.kuscu,antrepo20,C002,,,Antrepo20
emine.kuscu,antrepo20,C003,,,Antrepo20
emine.kuscu,Antrepo20,S001,,,Antrepo20
emine.kuscu,Antrepo20,S002,,,Antrepo20
emine.kuscu,Antrepo20,S003,,,Antrepo20
emine.kuscu,Antrepo20,W001,,,Antrepo20
emine.kuscu,Cabani20,R001,,,Antrepo20
emine.kuscu,Cabani20,R002,,,Antrepo20
emine.kuscu,Cabani20,R003,,,Antrepo20
emine.kuscu,Kampanya,A001,,,Antrepo20
emine.kuscu,Kampanya,A002,,,Antrepo20
emine.kuscu,Kampanya,A003,,,Antrepo20
emine.kuscu,Kampanya,B001,,,Antrepo20
emine.kuscu,Kampanya,B002,,,Antrepo20
emine.kuscu,Kampanya,B003,,,Antrepo20
emine.kuscu,Kampanya,B004,,,Antrepo20
emine.kuscu,Kampanya,C002,,,Antrepo20
emine.kuscu,Kampanya,C003,,,Antrepo20
emine.kuscu,Kampanya,S001,,,Antrepo20
emine.kuscu,Kampanya,S002,,,Antrepo20
emine.kuscu,Kampanya,S003,,,Antrepo20
emine.kuscu,Kampanya,W001,,,Antrepo20
emine.kuscu,Uretim20,K001,,,Antrepo20
emine.kuscu,Uretim20,K002,,,Antrepo20
emine.kuscu,Uretim20,K003,,,Antrepo20
emine.kuscu,Uretim20,L001,,,Antrepo20
emine.kuscu,Uretim20,L002,,,Antrepo20
emine.kuscu,Uretim20,L003,,,Antrepo20
emine.kuscu,Uretim20,R001,,,Antrepo20
emine.kuscu,Uretim20,R002,,,Antrepo20
emine.kuscu,Uretim20,R003,,,Antrepo20
Emre.dilek,Antrepo20,A001,,,Antrepo20
Emre.dilek,Antrepo20,A002,,,Antrepo20
Emre.dilek,Antrepo20,A003,,,Antrepo20
Emre.dilek,Antrepo20,B001,,,Antrepo20
Emre.dilek,Antrepo20,B002,,,Antrepo20
Emre.dilek,Antrepo20,B003,,,Antrepo20
Emre.dilek,Antrepo20,F001,,,Antrepo20
Emre.dilek,Antrepo20,F002,,,Antrepo20
Emre.dilek,Antrepo20,S001,,,Antrepo20
Emre.dilek,Antrepo20,S002,,,Antrepo20
Emre.dilek,Antrepo20,S003,,,Antrepo20
Emre.dilek,Antrepo20,W001,,,Antrepo20
Emre.dilek,AntYedek,A001,,,Antrepo20
Emre.dilek,AntYedek,A002,,,Antrepo20
Emre.dilek,AntYedek,A003,,,Antrepo20
Emre.dilek,AntYedek,B001,,,Antrepo20
Emre.dilek,AntYedek,B002,,,Antrepo20
Emre.dilek,AntYedek,B003,,,Antrepo20
Emre.dilek,AntYedek,F001,,,Antrepo20
Emre.dilek,AntYedek,F002,,,Antrepo20
Emre.dilek,AntYedek,W001,,,Antrepo20
Emre.dilek,Cabani20,R001,,,Antrepo20
Emre.dilek,Cabani20,R002,,,Antrepo20
Emre.dilek,Cabani20,R003,,,Antrepo20
Emre.dilek,Kampanya,A001,,,Antrepo20
Emre.dilek,Kampanya,A002,,,Antrepo20
Emre.dilek,Kampanya,A003,,,Antrepo20
Emre.dilek,Kampanya,B001,,,Antrepo20
Emre.dilek,Kampanya,B002,,,Antrepo20
Emre.dilek,Kampanya,B003,,,Antrepo20
Emre.dilek,Kampanya,F001,,,Antrepo20
Emre.dilek,Kampanya,F002,,,Antrepo20
Emre.dilek,Kampanya,S001,,,Antrepo20
Emre.dilek,Kampanya,S002,,,Antrepo20
Emre.dilek,Kampanya,S003,,,Antrepo20
Emre.dilek,Kampanya,W001,,,Antrepo20
Emre.dilek,Uretim20,K001,,,Antrepo20
Emre.dilek,Uretim20,K002,,,Antrepo20
Emre.dilek,Uretim20,K003,,,Antrepo20
Emre.dilek,Uretim20,L001,,,Antrepo20
Emre.dilek,Uretim20,L002,,,Antrepo20
Emre.dilek,Uretim20,L003,,,Antrepo20
Emre.dilek,Uretim20,R001,,,Antrepo20
Emre.dilek,Uretim20,R002,,,Antrepo20
Emre.dilek,Uretim20,R003,,,Antrepo20
erdal.acinir,Antrepo20,A001,,,Antrepo20
erdal.acinir,Antrepo20,A002,,,Antrepo20
erdal.acinir,Antrepo20,A003,,,Antrepo20
erdal.acinir,Antrepo20,B001,,,Antrepo20
erdal.acinir,Antrepo20,B002,,,Antrepo20
erdal.acinir,Antrepo20,B003,,,Antrepo20
erdal.acinir,Antrepo20,F001,,,Antrepo20
erdal.acinir,Antrepo20,F002,,,Antrepo20
erdal.acinir,Antrepo20,W001,,,Antrepo20
erdal.acinir,Cabani20,R001,,,Antrepo20
erdal.acinir,Kampanya,A001,,,Antrepo20
erdal.acinir,Kampanya,A002,,,Antrepo20
erdal.acinir,Kampanya,A003,,,Antrepo20
erdal.acinir,Kampanya,B001,,,Antrepo20
erdal.acinir,Kampanya,B002,,,Antrepo20
erdal.acinir,Kampanya,B003,,,Antrepo20
erdal.acinir,Kampanya,F001,,,Antrepo20
erdal.acinir,Kampanya,F002,,,Antrepo20
erdal.acinir,Kampanya,W001,,,Antrepo20
erdal.acinir,Uretim20,R001,,,Antrepo20
eyup.bozmaz,Uretim20,L001,,,Antrepo20
eyup.bozmaz,Uretim20,L002,,,Antrepo20
eyup.bozmaz,Uretim20,L003,,,Antrepo20
fabrika.satis,Antrepo20,B001,,,Antrepo20
fabrika.satis,Kampanya,B001,,,Antrepo20
fatih.gezer,Antrepo20,A001,,,Antrepo20
fatih.gezer,Antrepo20,A002,,,Antrepo20
fatih.gezer,Antrepo20,A003,,,Antrepo20
fatih.gezer,Antrepo20,B001,,,Antrepo20
fatih.gezer,Antrepo20,B002,,,Antrepo20
fatih.gezer,Antrepo20,B003,,,Antrepo20
fatih.gezer,Antrepo20,F001,,,Antrepo20
fatih.gezer,Antrepo20,F002,,,Antrepo20
fatih.gezer,Antrepo20,S001,,,Antrepo20
fatih.gezer,Antrepo20,S002,,,Antrepo20
fatih.gezer,Antrepo20,S003,,,Antrepo20
fatih.gezer,Antrepo20,W001,,,Antrepo20
fatih.gezer,AntYedek,A001,,,Antrepo20
fatih.gezer,AntYedek,A002,,,Antrepo20
fatih.gezer,AntYedek,A003,,,Antrepo20
fatih.gezer,AntYedek,B001,,,Antrepo20
fatih.gezer,AntYedek,B002,,,Antrepo20
fatih.gezer,AntYedek,B003,,,Antrepo20
fatih.gezer,AntYedek,F001,,,Antrepo20
fatih.gezer,AntYedek,F002,,,Antrepo20
fatih.gezer,AntYedek,W001,,,Antrepo20
fatih.gezer,Cabani20,R001,,,Antrepo20
fatih.gezer,Cabani20,R002,,,Antrepo20
fatih.gezer,Cabani20,R003,,,Antrepo20
fatih.gezer,Kampanya,A001,,,Antrepo20
fatih.gezer,Kampanya,A002,,,Antrepo20
fatih.gezer,Kampanya,A003,,,Antrepo20
fatih.gezer,Kampanya,B001,,,Antrepo20
fatih.gezer,Kampanya,B002,,,Antrepo20
fatih.gezer,Kampanya,B003,,,Antrepo20
fatih.gezer,Kampanya,F001,,,Antrepo20
fatih.gezer,Kampanya,F002,,,Antrepo20
fatih.gezer,Kampanya,S001,,,Antrepo20
fatih.gezer,Kampanya,S002,,,Antrepo20
fatih.gezer,Kampanya,S003,,,Antrepo20
fatih.gezer,Kampanya,W001,,,Antrepo20
fatih.gezer,Uretim20,K001,,,Antrepo20
fatih.gezer,Uretim20,K002,,,Antrepo20
fatih.gezer,Uretim20,K003,,,Antrepo20
fatih.gezer,Uretim20,L001,,,Antrepo20
fatih.gezer,Uretim20,L002,,,Antrepo20
fatih.gezer,Uretim20,L003,,,Antrepo20
fatih.gezer,Uretim20,R001,,,Antrepo20
fatih.gezer,Uretim20,R002,,,Antrepo20
fatih.gezer,Uretim20,R003,,,Antrepo20
gülsen.gümüs,Antrepo20,A001,,,Antrepo20
gülsen.gümüs,Antrepo20,A002,,,Antrepo20
gülsen.gümüs,Antrepo20,A003,,,Antrepo20
gülsen.gümüs,Antrepo20,B001,,,Antrepo20
gülsen.gümüs,Antrepo20,B002,,,Antrepo20
gülsen.gümüs,Antrepo20,B003,,,Antrepo20
gülsen.gümüs,Antrepo20,F001,,,Antrepo20
gülsen.gümüs,Antrepo20,F002,,,Antrepo20
gülsen.gümüs,Antrepo20,W001,,,Antrepo20
gülsen.gümüs,Cabani20,R001,,,Antrepo20
gülsen.gümüs,Cabani20,R002,,,Antrepo20
gülsen.gümüs,Cabani20,R003,,,Antrepo20
gülsen.gümüs,Kampanya,A001,,,Antrepo20
gülsen.gümüs,Kampanya,A002,,,Antrepo20
gülsen.gümüs,Kampanya,A003,,,Antrepo20
gülsen.gümüs,Kampanya,B001,,,Antrepo20
gülsen.gümüs,Kampanya,B002,,,Antrepo20
gülsen.gümüs,Kampanya,B003,,,Antrepo20
gülsen.gümüs,Kampanya,F001,,,Antrepo20
gülsen.gümüs,Kampanya,F002,,,Antrepo20
gülsen.gümüs,Kampanya,W001,,,Antrepo20
gülsen.gümüs,Uretim20,K001,,,Antrepo20
gülsen.gümüs,Uretim20,K002,,,Antrepo20
gülsen.gümüs,Uretim20,K003,,,Antrepo20
gülsen.gümüs,Uretim20,L001,,,Antrepo20
gülsen.gümüs,Uretim20,L002,,,Antrepo20
gülsen.gümüs,Uretim20,L003,,,Antrepo20
gülsen.gümüs,Uretim20,R001,,,Antrepo20
gülsen.gümüs,Uretim20,R002,,,Antrepo20
gülsen.gümüs,Uretim20,R003,,,Antrepo20
hakan.durmaz,Uretim20,L001,,,Antrepo20
hakan.durmaz,Uretim20,L002,,,Antrepo20
hakan.durmaz,Uretim20,L003,,,Antrepo20
halil.bakkal,Antrepo20,B003,,,Antrepo20
halil.bakkal,Kampanya,B003,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,K001,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,K002,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,K003,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,L001,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,L002,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,L003,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,R001,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,R002,,,Antrepo20
HARUNB,KORGUNYAZILIM1910,R003,,,Antrepo20
haticeozdogan,Antrepo20,A001,,,Antrepo20
haticeozdogan,Antrepo20,A002,,,Antrepo20
haticeozdogan,Antrepo20,A003,,,Antrepo20
haticeozdogan,Antrepo20,B001,,,Antrepo20
haticeozdogan,Antrepo20,B002,,,Antrepo20
haticeozdogan,Antrepo20,B003,,,Antrepo20
haticeozdogan,Antrepo20,B004,,,Antrepo20
haticeozdogan,Antrepo20,C002,,,Antrepo20
haticeozdogan,Antrepo20,C003,,,Antrepo20
haticeozdogan,Antrepo20,F001,,,Antrepo20
haticeozdogan,Antrepo20,F002,,,Antrepo20
haticeozdogan,Antrepo20,S001,,,Antrepo20
haticeozdogan,Antrepo20,S002,,,Antrepo20
haticeozdogan,Antrepo20,S003,,,Antrepo20
