Ulke,Sehir,DBName
Almanya,Trier,Antrepo20
Almanya,Tübingen,Antrepo20
Almanya,Ulm,Antrepo20
Almanya,Weiden,Antrepo20
Almanya,Weimar,Antrepo20
Almanya,Wiesbaden,Antrepo20
Almanya,Wilhelmshaven,Antrepo20
Almanya,Wismar,Antrepo20
Almanya,Wolfsburg,Antrepo20
Almanya,Worms,Antrepo20
Almanya,Wuppertal,Antrepo20
Almanya,Würzburg,Antrepo20
Almanya,Zweibrücken,Antrepo20
Almanya,Zwickau,Antrepo20
American Samoa,Aunu u,Antrepo20
American Samoa,Nu utele,Antrepo20
American Samoa,Ofo,Antrepo20
American Samoa,Olosega,Antrepo20
American Samoa,Rose Atoll,Antrepo20
American Samoa,Ta u,Antrepo20
American Samoa,Tutuila,Antrepo20
Amerika Birle?ik Devletleri,,Antrepo20
Amerika Birle?ik Devletleri,Florida,Antrepo20
Amerika Birle?ik Devletleri,Pennsylvania,Antrepo20
Amerika Birleşik Devletleri,,Antrepo20
Amerika Birleşik Devletleri,Alabama,Antrepo20
Amerika Birleşik Devletleri,Arizona,Antrepo20
Amerika Birleşik Devletleri,Arkansas,Antrepo20
Amerika Birleşik Devletleri,California,Antrepo20
Amerika Birleşik Devletleri,Colorado,Antrepo20
Amerika Birleşik Devletleri,Connecticut,Antrepo20
Amerika Birleşik Devletleri,Delaware,Antrepo20
Amerika Birleşik Devletleri,Florida,Antrepo20
Amerika Birleşik Devletleri,Georgia,Antrepo20
Amerika Birleşik Devletleri,Hawaii,Antrepo20
Amerika Birleşik Devletleri,Idaho,Antrepo20
Amerika Birleşik Devletleri,Illinois,Antrepo20
Amerika Birleşik Devletleri,Indiana,Antrepo20
Amerika Birleşik Devletleri,Iowa,Antrepo20
Amerika Birleşik Devletleri,KahramanMaraş,Antrepo20
Amerika Birleşik Devletleri,Kansas,Antrepo20
Amerika Birleşik Devletleri,Kentucky,Antrepo20
Amerika Birleşik Devletleri,Louisiana,Antrepo20
Amerika Birleşik Devletleri,Maine,Antrepo20
Amerika Birleşik Devletleri,Maryland,Antrepo20
Amerika Birleşik Devletleri,Massachusetts,Antrepo20
Amerika Birleşik Devletleri,Michigan,Antrepo20
Amerika Birleşik Devletleri,Minnesota,Antrepo20
Amerika Birleşik Devletleri,Mississippi,Antrepo20
Amerika Birleşik Devletleri,Missouri,Antrepo20
Amerika Birleşik Devletleri,Montana,Antrepo20
Amerika Birleşik Devletleri,Nebraska,Antrepo20
Amerika Birleşik Devletleri,Nevada,Antrepo20
Amerika Birleşik Devletleri,New Hampshire,Antrepo20
Amerika Birleşik Devletleri,New Jersey,Antrepo20
Amerika Birleşik Devletleri,New Mexico,Antrepo20
Amerika Birleşik Devletleri,New York,Antrepo20
Amerika Birleşik Devletleri,North Carolina,Antrepo20
Amerika Birleşik Devletleri,North Dakota,Antrepo20
Amerika Birleşik Devletleri,Ohio,Antrepo20
Amerika Birleşik Devletleri,Oklahoma,Antrepo20
Amerika Birleşik Devletleri,Oregon,Antrepo20
Amerika Birleşik Devletleri,Pennsylvania,Antrepo20
Amerika Birleşik Devletleri,Rhode Island,Antrepo20
Amerika Birleşik Devletleri,South Carolina,Antrepo20
Amerika Birleşik Devletleri,South Dakota,Antrepo20
Amerika Birleşik Devletleri,Tennessee,Antrepo20
Amerika Birleşik Devletleri,Texas,Antrepo20
Amerika Birleşik Devletleri,Utah,Antrepo20
Amerika Birleşik Devletleri,Vermont,Antrepo20
Amerika Birleşik Devletleri,Virginia,Antrepo20
Amerika Birleşik Devletleri,Washington,Antrepo20
Amerika Birleşik Devletleri,West Virginia,Antrepo20
Amerika Birleşik Devletleri,Wisconsin,Antrepo20
Amerika Birleşik Devletleri,Wyoming,Antrepo20
Andorra,,Antrepo20
Andorra,Andorra la Vella,Antrepo20
Andorra,Arinsal,Antrepo20
Andorra,Canillo,Antrepo20
Andorra,El Serrat,Antrepo20
Andorra,Encamp,Antrepo20
Andorra,La Massana,Antrepo20
Andorra,Les Escaldes,Antrepo20
Andorra,Ordino,Antrepo20
Andorra,Sant Julià de Lòria,Antrepo20
Andorra,Soldeu,Antrepo20
Angola,,Antrepo20
Angola,Benguela,Antrepo20
Angola,Huambo,Antrepo20
Angola,Kuito,Antrepo20
Angola,Lobito,Antrepo20
Angola,Luanda,Antrepo20
Angola,Lubango,Antrepo20
Angola,M banza-Kongo,Antrepo20
Angola,Malanje,Antrepo20
Angola,Namibe,Antrepo20
Angola,Uige,Antrepo20
Anguilla,Anguillita,Antrepo20
Anguilla,Dog Island,Antrepo20
Anguilla,Prickly Pear Cays,Antrepo20
Anguilla,Sandy Island,Antrepo20
Anguilla,Scrub Island,Antrepo20
Anguilla,Seal Island,Antrepo20
Anguilla,Sombrero,Antrepo20
Antartika,,Antrepo20
Antartika,Amundsen-Scott,Antrepo20
Antartika,Casey,Antrepo20
Antartika,Dakshin Gangotri,Antrepo20
Antartika,Davis,Antrepo20
Antartika,Dumont d Urville,Antrepo20
Antartika,Esperanza,Antrepo20
Antartika,Halley,Antrepo20
Antartika,Leningradskaya,Antrepo20
Antartika,Mawson,Antrepo20
Antartika,McMurdo,Antrepo20
Antartika,Mirnyy,Antrepo20
Antartika,Molodezhnaya,Antrepo20
Antartika,Novolazarevskaya,Antrepo20
Antartika,Palmer,Antrepo20
Antartika,Rothera,Antrepo20
Antartika,Russkaya,Antrepo20
Antartika,Sanae,Antrepo20
Antartika,Scott Base,Antrepo20
Antartika,Syowa,Antrepo20
Antartika,Vostok,Antrepo20
Antigua and Barbuda,Codrington,Antrepo20
Antigua and Barbuda,St George,Antrepo20
Antigua and Barbuda,St John s,Antrepo20
Antigua and Barbuda,St Mary,Antrepo20
Antigua and Barbuda,St Paul,Antrepo20
Antigua and Barbuda,St Peter,Antrepo20
Antigua and Barbuda,St Philip,Antrepo20
Arabistan,,Antrepo20
Arabistan,Abu Dabi,Antrepo20
Arabistan,Al-Ain,Antrepo20
Arabistan,Al-Khabb,Antrepo20
Arabistan,Arada,Antrepo20
Arabistan,Dasah,Antrepo20
Arabistan,Dibba,Antrepo20
Arabistan,Dubai,Antrepo20
Arabistan,Fujairah,Antrepo20
Arabistan,Ghewelfat,Antrepo20
Arabistan,Hamim,Antrepo20
Arabistan,Jabal Dhanna,Antrepo20
Arabistan,Liwa Oasis,Antrepo20
Arabistan,Mizaira a,Antrepo20
Arabistan,Ras al-Khaimah,Antrepo20
Arabistan,Sharjah,Antrepo20
Arabistan,Tarif,Antrepo20
Arabistan,Umm al-Qalwain,Antrepo20
Arjantin,,Antrepo20
Arjantin,Avellaneda,Antrepo20
Arjantin,Bahia Blanca,Antrepo20
Arjantin,Buenos Aires,Antrepo20
Arjantin,Cordoba,Antrepo20
Arjantin,Corrientes,Antrepo20
Arjantin,La Plata,Antrepo20
Arjantin,Mar del Plata,Antrepo20
Arjantin,Mendoza,Antrepo20
Arjantin,Neuquen,Antrepo20
Arjantin,Resistencia,Antrepo20
Arjantin,Rosario,Antrepo20
Arjantin,Salta,Antrepo20
Arjantin,San Juan,Antrepo20
Arjantin,San Miguel,Antrepo20
Arjantin,Santa Fe,Antrepo20
Arjantin,Santiago del Estero,Antrepo20
Arnavutluk,,Antrepo20
Arnavutluk,Berat,Antrepo20
Arnavutluk,Durrës,Antrepo20
Arnavutluk,Elbasan,Antrepo20
Arnavutluk,Fier,Antrepo20
Arnavutluk,Gjirokastër,Antrepo20
Arnavutluk,İstanbul,Antrepo20
Arnavutluk,Kamëz,Antrepo20
Arnavutluk,Korçë,Antrepo20
Arnavutluk,Lushnjë,Antrepo20
Arnavutluk,Sakarya,Antrepo20
Arnavutluk,Sarandë,Antrepo20
Arnavutluk,Shkodër,Antrepo20
Arnavutluk,Tirane,Antrepo20
Arnavutluk,Vlorë,Antrepo20
Arnavutluk,Zonguldak,Antrepo20
Aruba,,Antrepo20
Aruba,Barcadera,Antrepo20
Aruba,Ceru Colorado,Antrepo20
Aruba,Noord,Antrepo20
Aruba,Oranjestad,Antrepo20
Aruba,Sabaneta,Antrepo20
Aruba,Santa Cruz,Antrepo20
Aruba,Sint Nicolaas,Antrepo20
Ascension,Cat Hill,Antrepo20
Ascension,Georgetown,Antrepo20
Ascension,The Residency,Antrepo20
Ascension,Traveller s Hill,Antrepo20
Ascension,Two Boats,Antrepo20
Avustralya,,Antrepo20
Avustralya,Adelaide,Antrepo20
Avustralya,Albury-Wodonga,Antrepo20
Avustralya,Ballarat,Antrepo20
Avustralya,Bendigo,Antrepo20
Avustralya,Brisbane,Antrepo20
Avustralya,Cairns,Antrepo20
Avustralya,Canberra-Queanbeyan,Antrepo20
Avustralya,Darwin,Antrepo20
Avustralya,Geelong,Antrepo20
Avustralya,Gold Coast-Tweed,Antrepo20
Avustralya,Hobart,Antrepo20
Avustralya,Launceston,Antrepo20
Avustralya,Melbourne,Antrepo20
Avustralya,Newcastle,Antrepo20
Avustralya,Perth,Antrepo20
Avustralya,Sunshine Coast,Antrepo20
Avustralya,Sydney,Antrepo20
Avustralya,Toowoomba,Antrepo20
Avustralya,Townsville,Antrepo20
Avustralya,Wollongong,Antrepo20
Avusturya,,Antrepo20
Avusturya,Amstetten,Antrepo20
Avusturya,Baden,Antrepo20
Avusturya,Braunau am Inn,Antrepo20
Avusturya,Bregenz,Antrepo20
Avusturya,Dornbirn,Antrepo20
Avusturya,Eisenstadt,Antrepo20
Avusturya,Feldkirch,Antrepo20
Avusturya,Graz,Antrepo20
Avusturya,Hallein,Antrepo20
Avusturya,Innsbruck,Antrepo20
Avusturya,Kapfenberg,Antrepo20
Avusturya,Klagenfurt,Antrepo20
Avusturya,Klosterneuburg,Antrepo20
Avusturya,Krems,Antrepo20
Avusturya,Kufstein,Antrepo20
Avusturya,Leoben,Antrepo20
Avusturya,Leonding,Antrepo20
Avusturya,Linz,Antrepo20
Avusturya,Lustenau,Antrepo20
Avusturya,Mödling,Antrepo20
Avusturya,Salzburg,Antrepo20
Avusturya,Sankt Pölten,Antrepo20
Avusturya,Schwechat,Antrepo20
Avusturya,Spittal an der Drau,Antrepo20
Avusturya,Steyr,Antrepo20
Avusturya,Traun,Antrepo20
Avusturya,Vienna,Antrepo20
Avusturya,Villach,Antrepo20
Avusturya,Wels,Antrepo20
Avusturya,Wiener Neustadt,Antrepo20
Avusturya,Wolfsberg,Antrepo20
Azerbeycan,,Antrepo20
Azerbeycan,Ali Bayramlı,Antrepo20
Azerbeycan,Astara,Antrepo20
Azerbeycan,Baku,Antrepo20
Azerbeycan,Edirne,Antrepo20
Azerbeycan,Ganca,Antrepo20
Azerbeycan,İstanbul,Antrepo20
Azerbeycan,Kürdamir,Antrepo20
Azerbeycan,Laki,Antrepo20
Azerbeycan,Mingaçevir,Antrepo20
Azerbeycan,Sumqayıt,Antrepo20
Azerbeycan,Şaki,Antrepo20
Azerbeycan,Xaçmaz,Antrepo20
Azerbeycan,Xankandi,Antrepo20
Azerbeycan,Yevlax,Antrepo20
Azerbeycan,Z,Antrepo20
Bahamalar,Acklins,Antrepo20
Bahamalar,Berry Islands,Antrepo20
Bahamalar,Bimini,Antrepo20
Bahamalar,Black Point,Antrepo20
Bahamalar,Cat Island,Antrepo20
Bahamalar,Central Abaco,Antrepo20
Bahamalar,Central Andros,Antrepo20
Bahamalar,Central Eleuthera,Antrepo20
Bahamalar,City of Freeport,Antrepo20
Bahamalar,Crooked Island,Antrepo20
Bahamalar,East Grand Bahama,Antrepo20
Bahamalar,Exuma,Antrepo20
Bahamalar,Grand Cay,Antrepo20
Bahamalar,Harbour Island,Antrepo20
Bahamalar,Hope Town,Antrepo20
Bahamalar,Inagua,Antrepo20
Bahamalar,Long Island,Antrepo20
Bahamalar,Mangrove Cay,Antrepo20
Bahamalar,Mayaguana,Antrepo20
Bahamalar,Moores Island,Antrepo20
Bahamalar,North Abaco,Antrepo20
Bahamalar,North Andros,Antrepo20
Bahamalar,North Eleuthera,Antrepo20
Bahamalar,Ragged Island,Antrepo20
Bahamalar,Rum Cay,Antrepo20
Bahamalar,San Salvador,Antrepo20
Bahamalar,South Abaco,Antrepo20
Bahamalar,South Andros,Antrepo20
Bahamalar,South Eleuthera,Antrepo20
Bahamalar,Spanish Wells,Antrepo20
Bahamalar,West Grand Bahama,Antrepo20
Bahreyn,,Antrepo20
Bahreyn,Ad Dur,Antrepo20
Bahreyn,Al Jasrafi,Antrepo20
Bahreyn,Al Jufayr,Antrepo20
Bahreyn,Al Malikiyah,Antrepo20
Bahreyn,Al Mamtalah,Antrepo20
Bahreyn,Al Wasmiyah,Antrepo20
Bahreyn,Ar Rifa al Gharbi,Antrepo20
Bahreyn,Ar Rifa ash Sharqi,Antrepo20
Bahreyn,Ar Rumaythah,Antrepo20
Bahreyn,Askar,Antrepo20
Bahreyn,Awali,Antrepo20
Bahreyn,Az Zallaq,Antrepo20
Bahreyn,Bani Jamrah,Antrepo20
Bahreyn,Barbar,Antrepo20
Bahreyn,Dar Kulayb,Antrepo20
Bahreyn,Jaww,Antrepo20
Bahreyn,Jurdab,Antrepo20
Bahreyn,Karzakkan,Antrepo20
Bahreyn,Manama,Antrepo20
Bangladeş,,Antrepo20
Bangladeş,Barisal,Antrepo20
Bangladeş,Chittagong,Antrepo20
Bangladeş,Dhaka,Antrepo20
Bangladeş,Khulna,Antrepo20
Bangladeş,Rajshahi,Antrepo20
Bangladeş,Sylhet,Antrepo20
Barbados,Christ Church,Antrepo20
Barbados,Saint Andrew,Antrepo20
Barbados,Saint George,Antrepo20
Barbados,Saint James,Antrepo20
Barbados,Saint John,Antrepo20
Barbados,Saint Joseph,Antrepo20
Barbados,Saint Lucy,Antrepo20
Barbados,Saint Michael,Antrepo20
Barbados,Saint Peter,Antrepo20
Barbados,Saint Philip,Antrepo20
Barbados,Saint Thomas,Antrepo20
Belçika,,Antrepo20
Belçika,Aalst,Antrepo20
Belçika,Aarschot,Antrepo20
Belçika,Antwerpen,Antrepo20
Belçika,Arlon,Antrepo20
Belçika,Brugge,Antrepo20
Belçika,Brussel,Antrepo20
Belçika,Charleroi,Antrepo20
Belçika,Diest,Antrepo20
Belçika,Dinant,Antrepo20
Belçika,Durbuy,Antrepo20
Belçika,Genk,Antrepo20
Belçika,Gent,Antrepo20
Belçika,Geraardsbergen,Antrepo20
Belçika,Hasselt,Antrepo20
Belçika,Kortrijk,Antrepo20
Belçika,La Louviere,Antrepo20
Belçika,Leuven,Antrepo20
Belçika,Liege,Antrepo20
Belçika,Louvain-la-Neuve,Antrepo20
Belçika,Mechelen,Antrepo20
Belçika,Mons,Antrepo20
Belçika,Mortsel,Antrepo20
Belçika,Mouscron,Antrepo20
Belçika,Namur,Antrepo20
Belçika,Nivelles,Antrepo20
Belçika,Oostende,Antrepo20
Belçika,Oudenaarde,Antrepo20
Belçika,Roeselare,Antrepo20
Belçika,Ronse,Antrepo20
Belçika,Seraing,Antrepo20
Belçika,Sint-Niklaas,Antrepo20
Belçika,Sint-Truiden,Antrepo20
Belçika,Tienen,Antrepo20
Belçika,Tongeren,Antrepo20
Belçika,Tournai,Antrepo20
Belçika,Verviers,Antrepo20
Belçika,Wavre,Antrepo20
Belçika,Zottegem,Antrepo20
Belize,Belize City,Antrepo20
Belize,Belmopan,Antrepo20
Belize,Corozal,Antrepo20
Belize,Dangriga,Antrepo20
Belize,Ladyville,Antrepo20
Belize,Orange Walk,Antrepo20
Belize,Punta Gorda,Antrepo20
Belize,San Ignacio,Antrepo20
Belize,San Pedro,Antrepo20
Belize,Trial Farm,Antrepo20
Benin,,Antrepo20
Benin,Alibori,Antrepo20
Benin,Atakora,Antrepo20
Benin,Atlantique,Antrepo20
Benin,Borgou,Antrepo20
Benin,Collines,Antrepo20
Benin,Donga,Antrepo20
Benin,Kouffo,Antrepo20
Benin,Littoral,Antrepo20
Benin,Mono,Antrepo20
Benin,Oueme,Antrepo20
Benin,Plateau,Antrepo20
Benin,Zou,Antrepo20
Bermuda,Devonshire,Antrepo20
Bermuda,Hamilton,Antrepo20
Bermuda,Paget,Antrepo20
Bermuda,Pembroke,Antrepo20
Bermuda,Sandys,Antrepo20
Bermuda,Smiths,Antrepo20
Bermuda,Southampton,Antrepo20
Bermuda,St Georges,Antrepo20
Bermuda,Warwick,Antrepo20
Beyaz Rusya,,Antrepo20
Beyaz Rusya,Asipovichy,Antrepo20
Beyaz Rusya,Babruysk,Antrepo20
Beyaz Rusya,Baranovichi,Antrepo20
Beyaz Rusya,Barysau,Antrepo20
Beyaz Rusya,Biaroza,Antrepo20
Beyaz Rusya,Brest,Antrepo20
Beyaz Rusya,Dzyarzhynsk,Antrepo20
Beyaz Rusya,Homel,Antrepo20
Beyaz Rusya,Horki,Antrepo20
Beyaz Rusya,Hrodna,Antrepo20
Beyaz Rusya,Ivatsevichy,Antrepo20
Beyaz Rusya,Kalinkavichy,Antrepo20
Beyaz Rusya,Kobryn,Antrepo20
Beyaz Rusya,Krychaw,Antrepo20
Beyaz Rusya,Lida,Antrepo20
Beyaz Rusya,Luninets,Antrepo20
Beyaz Rusya,Maladzyechna,Antrepo20
Beyaz Rusya,Mazyr,Antrepo20
Beyaz Rusya,Minsk,Antrepo20
Beyaz Rusya,Mogilev,Antrepo20
Beyaz Rusya,Navahrudak,Antrepo20
Beyaz Rusya,Navapolatsk,Antrepo20
Beyaz Rusya,Orsha,Antrepo20
Beyaz Rusya,Pastavy,Antrepo20
Beyaz Rusya,Pinsk,Antrepo20
Beyaz Rusya,Polatsk,Antrepo20
Beyaz Rusya,Rahachou,Antrepo20
Beyaz Rusya,Rechytsa,Antrepo20
Beyaz Rusya,Salihorsk,Antrepo20
Beyaz Rusya,Slonim,Antrepo20
Beyaz Rusya,Slutsk,Antrepo20
Beyaz Rusya,Smarhon,Antrepo20
Beyaz Rusya,Svetlahorsk,Antrepo20
Beyaz Rusya,Vaukavysk,Antrepo20
Beyaz Rusya,Vileyka,Antrepo20
Beyaz Rusya,Vitebsk,Antrepo20
Beyaz Rusya,Zhlobin,Antrepo20
Beyaz Rusya,Zhodzina,Antrepo20
Bhutan,Geylegphug,Antrepo20
Bhutan,Paro,Antrepo20
Bhutan,Phuntsholing,Antrepo20
Bhutan,Punakha,Antrepo20
Bhutan,Samdrup Jongkhar,Antrepo20
Bhutan,Taga Dzong,Antrepo20
Bhutan,Thimphu,Antrepo20
Bhutan,Tongsa,Antrepo20
Bhutan,Trashigang,Antrepo20
Bhutan,Wangdue Phodrang,Antrepo20
Birle?ik Arap Emirlikleri,,Antrepo20
Birleşik Arap Emirlikleri,,Antrepo20
Birleşik Arap Emirlikleri,DUBAİ,Antrepo20
Birleşik Arap Emirlikleri,Sharjah,Antrepo20
Bolivya,,Antrepo20
Bolivya,Aiquile,Antrepo20
Bolivya,Apolo,Antrepo20
Bolivya,Ascencion,Antrepo20
Bolivya,Asuncion,Antrepo20
Bolivya,Camiri,Antrepo20
Bolivya,Caranavi,Antrepo20
Bolivya,Cobija,Antrepo20
Bolivya,Cochabamba,Antrepo20
Bolivya,Concepcion,Antrepo20
Bolivya,Guaqui,Antrepo20
Bolivya,La Paz,Antrepo20
Bolivya,Las Petas,Antrepo20
Bolivya,Loreto,Antrepo20
Bolivya,Magdalena,Antrepo20
Bolivya,Montero,Antrepo20
Bolivya,Oruro,Antrepo20
Bolivya,Potosi,Antrepo20
Bolivya,Puerto Acosta,Antrepo20
Bolivya,Puerto Heath,Antrepo20
Bolivya,Puerto Suarez,Antrepo20
Bolivya,Reyes,Antrepo20
Bolivya,Riberalta,Antrepo20
Bolivya,Robore,Antrepo20
Bolivya,San Borja,Antrepo20
Bolivya,San Ignecio,Antrepo20
Bolivya,San Jose de Chiquitos,Antrepo20
Bolivya,Santa Ana,Antrepo20
Bolivya,Santa Cruz,Antrepo20
Bolivya,Santa Rosa Del Sara,Antrepo20
Bolivya,Sucre,Antrepo20
Bolivya,Tarabuco,Antrepo20
Bolivya,Tarija,Antrepo20
Bolivya,Uyuni,Antrepo20
Bolivya,Viacha,Antrepo20
Bolivya,Villa Montes,Antrepo20
Bolivya,Villazon,Antrepo20
Bolivya,Yucuiba,Antrepo20
Bosna Hersek,,Antrepo20
Bosna Hersek,Banja Luka,Antrepo20
Bosna Hersek,Bihac,Antrepo20
Bosna Hersek,Bosanski Brod,Antrepo20
Bosna Hersek,Brcko,Antrepo20
Bosna Hersek,Gorazde,Antrepo20
Bosna Hersek,Mostar,Antrepo20
Bosna Hersek,Prijedor,Antrepo20
Bosna Hersek,Sarajevo,Antrepo20
Bosna Hersek,Tuzla,Antrepo20
Bosna Hersek,Zenica,Antrepo20
Botswana,,Antrepo20
Botswana,Bobonong,Antrepo20
Botswana,Francistown,Antrepo20
Botswana,Gabane,Antrepo20
Botswana,Gaborone,Antrepo20
Botswana,Gumare,Antrepo20
Botswana,Jwaneng,Antrepo20
Botswana,Kanye,Antrepo20
Botswana,Lobatse,Antrepo20
Botswana,Mahalapye,Antrepo20
Botswana,Maun,Antrepo20
Botswana,Mochudi,Antrepo20
Botswana,Mogoditshane,Antrepo20
Botswana,Molepolole,Antrepo20
Botswana,Moshupa,Antrepo20
Botswana,Orapa,Antrepo20
Botswana,Palapye,Antrepo20
Botswana,Ramotswa,Antrepo20
Botswana,Selebi-Phikwe,Antrepo20
Botswana,Serowe,Antrepo20
Botswana,Thamaga,Antrepo20
Botswana,Tlokweng,Antrepo20
Botswana,Tonota,Antrepo20
Brezilya,,Antrepo20
Brezilya,Acre,Antrepo20
Brezilya,Alagoas,Antrepo20
Brezilya,Amapa,Antrepo20
Brezilya,Amazonas,Antrepo20
Brezilya,Bahia,Antrepo20
Brezilya,Ceara,Antrepo20
Brezilya,Espirito Santo,Antrepo20
Brezilya,Goias,Antrepo20
Brezilya,Maranhao,Antrepo20
Brezilya,Mato Grosso,Antrepo20
Brezilya,Mato Grosso do Sul,Antrepo20
Brezilya,Minas Gerais,Antrepo20
Brezilya,Para,Antrepo20
Brezilya,Paraiba,Antrepo20
Brezilya,Parana,Antrepo20
Brezilya,Pernambuco,Antrepo20
Brezilya,Piauf,Antrepo20
Brezilya,Rio De Janeiro,Antrepo20
Brezilya,Rio Grande do Norte,Antrepo20
Brezilya,Rio Grande do Sul,Antrepo20
Brezilya,Rondonia,Antrepo20
Brezilya,Roraima,Antrepo20
Brezilya,Santa Catarina,Antrepo20
Brezilya,Sao Paulo,Antrepo20
Brezilya,Sergipe,Antrepo20
Brezilya,Tocantins,Antrepo20
Britanya Virjin Adaları,Beef Island,Antrepo20
Britanya Virjin Adaları,Cooper Island,Antrepo20
Britanya Virjin Adaları,Ginger Island,Antrepo20
Britanya Virjin Adaları,Great Camanoe,Antrepo20
Britanya Virjin Adaları,Great Thatch,Antrepo20
Britanya Virjin Adaları,Guana Island,Antrepo20
Britanya Virjin Adaları,Mosquito Island,Antrepo20
Britanya Virjin Adaları,Necker Island,Antrepo20
Britanya Virjin Adaları,Norman Island,Antrepo20
Britanya Virjin Adaları,Peter Island,Antrepo20
Britanya Virjin Adaları,Salt Island,Antrepo20
Brunei,,Antrepo20
Brunei,Bandar Seri Begawan,Antrepo20
