ODTip,Odinx,ODVadeGun,ODVadeAy,ODVadeYil,ODOzKod1,ODOzKod2,KomOran,KomTutar,GiderKod,DBName
A-PY-LD-01,151,18,,,,,15.000000,,F01.006,KORGUNYAZILIM1910
A-PY-MR-01,141,47,,,,,21.000000,,F01.006,KORGUNYAZILIM1910
A-PY-N1-01,140,9,,,,,15.000000,,F01.006,KORGUNYAZILIM1910
A-PY-TY-01,139,47,,,,,,,F01.006,KORGUNYAZILIM1910
A-SP-AY-01,126,5,,,,,1.560000,,F01.006,KORGUNYAZILIM1910
A-SP-AY-02,127,5,,,,,2.600000,,F01.006,KORGUNYAZILIM1910
A-SP-AY-03,128,5,,,,,3.380000,,F01.006,KORGUNYAZILIM1910
A-SP-VK-01,130,1,,,,,1.290000,,F01.006,KORGUNYAZILIM1910
A-SP-YC-01,150,7,,,,,1.690000,0.250000,F01.006,KORGUNYAZILIM1910
A-SP-YC-02,148,7,,,,,2.900000,0.250000,F01.006,KORGUNYAZILIM1910
A-SP-YC-03,149,7,,,,,3.800000,0.250000,F01.006,KORGUNYAZILIM1910
A-SP-ZR-01,131,1,,,,,1.060000,,F01.006,KORGUNYAZILIM1910
C-KK-GR-01,108,30,,,,,0.000000,,F01.006,KORGUNYAZILIM1910
C-KK-GR-02,109,30,,,,,0.000000,,F01.006,KORGUNYAZILIM1910
C-KK-ISB-0,158,30,,,,,,,,KORGUNYAZILIM1910
C-KK-ZR-01,147,30,,,,,0.000000,,F01.006,KORGUNYAZILIM1910
C-PS-ZR-01,106,1,,,,,1.180000,,F01.006,KORGUNYAZILIM1910
C-PS-ZR-21,104,1,,,,,1.350000,,F01.006,KORGUNYAZILIM1910
C-PS-ZR-31,107,1,,,,,1.180000,,F01.006,KORGUNYAZILIM1910
A-HV-GR-01,121,1,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
A-KK-GR-01,144,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
A-KK-ZR-01,145,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
A-KR-MN-01,136,4,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
A-PS-DN-01,153,1,,,,,1.440000,,F01.006,KORGUNYAZILIM2210
A-PS-DN-02,154,0,,,,,2.200000,,F01.006,KORGUNYAZILIM2210
A-PS-DN-03,152,0,,,,,2.900000,,F01.006,KORGUNYAZILIM2210
A-PS-GR-01,111,1,,,,,1.970000,,F01.006,KORGUNYAZILIM2210
A-PS-GR-02,112,1,,,,,1.970000,,F01.006,KORGUNYAZILIM2210
A-PS-GR-03,113,1,,,,,3.950000,,F01.006,KORGUNYAZILIM2210
A-PS-GR-D0,114,1,,,,,1.680000,,F01.006,KORGUNYAZILIM2210
A-PS-IS-01,116,1,,,,,1.880000,,F01.006,KORGUNYAZILIM2210
A-PS-IS-D0,115,1,,,,,2.000000,,F01.006,KORGUNYAZILIM2210
A-PS-IS-PP,117,1,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
A-PS-IS-TK,129,40,,,,,2.670000,,F01.006,KORGUNYAZILIM2210
A-PS-IS-XE,156,3,,,,,2.000000,,F01.006,KORGUNYAZILIM2210
A-PS-IS-XT,157,1,,,,,1.850000,,F01.006,KORGUNYAZILIM2210
A-PS-IS-XU,155,3,,,,,2.000000,,F01.006,KORGUNYAZILIM2210
A-PS-VK-01,120,0,,,,,1.550000,,F01.006,KORGUNYAZILIM2210
A-PS-VK-02,135,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
A-PS-VK-03,134,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
A-PS-VK-D0,119,1,,,,,1.550000,,F01.006,KORGUNYAZILIM2210
A-PS-ZR-01,118,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2210
A-PS-ZR-02,133,1,,,,,1.360000,,F01.006,KORGUNYAZILIM2210
A-PS-ZR-03,132,1,,,,,1.900000,,F01.006,KORGUNYAZILIM2210
A-PS-ZR-21,124,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2210
A-PS-ZR-30,125,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2210
A-PY-AZ-01,142,23,,,,,15.000000,,F01.006,KORGUNYAZILIM2210
A-PY-CS-01,137,23,,,,,15.000000,,F01.006,KORGUNYAZILIM2210
A-PY-GG-01,138,23,,,,,15.000000,,F01.006,KORGUNYAZILIM2210
A-PY-HB-01,143,30,,,,,17.000000,,F01.006,KORGUNYAZILIM2210
A-PY-LD-01,151,18,,,,,15.000000,,F01.006,KORGUNYAZILIM2210
A-PY-MR-01,141,47,,,,,21.000000,,F01.006,KORGUNYAZILIM2210
A-PY-N1-01,140,9,,,,,15.000000,,F01.006,KORGUNYAZILIM2210
A-PY-TY-01,139,47,,,,,,,F01.006,KORGUNYAZILIM2210
A-SP-AY-01,126,5,,,,,1.560000,,F01.006,KORGUNYAZILIM2210
A-SP-AY-02,127,5,,,,,2.600000,,F01.006,KORGUNYAZILIM2210
A-SP-AY-03,128,5,,,,,3.380000,,F01.006,KORGUNYAZILIM2210
A-SP-VK-01,130,1,,,,,1.290000,,F01.006,KORGUNYAZILIM2210
A-SP-YC-01,150,7,,,,,1.690000,0.250000,F01.006,KORGUNYAZILIM2210
A-SP-YC-02,148,7,,,,,2.900000,0.250000,F01.006,KORGUNYAZILIM2210
A-SP-YC-03,149,7,,,,,3.800000,0.250000,F01.006,KORGUNYAZILIM2210
A-SP-ZR-01,131,1,,,,,1.060000,,F01.006,KORGUNYAZILIM2210
C-KK-GR-01,108,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
C-KK-GR-02,109,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
C-KK-ISB-0,158,30,,,,,,,,KORGUNYAZILIM2210
C-KK-ZR-01,147,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2210
C-PS-ZR-01,106,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2210
C-PS-ZR-21,104,1,,,,,1.350000,,F01.006,KORGUNYAZILIM2210
C-PS-ZR-31,107,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2210
A-HV-GR-01,121,1,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
A-KK-GR-01,144,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
A-KK-ZR-01,145,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
A-KR-MN-01,136,4,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
A-PS-DN-01,153,1,,,,,1.440000,,F01.006,KORGUNYAZILIM2310
A-PS-DN-02,154,0,,,,,2.200000,,F01.006,KORGUNYAZILIM2310
A-PS-DN-03,152,0,,,,,2.900000,,F01.006,KORGUNYAZILIM2310
A-PS-GR-01,111,1,,,,,1.970000,,F01.006,KORGUNYAZILIM2310
A-PS-GR-02,112,1,,,,,1.970000,,F01.006,KORGUNYAZILIM2310
A-PS-GR-03,113,1,,,,,3.950000,,F01.006,KORGUNYAZILIM2310
A-PS-GR-D0,114,1,,,,,1.680000,,F01.006,KORGUNYAZILIM2310
A-PS-IS-01,116,1,,,,,1.880000,,F01.006,KORGUNYAZILIM2310
A-PS-IS-D0,115,1,,,,,2.000000,,F01.006,KORGUNYAZILIM2310
A-PS-IS-PP,117,1,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
A-PS-IS-TK,129,40,,,,,2.670000,,F01.006,KORGUNYAZILIM2310
A-PS-IS-XE,156,3,,,,,2.000000,,F01.006,KORGUNYAZILIM2310
A-PS-IS-XT,157,1,,,,,1.850000,,F01.006,KORGUNYAZILIM2310
A-PS-IS-XU,155,3,,,,,2.000000,,F01.006,KORGUNYAZILIM2310
A-PS-VK-01,120,0,,,,,1.550000,,F01.006,KORGUNYAZILIM2310
A-PS-VK-02,135,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
A-PS-VK-03,134,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
A-PS-VK-D0,119,1,,,,,1.550000,,F01.006,KORGUNYAZILIM2310
A-PS-ZR-01,118,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2310
A-PS-ZR-02,133,1,,,,,1.360000,,F01.006,KORGUNYAZILIM2310
A-PS-ZR-03,132,1,,,,,1.900000,,F01.006,KORGUNYAZILIM2310
A-PS-ZR-21,124,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2310
A-PS-ZR-30,125,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2310
A-PY-AZ-01,142,23,,,,,15.000000,,F01.006,KORGUNYAZILIM2310
A-PY-CS-01,137,23,,,,,15.000000,,F01.006,KORGUNYAZILIM2310
A-PY-GG-01,138,23,,,,,15.000000,,F01.006,KORGUNYAZILIM2310
A-PY-HB-01,143,30,,,,,17.000000,,F01.006,KORGUNYAZILIM2310
A-PY-LD-01,151,18,,,,,15.000000,,F01.006,KORGUNYAZILIM2310
A-PY-MR-01,141,47,,,,,21.000000,,F01.006,KORGUNYAZILIM2310
A-PY-N1-01,140,9,,,,,15.000000,,F01.006,KORGUNYAZILIM2310
A-PY-TY-01,139,47,,,,,,,F01.006,KORGUNYAZILIM2310
A-SP-AY-01,126,5,,,,,1.560000,,F01.006,KORGUNYAZILIM2310
A-SP-AY-02,127,5,,,,,2.600000,,F01.006,KORGUNYAZILIM2310
A-SP-AY-03,128,5,,,,,3.380000,,F01.006,KORGUNYAZILIM2310
A-SP-VK-01,130,1,,,,,1.290000,,F01.006,KORGUNYAZILIM2310
A-SP-YC-01,150,7,,,,,1.690000,0.250000,F01.006,KORGUNYAZILIM2310
A-SP-YC-02,148,7,,,,,2.900000,0.250000,F01.006,KORGUNYAZILIM2310
A-SP-YC-03,149,7,,,,,3.800000,0.250000,F01.006,KORGUNYAZILIM2310
A-SP-ZR-01,131,1,,,,,1.060000,,F01.006,KORGUNYAZILIM2310
C-KK-GR-01,108,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
C-KK-GR-02,109,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
C-KK-ISB-0,158,30,,,,,,,,KORGUNYAZILIM2310
C-KK-ZR-01,147,30,,,,,0.000000,,F01.006,KORGUNYAZILIM2310
C-PS-ZR-01,106,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2310
C-PS-ZR-21,104,1,,,,,1.350000,,F01.006,KORGUNYAZILIM2310
C-PS-ZR-31,107,1,,,,,1.180000,,F01.006,KORGUNYAZILIM2310
A-HV-GR-01,121,1,,,,,0.000000,,F01.006,Uretim20
A-KK-GR-01,144,30,,,,,0.000000,,F01.006,Uretim20
A-KK-ZR-01,145,30,,,,,0.000000,,F01.006,Uretim20
A-KR-MN-01,136,4,,,,,0.000000,,F01.006,Uretim20
A-PS-DN-01,153,1,,,,,1.440000,,F01.006,Uretim20
A-PS-DN-02,154,0,,,,,2.200000,,F01.006,Uretim20
A-PS-DN-03,152,0,,,,,2.900000,,F01.006,Uretim20
A-PS-GR-01,111,1,,,,,1.970000,,F01.006,Uretim20
A-PS-GR-02,112,1,,,,,1.970000,,F01.006,Uretim20
A-PS-GR-03,113,1,,,,,3.950000,,F01.006,Uretim20
A-PS-GR-D0,114,1,,,,,1.680000,,F01.006,Uretim20
A-PS-IS-01,116,1,,,,,1.880000,,F01.006,Uretim20
A-PS-IS-D0,115,1,,,,,2.000000,,F01.006,Uretim20
A-PS-IS-PP,117,1,,,,,0.000000,,F01.006,Uretim20
A-PS-IS-TK,129,40,,,,,2.670000,,F01.006,Uretim20
A-PS-IS-XE,156,3,,,,,2.000000,,F01.006,Uretim20
A-PS-IS-XT,157,1,,,,,1.850000,,F01.006,Uretim20
A-PS-IS-XU,155,3,,,,,2.000000,,F01.006,Uretim20
A-PS-VK-01,120,0,,,,,1.550000,,F01.006,Uretim20
A-PS-VK-02,135,30,,,,,0.000000,,F01.006,Uretim20
A-PS-VK-03,134,30,,,,,0.000000,,F01.006,Uretim20
A-PS-VK-D0,119,1,,,,,1.550000,,F01.006,Uretim20
A-PS-ZR-01,118,1,,,,,1.180000,,F01.006,Uretim20
A-PS-ZR-02,133,1,,,,,1.360000,,F01.006,Uretim20
A-PS-ZR-03,132,1,,,,,1.900000,,F01.006,Uretim20
A-PS-ZR-21,124,1,,,,,1.180000,,F01.006,Uretim20
A-PS-ZR-30,125,1,,,,,1.180000,,F01.006,Uretim20
A-PY-AZ-01,142,23,,,,,15.000000,,F01.006,Uretim20
A-PY-CS-01,137,23,,,,,15.000000,,F01.006,Uretim20
A-PY-GG-01,138,23,,,,,15.000000,,F01.006,Uretim20
A-PY-HB-01,143,30,,,,,17.000000,,F01.006,Uretim20
A-PY-LD-01,151,18,,,,,15.000000,,F01.006,Uretim20
A-PY-MR-01,141,47,,,,,21.000000,,F01.006,Uretim20
A-PY-N1-01,140,9,,,,,15.000000,,F01.006,Uretim20
A-PY-TY-01,139,47,,,,,,,F01.006,Uretim20
A-SP-AY-01,126,5,,,,,1.560000,,F01.006,Uretim20
A-SP-AY-02,127,5,,,,,2.600000,,F01.006,Uretim20
A-SP-AY-03,128,5,,,,,3.380000,,F01.006,Uretim20
A-SP-VK-01,130,1,,,,,1.290000,,F01.006,Uretim20
A-SP-YC-01,150,7,,,,,1.690000,0.250000,F01.006,Uretim20
A-SP-YC-02,148,7,,,,,2.900000,0.250000,F01.006,Uretim20
A-SP-YC-03,149,7,,,,,3.800000,0.250000,F01.006,Uretim20
A-SP-ZR-01,131,1,,,,,1.060000,,F01.006,Uretim20
C-KK-GR-01,108,30,,,,,0.000000,,F01.006,Uretim20
C-KK-GR-02,109,30,,,,,0.000000,,F01.006,Uretim20
C-KK-ISB-0,158,30,,,,,,,,Uretim20
C-KK-ZR-01,147,30,,,,,0.000000,,F01.006,Uretim20
C-PS-ZR-01,106,1,,,,,1.180000,,F01.006,Uretim20
C-PS-ZR-21,104,1,,,,,1.350000,,F01.006,Uretim20
C-PS-ZR-31,107,1,,,,,1.180000,,F01.006,Uretim20
