Pro,Tanim,PTime,TimeTip,Worker,Performans,GiderKod,MMKod,HKod,DBName
11,Strobel,,,0,0,,,,KORGUNYAZILIM2210
12,Şerit Dikim,,,0,0,,,,KORGUNYAZILIM2210
15,Saya,,,0,0,,,,KORGUNYAZILIM2210
17,Saraç,,,0,0,,,,KORGUNYAZILIM2210
18,Aksesuar,,,0,0,,,,KORGUNYAZILIM2210
19,Hazır Saya,,,0,0,,,,KORGUNYAZILIM2210
20,Regapta,,,0,0,,,,KORGUNYAZILIM2210
25,Bant (Monta),,,0,0,,,,KORGUNYAZILIM2210
27,Mekval/Fora,,,0,0,,,,KORGUNYAZILIM2210
29,Temizleme,,,0,0,,,,KORGUNYAZILIM2210
30,Paketleme,,,0,0,,,,KORGUNYAZILIM2210
02,Kesim,,,0,0,,,,KORGUNYAZILIM2310
03,Astar Kesim,,,0,0,,,,KORGUNYAZILIM2310
04,Sıcak Baskı,,,0,0,,,,KORGUNYAZILIM2310
05,Kesim Regapta,,,0,0,,,,KORGUNYAZILIM2310
07,Lazer,,,0,0,,,,KORGUNYAZILIM2310
08,Baskı,,,0,0,,,,KORGUNYAZILIM2310
09,Nakış,,,0,0,,,,KORGUNYAZILIM2310
10,Taş/Trop,,,0,0,,,,KORGUNYAZILIM2310
11,Strobel,,,0,0,,,,KORGUNYAZILIM2310
12,Şerit Dikim,,,0,0,,,,KORGUNYAZILIM2310
15,Saya,,,0,0,,,,KORGUNYAZILIM2310
17,Saraç,,,0,0,,,,KORGUNYAZILIM2310
18,Aksesuar,,,0,0,,,,KORGUNYAZILIM2310
19,Hazır Saya,,,0,0,,,,KORGUNYAZILIM2310
20,Regapta,,,0,0,,,,KORGUNYAZILIM2310
25,Bant (Monta),,,0,0,,,,KORGUNYAZILIM2310
27,Mekval/Fora,,,0,0,,,,KORGUNYAZILIM2310
29,Temizleme,,,0,0,,,,KORGUNYAZILIM2310
30,Paketleme,,,0,0,,,,KORGUNYAZILIM2310
02,Kesim,,,0,0,,,,Uretim20
03,Astar Kesim,,,0,0,,,,Uretim20
04,Sıcak Baskı,,,0,0,,,,Uretim20
05,Kesim Regapta,,,0,0,,,,Uretim20
07,Lazer,,,0,0,,,,Uretim20
08,Baskı,,,0,0,,,,Uretim20
09,Nakış,,,0,0,,,,Uretim20
10,Taş/Trop,,,0,0,,,,Uretim20
11,Strobel,,,0,0,,,,Uretim20
12,Şerit Dikim,,,0,0,,,,Uretim20
15,Saya,,,0,0,,,,Uretim20
17,Saraç,,,0,0,,,,Uretim20
18,Aksesuar,,,0,0,,,,Uretim20
19,Hazır Saya,,,0,0,,,,Uretim20
20,Regapta,,,0,0,,,,Uretim20
25,Bant (Monta),,,0,0,,,,Uretim20
27,Mekval/Fora,,,0,0,,,,Uretim20
29,Temizleme,,,0,0,,,,Uretim20
30,Paketleme,,,0,0,,,,Uretim20
