kod,name1,name2,DBName
69,BAYBURT,BAYBURT,KORGUNYAZILIM2210
70,KARAMAN,KARAMAN,KORGUNYAZILIM2210
71,KIRIKKALE,KIRIKKALE,KORGUNYAZILIM2210
72,BATMAN,BATMAN,KORGUNYAZILIM2210
73,ŞIRNAK,ŞIRNAK,KORGUNYAZILIM2210
74,BARTIN,BARTIN,KORGUNYAZILIM2210
75,ARDAHAN,ARDAHAN,KORGUNYAZILIM2210
76,IĞDIR,IĞDIR,KORGUNYAZILIM2210
77,YALOVA,YALOVA,KORGUNYAZILIM2210
78,KARABÜK,KARABÜK,KORGUNYAZILIM2210
79,KİLİS,KİLİS,KORGUNYAZILIM2210
80,OSMANİYE,OSMANİYE,KORGUNYAZILIM2210
81,DÜZCE,DÜZCE,KORGUNYAZILIM2210
01,ADANA,ADANA,KORGUNYAZILIM2310
02,ADIYAMAN,ADIYAMAN,KORGUNYAZILIM2310
03,AFYONKARAHİSAR,AFYONKARAHİSAR,KORGUNYAZILIM2310
04,AĞRI,AĞRI,KORGUNYAZILIM2310
05,AMASYA,AMASYA,KORGUNYAZILIM2310
06,ANKARA,ANKARA,KORGUNYAZILIM2310
07,ANTALYA,ANTALYA,KORGUNYAZILIM2310
08,ARTVİN,ARTVİN,KORGUNYAZILIM2310
09,AYDIN,AYDIN,KORGUNYAZILIM2310
10,BALIKESİR,BALIKESİR,KORGUNYAZILIM2310
11,BİLECİK,BİLECİK,KORGUNYAZILIM2310
12,BİNGÖL,BİNGÖL,KORGUNYAZILIM2310
13,BİTLİS,BİTLİS,KORGUNYAZILIM2310
14,BOLU,BOLU,KORGUNYAZILIM2310
15,BURDUR,BURDUR,KORGUNYAZILIM2310
16,BURSA,BURSA,KORGUNYAZILIM2310
17,ÇANAKKALE,ÇANAKKALE,KORGUNYAZILIM2310
18,ÇANKIRI,ÇANKIRI,KORGUNYAZILIM2310
19,ÇORUM,ÇORUM,KORGUNYAZILIM2310
20,DENİZLİ,DENİZLİ,KORGUNYAZILIM2310
21,DİYARBAKIR,DİYARBAKIR,KORGUNYAZILIM2310
22,EDİRNE,EDİRNE,KORGUNYAZILIM2310
23,ELAZIĞ,ELAZIĞ,KORGUNYAZILIM2310
24,ERZİNCAN,ERZİNCAN,KORGUNYAZILIM2310
25,ERZURUM,ERZURUM,KORGUNYAZILIM2310
26,ESKİŞEHİR,ESKİŞEHİR,KORGUNYAZILIM2310
27,GAZİANTEP,GAZİANTEP,KORGUNYAZILIM2310
28,GİRESUN,GİRESUN,KORGUNYAZILIM2310
29,GÜMÜŞHANE,GÜMÜŞHANE,KORGUNYAZILIM2310
30,HAKKARİ,HAKKARİ,KORGUNYAZILIM2310
31,HATAY,HATAY,KORGUNYAZILIM2310
32,ISPARTA,ISPARTA,KORGUNYAZILIM2310
33,MERSİN,MERSİN,KORGUNYAZILIM2310
34,İSTANBUL,İSTANBUL,KORGUNYAZILIM2310
35,İZMİR,İZMİR,KORGUNYAZILIM2310
36,KARS,KARS,KORGUNYAZILIM2310
37,KASTAMONU,KASTAMONU,KORGUNYAZILIM2310
38,KAYSERİ,KAYSERİ,KORGUNYAZILIM2310
39,KIRKLARELİ,KIRKLARELİ,KORGUNYAZILIM2310
40,KIRŞEHİR,KIRŞEHİR,KORGUNYAZILIM2310
41,KOCAELİ,İZMİT,KORGUNYAZILIM2310
42,KONYA,KONYA,KORGUNYAZILIM2310
43,KÜTAHYA,KÜTAHYA,KORGUNYAZILIM2310
44,MALATYA,MALATYA,KORGUNYAZILIM2310
45,MANİSA,MANİSA,KORGUNYAZILIM2310
46,KAHRAMANMARAŞ,KAHRAMANMARAŞ,KORGUNYAZILIM2310
47,MARDİN,MARDİN,KORGUNYAZILIM2310
48,MUĞLA,MUĞLA,KORGUNYAZILIM2310
49,MUŞ,MUŞ,KORGUNYAZILIM2310
50,NEVŞEHİR,NEVŞEHİR,KORGUNYAZILIM2310
51,NİĞDE,NİĞDE,KORGUNYAZILIM2310
52,ORDU,ORDU,KORGUNYAZILIM2310
53,RİZE,RİZE,KORGUNYAZILIM2310
54,SAKARYA,ADAPAZARI,KORGUNYAZILIM2310
55,SAMSUN,SAMSUN,KORGUNYAZILIM2310
56,SİİRT,SİİRT,KORGUNYAZILIM2310
57,SİNOP,SİNOP,KORGUNYAZILIM2310
58,SİVAS,SİVAS,KORGUNYAZILIM2310
59,TEKİRDAĞ,TEKİRDAĞ,KORGUNYAZILIM2310
60,TOKAT,TOKAT,KORGUNYAZILIM2310
61,TRABZON,TRABZON,KORGUNYAZILIM2310
62,TUNCELİ,TUNCELİ,KORGUNYAZILIM2310
63,ŞANLIURFA,ŞANLIURFA,KORGUNYAZILIM2310
64,UŞAK,UŞAK,KORGUNYAZILIM2310
65,VAN,VAN,KORGUNYAZILIM2310
66,YOZGAT,YOZGAT,KORGUNYAZILIM2310
67,ZONGULDAK,ZONGULDAK,KORGUNYAZILIM2310
68,AKSARAY,AKSARAY,KORGUNYAZILIM2310
69,BAYBURT,BAYBURT,KORGUNYAZILIM2310
70,KARAMAN,KARAMAN,KORGUNYAZILIM2310
71,KIRIKKALE,KIRIKKALE,KORGUNYAZILIM2310
72,BATMAN,BATMAN,KORGUNYAZILIM2310
73,ŞIRNAK,ŞIRNAK,KORGUNYAZILIM2310
74,BARTIN,BARTIN,KORGUNYAZILIM2310
75,ARDAHAN,ARDAHAN,KORGUNYAZILIM2310
76,IĞDIR,IĞDIR,KORGUNYAZILIM2310
77,YALOVA,YALOVA,KORGUNYAZILIM2310
78,KARABÜK,KARABÜK,KORGUNYAZILIM2310
79,KİLİS,KİLİS,KORGUNYAZILIM2310
80,OSMANİYE,OSMANİYE,KORGUNYAZILIM2310
81,DÜZCE,DÜZCE,KORGUNYAZILIM2310
01,ADANA,ADANA,Uretim20
02,ADIYAMAN,ADIYAMAN,Uretim20
03,AFYONKARAHİSAR,AFYONKARAHİSAR,Uretim20
04,AĞRI,AĞRI,Uretim20
05,AMASYA,AMASYA,Uretim20
06,ANKARA,ANKARA,Uretim20
07,ANTALYA,ANTALYA,Uretim20
08,ARTVİN,ARTVİN,Uretim20
09,AYDIN,AYDIN,Uretim20
10,BALIKESİR,BALIKESİR,Uretim20
11,BİLECİK,BİLECİK,Uretim20
12,BİNGÖL,BİNGÖL,Uretim20
13,BİTLİS,BİTLİS,Uretim20
14,BOLU,BOLU,Uretim20
15,BURDUR,BURDUR,Uretim20
16,BURSA,BURSA,Uretim20
17,ÇANAKKALE,ÇANAKKALE,Uretim20
18,ÇANKIRI,ÇANKIRI,Uretim20
19,ÇORUM,ÇORUM,Uretim20
20,DENİZLİ,DENİZLİ,Uretim20
21,DİYARBAKIR,DİYARBAKIR,Uretim20
22,EDİRNE,EDİRNE,Uretim20
23,ELAZIĞ,ELAZIĞ,Uretim20
24,ERZİNCAN,ERZİNCAN,Uretim20
25,ERZURUM,ERZURUM,Uretim20
26,ESKİŞEHİR,ESKİŞEHİR,Uretim20
27,GAZİANTEP,GAZİANTEP,Uretim20
28,GİRESUN,GİRESUN,Uretim20
29,GÜMÜŞHANE,GÜMÜŞHANE,Uretim20
30,HAKKARİ,HAKKARİ,Uretim20
31,HATAY,HATAY,Uretim20
32,ISPARTA,ISPARTA,Uretim20
33,MERSİN,MERSİN,Uretim20
34,İSTANBUL,İSTANBUL,Uretim20
35,İZMİR,İZMİR,Uretim20
36,KARS,KARS,Uretim20
37,KASTAMONU,KASTAMONU,Uretim20
38,KAYSERİ,KAYSERİ,Uretim20
39,KIRKLARELİ,KIRKLARELİ,Uretim20
40,KIRŞEHİR,KIRŞEHİR,Uretim20
41,KOCAELİ,İZMİT,Uretim20
42,KONYA,KONYA,Uretim20
43,KÜTAHYA,KÜTAHYA,Uretim20
44,MALATYA,MALATYA,Uretim20
45,MANİSA,MANİSA,Uretim20
46,KAHRAMANMARAŞ,KAHRAMANMARAŞ,Uretim20
47,MARDİN,MARDİN,Uretim20
48,MUĞLA,MUĞLA,Uretim20
49,MUŞ,MUŞ,Uretim20
50,NEVŞEHİR,NEVŞEHİR,Uretim20
51,NİĞDE,NİĞDE,Uretim20
52,ORDU,ORDU,Uretim20
53,RİZE,RİZE,Uretim20
54,SAKARYA,ADAPAZARI,Uretim20
55,SAMSUN,SAMSUN,Uretim20
56,SİİRT,SİİRT,Uretim20
57,SİNOP,SİNOP,Uretim20
58,SİVAS,SİVAS,Uretim20
59,TEKİRDAĞ,TEKİRDAĞ,Uretim20
60,TOKAT,TOKAT,Uretim20
61,TRABZON,TRABZON,Uretim20
62,TUNCELİ,TUNCELİ,Uretim20
63,ŞANLIURFA,ŞANLIURFA,Uretim20
64,UŞAK,UŞAK,Uretim20
65,VAN,VAN,Uretim20
66,YOZGAT,YOZGAT,Uretim20
67,ZONGULDAK,ZONGULDAK,Uretim20
68,AKSARAY,AKSARAY,Uretim20
69,BAYBURT,BAYBURT,Uretim20
70,KARAMAN,KARAMAN,Uretim20
71,KIRIKKALE,KIRIKKALE,Uretim20
72,BATMAN,BATMAN,Uretim20
73,ŞIRNAK,ŞIRNAK,Uretim20
74,BARTIN,BARTIN,Uretim20
75,ARDAHAN,ARDAHAN,Uretim20
76,IĞDIR,IĞDIR,Uretim20
77,YALOVA,YALOVA,Uretim20
78,KARABÜK,KARABÜK,Uretim20
79,KİLİS,KİLİS,Uretim20
80,OSMANİYE,OSMANİYE,Uretim20
81,DÜZCE,DÜZCE,Uretim20
