SatNo,Odinx,OdTip,ParaCinsi,Tutar,OdTar,MuhKod,MM,Komisyon,KaporaMuhKod,KaporaMM,Kapora,HCKod
49,55,N,US,80.0,2022-07-31 15:55:03,,,,,,,
50,56,N,US,40.0,2022-07-31 15:56:53,,,,,,,
51,57,N,US,150.0,2022-07-31 15:57:24,,,,,,,
52,58,N,US,250.0,2022-08-01 21:12:32,,,,,,,
53,59,N,US,90.0,2022-08-01 21:13:00,,,,,,,
54,60,N,US,27.0,2022-08-02 21:31:59,,,,,,,
55,61,N,US,100.0,2022-08-02 21:32:24,,,,,,,
56,62,N,TL,898.25,2022-08-03 21:01:42,,,,,,,
57,63,N,US,90.0,2022-08-05 16:45:18,,,,,,,
58,64,N,US,40.0,2022-08-05 16:47:04,,,,,,,
59,65,N,US,96.0,2022-08-05 20:02:41,,,,,,,
60,66,N,TL,1800.14,2022-08-05 20:04:11,,,,,,,
61,67,N,TL,1500.81,2022-08-05 20:05:25,,,,,,,
62,68,N,TL,940.77,2022-08-05 20:42:11,,,,,,,
63,69,N,US,50.0,2022-08-06 17:02:03,,,,,,,
64,70,N,US,80.0,2022-08-06 17:02:24,,,,,,,
65,71,N,US,56.0,2022-08-07 10:44:36,,,,,,,
66,72,N,US,130.0,2022-08-09 12:39:04,,,,,,,
67,73,N,US,300.0,2022-08-09 20:43:09,,,,,,,
68,74,N,US,100.0,2022-08-10 13:54:58,,,,,,,
69,75,N,US,100.0,2022-08-10 13:55:54,,,,,,,
70,76,N,US,125.0,2022-08-10 13:57:11,,,,,,,
71,77,N,US,880.0,2022-08-10 14:08:21,,,,,,,
72,78,N,US,50.0,2022-08-11 21:34:41,,,,,,,
73,79,N,US,27.0,2022-08-11 21:35:28,,,,,,,
74,80,N,TL,718.52,2022-08-11 21:36:32,,,,,,,
1072,1078,N,US,95.0,2022-08-12 21:14:58,,,,,,,
1073,1079,N,TL,1706.95,2022-08-12 21:15:50,,,,,,,
1074,1080,N,TL,395.29,2022-08-12 21:16:46,,,,,,,
1075,1081,N,US,300.0,2022-08-14 10:25:17,,,,,,,
1076,1082,N,US,150.0,2022-08-14 12:38:12,,,,,,,
1077,1083,N,US,65.0,2022-08-15 20:16:09,,,,,,,
1078,1084,N,TL,2659.4,2022-08-15 20:18:14,,,,,,,
1079,1085,N,US,200.0,2022-08-16 20:51:24,,,,,,,
1080,1086,N,TL,898.72,2022-08-17 20:29:30,,,,,,,
1081,1087,N,US,25.0,2022-08-17 20:31:26,,,,,,,
1082,1088,N,TL,485.31,2022-08-17 20:31:59,,,,,,,
1084,1090,N,US,55.0,2022-08-19 11:00:01,,,,,,,
1085,1091,N,US,120.0,2022-08-19 11:00:46,,,,,,,
1086,1092,N,TL,900.06,2022-08-19 20:54:19,,,,,,,
1087,1093,N,US,50.0,2022-08-21 14:10:26,,,,,,,
1088,1094,N,TL,486.03,2022-08-21 14:11:23,,,,,,,
1089,1095,N,US,27.0,2022-08-22 20:12:36,,,,,,,
1090,1096,N,US,100.0,2022-08-23 21:13:46,,,,,,,
1091,1097,N,TL,1776.88,2022-08-23 21:14:33,,,,,,,
1092,1098,N,US,80.0,2022-08-24 21:58:26,,,,,,,
1093,1099,N,US,100.0,2022-08-24 21:59:13,,,,,,,
1094,1100,N,US,50.0,2022-08-24 21:59:53,,,,,,,
1095,1101,N,TL,2176.14,2022-08-24 22:00:40,,,,,,,
1096,1102,N,US,99.0,2022-08-26 10:59:14,,,,,,,
1097,1103,N,TL,490.84,2022-08-26 10:59:55,,,,,,,
1098,1104,N,US,110.0,2022-08-26 20:40:53,,,,,,,
1099,1105,N,EU,60.03,2022-08-26 20:41:30,,,,,,,
1100,1106,N,US,180.0,2022-08-28 14:28:51,,,,,,,
1101,1107,N,TL,491.11,2022-08-28 14:29:27,,,,,,,
1102,1108,N,EU,78.09,2022-08-28 14:30:05,,,,,,,
1103,1109,N,TL,272.84,2022-08-29 11:58:55,,,,,,,
1106,1110,N,US,100.0,2022-08-29 20:41:53,,,,,,,
1106,1111,N,TL,891.27,2022-08-29 20:41:58,,,,,,,
1107,1112,N,US,48.0,2022-08-29 20:42:34,,,,,,,
1108,1113,N,US,45.0,2022-09-02 19:36:16,,,,,,,
1109,1114,N,US,20.0,2022-09-02 19:36:55,,,,,,,
1110,1115,N,TL,2404.14,2022-09-02 19:38:29,,,,,,,
1111,1116,N,US,25.0,2022-09-02 19:39:27,,,,,,,
1112,1117,N,US,25.0,2022-09-02 19:40:08,,,,,,,
1113,1118,N,US,25.0,2022-09-02 19:41:03,,,,,,,
1114,1119,N,US,90.0,2022-09-02 19:43:25,,,,,,,
1115,1120,N,US,150.0,2022-09-06 20:21:32,,,,,,,
1116,1121,N,US,80.0,2022-09-06 20:23:54,,,,,,,
1117,1122,N,EU,12.06,2022-09-07 17:08:34,,,,,,,
1118,1123,N,US,300.0,2022-09-07 17:10:32,,,,,,,
1119,1124,N,US,40.0,2022-09-08 11:23:30,,,,,,,
1120,1125,N,US,35.0,2022-09-08 14:08:18,,,,,,,
1121,1126,N,TL,1897.67,2022-09-08 20:54:45,,,,,,,
1122,1127,N,TL,1094.81,2022-09-08 20:55:40,,,,,,,
1123,1128,N,TL,1094.81,2022-09-08 20:56:19,,,,,,,
1124,1129,N,US,40.0,2022-09-08 20:57:03,,,,,,,
2121,2126,N,TL,456.31,2022-09-09 20:35:14,,,,,,,
2122,2127,N,TL,730.09,2022-09-09 20:36:02,,,,,,,
2123,2128,N,TL,730.09,2022-09-09 20:36:37,,,,,,,
2124,2129,N,US,48.0,2022-09-09 20:37:16,,,,,,,
2125,2130,N,US,60.0,2022-09-09 20:37:47,,,,,,,
2126,2131,N,US,190.0,2022-09-12 10:31:12,,,,,,,
2127,2132,N,US,25.0,2022-09-12 20:35:32,,,,,,,
2128,2133,N,US,27.0,2022-09-12 20:36:24,,,,,,,
3127,3132,N,TL,1496.62,2022-09-13 13:11:42,,,,,,,
3128,3133,N,US,50.0,2022-09-13 13:13:22,,,,,,,
3129,3134,N,TL,1825.15,2022-09-13 14:52:40,,,,,,,
3130,3135,N,US,100.0,2022-09-13 21:52:51,,,,,,,
3131,3136,N,US,260.0,2022-09-13 21:53:45,,,,,,,
3133,3137,N,TL,1460.12,2022-09-14 11:33:21,,,,,,,
3134,3138,N,EU,9.85,2022-09-14 11:34:07,,,,,,,
3135,3139,N,TL,913.25,2022-09-15 11:52:45,,,,,,,
3136,3140,N,TL,1095.89,2022-09-15 11:54:20,,,,,,,
3137,3141,N,US,17.0,2022-09-15 11:55:19,,,,,,,
3138,3142,N,TL,493.15,2022-09-15 11:56:09,,,,,,,
3139,3143,N,TL,493.15,2022-09-15 11:57:05,,,,,,,
3140,3144,N,TL,493.15,2022-09-15 11:57:36,,,,,,,
3141,3145,N,TL,1698.64,2022-09-15 12:00:20,,,,,,,
3142,3146,N,US,80.0,2022-09-15 12:01:31,,,,,,,
3143,3147,N,US,50.0,2022-09-16 21:03:53,,,,,,,
3144,3148,N,US,25.0,2022-09-16 21:04:24,,,,,,,
3145,3149,N,US,90.0,2022-09-16 21:04:53,,,,,,,
3146,3150,N,US,82.0,2022-09-16 21:05:28,,,,,,,
3146,3151,N,TL,54.83,2022-09-16 21:05:44,,,,,,,
3147,3152,N,TL,913.78,2022-09-16 21:06:28,,,,,,,
4143,4147,N,US,306.0,2022-09-19 11:26:25,,,,,,,
4144,4148,N,US,190.0,2022-09-19 19:23:34,,,,,,,
4145,4149,N,US,12.0,2022-09-19 19:24:22,,,,,,,
4146,4150,N,EU,90.0,2022-09-20 19:16:19,,,,,,,
4147,4151,N,EU,40.0,2022-09-20 19:18:10,,,,,,,
4148,4152,N,US,105.0,2022-09-20 20:52:39,,,,,,,
4149,4153,N,EU,12.03,2022-09-20 20:53:12,,,,,,,
4150,4154,N,US,27.0,2022-09-20 21:11:34,,,,,,,
4152,4156,N,US,100.0,2022-09-21 12:46:09,,,,,,,
4153,4157,N,US,110.0,2022-09-21 13:20:21,,,,,,,
4153,4158,N,EU,2.0,2022-09-21 13:20:26,,,,,,,
4154,4159,N,US,50.0,2022-09-21 21:06:57,,,,,,,
4155,4160,N,US,95.0,2022-09-21 21:07:42,,,,,,,
4156,4161,N,US,98.0,2022-09-23 11:06:15,,,,,,,
4157,4162,N,US,75.0,2022-09-23 11:06:46,,,,,,,
4158,4163,N,TL,2149.66,2022-09-23 11:09:50,,,,,,,
4159,4164,N,US,75.0,2022-09-23 11:10:25,,,,,,,
4160,4165,N,US,170.0,2022-09-23 11:11:44,,,,,,,
4161,4166,N,TL,1601.09,2022-09-24 09:26:42,,,,,,,
4162,4167,N,EU,40.95,2022-09-24 09:27:17,,,,,,,
4163,4168,N,US,90.0,2022-09-24 16:32:58,,,,,,,
4164,4169,N,US,270.0,2022-09-24 16:34:32,,,,,,,
5161,5166,N,US,260.0,2022-09-26 14:12:04,,,,,,,
5162,5167,N,US,130.0,2022-09-26 14:13:53,,,,,,,
5163,5168,N,TL,3588.64,2022-09-26 14:16:10,,,,,,,
5164,5169,N,US,60.0,2022-09-26 17:30:51,,,,,,,
5168,5173,N,US,60.0,2022-09-26 17:44:05,,,,,,,
5171,5176,N,US,100.0,2022-09-27 12:14:41,,,,,,,
5172,5177,N,US,70.0,2022-09-27 12:18:27,,,,,,,
5173,5178,N,US,75.0,2022-09-27 20:35:09,,,,,,,
5175,5180,N,EU,25.59,2022-09-27 20:39:39,,,,,,,
6173,6178,N,US,90.0,2022-09-28 21:40:39,,,,,,,
6174,6179,N,TL,700.0,2022-09-28 21:42:03,,,,,,,
6175,6180,N,US,50.0,2022-09-28 21:43:02,,,,,,,
6176,6181,N,US,148.0,2022-09-29 21:21:04,,,,,,,
6177,6182,N,EU,100.0,2022-09-29 21:22:11,,,,,,,
6178,6183,N,US,50.0,2022-09-29 21:23:11,,,,,,,
6179,6184,N,US,10.0,2022-09-29 21:24:35,,,,,,,
6179,6185,N,TL,400.0,2022-09-29 21:24:39,,,,,,,
6180,6186,N,US,40.0,2022-09-29 21:25:16,,,,,,,
6181,6187,N,US,50.0,2022-09-29 21:25:51,,,,,,,
6182,6188,N,US,40.0,2022-09-29 21:26:28,,,,,,,
6183,6189,N,US,35.0,2022-09-29 21:30:30,,,,,,,
6184,6190,N,TL,463.0,2022-09-30 20:57:41,,,,,,,
6185,6191,N,TL,600.0,2022-09-30 20:58:14,,,,,,,
6186,6192,N,US,40.0,2022-09-30 20:58:52,,,,,,,
6186,6193,N,TL,185.0,2022-09-30 20:58:57,,,,,,,
6187,6194,N,US,94.0,2022-09-30 21:06:59,,,,,,,
6188,6195,N,TL,500.0,2022-09-30 21:11:44,,,,,,,
6189,6196,N,TL,185.0,2022-09-30 21:12:39,,,,,,,
6190,6197,N,US,150.0,2022-09-30 21:13:24,,,,,,,
6191,6198,N,US,70.0,2022-09-30 21:13:49,,,,,,,
6192,6199,N,TL,1850.0,2022-10-03 11:23:56,,,,,,,
6193,6200,N,US,100.0,2022-10-03 11:30:26,,,,,,,
6193,6201,N,TL,743.0,2022-10-03 11:30:33,,,,,,,
6194,6202,N,US,120.0,2022-10-04 20:20:21,,,,,,,
6195,6203,N,US,50.0,2022-10-04 20:21:25,,,,,,,
6196,6204,N,TL,2692.0,2022-10-04 20:24:06,,,,,,,
7194,7202,N,TL,425.0,2022-10-05 18:39:41,,,,,,,
7196,7204,N,EU,70.0,2022-10-06 20:59:57,,,,,,,
8196,8204,N,US,93.0,2022-10-07 20:52:51,,,,,,,
8196,8205,N,EU,280.0,2022-10-07 20:53:06,,,,,,,
8196,8206,N,US,92.0,2022-10-07 20:53:14,,,,,,,
8196,8207,N,US,120.0,2022-10-07 20:53:21,,,,,,,
8196,8208,N,US,210.0,2022-10-07 20:53:27,,,,,,,
8196,8209,N,US,85.0,2022-10-07 20:53:32,,,,,,,
9196,9204,N,US,165.0,2022-10-08 16:31:30,,,,,,,
9197,9205,N,US,90.0,2022-10-08 16:54:00,,,,,,,
9198,9206,N,US,155.0,2022-10-10 21:00:31,,,,,,,
9199,9207,N,TL,1600.0,2022-10-10 21:01:33,,,,,,,
9200,9208,N,US,93.0,2022-10-13 17:34:43,,,,,,,
9201,9209,N,US,10.0,2022-10-13 20:52:50,,,,,,,
9202,9210,N,US,10.0,2022-10-15 11:38:42,,,,,,,
9203,9211,N,US,280.0,2022-10-15 11:39:38,,,,,,,
9204,9212,N,US,75.0,2022-10-15 11:40:09,,,,,,,
9205,9213,N,TL,1900.0,2022-10-15 11:41:01,,,,,,,
9206,9214,N,EU,40.0,2022-10-15 11:43:09,,,,,,,
9207,9215,N,TL,1746.0,2022-10-15 14:30:54,,,,,,,
9207,9216,N,TL,1674.0,2022-10-15 14:31:11,,,,,,,
9208,9217,N,TL,1850.0,2022-10-15 14:32:00,,,,,,,
9209,9218,N,US,200.0,2022-10-15 18:24:47,,,,,,,
9210,9219,N,US,271.0,2022-10-15 18:26:04,,,,,,,
9210,9220,N,TL,50.0,2022-10-15 18:26:11,,,,,,,
9211,9221,N,US,50.0,2022-10-15 18:26:39,,,,,,,
10209,10218,N,TL,3700.0,2022-10-16 19:40:02,,,,,,,
10210,10219,N,US,120.0,2022-10-17 13:42:22,,,,,,,
10211,10220,N,TL,2000.0,2022-10-17 13:44:00,,,,,,,
10211,10221,N,US,259.0,2022-10-17 13:44:06,,,,,,,
10211,11222,N,US,34.0,2022-10-17 13:44:43,,,,,,,
10212,10222,N,US,50.0,2022-10-17 20:16:48,,,,,,,
10213,10223,N,US,90.0,2022-10-17 20:53:43,,,,,,,
11212,11223,N,US,70.0,2022-10-18 17:31:05,,,,,,,
11213,11224,N,US,165.0,2022-10-18 17:31:30,,,,,,,
11215,11226,N,TL,870.0,2022-10-18 21:14:19,,,,,,,
11216,11227,N,US,140.0,2022-10-19 19:11:13,,,,,,,
11217,11228,N,US,240.0,2022-10-19 19:12:20,,,,,,,
11218,11229,N,US,10.0,2022-10-19 20:37:01,,,,,,,
11219,11230,N,TL,900.0,2022-10-19 21:24:15,,,,,,,
12218,12229,N,US,89.0,2022-10-20 13:43:43,,,,,,,
12219,12230,N,TL,1115.0,2022-10-20 13:44:29,,,,,,,
12220,12231,N,US,135.0,2022-10-20 19:55:13,,,,,,,
12221,12232,N,TL,1859.96,2022-10-20 19:56:19,,,,,,,
12222,12233,N,TL,2050.0,2022-10-21 21:17:52,,,,,,,
12223,12234,N,EU,140.0,2022-10-21 21:18:27,,,,,,,
13222,13233,N,EU,160.0,2022-10-23 19:16:14,,,,,,,
13223,13234,N,US,50.0,2022-10-23 19:17:03,,,,,,,
13224,13235,N,US,100.0,2022-10-23 19:17:23,,,,,,,
13225,13236,N,US,60.0,2022-10-24 16:42:17,,,,,,,
13227,13237,N,US,110.0,2022-10-25 19:13:13,,,,,,,
13228,13238,N,TL,2300.0,2022-10-26 19:55:17,,,,,,,
13229,13239,N,US,470.0,2022-10-26 19:57:06,,,,,,,
14228,14238,N,TL,500.0,2022-10-27 15:49:28,,,,,,,
14229,14239,N,TL,2000.0,2022-10-27 15:50:04,,,,,,,
14230,14240,N,US,160.0,2022-10-27 20:53:14,,,,,,,
14231,14241,N,US,350.0,2022-10-27 20:55:45,,,,,,,
14232,14242,N,TL,3400.0,2022-10-28 15:44:39,,,,,,,
14233,14243,N,US,40.0,2022-10-28 18:55:28,,,,,,,
14234,14244,N,EU,180.0,2022-10-28 18:56:34,,,,,,,
14235,14245,N,US,40.0,2022-10-28 19:16:25,,,,,,,
14236,14246,N,US,90.0,2022-10-28 23:04:47,,,,,,,
14237,14247,N,TL,1080.0,2022-10-28 23:23:47,,,,,,,
14238,14248,N,TL,1858.0,2022-10-30 22:22:59,,,,,,,
14239,14249,N,US,150.0,2022-10-30 22:26:06,,,,,,,
14240,14250,N,TL,1582.83,2022-10-30 22:27:27,,,,,,,
14241,14251,N,US,220.0,2022-10-30 22:31:21,,,,,,,
14242,14252,N,TL,2500.0,2022-10-30 22:32:05,,,,,,,
14243,14253,N,US,200.0,2022-10-31 20:08:59,,,,,,,
14244,14254,N,US,65.0,2022-10-31 20:09:58,,,,,,,
14245,14255,N,TL,1863.0,2022-10-31 20:11:43,,,,,,,
14245,14256,N,US,120.0,2022-10-31 20:11:49,,,,,,,
14245,14257,N,US,80.0,2022-10-31 20:11:55,,,,,,,
15243,15253,N,US,400.0,2022-11-01 15:50:35,,,,,,,
15244,15254,N,TL,1800.0,2022-11-01 15:51:24,,,,,,,
15245,15255,N,US,88.0,2022-11-01 19:24:58,,,,,,,
15246,15256,N,US,110.0,2022-11-03 13:02:47,,,,,,,
15247,15257,N,US,250.0,2022-11-03 13:03:30,,,,,,,
15248,15258,N,US,140.0,2022-11-03 13:03:53,,,,,,,
15249,15259,N,EU,55.0,2022-11-03 13:04:21,,,,,,,
15250,15260,N,US,180.0,2022-11-03 13:04:49,,,,,,,
15251,15261,N,US,75.0,2022-11-03 13:05:08,,,,,,,
15252,15262,N,TL,2328.95,2022-11-03 13:06:30,,,,,,,
15253,15263,N,US,276.0,2022-11-03 13:07:35,,,,,,,
15254,15264,N,US,135.0,2022-11-03 15:21:58,,,,,,,
15255,15265,N,US,100.0,2022-11-03 15:22:26,,,,,,,
15256,15266,N,US,50.0,2022-11-03 18:32:14,,,,,,,
15257,15267,N,US,54.0,2022-11-04 17:03:13,,,,,,,
15258,15268,N,US,85.0,2022-11-04 17:03:35,,,,,,,
15259,15269,N,US,70.0,2022-11-07 20:22:53,,,,,,,
15260,15270,N,US,85.0,2022-11-07 21:12:58,,,,,,,
15260,15271,N,US,88.0,2022-11-07 21:14:59,,,,,,,
15260,15272,N,US,119.0,2022-11-07 21:16:20,,,,,,,
15260,15273,N,US,92.0,2022-11-07 21:17:02,,,,,,,
15260,15274,N,US,56.0,2022-11-07 21:17:53,,,,,,,
15260,15275,N,US,125.0,2022-11-07 21:19:00,,,,,,,
15260,15276,N,US,80.0,2022-11-07 21:20:15,,,,,,,
15261,15277,N,US,75.0,2022-11-07 21:22:54,,,,,,,
15262,15278,N,US,51.0,2022-11-07 21:31:48,,,,,,,
15262,15279,N,US,110.0,2022-11-07 21:32:39,,,,,,,
15262,15280,N,US,40.0,2022-11-07 21:33:32,,,,,,,
15262,15281,N,US,40.0,2022-11-07 21:34:27,,,,,,,
15262,15282,N,US,40.0,2022-11-07 21:35:41,,,,,,,
15263,15283,N,US,85.0,2022-11-08 10:47:41,,,,,,,
15264,15284,N,US,95.0,2022-11-08 12:11:23,,,,,,,
15264,15285,N,US,100.0,2022-11-08 12:12:42,,,,,,,
15265,15286,N,US,148.0,2022-11-09 20:32:49,,,,,,,
16265,16286,N,US,100.0,2022-11-11 16:35:44,,,,,,,
16266,16287,N,US,150.0,2022-11-11 16:36:25,,,,,,,
16267,16288,N,US,140.0,2022-11-11 16:36:46,,,,,,,
16268,16289,N,US,55.0,2022-11-11 16:37:21,,,,,,,
16268,16290,N,US,50.0,2022-11-11 16:37:25,,,,,,,
16269,16291,N,US,160.0,2022-11-11 16:37:57,,,,,,,
16270,16292,N,US,130.0,2022-11-11 16:38:40,,,,,,,
16271,16293,N,US,105.0,2022-11-11 16:39:07,,,,,,,
16272,16294,N,US,410.0,2022-11-14 11:06:51,,,,,,,
16273,16295,N,TL,1674.0,2022-11-14 11:07:39,,,,,,,
16274,16296,N,US,115.0,2022-11-14 11:08:20,,,,,,,
16275,16297,N,US,150.0,2022-11-14 11:08:57,,,,,,,
16276,16298,N,TL,400.0,2022-11-14 14:00:35,,,,,,,
16277,16299,N,US,280.0,2022-11-15 14:06:01,,,,,,,
16278,16300,N,US,80.0,2022-11-15 16:40:10,,,,,,,
16279,16301,N,US,140.0,2022-11-15 18:24:54,,,,,,,
16280,16302,N,US,210.0,2022-11-15 18:26:15,,,,,,,
16281,16303,N,EU,360.0,2022-11-15 19:56:21,,,,,,,
16282,16304,N,US,100.0,2022-11-16 12:20:06,,,,,,,
16283,16305,N,US,50.0,2022-11-16 12:20:58,,,,,,,
16284,16306,N,US,145.0,2022-11-16 12:21:22,,,,,,,
16285,16307,N,US,70.0,2022-11-16 12:22:26,,,,,,,
16286,16308,N,TL,1860.0,2022-11-16 15:04:10,,,,,,,
16287,16309,N,TL,465.0,2022-11-16 15:05:46,,,,,,,
16287,16310,N,TL,1035.0,2022-11-16 15:05:54,,,,,,,
16288,16311,N,US,100.0,2022-11-16 18:16:07,,,,,,,
16289,16312,N,US,125.0,2022-11-16 20:20:14,,,,,,,
17289,17312,N,US,135.0,2022-11-17 10:42:31,,,,,,,
17290,17313,N,US,25.0,2022-11-17 16:00:29,,,,,,,
17291,17314,N,US,180.0,2022-11-17 16:01:16,,,,,,,
17292,17315,N,US,250.0,2022-11-17 18:19:08,,,,,,,
17293,17316,N,US,60.0,2022-11-17 18:20:14,,,,,,,
17294,17317,N,US,150.0,2022-11-17 21:00:46,,,,,,,
17295,17318,N,US,350.0,2022-11-18 16:03:31,,,,,,,
17296,17319,N,US,75.0,2022-11-18 16:41:28,,,,,,,
17297,17320,N,US,50.0,2022-11-18 16:41:49,,,,,,,
17298,17321,N,US,50.0,2022-11-18 16:42:19,,,,,,,
17299,17322,N,US,150.0,2022-11-20 11:52:41,,,,,,,
17300,17323,N,US,75.0,2022-11-20 11:53:06,,,,,,,
18299,18322,N,US,174.0,2022-11-21 10:21:59,,,,,,,
18300,18323,N,US,140.0,2022-11-22 15:58:44,,,,,,,
18301,18324,N,US,45.0,2022-11-22 15:59:18,,,,,,,
18302,18325,N,US,90.0,2022-11-22 16:04:33,,,,,,,
18303,18326,N,US,70.0,2022-11-22 16:05:23,,,,,,,
18304,18327,N,US,70.0,2022-11-22 16:15:37,,,,,,,
18305,18328,N,US,50.0,2022-11-22 16:16:00,,,,,,,
18306,18329,N,US,80.0,2022-11-22 16:16:36,,,,,,,
18307,18330,N,US,100.0,2022-11-23 18:15:57,,,,,,,
18308,18331,N,US,50.0,2022-11-23 18:17:03,,,,,,,
18309,18332,N,US,45.0,2022-11-23 18:17:55,,,,,,,
18310,18333,N,US,40.0,2022-11-23 18:18:20,,,,,,,
18311,18334,N,US,100.0,2022-11-23 18:18:35,,,,,,,
18312,18335,N,US,90.0,2022-11-23 18:18:58,,,,,,,
18313,18336,N,US,85.0,2022-11-23 19:53:45,,,,,,,
19313,19336,N,US,60.0,2022-11-24 10:10:08,,,,,,,
19314,19337,N,US,80.0,2022-11-24 15:30:22,,,,,,,
19315,19338,N,US,80.0,2022-11-24 15:30:45,,,,,,,
19316,19339,N,US,95.0,2022-11-24 15:31:06,,,,,,,
19317,19340,N,US,130.0,2022-11-25 14:42:44,,,,,,,
19318,19341,N,US,250.0,2022-11-25 14:44:13,,,,,,,
19319,19342,N,US,65.0,2022-11-25 14:44:48,,,,,,,
19320,19343,N,US,70.0,2022-11-25 15:13:17,,,,,,,
19321,19344,N,US,50.0,2022-11-25 19:40:23,,,,,,,
20321,20344,N,US,140.0,2022-11-26 16:59:45,,,,,,,
20322,20345,N,US,50.0,2022-11-26 17:00:14,,,,,,,
20323,20346,N,US,80.0,2022-11-26 17:00:39,,,,,,,
20324,20347,N,US,60.0,2022-11-26 17:00:59,,,,,,,
20325,20348,N,US,27.0,2022-11-26 17:01:20,,,,,,,
20326,20349,N,US,40.0,2022-11-26 17:01:36,,,,,,,
20327,20350,N,US,80.0,2022-11-26 17:02:00,,,,,,,
20328,20351,N,US,95.0,2022-11-26 17:02:20,,,,,,,
20329,20352,N,US,70.0,2022-11-26 17:02:41,,,,,,,
20330,20353,N,US,210.0,2022-11-26 17:03:53,,,,,,,
21321,21344,N,US,27.0,2022-11-28 08:59:19,,,,,,,
21322,21345,N,US,80.0,2022-11-28 12:42:11,,,,,,,
21323,21346,N,US,75.0,2022-11-28 15:58:21,,,,,,,
21324,21347,N,US,70.0,2022-11-28 15:58:54,,,,,,,
21325,21348,N,US,180.0,2022-11-28 15:59:49,,,,,,,
21326,21349,N,US,80.0,2022-11-29 15:16:52,,,,,,,
21327,21350,N,US,45.0,2022-11-29 15:17:37,,,,,,,
21327,21351,N,EU,130.0,2022-11-29 15:17:51,,,,,,,
21328,21352,N,US,80.0,2022-11-29 17:14:17,,,,,,,
21329,21353,N,US,80.0,2022-11-29 17:14:54,,,,,,,
21330,21354,N,TL,4624.95,2022-11-30 11:19:07,,,,,,,
21331,21355,N,US,50.0,2022-11-30 11:19:42,,,,,,,
21332,21356,N,US,50.0,2022-11-30 18:00:08,,,,,,,
21333,21357,N,EU,70.0,2022-11-30 18:01:32,,,,,,,
21334,21358,N,EU,50.0,2022-11-30 18:02:00,,,,,,,
21335,21359,N,US,140.0,2022-11-30 18:02:24,,,,,,,
21336,21360,N,TL,1495.0,2022-11-30 18:19:44,,,,,,,
21337,21361,N,US,170.0,2022-12-02 10:50:38,,,,,,,
21338,21362,N,US,90.0,2022-12-02 10:51:05,,,,,,,
21339,21363,N,TL,2420.0,2022-12-02 10:51:42,,,,,,,
21340,21364,N,TL,930.0,2022-12-02 10:52:19,,,,,,,
21341,21365,N,US,120.0,2022-12-03 16:00:52,,,,,,,
