SipNo,AvTip,Coninx,Odinx,Fisinx,EvrakNo,Tutar,ParaCinsi,Vade,Tanim,PortfoyNo
713,k,1714,0,,,,,,,
714,k,188,0,,,,,,,
734,k,207,0,,,,,,,
735,k,206,0,,,,,,,
736,k,205,0,,,,,,,
742,k,208,0,,,,,,,
743,k,209,0,,,,,,,
765,k,444,0,,,,,,,
767,k,211,0,,,,,,,
768,k,212,0,,,,,,,
768,k,963,0,,,,,,,
769,k,486,0,,,,,,,
769,k,793,0,,,,,,,
780,k,214,0,,,,,,,
783,k,322,0,,,,,,,
784,k,344,0,,,,,,,
798,k,426,0,,,,,,,
805,k,445,0,,,,,,,
806,k,446,0,,,,,,,
821,k,447,0,,,,,,,
822,k,453,0,,,,,,,
829,k,454,0,,,,,,,
830,k,457,0,,,,,,,
831,k,452,0,,,,,,,
838,k,970,0,,,,,,,
844,k,461,0,,,,,,,
850,k,492,0,,,,,,,
851,k,482,0,,,,,,,
851,k,551,0,,,,,,,
860,k,488,0,,,,,,,
861,k,489,0,,,,,,,
861,k,490,0,,,,,,,
862,k,487,0,,,,,,,
887,k,504,0,,,,,,,
888,k,495,0,,,,,,,
895,k,502,0,,,,,,,
896,k,503,0,,,,,,,
896,k,505,0,,,,,,,
909,k,506,0,,,,,,,
936,k,508,0,,,,,,,
936,k,510,0,,,,,,,
936,k,511,0,,,,,,,
936,k,512,0,,,,,,,
937,k,507,0,,,,,,,
946,k,514,0,,,,,,,
946,k,2096,0,,,,,,,
947,k,513,0,,,,,,,
948,k,515,0,,,,,,,
948,k,900,0,,,,,,,
985,k,527,0,,,,,,,
986,k,528,0,,,,,,,
987,k,529,0,,,,,,,
988,k,532,0,,,,,,,
989,k,534,0,,,,,,,
1004,k,533,0,,,,,,,
1004,k,555,0,,,,,,,
1031,k,537,0,,,,,,,
1037,k,538,0,,,,,,,
1046,k,541,0,,,,,,,
1047,k,539,0,,,,,,,
1047,k,756,0,,,,,,,
1048,k,540,0,,,,,,,
1060,k,4312,0,,,,,,,
1061,k,4313,0,,,,,,,
1062,k,545,0,,,,,,,
1064,k,544,0,,,,,,,
1065,k,561,0,,,,,,,
1065,k,562,0,,,,,,,
1088,k,546,0,,,,,,,
1101,k,547,0,,,,,,,
1101,k,2471,0,,,,,,,
1102,k,548,0,,,,,,,
1119,k,554,0,,,,,,,
1120,k,553,0,,,,,,,
1126,k,552,0,,,,,,,
1149,k,556,0,,,,,,,
1173,k,557,0,,,,,,,
1174,k,558,0,,,,,,,
1174,k,586,0,,,,,,,
1199,k,566,0,,,,,,,
1201,k,568,0,,,,,,,
1201,k,745,0,,,,,,,
1214,k,569,0,,,,,,,
1214,k,2719,0,,,,,,,
1216,k,570,0,,,,,,,
1218,k,1179,0,,,,,,,
1236,k,571,0,,,,,,,
1237,k,572,0,,,,,,,
1253,k,1206,0,,,,,,,
1286,k,664,0,,,,,,,
1289,k,665,0,,,,,,,
1289,k,668,0,,,,,,,
1308,k,880,0,,,,,,,
1320,k,683,0,,,,,,,
1324,k,700,0,,,,,,,
1324,k,1239,0,,,,,,,
1325,k,703,0,,,,,,,
1325,k,1017,0,,,,,,,
1326,k,702,0,,,,,,,
1326,k,1074,0,,,,,,,
1342,k,705,0,,,,,,,
1343,k,704,0,,,,,,,
1344,k,706,0,,,,,,,
1345,k,707,0,,,,,,,
1346,k,709,0,,,,,,,
1347,k,708,0,,,,,,,
1348,k,710,0,,,,,,,
1349,k,711,0,,,,,,,
1349,k,1287,0,,,,,,,
1383,k,712,0,,,,,,,
1383,k,2263,0,,,,,,,
1384,k,725,0,,,,,,,
1393,k,715,0,,,,,,,
1394,k,716,0,,,,,,,
1395,k,718,0,,,,,,,
1396,k,720,0,,,,,,,
1407,k,721,0,,,,,,,
1411,k,719,0,,,,,,,
1432,k,728,0,,,,,,,
1444,k,732,0,,,,,,,
1454,k,733,0,,,,,,,
1457,k,731,0,,,,,,,
1458,k,730,0,,,,,,,
1459,k,734,0,,,,,,,
1460,k,740,0,,,,,,,
1490,k,741,0,,,,,,,
1492,k,744,0,,,,,,,
1499,k,743,0,,,,,,,
1532,k,750,0,,,,,,,
1532,k,2624,0,,,,,,,
1534,k,746,0,,,,,,,
1535,k,748,0,,,,,,,
1537,k,752,0,,,,,,,
1538,k,759,0,,,,,,,
1539,k,762,0,,,,,,,
1539,k,771,0,,,,,,,
1548,k,766,0,,,,,,,
1560,k,772,0,,,,,,,
1564,k,769,0,,,,,,,
1603,k,782,0,,,,,,,
1604,k,783,0,,,,,,,
1604,k,1238,0,,,,,,,
1615,k,787,0,,,,,,,
1616,k,790,0,,,,,,,
1616,k,791,0,,,,,,,
1616,k,792,0,,,,,,,
1621,k,789,0,,,,,,,
1623,k,672,0,,,,,,,
1635,k,799,0,,,,,,,
1636,k,802,0,,,,,,,
1646,k,803,0,,,,,,,
1651,k,1067,0,,,,,,,
1653,k,1040,0,,,,,,,
1653,k,3871,0,,,,,,,
1654,k,810,0,,,,,,,
1670,k,811,0,,,,,,,
1679,k,813,0,,,,,,,
1684,k,826,0,,,,,,,
1714,k,878,0,,,,,,,
1720,k,879,0,,,,,,,
1738,k,891,0,,,,,,,
1742,k,899,0,,,,,,,
1756,k,902,0,,,,,,,
1756,k,2759,0,,,,,,,
1772,k,906,0,,,,,,,
1773,k,907,0,,,,,,,
1798,k,909,0,,,,,,,
1798,k,1317,0,,,,,,,
1802,k,1196,0,,,,,,,
1803,k,1079,0,,,,,,,
1806,k,1076,0,,,,,,,
1806,k,1165,0,,,,,,,
1811,k,952,0,,,,,,,
1811,k,1068,0,,,,,,,
1812,k,947,0,,,,,,,
1818,k,953,0,,,,,,,
1819,k,949,0,,,,,,,
1830,k,958,0,,,,,,,
1846,k,957,0,,,,,,,
1847,k,954,0,,,,,,,
1876,k,960,0,,,,,,,
1876,k,1218,0,,,,,,,
1886,k,975,0,,,,,,,
1887,k,972,0,,,,,,,
1888,k,968,0,,,,,,,
1888,k,1066,0,,,,,,,
1889,k,966,0,,,,,,,
1890,k,973,0,,,,,,,
1893,k,971,0,,,,,,,
1912,k,985,0,,,,,,,
1922,k,1008,0,,,,,,,
1947,k,1064,0,,,,,,,
1952,k,1069,0,,,,,,,
1953,k,1070,0,,,,,,,
1955,k,1072,0,,,,,,,
1956,k,1071,0,,,,,,,
1985,k,1077,0,,,,,,,
1987,k,1078,0,,,,,,,
1998,k,1095,0,,,,,,,
2001,k,1096,0,,,,,,,
2001,k,2153,0,,,,,,,
2002,k,1097,0,,,,,,,
2014,k,1098,0,,,,,,,
2014,k,2261,0,,,,,,,
2021,k,1104,0,,,,,,,
2022,k,1120,0,,,,,,,
2023,k,1118,0,,,,,,,
2023,k,1121,0,,,,,,,
2027,k,2720,0,,,,,,,
2028,k,1116,0,,,,,,,
2028,k,2239,0,,,,,,,
2049,k,1114,0,,,,,,,
2049,k,1319,0,,,,,,,
2050,k,1119,0,,,,,,,
2051,k,1125,0,,,,,,,
2079,k,1144,0,,,,,,,
2079,k,1145,0,,,,,,,
2079,k,2156,0,,,,,,,
2081,k,1177,0,,,,,,,
2085,k,1169,0,,,,,,,
2086,k,1168,0,,,,,,,
2087,k,1167,0,,,,,,,
2088,k,1166,0,,,,,,,
2090,k,1171,0,,,,,,,
2091,k,1170,0,,,,,,,
2091,k,1172,0,,,,,,,
2092,k,1173,0,,,,,,,
2092,k,2125,0,,,,,,,
2111,k,1175,0,,,,,,,
2111,k,1591,0,,,,,,,
2123,k,1178,0,,,,,,,
2139,k,1181,0,,,,,,,
2161,k,1180,0,,,,,,,
2178,k,1183,0,,,,,,,
2179,k,1182,0,,,,,,,
2184,k,1185,0,,,,,,,
2201,k,1190,0,,,,,,,
2204,k,1191,0,,,,,,,
2205,k,1235,0,,,,,,,
2206,k,1194,0,,,,,,,
2207,k,1193,0,,,,,,,
2207,k,2828,0,,,,,,,
2208,k,1234,0,,,,,,,
2268,k,1214,0,,,,,,,
2296,k,1227,0,,,,,,,
2297,k,1230,0,,,,,,,
2297,k,2320,0,,,,,,,
2297,k,2623,0,,,,,,,
2297,k,5078,0,,,,,,,
2297,k,5237,0,,,,,,,
2393,k,1288,0,,,,,,,
2397,k,1291,0,,,,,,,
2405,k,1350,0,,,,,,,
2406,k,1306,0,,,,,,,
2407,k,1297,0,,,,,,,
2414,k,1292,0,,,,,,,
2415,k,1293,0,,,,,,,
2442,k,1349,0,,,,,,,
2443,k,1348,0,,,,,,,
2444,k,1314,0,,,,,,,
2446,k,1310,0,,,,,,,
2447,k,1318,0,,,,,,,
2447,k,2730,0,,,,,,,
2448,k,1700,0,,,,,,,
2452,k,1719,0,,,,,,,
2469,k,1323,0,,,,,,,
2473,k,1320,0,,,,,,,
2474,k,1321,0,,,,,,,
2475,k,1322,0,,,,,,,
2484,k,1649,0,,,,,,,
2485,k,1648,0,,,,,,,
2485,k,1657,0,,,,,,,
2486,k,1327,0,,,,,,,
2499,k,1331,0,,,,,,,
2514,k,1332,0,,,,,,,
2535,k,1416,0,,,,,,,
2547,k,1352,0,,,,,,,
2549,k,1353,0,,,,,,,
2551,k,1361,0,,,,,,,
2551,k,1637,0,,,,,,,
2583,k,1366,0,,,,,,,
2598,k,1371,0,,,,,,,
2598,k,1584,0,,,,,,,
2598,k,2798,0,,,,,,,
2604,k,3361,0,,,,,,,
2606,k,1374,0,,,,,,,
2610,k,1375,0,,,,,,,
2636,k,1507,0,,,,,,,
2649,k,1514,0,,,,,,,
2651,k,1561,0,,,,,,,
2661,k,2755,0,,,,,,,
2662,k,1589,0,,,,,,,
2662,k,1612,0,,,,,,,
2662,k,3238,0,,,,,,,
2663,k,1597,0,,,,,,,
2676,k,1610,0,,,,,,,
2678,k,1641,0,,,,,,,
2679,k,1653,0,,,,,,,
2680,k,1656,0,,,,,,,
2698,k,1680,0,,,,,,,
2723,k,1696,0,,,,,,,
2731,k,1709,0,,,,,,,
2745,k,2620,0,,,,,,,
2766,k,1771,0,,,,,,,
2767,k,1770,0,,,,,,,
2776,k,1799,0,,,,,,,
2776,k,3982,0,,,,,,,
2793,k,1896,0,,,,,,,
2795,k,1897,0,,,,,,,
2800,k,3748,0,,,,,,,
2803,k,1902,0,,,,,,,
2804,k,1901,0,,,,,,,
2867,k,1921,0,,,,,,,
2868,k,1911,0,,,,,,,
2869,k,2151,0,,,,,,,
2870,k,1912,0,,,,,,,
2874,k,1914,0,,,,,,,
2892,k,3209,0,,,,,,,
2903,k,1925,0,,,,,,,
2904,k,1926,0,,,,,,,
2906,k,1929,0,,,,,,,
2908,k,1930,0,,,,,,,
2927,k,2155,0,,,,,,,
2929,k,2154,0,,,,,,,
2929,k,2163,0,,,,,,,
2932,k,2152,0,,,,,,,
2981,k,2149,0,,,,,,,
2981,k,2150,0,,,,,,,
2981,k,2373,0,,,,,,,
2989,k,2148,0,,,,,,,
2990,k,2144,0,,,,,,,
3009,k,2147,0,,,,,,,
3016,k,2145,0,,,,,,,
3017,k,2146,0,,,,,,,
3020,k,2329,0,,,,,,,
3034,k,2119,0,,,,,,,
3046,k,2128,0,,,,,,,
3050,k,5239,0,,,,,,,
3051,k,2157,0,,,,,,,
3052,k,2158,0,,,,,,,
3053,k,2160,0,,,,,,,
3054,k,2159,0,,,,,,,
3055,k,2161,0,,,,,,,
3055,k,2354,0,,,,,,,
3094,k,4436,0,,,,,,,
3102,k,2233,0,,,,,,,
3103,k,2235,0,,,,,,,
3110,k,531,0,,,,,,,
3110,k,2236,0,,,,,,,
3111,k,2237,0,,,,,,,
3122,k,2238,0,,,,,,,
3143,k,2240,0,,,,,,,
3143,k,2242,0,,,,,,,
3166,k,2241,0,,,,,,,
3169,k,2243,0,,,,,,,
3169,k,3839,0,,,,,,,
3170,k,2248,0,,,,,,,
3192,k,2262,0,,,,,,,
3198,k,2328,0,,,,,,,
3198,k,3257,0,,,,,,,
3216,k,2334,0,,,,,,,
3218,k,2335,0,,,,,,,
3221,k,2336,0,,,,,,,
3237,k,2337,0,,,,,,,
3261,k,2345,0,,,,,,,
3263,k,2342,0,,,,,,,
3291,k,2346,0,,,,,,,
3318,k,2464,0,,,,,,,
3318,k,3455,0,,,,,,,
3318,k,5071,0,,,,,,,
3319,k,2347,0,,,,,,,
3323,k,2360,0,,,,,,,
3323,k,2625,0,,,,,,,
3324,k,2359,0,,,,,,,
3325,k,2355,0,,,,,,,
3325,k,2356,0,,,,,,,
3328,k,2370,0,,,,,,,
3329,k,2388,0,,,,,,,
3338,k,2369,0,,,,,,,
3339,k,2387,0,,,,,,,
3346,k,2366,0,,,,,,,
3365,k,2476,0,,,,,,,
3366,k,2390,0,,,,,,,
3388,k,2477,0,,,,,,,
3389,k,2475,0,,,,,,,
3390,k,2472,0,,,,,,,
3391,k,678,0,,,,,,,
3391,k,2473,0,,,,,,,
3391,k,4292,0,,,,,,,
3412,k,2467,0,,,,,,,
3413,k,2466,0,,,,,,,
3419,k,2468,0,,,,,,,
3428,k,2469,0,,,,,,,
3440,k,3255,0,,,,,,,
3471,k,2626,0,,,,,,,
3486,k,2638,0,,,,,,,
3487,k,2635,0,,,,,,,
3492,k,2655,0,,,,,,,
3493,k,2656,0,,,,,,,
3494,k,2873,0,,,,,,,
3496,k,2683,0,,,,,,,
3496,k,2754,0,,,,,,,
3497,k,2682,0,,,,,,,
3498,k,2684,0,,,,,,,
3499,k,2685,0,,,,,,,
3500,k,2688,0,,,,,,,
3501,k,2681,0,,,,,,,
3503,k,2702,0,,,,,,,
3504,k,2690,0,,,,,,,
3505,k,2691,0,,,,,,,
3506,k,2696,0,,,,,,,
3508,k,2718,0,,,,,,,
3509,k,2723,0,,,,,,,
3510,k,2722,0,,,,,,,
3511,k,2721,0,,,,,,,
3518,k,2731,0,,,,,,,
3578,k,2130,0,,,,,,,
3578,k,2732,0,,,,,,,
3604,k,2728,0,,,,,,,
3605,k,2729,0,,,,,,,
3606,k,2727,0,,,,,,,
3607,k,2726,0,,,,,,,
3633,k,3312,0,,,,,,,
3634,k,2725,0,,,,,,,
3643,k,2324,0,,,,,,,
3643,k,2738,0,,,,,,,
3644,k,2736,0,,,,,,,
3644,k,2739,0,,,,,,,
3648,k,2737,0,,,,,,,
3664,k,2741,0,,,,,,,
3685,k,2742,0,,,,,,,
3686,k,3249,0,,,,,,,
3687,k,2743,0,,,,,,,
3688,k,2744,0,,,,,,,
3715,k,2746,0,,,,,,,
3716,k,2748,0,,,,,,,
3717,k,2747,0,,,,,,,
3720,k,662,0,,,,,,,
3720,k,2749,0,,,,,,,
3720,k,2750,0,,,,,,,
3720,k,2751,0,,,,,,,
3720,k,2752,0,,,,,,,
3720,k,2753,0,,,,,,,
3765,k,2762,0,,,,,,,
3766,k,2761,0,,,,,,,
3773,k,2760,0,,,,,,,
3773,k,4402,0,,,,,,,
3790,k,2763,0,,,,,,,
3798,k,2764,0,,,,,,,
3799,k,2793,0,,,,,,,
3800,k,2804,0,,,,,,,
3801,k,2734,0,,,,,,,
3801,k,2803,0,,,,,,,
3853,k,893,0,,,,,,,
3853,k,2811,0,,,,,,,
3863,k,713,0,,,,,,,
3863,k,2872,0,,,,,,,
3879,k,2839,0,,,,,,,
3880,k,2843,0,,,,,,,
3880,k,2844,0,,,,,,,
3890,k,2849,0,,,,,,,
3897,k,2928,0,,,,,,,
3915,k,3870,0,,,,,,,
3916,k,3109,0,,,,,,,
3957,k,2785,0,,,,,,,
3957,k,5715,0,,,,,,,
3960,k,3137,0,,,,,,,
3961,k,3132,0,,,,,,,
3962,k,3133,0,,,,,,,
3964,k,3134,0,,,,,,,
3965,k,3138,0,,,,,,,
3966,k,3136,0,,,,,,,
3967,k,3135,0,,,,,,,
4011,k,2123,0,,,,,,,
4011,k,3297,0,,,,,,,
4035,k,3224,0,,,,,,,
4035,k,3226,0,,,,,,,
4040,k,3235,0,,,,,,,
4041,k,3234,0,,,,,,,
4042,k,3233,0,,,,,,,
4043,k,3236,0,,,,,,,
4061,k,3251,0,,,,,,,
4062,k,1870,0,,,,,,,
4062,k,2698,0,,,,,,,
4062,k,3271,0,,,,,,,
4063,k,3250,0,,,,,,,
4064,k,3256,0,,,,,,,
4066,k,3253,0,,,,,,,
4067,k,3252,0,,,,,,,
4068,k,3254,0,,,,,,,
4094,k,2384,0,,,,,,,
4094,k,3263,0,,,,,,,
4095,k,3262,0,,,,,,,
4096,k,3288,0,,,,,,,
4097,k,3264,0,,,,,,,
4106,k,3269,0,,,,,,,
4135,k,3268,0,,,,,,,
4136,k,3140,0,,,,,,,
4136,k,3300,0,,,,,,,
4180,k,3293,0,,,,,,,
4181,k,2699,0,,,,,,,
4181,k,3292,0,,,,,,,
4181,k,3294,0,,,,,,,
4192,k,3296,0,,,,,,,
4197,k,3298,0,,,,,,,
4199,k,3302,0,,,,,,,
4224,k,3310,0,,,,,,,
4227,k,210,0,,,,,,,
4227,k,765,0,,,,,,,
4227,k,1592,0,,,,,,,
4227,k,1702,0,,,,,,,
4227,k,2162,0,,,,,,,
4227,k,3313,0,,,,,,,
4242,k,3315,0,,,,,,,
4248,k,3358,0,,,,,,,
4250,k,3360,0,,,,,,,
4253,k,3359,0,,,,,,,
4253,k,3362,0,,,,,,,
4273,k,2333,0,,,,,,,
4273,k,2640,0,,,,,,,
4273,k,3347,0,,,,,,,
4301,k,3357,0,,,,,,,
4309,k,3465,0,,,,,,,
4314,k,3468,0,,,,,,,
4320,k,3478,0,,,,,,,
4334,k,3778,0,,,,,,,
4340,k,3598,0,,,,,,,
4342,k,3650,0,,,,,,,
4344,k,3653,0,,,,,,,
4346,k,3648,0,,,,,,,
4383,k,3597,0,,,,,,,
4384,k,3649,0,,,,,,,
4387,k,3654,0,,,,,,,
4400,k,3655,0,,,,,,,
4414,k,3656,0,,,,,,,
4414,k,3658,0,,,,,,,
4446,k,3745,0,,,,,,,
4447,k,3746,0,,,,,,,
4448,k,3775,0,,,,,,,
4450,k,3761,0,,,,,,,
4451,k,3766,0,,,,,,,
4452,k,3763,0,,,,,,,
4453,k,3767,0,,,,,,,
4454,k,3765,0,,,,,,,
4464,k,3762,0,,,,,,,
4509,k,3804,0,,,,,,,
4558,k,3813,0,,,,,,,
4559,k,3812,0,,,,,,,
4566,k,3811,0,,,,,,,
4567,k,3810,0,,,,,,,
4568,k,3836,0,,,,,,,
4577,k,3829,0,,,,,,,
4577,k,3833,0,,,,,,,
4579,k,3828,0,,,,,,,
4579,k,3834,0,,,,,,,
4580,k,3830,0,,,,,,,
4581,k,3831,0,,,,,,,
4583,k,3835,0,,,,,,,
4616,k,3846,0,,,,,,,
4617,k,3845,0,,,,,,,
4644,k,3869,0,,,,,,,
4645,k,3873,0,,,,,,,
4647,k,3872,0,,,,,,,
4647,k,3875,0,,,,,,,
4648,k,3877,0,,,,,,,
4660,k,3889,0,,,,,,,
4660,k,3894,0,,,,,,,
4660,k,3900,0,,,,,,,
4675,k,2740,0,,,,,,,
4689,k,3920,0,,,,,,,
4690,k,3917,0,,,,,,,
4724,k,3886,0,,,,,,,
4724,k,3888,0,,,,,,,
4724,k,3893,0,,,,,,,
4724,k,3901,0,,,,,,,
4725,k,3918,0,,,,,,,
4726,k,3919,0,,,,,,,
4750,k,3968,0,,,,,,,
4757,k,3966,0,,,,,,,
4759,k,3967,0,,,,,,,
4760,k,3971,0,,,,,,,
4761,k,3972,0,,,,,,,
4762,k,3970,0,,,,,,,
4795,k,3955,0,,,,,,,
4816,k,3975,0,,,,,,,
4820,k,3986,0,,,,,,,
4822,k,3987,0,,,,,,,
4830,k,1808,0,,,,,,,
4830,k,3989,0,,,,,,,
4831,k,3988,0,,,,,,,
4832,k,680,0,,,,,,,
4832,k,3880,0,,,,,,,
4832,k,4262,0,,,,,,,
4887,k,4295,0,,,,,,,
4917,k,4297,0,,,,,,,
4920,k,4296,0,,,,,,,
4935,k,4299,0,,,,,,,
4936,k,4300,0,,,,,,,
4966,k,4311,0,,,,,,,
4967,k,4337,0,,,,,,,
4968,k,4360,0,,,,,,,
4969,k,4401,0,,,,,,,
4970,k,4403,0,,,,,,,
5012,k,3287,0,,,,,,,
5012,k,4420,0,,,,,,,
5038,k,4445,0,,,,,,,
5039,k,4444,0,,,,,,,
5057,k,4462,0,,,,,,,
5060,k,4540,0,,,,,,,
5061,k,4543,0,,,,,,,
5072,k,4544,0,,,,,,,
5085,k,4422,0,,,,,,,
5085,k,4545,0,,,,,,,
5087,k,4551,0,,,,,,,
5093,k,518,0,,,,,,,
5093,k,3460,0,,,,,,,
5093,k,4417,0,,,,,,,
5093,k,4591,0,,,,,,,
5102,k,4532,0,,,,,,,
5107,k,4534,0,,,,,,,
5121,k,5285,0,,,,,,,
5144,k,4596,0,,,,,,,
5145,k,4601,0,,,,,,,
5146,k,4600,0,,,,,,,
5148,k,4609,0,,,,,,,
5173,k,4650,0,,,,,,,
5201,k,4807,0,,,,,,,
5208,k,4806,0,,,,,,,
5251,k,4846,0,,,,,,,
5295,k,5024,0,,,,,,,
5298,k,5019,0,,,,,,,
5299,k,5490,0,,,,,,,
5319,k,5028,0,,,,,,,
5321,k,5027,0,,,,,,,
5326,k,5026,0,,,,,,,
5354,k,5031,0,,,,,,,
5359,k,5038,0,,,,,,,
5364,k,5041,0,,,,,,,
5371,k,5042,0,,,,,,,
5374,k,5049,0,,,,,,,
5375,k,5048,0,,,,,,,
5376,k,3488,0,,,,,,,
5376,k,5056,0,,,,,,,
5390,k,3800,0,,,,,,,
5390,k,4458,0,,,,,,,
5391,k,484,0,,,,,,,
5391,k,1763,0,,,,,,,
5391,k,3816,0,,,,,,,
5401,k,807,0,,,,,,,
5401,k,1065,0,,,,,,,
5401,k,1296,0,,,,,,,
5401,k,1899,0,,,,,,,
5401,k,2837,0,,,,,,,
5401,k,3957,0,,,,,,,
5402,k,3960,0,,,,,,,
5402,k,5067,0,,,,,,,
5409,k,4452,0,,,,,,,
5410,k,4429,0,,,,,,,
5412,k,2836,0,,,,,,,
5413,k,2352,0,,,,,,,
5413,k,3769,0,,,,,,,
5413,k,5065,0,,,,,,,
5439,k,2463,0,,,,,,,
5439,k,3959,0,,,,,,,
5443,k,5076,0,,,,,,,
5451,k,5086,0,,,,,,,
5453,k,2358,0,,,,,,,
5453,k,2767,0,,,,,,,
5453,k,5088,0,,,,,,,
5454,k,5087,0,,,,,,,
5455,k,5089,0,,,,,,,
5456,k,5091,0,,,,,,,
5489,k,5123,0,,,,,,,
5497,k,5122,0,,,,,,,
5502,k,5124,0,,,,,,,
5505,k,5125,0,,,,,,,
5505,k,5722,0,,,,,,,
5520,k,5128,0,,,,,,,
5575,k,5241,0,,,,,,,
5576,k,5240,0,,,,,,,
5578,k,5280,0,,,,,,,
5591,k,5281,0,,,,,,,
5594,k,5283,0,,,,,,,
5611,k,5284,0,,,,,,,
5613,k,5286,0,,,,,,,
5650,k,5318,0,,,,,,,
5650,k,5320,0,,,,,,,
5657,k,5453,0,,,,,,,
5663,k,5452,0,,,,,,,
5664,k,5451,0,,,,,,,
5725,k,4288,0,,,,,,,
5725,k,5591,0,,,,,,,
5725,k,5603,0,,,,,,,
5727,k,5604,0,,,,,,,
5746,k,5679,0,,,,,,,
5747,k,5665,0,,,,,,,
5748,k,5680,0,,,,,,,
5770,k,5687,0,,,,,,,
5772,k,5686,0,,,,,,,
5807,k,5703,0,,,,,,,
5807,k,5709,0,,,,,,,
5815,k,5710,0,,,,,,,
5815,k,5814,0,,,,,,,
5822,k,5772,0,,,,,,,
5822,k,5815,0,,,,,,,
5835,k,5769,0,,,,,,,
5839,k,5770,0,,,,,,,
5849,k,5790,0,,,,,,,
5850,k,5798,0,,,,,,,
5887,k,5819,0,,,,,,,
5906,k,5821,0,,,,,,,
5918,k,5869,0,,,,,,,
5919,k,5870,0,,,,,,,
5920,k,5868,0,,,,,,,
5942,k,5883,0,,,,,,,
5955,k,5894,0,,,,,,,
5963,k,5897,0,,,,,,,
5964,k,5900,0,,,,,,,
5974,k,6413,0,,,,,,,
5994,k,6366,0,,,,,,,
5996,k,5906,0,,,,,,,
6020,k,6014,0,,,,,,,
6021,k,5127,0,,,,,,,
6021,k,5998,0,,,,,,,
6022,k,6013,0,,,,,,,
6024,k,6019,0,,,,,,,
6068,k,6110,0,,,,,,,
6068,k,6845,0,,,,,,,
6069,k,6112,0,,,,,,,
6084,k,6117,0,,,,,,,
6109,k,6363,0,,,,,,,
6109,k,6364,0,,,,,,,
6111,k,6365,0,,,,,,,
6156,k,6370,0,,,,,,,
6165,k,6373,0,,,,,,,
6192,k,6399,0,,,,,,,
6199,k,6406,0,,,,,,,
6207,k,6392,0,,,,,,,
6207,k,6415,0,,,,,,,
6208,k,3600,0,,,,,,,
6208,k,6414,0,,,,,,,
6223,k,6418,0,,,,,,,
6224,k,6437,0,,,,,,,
6238,k,6454,0,,,,,,,
6239,k,6453,0,,,,,,,
6244,k,6458,0,,,,,,,
6281,k,6460,0,,,,,,,
6282,k,6459,0,,,,,,,
6300,k,6465,0,,,,,,,
6304,k,1764,0,,,,,,,
6304,k,4550,0,,,,,,,
6304,k,6473,0,,,,,,,
