SKOD,Tip,iskonto,exCheck,iskontoTut
126 9120,,0.00,,
126 9122,,0.00,,
126 9124,,0.00,,
126 9125,,0.00,,
126 9125A,,0.00,,
126 9129,,0.00,,
126 9129 A,,0.00,,
126 9129-A,,0.00,,
126 9129-B,,0.00,,
126 9130,,0.00,,
126 9131,,0.00,,
126 9132,,0.00,,
126 9133,,0.00,,
126 9133A,,0.00,,
126 9133-A,,0.00,,
126 9137,,0.00,,
126 9138,,0.00,,
126 9139,,0.00,,
126 9139-A,,0.00,,
126 9139-B,,0.00,,
126 9140,,0.00,,
126 9140-A,,0.00,,
126 9141,,0.00,,
126 9142,,0.00,,
126 9144,,0.00,,
126 9145,,0.00,,
126 9147,,0.00,,
126 9148,,0.00,,
126 9150,,0.00,,
126 9151,,0.00,,
126 9152,,0.00,,
126 9153,,0.00,,
126 9153-A,,0.00,,
126 9154,,0.00,,
126 9155,,0.00,,
126 9156,,0.00,,
126 9156-A,,0.00,,
126 9157,,0.00,,
126 9162,,0.00,,
126 9163,,0.00,,
126 9164,,0.00,,
126 9165,,0.00,,
126 9166,,0.00,,
126 9167,,0.00,,
126 9168,,0.00,,
126 9170,,0.00,,
126 9171,,0.00,,
126 9174,,0.00,,
126 9175,,0.00,,
126 9176,,0.00,,
126 9177,,0.00,,
126 9179,,0.00,,
126 9180,,0.00,,
126 9181,,0.00,,
126 9182,,0.00,,
126 9182-A,,0.00,,
126 9182-B,,0.00,,
126 9183,,0.00,,
126 9184,,0.00,,
126 9184-A,,0.00,,
126 9185,,0.00,,
126 9186,,0.00,,
126 9187,,0.00,,
126 9188,,0.00,,
126 9189,,0.00,,
126 9190,,0.00,,
126 9191,,0.00,,
126 9192,,0.00,,
126 9192-A,,0.00,,
126 9193,,0.00,,
126 9194,,0.00,,
126 9194-A,,0.00,,
126 9194-B,,0.00,,
126 9195,,0.00,,
126 9197,,0.00,,
126 9198,,0.00,,
126 9199,,0.00,,
126 9202,,0.00,,
126 9203,,0.00,,
126 9204,,0.00,,
126 9205,,0.00,,
126 9206,,0.00,,
126 9207,,0.00,,
126 9208,,0.00,,
126 9209,,0.00,,
126 9214,,0.00,,
126 9215,,0.00,,
126 9216,,0.00,,
126 9218,,0.00,,
126 9219,,0.00,,
126 9220,,0.00,,
126 9221,,0.00,,
126 9222,,0.00,,
126 9223,,0.00,,
126 9223-A,,0.00,,
126 9224,,0.00,,
126 9225,,0.00,,
126 9226,,0.00,,
126 9226A,,0.00,,
126 9228,,0.00,,
126 9229,,0.00,,
126 9230,,0.00,,
126 9230-A,,0.00,,
126 9231,,0.00,,
126 9231-A,,0.00,,
126 9232,,0.00,,
126 9233,,0.00,,
126 9234,,0.00,,
126 9235,,0.00,,
126 9236,,0.00,,
126 9237,,0.00,,
126 9237-A,,0.00,,
126 9238,,0.00,,
126 9239,,0.00,,
126 9240,,0.00,,
126 9241,,0.00,,
126 9242,,0.00,,
126 9243,,0.00,,
126 9244,,0.00,,
126 9244-A,,0.00,,
126 9245,,0.00,,
126 9245-A,,0.00,,
126 9246,,0.00,,
126 9247,,0.00,,
126 9248,,0.00,,
126 9249,,0.00,,
126 9249-A,,0.00,,
126 9250,,0.00,,
126 9251,,0.00,,
126 9252,,0.00,,
126 9253,,0.00,,
126 9254,,0.00,,
126 9255,,0.00,,
126 9256,,0.00,,
126 9257,,0.00,,
126 9258,,0.00,,
126 9259,,0.00,,
126 9260,,0.00,,
126 9261,,0.00,,
126 9263,,0.00,,
126 9264,,0.00,,
126 9265,,0.00,,
126 9267,,0.00,,
126 9268,,0.00,,
126 9269,,0.00,,
126 9270,,0.00,,
126 9271,,0.00,,
126 9272,,0.00,,
126 9273,,0.00,,
126 9274,,0.00,,
126 9275,,0.00,,
126 9276,,0.00,,
