FisTip,FisNo,Location,HucreNo,BelgeNo,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0,1216,LN001,10184,,11507,DeryaYD,2024-11-18 19:46:22.730000,KGWMSREST,,,
0,1381,LN001,10244,,18147,EmelYD,2025-01-02 14:51:44.390000,KGWMSREST,,,
0,1382,LN001,10243,,18146,EmelYD,2025-01-02 14:50:45.230000,KGWMSREST,,,
0,1384,LN001,10245,,18210,EmelYD,2025-01-03 12:22:02.513000,KGWMSREST,,,
0,1385,LN001,10242,,18267,DeryaYD,2025-01-04 13:35:11.323000,KGWMSREST,,,
0,1388,LN001,10248,,18389,kadirglobal,2025-01-06 12:19:39.550000,KGWMSREST,,,
0,1390,LN001,10246,,18418,kadirglobal,2025-01-06 14:34:30.717000,KGWMSREST,,,
0,1391,LN001,10247,,18549,kadirglobal,2025-01-07 14:21:49.373000,KGWMSREST,,,
0,1394,LN001,10250,,18693,kadirglobal,2025-01-08 12:34:11.230000,KGWMSREST,,,
0,1395,LN001,10249,,18847,DeryaYD,2025-01-09 13:48:03.410000,KGWMSREST,,,
0,1396,LN001,10251,,18947,DeryaYD,2025-01-10 12:51:34.560000,KGWMSREST,,,
0,1398,LN001,10252,,19031,Yasar,2025-01-11 13:44:48.700000,KGWMSREST,,,
0,1400,LN001,10254,,19207,muhammedglobal,2025-01-13 14:27:23.513000,KGWMSREST,,,
0,1401,LN001,10253,,19327,muhammedglobal,2025-01-13 19:47:59.400000,KGWMSREST,,,
0,1402,LN001,10257,,19410,kadirglobal,2025-01-14 13:33:13.980000,KGWMSREST,,,
0,1403,LN001,10256,,19408,kadirglobal,2025-01-14 13:22:46.683000,KGWMSREST,,,
0,1408,LN001,10260,,19701,kadirglobal,2025-01-16 14:12:08.677000,KGWMSREST,,,
0,1409,LN001,10258,,19813,DeryaYD,2025-01-17 13:00:05.127000,KGWMSREST,,,
0,1410,LN001,10261,,19885,DeryaYD,2025-01-18 12:55:48.863000,KGWMSREST,,,
0,1412,LN001,10255,,19954,kadirglobal,2025-01-20 11:38:35.893000,KGWMSREST,,,
0,1414,LN001,10259,,20004,kadirglobal,2025-01-20 14:17:26.490000,KGWMSREST,,,
0,1422,LN001,10263,,20310,DeryaYD,2025-01-23 13:42:15.490000,KGWMSREST,,,
0,1423,LN001,10262,,20307,DeryaYD,2025-01-23 13:32:58.143000,KGWMSREST,,,
0,1424,LN001,10265,,20411,muhammedglobal,2025-01-24 15:14:57.143000,KGWMSREST,,,
0,1427,LN001,10267,,20465,kadirglobal,2025-01-25 13:34:05.310000,KGWMSREST,,,
0,1428,LN001,10266,,20464,kadirglobal,2025-01-25 13:32:10.817000,KGWMSREST,,,
0,1432,LN001,10269,,20568,kadirglobal,2025-01-27 10:50:48.420000,KGWMSREST,,,
0,1434,LN001,10268,,20626,kadirglobal,2025-01-27 13:08:46.367000,KGWMSREST,,,
0,1442,Ln001,10273,,21137,DeryaYD,2025-01-31 12:38:23.670000,KGWMSREST,,,
0,1445,LN001,10279,,21442,muhammedglobal,2025-02-03 14:34:17.730000,KGWMSREST,,,
0,1446,LN001,10278,,21441,muhammedglobal,2025-02-03 14:32:37.883000,KGWMSREST,,,
0,1447,LN001,10276,,21582,muhammedglobal,2025-02-04 12:35:46.130000,KGWMSREST,,,
0,1452,LN001,10275,,21743,muhammedglobal,2025-02-05 14:48:46.397000,KGWMSREST,,,
0,1454,LN001,10282,,21921,muhammedglobal,2025-02-06 16:13:29.880000,KGWMSREST,,,
0,1455,LN001,10274,,22009,EmelYD,2025-02-07 12:31:46.857000,KGWMSREST,,,
0,1456,Ln001,10002,,22093,EmelYD,2025-02-08 11:27:08.367000,KGWMSREST,,,
0,1457,Ln001,10000,,22092,EmelYD,2025-02-08 11:21:17.167000,KGWMSREST,,,
0,1458,LN001,10001,,22311,Yasar,2025-02-10 13:33:31.127000,KGWMSREST,,,
0,1459,Ln001,10003,,22355,EmelYD,2025-02-10 16:17:39.113000,KGWMSREST,,,
0,1460,Ln001,10005,,22357,EmelYD,2025-02-10 16:19:31.147000,KGWMSREST,,,
0,1461,LN001,10271,,22464,Yasar,2025-02-11 13:48:05.900000,KGWMSREST,,,
0,1463,LN001,10006,,22637,DeryaYD,2025-02-12 14:37:45.493000,KGWMSREST,,,
0,1464,LN001,10004,,22636,DeryaYD,2025-02-12 14:36:40.310000,KGWMSREST,,,
0,1466,LN001,10277,,22746,kadirglobal,2025-02-13 12:22:48.730000,KGWMSREST,,,
0,1467,LN001,10281,,22904,kadirglobal,2025-02-14 14:35:17.020000,KGWMSREST,,,
0,1468,LN001,10280,,22903,kadirglobal,2025-02-14 14:28:52.913000,KGWMSREST,,,
0,1469,LN001,10270,,22994,kadirglobal,2025-02-15 12:11:29.403000,KGWMSREST,,,
0,1470,LN001,10283,,23176,kadirglobal,2025-02-16 13:35:46.657000,KGWMSREST,,,
0,1471,LN001,10272,,23175,kadirglobal,2025-02-16 13:34:45.060000,KGWMSREST,,,
0,1472,LN001,10284,,23298,DeryaYD,2025-02-17 12:10:44.597000,KGWMSREST,,,
0,1473,LN001,10286,,23449,EmelYD,2025-02-18 11:52:36.717000,KGWMSREST,,,
0,1474,LN001,10287,,23450,EmelYD,2025-02-18 11:56:03.693000,KGWMSREST,,,
0,1475,LN001,10288,,23618,DeryaYD,2025-02-19 13:36:49.900000,KGWMSREST,,,
0,1476,LN001,10285,,23617,DeryaYD,2025-02-19 13:14:01.127000,KGWMSREST,,,
0,1477,LN001,10290,,23734,DeryaYD,2025-02-20 11:55:52.690000,KGWMSREST,,,
0,1478,LN001,10291,,23735,DeryaYD,2025-02-20 11:58:20.373000,KGWMSREST,,,
0,1479,Ln001,10289,,23835,DeryaYD,2025-02-21 11:25:39.540000,KGWMSREST,,,
0,1481,LN001,10294,,23941,kadirglobal,2025-02-22 11:56:11.650000,KGWMSREST,,,
0,1482,LN001,10293,,23939,kadirglobal,2025-02-22 11:55:50.800000,KGWMSREST,,,
0,1484,LN001,10297,,24172,DeryaYD,2025-02-24 14:03:20.080000,KGWMSREST,,,
0,1485,LN001,10296,,24171,DeryaYD,2025-02-24 14:02:14.560000,KGWMSREST,,,
0,1486,LN001,10295,,24285,DeryaYD,2025-02-25 14:16:55.980000,KGWMSREST,,,
0,1489,Ln001,10298,,24360,DeryaYD,2025-02-26 11:50:00.333000,KGWMSREST,,,
0,1490,Ln001,10292,,24359,DeryaYD,2025-02-26 11:49:35.843000,KGWMSREST,,,
0,1492,LN001,10299,,24492,DeryaYD,2025-02-27 16:24:17.483000,KGWMSREST,,,
0,1494,LN001,10300,,24577,DeryaYD,2025-02-28 12:50:01.703000,KGWMSREST,,,
0,1495,LN001,10301,,24578,DeryaYD,2025-02-28 12:55:43.787000,KGWMSREST,,,
0,1496,LN001,10302,,24685,DeryaYD,2025-03-01 13:26:35.257000,KGWMSREST,,,
0,1499,LN001,10304,,24903,Yasar,2025-03-04 08:07:30.753000,KGWMSREST,,,
0,1503,LN001,10308,,24959,EmelYD,2025-03-04 11:52:51.033000,KGWMSREST,,,
0,1504,LN001,10303,,24982,DeryaYD,2025-03-04 14:36:02.060000,KGWMSREST,,,
0,1515,Ln001,10305,,25244,DeryaYD,2025-03-06 15:46:30.327000,KGWMSREST,,,
0,1517,Ln001,10310,,25377,DeryaYD,2025-03-07 14:52:57.883000,KGWMSREST,,,
0,1518,Ln001,10307,,25376,DeryaYD,2025-03-07 14:36:53.257000,KGWMSREST,,,
0,1522,LN001,10311,,25517,DeryaYD,2025-03-08 14:04:19.280000,KGWMSREST,,,
0,1523,LN001,10313,,25518,DeryaYD,2025-03-08 14:04:52.227000,KGWMSREST,,,
0,1524,LN001,10011,,25811,Yasar,2025-03-10 14:58:50.007000,KGWMSREST,,,
0,1525,LN001,10010,,25810,Yasar,2025-03-10 14:57:31.310000,KGWMSREST,,,
0,1526,LN001,10012,,25819,Yasar,2025-03-10 15:05:34.177000,KGWMSREST,,,
0,1527,LN001,10007,,25869,EmelYD,2025-03-10 19:41:58.437000,KGWMSREST,,,
0,1612,LN001,10009,,29254,DeryaYD,2025-03-28 12:34:50.260000,KGWMSREST,,,
0,1616,LN001,10015,,29326,Yasar,2025-03-29 14:07:28.957000,KGWMSREST,,,
0,1621,LN001,10014,,29324,Yasar,2025-03-29 13:38:19.490000,KGWMSREST,,,
0,1624,LN001,10021,,29637,Yasar,2025-04-02 16:02:41.803000,KGWMSREST,,,
0,1625,LN001,10023,,29641,Yasar,2025-04-02 16:17:05.540000,KGWMSREST,,,
0,1626,LN001,10020,,29636,Yasar,2025-04-02 16:00:44.370000,KGWMSREST,,,
0,1627,LN001,10019,,29626,muhammedglobal,2025-04-02 15:30:57.327000,KGWMSREST,,,
0,1628,LN001,10022,,29638,Yasar,2025-04-02 16:11:21.337000,KGWMSREST,,,
0,1629,LN001,10025,,29645,Yasar,2025-04-02 16:21:41.410000,KGWMSREST,,,
0,1633,LN001,10016,,29747,DeryaYD,2025-04-03 15:43:59.120000,KGWMSREST,,,
0,1639,LN001,10028,,30202,DeryaYD,2025-04-05 18:54:14.537000,KGWMSREST,,,
0,1653,LN001,10017,,30491,Yasar,2025-04-07 16:09:06.420000,KGWMSREST,,,
0,1654,LN001,10026,,30493,Yasar,2025-04-07 16:12:41.153000,KGWMSREST,,,
0,1655,LN001,10024,,30492,kadirglobal,2025-04-07 16:12:14.967000,KGWMSREST,,,
0,1657,LN001,10030,,30632,kadirglobal,2025-04-08 11:57:41.160000,KGWMSREST,,,
0,1658,LN001,10029,,30631,kadirglobal,2025-04-08 11:56:21.677000,KGWMSREST,,,
0,1660,LN001,10013,,30799,DeryaYD,2025-04-09 14:00:49.043000,KGWMSREST,,,
0,1661,LN001,10032,,30905,kadirglobal,2025-04-10 14:32:00.787000,KGWMSREST,,,
0,1663,LN001,10027,,30903,kadirglobal,2025-04-10 14:04:45.490000,KGWMSREST,,,
0,1664,LN001,10031,,30904,kadirglobal,2025-04-10 14:06:47.633000,KGWMSREST,,,
0,1665,LN001,10033,,31053,DeryaYD,2025-04-11 16:00:45.970000,KGWMSREST,,,
0,1671,LN001,10035,,31201,kadirglobal,2025-04-12 12:39:22.167000,KGWMSREST,,,
0,1672,LN001,10037,,31369,DeryaYD,2025-04-13 15:21:41.960000,KGWMSREST,,,
0,1675,LN001,10039,,31545,DeryaYD,2025-04-14 15:10:10.937000,KGWMSREST,,,
0,1680,LN001,10038,,31544,DeryaYD,2025-04-14 15:09:41.993000,KGWMSREST,,,
0,1682,LN001,10040,,31670,DeryaYD,2025-04-15 15:02:50.733000,KGWMSREST,,,
0,1685,LN001,10042,,31866,DeryaYD,2025-04-16 15:34:50.583000,KGWMSREST,,,
0,1686,LN001,10041,,32042,DeryaYD,2025-04-17 15:59:54.163000,KGWMSREST,,,
0,1688,LN001,10036,,32037,DeryaYD,2025-04-17 14:59:24.883000,KGWMSREST,,,
0,1694,LN001,10043,,32162,DeryaYD,2025-04-18 16:09:49.430000,KGWMSREST,,,
0,1696,LN001,10048,,32504,DeryaYD,2025-04-21 17:59:31.990000,KGWMSREST,,,
0,1698,LN001,10044,,32250,EmelYD,2025-04-19 13:49:03,KGWMSREST,,,
0,1707,LN001,10046,,32489,DeryaYD,2025-04-21 16:49:26.197000,KGWMSREST,,,
0,1710,LN001,10049,,32638,DeryaYD,2025-04-22 15:38:57.943000,KGWMSREST,,,
0,1711,LN001,10047,,32637,DeryaYD,2025-04-22 15:38:29.733000,KGWMSREST,,,
2,1310345,LN001,10312,,25325,2derya,2025-03-07 11:55:03.007000,KGWMSREST,,,
2,1315899,Ln001,10008,,25969,2derya,2025-03-11 13:09:19.213000,KGWMSREST,,,
2,1321377,LN001,10018,,26612,2derya,2025-03-14 13:01:50.960000,KGWMSREST,,,
2,1435098,Ln001,48,,38883,2derya,2025-05-26 15:56:47.050000,KGWMSREST,,,
2,1438390,LN001,5,,39363,Muhammed,2025-05-28 17:55:22.630000,KGWMSREST,,,
2,1438678,LN001,7,,39452,Yasartoplama,2025-05-29 10:13:27.483000,KGWMSREST,,,
2,1439094,LN001,15,,39476,Yasartoplama,2025-05-29 11:29:30.930000,KGWMSREST,,,
2,1440359,LN001,6,,39684,Muhammed,2025-05-30 10:50:58.300000,KGWMSREST,,,
2,1440615,LN001,16,,39718,Muhammed,2025-05-30 12:08:54.697000,KGWMSREST,,,
2,1440829,LN001,36,,39638,Muhammed,2025-05-30 09:27:53.040000,KGWMSREST,,,
2,1441075,LN001,17,,39719,Yasartoplama,2025-05-30 12:11:26.817000,KGWMSREST,,,
2,1441412,LN001,23,,39767,Yasartoplama,2025-05-30 15:51:34.700000,KGWMSREST,,,
2,1441415,LN001,19,,39762,Yasartoplama,2025-05-30 15:46:46.150000,KGWMSREST,,,
2,1441804,LN001,30,,39822,Yasartoplama,2025-05-31 08:38:20.760000,KGWMSREST,,,
2,1441925,LN001,60,,39855,Yasartoplama,2025-05-31 09:19:23.683000,KGWMSREST,,,
2,1441932,LN001,22,,39814,Yasartoplama,2025-05-31 08:34:45.580000,KGWMSREST,,,
2,1441993,LN001,39,,39831,Yasartoplama,2025-05-31 08:46:19.427000,KGWMSREST,,,
2,1442062,LN001,58,,39853,Yasartoplama,2025-05-31 09:16:51.203000,KGWMSREST,,,
2,1442070,LN001,31,,39823,Yasartoplama,2025-05-31 08:38:50,KGWMSREST,,,
2,1442087,LN001,2,,39801,Yasartoplama,2025-05-31 08:07:40.470000,KGWMSREST,,,
2,1442093,LN001,33,,39825,Yasartoplama,2025-05-31 08:39:43.290000,KGWMSREST,,,
2,1442098,LN001,59,,39854,Yasartoplama,2025-05-31 09:19:01.970000,KGWMSREST,,,
2,1442099,LN001,12,,39808,Yasartoplama,2025-05-31 08:22:36.643000,KGWMSREST,,,
2,1442122,LN001,9,,39835,Yasartoplama,2025-05-31 08:55:02.703000,KGWMSREST,,,
2,1442133,LN001,35,,39827,Yasartoplama,2025-05-31 08:42:37.867000,KGWMSREST,,,
2,1442144,LN001,28,,39820,Yasartoplama,2025-05-31 08:37:19.773000,KGWMSREST,,,
2,1442151,LN001,42,,39834,Yasartoplama,2025-05-31 08:49:43.780000,KGWMSREST,,,
2,1442163,LN001,53,,39847,Yasartoplama,2025-05-31 09:06:41.353000,KGWMSREST,,,
2,1442182,LN001,40,,39832,Yasartoplama,2025-05-31 08:46:55.143000,KGWMSREST,,,
2,1442188,LN001,50,,39844,Yasartoplama,2025-05-31 09:04:28.130000,KGWMSREST,,,
2,1442196,LN001,63,,39860,Yasartoplama,2025-05-31 09:36:51.583000,KGWMSREST,,,
2,1442206,LN001,4,,39803,Yasartoplama,2025-05-31 08:13:44.040000,KGWMSREST,,,
2,1442218,LN001,3,,39802,Yasartoplama,2025-05-31 08:09:35.790000,KGWMSREST,,,
2,1442221,LN001,44,,39838,Yasartoplama,2025-05-31 08:57:14.783000,KGWMSREST,,,
2,1442223,LN001,18,,39811,Yasartoplama,2025-05-31 08:30:10.897000,KGWMSREST,,,
2,1442229,LN001,55,,39850,Yasartoplama,2025-05-31 09:09:34.403000,KGWMSREST,,,
2,1442230,LN001,20,,39840,Yasartoplama,2025-05-31 09:00:45.980000,KGWMSREST,,,
2,1442232,LN001,10,,39806,Yasartoplama,2025-05-31 08:18:41.130000,KGWMSREST,,,
2,1442233,LN001,8,,39804,Yasartoplama,2025-05-31 08:14:58.447000,KGWMSREST,,,
2,1442236,LN001,45,,39839,Yasartoplama,2025-05-31 08:57:36.167000,KGWMSREST,,,
2,1442243,LN001,32,,39824,Yasartoplama,2025-05-31 08:39:21.163000,KGWMSREST,,,
2,1442252,LN001,25,,39816,Yasartoplama,2025-05-31 08:35:31.300000,KGWMSREST,,,
2,1442256,LN001,10050,,39819,Yasartoplama,2025-05-31 08:36:50.740000,KGWMSREST,,,
2,1442269,LN001,62,,39858,Yasartoplama,2025-05-31 09:23:49.900000,KGWMSREST,,,
2,1442274,LN001,51,,39845,Yasartoplama,2025-05-31 09:05:17.727000,KGWMSREST,,,
2,1442275,LN001,21,,39813,Yasartoplama,2025-05-31 08:34:15.397000,KGWMSREST,,,
2,1442279,LN001,46,,39841,Yasartoplama,2025-05-31 09:03:11.943000,KGWMSREST,,,
2,1442281,LN001,52,,39846,Yasartoplama,2025-05-31 09:05:56.693000,KGWMSREST,,,
2,1442283,LN001,11,,39807,Yasartoplama,2025-05-31 08:19:13.100000,KGWMSREST,,,
2,1442289,LN001,41,,39833,Yasartoplama,2025-05-31 08:47:19.457000,KGWMSREST,,,
2,1442296,LN001,29,,39821,Yasartoplama,2025-05-31 08:37:43,KGWMSREST,,,
2,1442299,LN001,14,,39810,Yasartoplama,2025-05-31 08:29:42.407000,KGWMSREST,,,
2,1442301,LN001,27,,39818,Yasartoplama,2025-05-31 08:36:24.533000,KGWMSREST,,,
2,1442302,LN001,47,,39842,Yasartoplama,2025-05-31 09:03:43.800000,KGWMSREST,,,
2,1442303,LN001,37,,39828,Yasartoplama,2025-05-31 08:43:26.920000,KGWMSREST,,,
2,1442345,LN001,24,,39815,Yasartoplama,2025-05-31 08:35:08.320000,KGWMSREST,,,
2,1442371,LN001,61,,39856,Yasartoplama,2025-05-31 09:19:57.453000,KGWMSREST,,,
2,1442379,LN001,38,,39829,Yasartoplama,2025-05-31 08:43:52.087000,KGWMSREST,,,
2,1442382,LN001,57,,39852,Yasartoplama,2025-05-31 09:11:39.393000,KGWMSREST,,,
2,1442421,LN001,1,,39859,Yasartoplama,2025-05-31 09:36:34.983000,KGWMSREST,,,
2,1442434,LN001,54,,39849,Yasartoplama,2025-05-31 09:08:18.700000,KGWMSREST,,,
2,1442474,LN001,49,,39843,Yasartoplama,2025-05-31 09:04:06.073000,KGWMSREST,,,
2,1442486,LN001,34,,39836,Yasartoplama,2025-05-31 08:56:11.850000,KGWMSREST,,,
2,1442494,LN001,13,,39809,Yasartoplama,2025-05-31 08:29:14.440000,KGWMSREST,,,
2,1442498,LN001,26,,39848,Yasartoplama,2025-05-31 09:07:55.017000,KGWMSREST,,,
2,1442503,LN001,43,,39837,Yasartoplama,2025-05-31 08:56:46.220000,KGWMSREST,,,
2,1442509,LN001,56,,39851,Yasartoplama,2025-05-31 09:11:20.637000,KGWMSREST,,,
