SevkNo,SevkTip,SevkTur,SevkTar,GCount,Location,SendLocation,ReturnSite,BelgeNo,HarTar,Durum,GeriDonMsj,SevkSekil,SevkNum,insUN,insDT,updUN,updDT,SevkAdres,SevkAdresAdi,CreaterApp,kgid,insApp,updApp
44,g,gt,2022-12-07 00:00:00,0,LN001,LN001,euromart,,2022-12-07 00:00:00,*,,,,Zeki,2022-12-07 10:32:53.030000,Lindon,2022-12-07 12:56:40.527000,,,,44,,
45,g,gt,2022-12-08 00:00:00,0,LN001,LN001,euromart,,2022-12-08 00:00:00,*,,,,Zeki,2022-12-08 13:02:25.153000,Lindon,2022-12-08 14:09:47.787000,,,,45,,
46,g,gt,2022-12-09 00:00:00,0,LN001,LN001,euromart,,2022-12-09 00:00:00,*,,,,Zeki,2022-12-09 14:13:26.927000,Lindon,2022-12-09 14:56:26.790000,,,,46,,
47,g,gt,2022-12-12 00:00:00,0,LN001,LN001,euromart,,2022-12-12 00:00:00,*,,,,Zeki,2022-12-12 10:48:56.103000,Lindon,2022-12-12 14:26:38.853000,,,,47,,
48,g,gt,2022-12-13 00:00:00,0,LN001,LN001,euromart,,2022-12-13 00:00:00,*,,,,Zeki,2022-12-13 13:02:06.087000,Lindon,2022-12-13 18:08:16.620000,,,,48,,
49,g,gt,2022-12-14 00:00:00,0,LN001,LN001,euromart,,2022-12-14 00:00:00,*,,,,Zeki,2022-12-14 10:39:13.547000,Lindon,2022-12-14 17:28:23.263000,,,,49,,
50,g,gt,2022-12-15 00:00:00,0,LN001,LN001,euromart,,2022-12-15 00:00:00,*,,,,Zeki,2022-12-15 15:22:02.813000,Lindon,2022-12-15 18:40:21.520000,,,,50,,
51,g,gt,2022-12-16 00:00:00,0,LN001,LN001,euromart,,2022-12-16 00:00:00,*,,,,Zeki,2022-12-16 10:46:51.927000,Lindon,2022-12-16 17:12:12.253000,,,,51,,
52,g,gt,2022-12-19 00:00:00,0,LN001,LN001,euromart,,2022-12-19 00:00:00,*,,,,Zeki,2022-12-19 12:18:25.210000,Lindon,2022-12-19 17:36:36.187000,,,,52,,
53,g,gt,2022-12-21 00:00:00,0,LN001,LN001,euromart,,2022-12-21 00:00:00,*,,,,Zeki,2022-12-21 12:10:07.703000,Lindon,2022-12-21 14:49:43.610000,,,,53,,
54,g,gt,2022-12-23 00:00:00,0,LN001,LN001,Nakit Cikis,,2022-12-23 00:00:00,*,,,,Zeki,2022-12-23 19:09:57.617000,Lindon,2022-12-24 11:15:19.300000,,,,54,,
55,g,gt,2022-12-28 00:00:00,0,LN001,LN001,euromart,,2022-12-28 00:00:00,*,,,,Zeki,2022-12-28 11:06:58.040000,Lindon,2022-12-28 13:33:02.373000,,,,55,,
56,g,gt,2022-12-30 00:00:00,0,LN001,LN001,euromart,,2022-12-30 00:00:00,*,,,,Zeki,2022-12-30 12:01:46.393000,Lindon,2022-12-30 15:21:00.900000,,,,56,,
57,g,gt,2023-01-02 00:00:00,0,LN001,LN001,euromart,,2023-01-02 00:00:00,*,,,,Zeki,2023-01-02 12:58:53.663000,Lindon,2023-01-02 17:09:05.810000,,,,57,,
58,g,gt,2023-01-03 00:00:00,0,LN001,LN001,euromart,,2023-01-03 00:00:00,*,,,,Zeki,2023-01-03 10:45:58.840000,Lindon,2023-01-03 13:39:53.967000,,,,58,,
59,g,gt,2023-01-04 00:00:00,0,LN001,LN001,euromart,,2023-01-04 00:00:00,*,,,,Zeki,2023-01-04 12:29:09.777000,Lindon,2023-01-04 15:08:01.693000,,,,59,,
60,g,gt,2023-01-05 00:00:00,0,LN001,LN001,euromart,,2023-01-05 00:00:00,*,,,,Zeki,2023-01-05 11:30:45.307000,Lindon,2023-01-05 16:08:10.020000,,,,60,,
61,g,gt,2023-01-06 00:00:00,0,LN001,LN001,euromart,,2023-01-06 00:00:00,*,,,,Zeki,2023-01-06 11:17:18.937000,Lindon,2023-01-06 16:13:27.770000,,,,61,,
62,g,gt,2023-01-09 00:00:00,0,LN001,LN001,euromart,,2023-01-09 00:00:00,*,,,,Zeki,2023-01-09 10:52:53.147000,Lindon,2023-01-09 16:26:39.863000,,,,62,,
63,g,gt,2023-01-10 00:00:00,0,LN001,LN001,euromart,,2023-01-10 00:00:00,*,,,,Zeki,2023-01-10 16:05:35.993000,Lindon,2023-01-10 17:16:52.717000,,,,63,,
64,g,gt,2023-01-11 00:00:00,0,LN001,LN001,euromart,,2023-01-11 00:00:00,*,,,,Zeki,2023-01-11 15:27:12.857000,Lindon,2023-01-11 16:41:28.290000,,,,64,,
65,g,gt,2023-01-12 00:00:00,0,LN001,LN001,euromart,,2023-01-12 00:00:00,*,,,,Zeki,2023-01-12 10:53:58.090000,Lindon,2023-01-12 16:41:42.397000,,,,65,,
66,g,gt,2023-01-13 00:00:00,0,LN001,LN001,euromart,,2023-01-13 00:00:00,*,,,,Zeki,2023-01-13 10:29:02.333000,Lindon,2023-01-13 14:29:21.473000,,,,66,,
68,g,gt,2023-01-16 00:00:00,0,LN001,LN001,euromart,,2023-01-16 00:00:00,*,,,,Zeki,2023-01-16 14:30:52.163000,Lindon,2023-01-16 16:55:07.070000,,,,68,,
70,g,gt,2023-01-17 00:00:00,0,LN001,LN001,euromart,,2023-01-17 00:00:00,*,,,,Zeki,2023-01-17 18:15:03.793000,Zeki,2023-01-18 08:53:49.433000,,,,70,,
71,g,gt,2023-01-18 00:00:00,0,LN001,LN001,euromart,,2023-01-18 00:00:00,*,,,,Zeki,2023-01-18 17:46:34.660000,Lindon,2023-01-18 18:13:13.443000,,,,71,,
72,g,gt,2023-01-19 00:00:00,0,LN001,LN001,euromart,,2023-01-19 00:00:00,*,,,,Zeki,2023-01-19 11:07:25.007000,Lindon,2023-01-19 15:54:09.233000,,,,72,,
74,g,gt,2023-01-20 00:00:00,0,LN001,LN001,euromart,,2023-01-20 00:00:00,*,,,,Zeki,2023-01-20 12:35:31.500000,Lindon,2023-01-20 12:49:01.110000,,,,74,,
77,g,gt,2023-01-24 00:00:00,0,LN001,LN001,euromart,,2023-01-24 00:00:00,*,,,,Zeki,2023-01-24 08:54:24.707000,Zeki,2023-01-24 08:54:57.020000,,,,77,,
79,g,gt,2023-01-24 00:00:00,0,LN001,LN001,euromart,,2023-01-24 00:00:00,*,,,,Zeki,2023-01-24 16:56:06.893000,Lindon,2023-01-24 17:07:07.663000,,,,79,,
85,g,gt,2023-01-25 00:00:00,0,LN001,LN001,Nakit Cikis,,2023-01-25 00:00:00,*,,,,Zeki,2023-01-25 15:51:57.313000,Lindon,2023-01-25 16:08:55.063000,,,,85,,
86,g,gt,2023-01-25 00:00:00,0,LN001,LN001,euromart,,2023-01-25 00:00:00,*,,,,Zeki,2023-01-25 17:04:58.883000,Lindon,2023-01-26 13:34:00.187000,,,,86,,
87,g,gt,2023-01-26 00:00:00,0,LN001,LN001,euromart,,2023-01-26 00:00:00,*,,,,Zeki,2023-01-26 10:58:50.790000,Lindon,2023-01-26 13:36:32.430000,,,,87,,
88,g,gt,2023-01-27 00:00:00,0,LN001,LN001,euromart,,2023-01-27 00:00:00,*,,,,Zeki,2023-01-27 17:14:25.210000,Lindon,2023-01-27 18:16:41.120000,,,,88,,
89,g,gt,2023-01-30 00:00:00,0,LN001,LN001,mezania,,2023-01-30 00:00:00,*,,,,Zeki,2023-01-30 13:59:15.827000,Lindon,2023-01-30 16:28:56.157000,,,,89,,
92,g,gt,2023-01-30 00:00:00,0,LN001,LN001,euromart,,2023-01-30 00:00:00,*,,,,Zeki,2023-01-30 14:46:44.747000,Lindon,2023-01-30 17:42:00.353000,,,,92,,
93,g,gt,2023-02-01 00:00:00,0,LN001,LN001,euromart,,2023-02-01 00:00:00,*,,,,Zeki,2023-02-01 15:55:29.413000,Lindon,2023-02-01 18:01:25.833000,,,,93,,
96,g,gt,2023-02-06 00:00:00,0,LN001,LN001,euromart,,2023-02-06 00:00:00,*,,,,Zeki,2023-02-06 18:33:33,Zeki,2023-02-06 18:33:39.830000,,,,96,,
98,g,gt,2023-02-07 00:00:00,0,LN001,LN001,euromart,,2023-02-07 00:00:00,*,,,,Zeki,2023-02-07 16:31:41.580000,Lindon,2023-02-07 16:32:34.960000,,,,98,,
100,g,gt,2023-02-08 00:00:00,0,LN001,LN001,euromart,,2023-02-08 00:00:00,*,,,,Zeki,2023-02-08 16:02:11.323000,Lindon,2023-02-08 17:31:18.523000,,,,100,,
101,g,gt,2023-02-09 00:00:00,0,LN001,LN001,euromart,,2023-02-09 00:00:00,*,,,,Zeki,2023-02-09 15:41:24.683000,Lindon,2023-02-09 17:45:26.417000,,,,101,,
102,g,gt,2023-02-10 00:00:00,0,LN001,LN001,euromart,,2023-02-10 00:00:00,*,,,,Zeki,2023-02-10 12:06:38.800000,Lindon,2023-02-10 15:29:20.097000,,,,102,,
105,g,gt,2023-02-13 00:00:00,0,LN001,LN001,euromart,,2023-02-13 00:00:00,*,,,,Zeki,2023-02-13 17:11:08.560000,Lindon,2023-02-13 18:25:18.880000,,,,105,,
106,g,gt,2023-02-14 00:00:00,0,LN001,LN001,euromart,,2023-02-14 00:00:00,*,,,,Zeki,2023-02-14 17:11:51.593000,Lindon,2023-02-14 17:42:59.090000,,,,106,,
107,g,gt,2023-02-16 00:00:00,0,LN001,LN001,euromart,,2023-02-16 00:00:00,*,,,,Zeki,2023-02-16 12:11:59.570000,Lindon,2023-02-16 14:06:11.277000,,,,107,,
109,g,gt,2023-02-20 00:00:00,0,LN001,LN001,euromart,,2023-02-20 00:00:00,*,,,,Zeki,2023-02-20 09:28:01.717000,Zeki,2023-02-20 09:30:00.123000,,,,109,,
110,g,gt,2023-02-20 00:00:00,0,LN001,LN001,euromart,,2023-02-20 00:00:00,*,,,,Zeki,2023-02-20 17:05:20.153000,Lindon,2023-02-20 17:56:37.027000,,,,110,,
111,g,gt,2023-02-21 00:00:00,0,LN001,LN001,euromart,,2023-02-21 00:00:00,*,,,,Zeki,2023-02-21 14:50:44.710000,Lindon,2023-02-21 16:39:59.777000,,,,111,,
113,g,gt,2023-02-22 00:00:00,0,LN001,LN001,euromart,,2023-02-22 00:00:00,*,,,,Zeki,2023-02-22 11:51:31.123000,Lindon,2023-02-22 12:23:23.753000,,,,113,,
115,g,gt,2023-02-23 00:00:00,0,LN001,LN001,euromart,,2023-02-23 00:00:00,*,,,,Zeki,2023-02-23 17:26:41.923000,Lindon,2023-02-23 18:13:43.817000,,,,115,,
117,g,gt,2023-02-27 00:00:00,0,LN001,LN001,euromart,,2023-02-27 00:00:00,*,,,,Zeki,2023-02-27 14:41:58.253000,Lindon,2023-02-27 17:02:34.383000,,,,117,,
118,g,gt,2023-02-28 00:00:00,0,LN001,LN001,Nakit Cikis,,2023-02-28 00:00:00,*,,,,Zeki,2023-02-28 12:52:11.303000,Lindon,2023-02-28 16:09:07.630000,,,,118,,
120,g,gt,2023-03-02 00:00:00,0,LN001,LN001,euromart,,2023-03-02 00:00:00,*,,,,Zeki,2023-03-02 11:45:16.057000,Lindon,2023-03-02 12:16:31.137000,,,,120,,
122,g,gt,2023-03-06 00:00:00,0,LN001,LN001,euromart,,2023-03-06 00:00:00,*,,,,Zeki,2023-03-06 18:51:37.780000,Lindon,2023-03-06 19:22:44.023000,,,,122,,
124,g,gt,2023-03-07 00:00:00,0,LN001,LN001,euromart,,2023-03-07 00:00:00,*,,,,Zeki,2023-03-07 12:49:23.170000,Lindon,2023-03-07 14:08:27.957000,,,,124,,
126,g,gt,2023-03-09 00:00:00,0,LN001,LN001,euromart,,2023-03-09 00:00:00,*,,,,Zeki,2023-03-09 08:59:58.107000,Zeki,2023-03-09 09:00:04.857000,,,,126,,
127,g,gt,2023-03-09 00:00:00,0,LN001,LN001,euromart,,2023-03-09 00:00:00,*,,,,Zeki,2023-03-09 13:12:11.213000,Lindon,2023-03-09 15:43:39.310000,,,,127,,
129,g,gt,2023-03-10 00:00:00,0,LN001,LN001,euromart,,2023-03-10 00:00:00,*,,,,Zeki,2023-03-10 16:10:11.060000,Lindon,2023-03-10 17:06:13.400000,,,,129,,
131,g,gt,2023-03-13 00:00:00,0,LN001,LN001,euromart,,2023-03-13 00:00:00,*,,,,Zeki,2023-03-13 12:25:37.867000,Lindon,2023-03-13 15:07:53.400000,,,,131,,
133,g,gt,2023-03-14 00:00:00,0,LN001,LN001,euromart,,2023-03-14 00:00:00,*,,,,Zeki,2023-03-14 12:44:51.930000,Lindon,2023-03-14 15:35:42.097000,,,,133,,
135,g,gt,2023-03-15 00:00:00,0,LN001,LN001,euromart,,2023-03-15 00:00:00,*,,,,Zeki,2023-03-15 15:12:26.870000,Lindon,2023-03-15 16:51:59.823000,,,,135,,
137,g,gt,2023-03-16 00:00:00,0,LN001,LN001,euromart,,2023-03-16 00:00:00,*,,,,Zeki,2023-03-16 16:49:42.927000,Lindon,2023-03-16 17:01:44.157000,,,,137,,
140,g,gt,2023-03-17 00:00:00,0,LN001,LN001,euromart,,2023-03-17 00:00:00,*,,,,Zeki,2023-03-17 17:29:23.780000,Lindon,2023-03-17 17:53:44.600000,,,,140,,
142,g,gt,2023-03-20 00:00:00,0,LN001,LN001,euromart,,2023-03-20 00:00:00,*,,,,Zeki,2023-03-20 14:24:56.957000,Lindon,2023-03-20 15:13:16.267000,,,,142,,
146,g,gt,2023-03-21 00:00:00,0,LN001,LN001,euromart,,2023-03-21 00:00:00,*,,,,Zeki,2023-03-21 12:08:43.563000,Lindon,2023-03-21 16:14:19.577000,,,,146,,
148,g,gt,2023-03-22 00:00:00,0,LN001,LN001,euromart,,2023-03-22 00:00:00,*,,,,Zeki,2023-03-22 16:35:01.333000,Lindon,2023-03-22 16:45:53.657000,,,,148,,
150,g,gt,2023-03-23 00:00:00,0,LN001,LN001,euromart,,2023-03-23 00:00:00,*,,,,Zeki,2023-03-23 11:52:35.683000,Lindon,2023-03-23 13:56:09.760000,,,,150,,
151,g,gt,2023-03-24 00:00:00,0,LN001,LN001,AAZB,,2023-03-24 00:00:00,*,,,,Zeki,2023-03-24 09:42:49.540000,Lindon,2023-03-24 15:10:00.473000,,,,151,,
152,g,gt,2023-03-24 00:00:00,0,LN001,LN001,AAZB,,2023-03-24 00:00:00,*,,,,Zeki,2023-03-24 11:11:13.280000,Lindon,2023-03-24 15:10:16.800000,,,,152,,
154,g,gt,2023-03-24 00:00:00,0,LN001,LN001,euromart,,2023-03-24 00:00:00,*,,,,Zeki,2023-03-24 13:03:30.240000,Lindon,2023-03-24 15:09:08.827000,,,,154,,
157,g,gt,2023-03-27 00:00:00,0,LN001,LN001,euromart,,2023-03-27 00:00:00,*,,,,Zeki,2023-03-27 10:49:54.487000,Lindon,2023-03-27 16:55:06.180000,,,,157,,
158,g,gt,2023-03-28 00:00:00,0,LN001,LN001,euromart,,2023-03-28 00:00:00,*,,,,Zeki,2023-03-28 10:00:45.117000,Lindon,2023-03-28 14:42:36.360000,,,,158,,
159,g,gt,2023-03-28 00:00:00,0,LN001,LN001,Nakit Cikis,,2023-03-28 00:00:00,*,,,,Zeki,2023-03-28 14:04:01.223000,Lindon,2023-03-28 16:38:43.190000,,,,159,,
161,g,gt,2023-03-29 00:00:00,0,LN001,LN001,euromart,,2023-03-29 00:00:00,*,,,,Zeki,2023-03-29 17:45:47.130000,Lindon,2023-03-30 10:55:11.280000,,,,161,,
163,g,gt,2023-03-30 00:00:00,0,LN001,LN001,euromart,,2023-03-30 00:00:00,*,,,,Zeki,2023-03-30 15:39:16.560000,Lindon,2023-03-30 17:08:15.223000,,,,163,,
165,g,gt,2023-04-03 00:00:00,0,LN001,LN001,euromart,,2023-04-03 00:00:00,*,,,,Zeki,2023-04-03 16:30:34.493000,Lindon,2023-04-03 18:34:27.710000,,,,165,,
167,g,gt,2023-04-04 00:00:00,0,LN001,LN001,euromart,,2023-04-04 00:00:00,*,,,,Zeki,2023-04-04 15:05:47.230000,Lindon,2023-04-04 16:48:33.873000,,,,167,,
169,g,gt,2023-04-06 00:00:00,0,LN001,LN001,euromart,,2023-04-06 00:00:00,*,,,,Zeki,2023-04-06 15:55:07.577000,Lindon,2023-04-06 17:12:01.520000,,,,169,,
172,g,gt,2023-04-07 00:00:00,0,LN001,LN001,euromart,,2023-04-07 00:00:00,*,,,,Zeki,2023-04-07 18:26:45.560000,Lindon,2023-04-07 18:38:19.653000,,,,172,,
174,g,gt,2023-04-10 00:00:00,0,LN001,LN001,euromart,,2023-04-10 00:00:00,*,,,,Zeki,2023-04-10 15:57:39.360000,Lindon,2023-04-10 17:53:56.560000,,,,174,,
176,g,gt,2023-04-12 00:00:00,0,LN001,LN001,euromart,,2023-04-12 00:00:00,*,,,,Zeki,2023-04-12 17:53:39.250000,Lindon,2023-04-12 18:10:24.580000,,,,176,,
178,g,gt,2023-04-13 00:00:00,0,LN001,LN001,euromart,,2023-04-13 00:00:00,*,,,,Zeki,2023-04-13 13:53:52.917000,Lindon,2023-04-13 15:06:32.063000,,,,178,,
180,g,gt,2023-04-14 00:00:00,0,LN001,LN001,euromart,,2023-04-14 00:00:00,*,,,,Zeki,2023-04-14 16:42:59.240000,Lindon,2023-04-14 17:15:47.023000,,,,180,,
182,g,gt,2023-04-17 00:00:00,0,LN001,LN001,euromart,,2023-04-17 00:00:00,*,,,,Zeki,2023-04-17 12:29:12,Lindon,2023-04-17 17:04:06.390000,,,,182,,
183,g,gt,2023-04-18 00:00:00,0,LN001,LN001,euromart,,2023-04-18 00:00:00,*,,,,Zeki,2023-04-18 11:48:47,Lindon,2023-04-18 15:18:13.480000,,,,183,,
185,g,gt,2023-04-19 00:00:00,0,LN001,LN001,euromart,,2023-04-19 00:00:00,*,,,,Zeki,2023-04-19 13:27:50.127000,Lindon,2023-04-19 15:08:05.640000,,,,185,,
188,g,gt,2023-04-24 00:00:00,0,LN001,LN001,euromart,,2023-04-24 00:00:00,*,,,,Zeki,2023-04-24 16:17:43.027000,Lindon,2023-04-24 16:31:43.697000,,,,188,,
190,g,gt,2023-04-25 00:00:00,0,LN001,LN001,euromart,,2023-04-25 00:00:00,*,,,,Zeki,2023-04-25 15:45:27.787000,Lindon,2023-04-25 17:06:57.800000,,,,190,,
191,g,gt,2023-04-26 00:00:00,0,LN001,LN001,euromart,,2023-04-26 00:00:00,*,,,,Zeki,2023-04-26 16:11:01.517000,Lindon,2023-04-26 17:10:38.570000,,,,191,,
193,g,gt,2023-04-27 00:00:00,0,LN001,LN001,euromart,,2023-04-27 00:00:00,*,,,,Zeki,2023-04-27 15:24:48.810000,Lindon,2023-04-27 17:25:27.003000,,,,193,,
194,g,gt,2023-04-28 00:00:00,0,LN001,LN001,euromart,,2023-04-28 00:00:00,*,,,,Zeki,2023-04-28 09:39:56.803000,Lindon,2023-04-28 15:14:04.717000,,,,194,,
196,g,gt,2023-05-03 00:00:00,0,LN001,LN001,euromart,,2023-05-03 00:00:00,*,,,,Zeki,2023-05-03 10:42:27.917000,Lindon,2023-05-03 14:05:17.250000,,,,196,,
197,g,gt,2023-05-03 00:00:00,0,LN001,LN001,euromart,,2023-05-03 00:00:00,*,,,,Zeki,2023-05-03 12:18:57.810000,Lindon,2023-05-03 14:05:57.490000,,,,197,,
198,g,gt,2023-05-04 00:00:00,0,LN001,LN001,euromart,,2023-05-04 00:00:00,*,,,,Zeki,2023-05-04 09:32:59.963000,Lindon,2023-05-04 14:00:36.167000,,,,198,,
200,g,gt,2023-05-04 00:00:00,0,LN001,LN001,euromart,,2023-05-04 00:00:00,*,,,,Zeki,2023-05-04 14:12:56.777000,Lindon,2023-05-04 14:21:13.430000,,,,200,,
203,g,gt,2023-05-05 00:00:00,0,LN001,LN001,euromart,,2023-05-05 00:00:00,*,,,,Zeki,2023-05-05 11:45:53.710000,Lindon,2023-05-05 12:22:02.320000,,,,203,,
205,g,gt,2023-05-06 00:00:00,0,LN001,LN001,euromart,,2023-05-06 00:00:00,*,,,,Zeki,2023-05-06 13:09:49.867000,Lindon,2023-05-06 13:34:23.733000,,,,205,,
207,g,gt,2023-05-08 00:00:00,0,LN001,LN001,euromart,,2023-05-08 00:00:00,*,,,,Zeki,2023-05-08 14:55:24.283000,Lindon,2023-05-08 15:21:25.673000,,,,207,,
