SKOD,RKOD,BedKOD,Location,Miktar,kgid
RCNWLG072,58,34,LN001,10.0000000000,588
RCNWLG072,58,35,LN001,10.0000000000,601
RCNWLG072,58,36,LN001,10.0000000000,612
RCNWLG072,58,37,LN001,10.0000000000,624
RCNWLG072,58,38,LN001,10.0000000000,637
RCNWLG072,58,39,LN001,10.0000000000,647
RCNWLG072,59,31,LN001,10.0000000000,549
RCNWLG072,59,32,LN001,10.0000000000,564
RCNWLG072,59,33,LN001,10.0000000000,579
RCNWLG072,59,34,LN001,10.0000000000,592
RCNWLG072,59,35,LN001,10.0000000000,604
RCNWLG072,59,36,LN001,10.0000000000,615
RCNWLG072,59,37,LN001,10.0000000000,629
RCNWLG072,59,38,LN001,10.0000000000,640
RCNWLG072,60,32,LN001,10.0000000000,561
RCNWLG072,60,33,LN001,10.0000000000,577
RCNWLG072,60,35,LN001,10.0000000000,602
RCNWLG072,60,37,LN001,10.0000000000,626
RCNWLG072,60,40,LN001,10.0000000000,657
RCNWLG072,91,31,LN001,10.0000000000,543
RCNWLG072,91,32,LN001,10.0000000000,556
RCNWLG072,91,33,LN001,10.0000000000,572
RCNWLG072,91,34,LN001,10.0000000000,585
RCNWLG072,91,35,LN001,10.0000000000,599
RCNWLG072,91,36,LN001,10.0000000000,610
RCNWLG072,91,37,LN001,10.0000000000,623
RCNWLG072,91,38,LN001,10.0000000000,636
RCNWLG072,91,39,LN001,10.0000000000,646
RCNWLG072,91,40,LN001,10.0000000000,655
RCNWLG072,91,41,LN001,10.0000000000,665
RCNWLG072,109,31,LN001,10.0000000000,544
RCNWLG072,109,32,LN001,10.0000000000,557
RCNWLG072,109,33,LN001,10.0000000000,573
RCNWLG072,109,34,LN001,10.0000000000,586
RCNWLG072,109,35,LN001,10.0000000000,600
RCNWLG072,109,36,LN001,10.0000000000,611
RCNWLG072,128,31,LN001,10.0000000000,546
RCNWLG072,128,32,LN001,10.0000000000,560
RCNWLG072,128,33,LN001,10.0000000000,576
RCNWLG072,128,34,LN001,10.0000000000,589
RCNWLG072,128,36,LN001,10.0000000000,613
RCNWLG072,128,40,LN001,10.0000000000,656
RCNWLG072,143,31,LN001,10.0000000000,553
RCNWLG072,143,32,LN001,10.0000000000,567
RCNWLG072,143,33,LN001,10.0000000000,582
RCNWLG072,143,34,LN001,10.0000000000,596
RCNWLG072,143,35,LN001,10.0000000000,609
RCNWLG072,143,36,LN001,10.0000000000,621
RCNWLG072,143,37,LN001,10.0000000000,635
RCNWLG072,143,38,LN001,10.0000000000,645
RCNWLG072,143,39,LN001,10.0000000000,653
RCNWLG072,143,40,LN001,10.0000000000,663
RCNWLG072,143,41,LN001,10.0000000000,669
RCNWLG072,172,26,LN001,10.0000000000,537
RCNWLG072,172,35,LN001,10.0000000000,608
RCNWLG072,172,36,LN001,10.0000000000,620
RCNWLG072,172,37,LN001,10.0000000000,634
RCNWLG072,172,38,LN001,10.0000000000,644
RCNWLG072,172,39,LN001,10.0000000000,652
RCNWLG072,173,31,LN001,10.0000000000,548
RCNWLG072,173,32,LN001,10.0000000000,563
RCNWLG072,173,34,LN001,10.0000000000,591
RCNWLG072,173,37,LN001,10.0000000000,628
RCNWLG072,174,36,LN001,10.0000000000,616
RCNWLG072,174,37,LN001,10.0000000000,630
RCNWLG072,177,32,LN001,10.0000000000,558
RCNWLG072,177,33,LN001,10.0000000000,574
RCNWLG072,177,34,LN001,10.0000000000,587
RCNWLG072,179,26,LN001,10.0000000000,538
RCNWLG072,179,27,LN001,10.0000000000,539
RCNWLG072,179,28,LN001,10.0000000000,540
RCNWLG072,179,29,LN001,10.0000000000,541
RCNWLG072,179,30,LN001,10.0000000000,542
RCNWLG072,214,37,LN001,10.0000000000,625
RCNWLG072,325,31,LN001,10.0000000000,547
RCNWLG072,325,32,LN001,10.0000000000,562
RCNWLG072,325,33,LN001,10.0000000000,578
RCNWLG072,325,34,LN001,10.0000000000,590
RCNWLG072,325,35,LN001,10.0000000000,603
RCNWLG072,325,36,LN001,10.0000000000,614
RCNWLG072,325,37,LN001,10.0000000000,627
RCNWLG072,325,38,LN001,10.0000000000,639
RCNWLG072,325,39,LN001,10.0000000000,648
RCNWLG072,325,40,LN001,10.0000000000,659
RCNWLG072,368,38,LN001,10.0000000000,638
RCNWLG072,368,40,LN001,10.0000000000,658
