SKOD,StokSekli,Tanim,BEDKod,StokTip,Birim,Takim,GRUPKOD,CinsKod,KARTTAR,KritikSeviye,OptimalSeviye,UreticiKodu,UMarka,SResim,KDVOran,Temin,Reyon,EanCode,OzKod1,OzKod2,OzKod3,OzKod4,OzKod5,Carpan,OTVCheck,BGrup_Kod,KGrupKod,insUN,insDT,updUN,updDT,Lotlu,Serili,OzKod6,OzKod7,OzKod8,OzKod9,OzKod10,FuarKod,OTVOran,Pasif,OzKod11,OzKod12,OzKod13,OzKod14,OzKod15,OzKod16,OzKod17,OzKod18,OzKod19,OzKod20,GTip,ModelAcma,Notu,ToleransKS,CanRezerv,SatinalmaMlyt,StokTutmaMlyt,MrpType,VERA_KISIM_ID,mrptedariktipi,OzKod21,OzKod22,OzKod23,OzKod24,OzKod25,OzKod26,OzKod27,OzKod28,OzKod29,OzKod30,OzKod31,OzKod32,OzKod33,OzKod34,OzKod35,OzKod36,OzKod37,OzKod38,OzKod39,OzKod40,OzKod41,OzKod42,OzKod43,OzKod44,OzKod45,OzKod46,OzKod47,OzKod48,OzKod49,OzKod50,kgid,insApp,updApp
CS320,M,Riccon Erkek Trekhakiking Ayakkabı 0012320,MR,,Çift,,008,E,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,C:\Resim\ZKCS3200140-1.jpeg,10.0000000000,2024-12-11 00:00:00,,,Riccon,EM,Yetişkin,,Outdoor Ayakkab,0E-10,,,,Zeki,2024-07-08 09:41:19.170000,Zeki,2025-03-12 15:19:29.820000, , ,,,Erkek Outdoor Ayakkab,Türkiye,E,,0E-10,,"3,8 cm",1 cm,,,,1,,,,,, ,"Topuk yüksekliği;3,8 cm----Burun yüksekliği:1 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Riccon'un bu trekking ayakkabıları uzun doğa yürüyüşleri ve ayakları sıcak ve rahat tutmak için tasarlandı. Şık ama işlevsel tasarımı, engebeli araziyi kavramak için konturlu kauçuk tabanı ve hava koşullarına dayanıklı sağlam yapısıyla patikalarda rahatça yürüyebileceğiniz anlamına gelir. Sıcak ve nefes alabilen astar, tüm yürüyüş boyunca sıcak ayaklar anlamına gelirken, yastıklı iç taban kilometrelerce destek ve konfor sağlar. İnce ve aerodinamik tasarım, yürüyüş sonrası serinlemek için yürüyüşünüzden sonra kolayca giyilebileceği anlamına gelir.",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
DRG1190,M,Riccon İçi Kürklü Fermuarlı Erkek Bot,MR,Bot & Bootie,Çift,U,002,E,2022-10-07 00:00:00,0E-10,0E-10,DN,Riccon,,10.0000000000,2025-03-27 00:00:00,,,Dragon,EM,Yetişkin,,Bot & Bootie,0E-10,,,,Zeki,2023-05-25 19:56:17.450000,MUAZ,2025-03-27 17:07:32.790000, , ,,,Erkek Bot & Bootie,Türkiye,E,,0E-10,,"3,5 cm","1,5 cm",,,,,,,,,, ,"Topuk yüksekliği;3,5 cm----Burun yüksekliği:1,5 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Riccon'un bu sağlam erkek botları günlük konfor ve kalıcı stil için üretilmiştir. Zamana meydan okuyan dayanıklı vegan deri yapısıyla ister ofise giderken ister yürüyüşe çıkarken ayaklarınızı sıcak tutar ve korur. Yastıklı ayak tabanı, gün boyu destek için benzersiz adımınıza uyum sağlarken, birinci sınıf dikişler her adımda adımda kalmalarını sağlar. Sıkıcı ve sıradan günleri maceraya dönüştürmek için ayağınıza geçirmeniz yeterli.",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,KGShop
LN1RCNG355,M,Riccon Unisex Sneaker 0012355,UNI,Sneaker,Çift,U,010,X,2022-10-07 00:00:00,0E-10,0E-10,TWG,Riccon,C:\Resim\LN1RCNG3550536-1.jpg,10.0000000000,2025-03-27 00:00:00,,,Riccon,EM,Yetişkin,,Sneaker,0E-10,,,,Zeki,2024-07-08 09:41:10.790000,MUAZ,2025-03-27 17:14:23.770000, , ,,,,Türkiye,E,,0E-10,,"3,5 cm","0,5 cm",,,,1,,,,,, ,"Topuk yüksekliği;3,5 cm----Burun yüksekliği:0,5 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Sade ve şık bu spor ayakkabılar, rahatlık ve gösterişin bir arada olabileceğini kanıtlıyor. Vegan deriden üretilen ve gün boyu kullanım için tasarlanan bu ayakkabılar, ayaklarınızın şafaktan gün batımına kadar ferah hissetmesi için ortopedik iç tabana ve kokuyla mücadele eden astara sahiptir. Kaliteli malzemeler ve özenli yapı, bu ayakkabıların her türlü maceraya dayanacak şekilde üretildiği anlamına gelir. Ofis veya dış mekan için eşit derecede uygun olan minimalist profili, her türlü kombini tamamlar. Gününüz durmaksızın hareket gerektirdiğinde, bu spor ayakkabılar destek ve yedek stil ile ayak uydurur. Vegan derinin bu kadar çok yönlü görünebileceğini ve bu kadar rahat hissettirebileceğini kim bilebilirdi? Tüm spor ayakkabılar eşit yaratılmamıştır, ancak bunlar stilden bir gram bile ödün vermeden maksimum konfor ve uzun ömürlülük için üretildi. Ayaklarınız size teşekkür edecek ve iltifatların ardı arkası kesilmeyecek. Sade, şık, rahat; bir spor ayakkabıdan daha ne isteyebilirsiniz ki?",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,KGShop
LNRCKFM245,M,,,,Çift,,,,2025-02-28 00:00:00,,,,,,10.0000000000,2025-02-28 16:11:12.603000,,,,,,,,0E-10,,,,Zeki,2025-02-28 16:11:12.603000,Zeki,2025-03-12 15:19:29.917000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571,,
LNRCKFM450,M,,,,Çift,,,,2025-02-28 00:00:00,,,,,,10.0000000000,2025-02-28 16:11:12.730000,,,,,,,,0E-10,,,,Zeki,2025-02-28 16:11:12.730000,Zeki,2025-03-12 15:19:29.940000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572,,
LNRCKFM456,M,,,,Çift,,,,2025-02-28 00:00:00,,,,,,10.0000000000,2025-02-28 16:11:12.880000,,,,,,,,0E-10,,,,Zeki,2025-02-28 16:11:12.880000,Zeki,2025-03-12 15:19:29.957000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574,,
LNRCKFM457,M,,,,Çift,,,,2025-02-28 00:00:00,,,,,,10.0000000000,2025-02-28 16:11:12.800000,,,,,,,,0E-10,,,,Zeki,2025-02-28 16:11:12.800000,Zeki,2025-03-12 15:19:29.973000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573,,
LNRCKFM602,M,,,,Çift,,,,2025-02-28 00:00:00,,,,,,10.0000000000,2025-02-28 16:11:12.333000,,,,,,,,0E-10,,,,Zeki,2025-02-28 16:11:12.333000,Zeki,2025-03-12 15:19:29.990000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,,
LNRCKFM603,M,,,,Çift,,,,2025-02-28 00:00:00,,,,,,10.0000000000,2025-02-28 16:11:12.470000,,,,,,,,0E-10,,,,Zeki,2025-02-28 16:11:12.470000,Zeki,2025-03-12 15:19:30.007000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569,,
LNRCKFM700,M,,,,Çift,,,,2025-02-28 00:00:00,,,,,,10.0000000000,2025-02-28 16:11:12.527000,,,,,,,,0E-10,,,,Zeki,2025-02-28 16:11:12.527000,Zeki,2025-03-12 15:19:30.030000,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570,,
LNRCN104,M,Riccon Erkek Casual Ayakkabı 0012104,MR,Casual,Çift,U,003,E,2022-10-07 00:00:00,0E-10,0E-10,CNT,Riccon,C:\Resim\LNRCN1040140-1.jpg,10.0000000000,2025-03-26 00:00:00,,,Riccon,EM,Yetişkin,,Casual,0E-10,,,,Zeki,2024-07-08 09:41:47.400000,MUAZ,2025-03-26 15:10:26.653000, , ,,,Erkek Casual,Türkiye,E,,0E-10,,3 cm,"1,5 cm",,,,1,,,,,, ,"Topuk yüksekliği;3 cm----Burun yüksekliği:1,5 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Bu Riccon günlük ayakkabılar konfor, stil ve çok yönlülüğü karşı konulmaz tek bir pakette harmanlıyor. Şık bir siluete ve zarif detaylara sahip olan bu ayakkabılar, ister ofise gidiyor olun ister gezintiye çıkmış olun, her kıyafete rahat bir şıklık katar. Yumuşak vegan deri giydiğiniz andan itibaren anında rahat bir uyum için ayağınıza uyum sağlarken, yastıklı iç taban ve hafif taban tüm gün destek ve yastıklama sağlar. Günlük kullanım için tasarlanan bu ayakkabılar, her profesyonelin gardırobunun vazgeçilmez bir parçasıdır; bir araya getirilmiş ancak zahmetsiz bir görünüm için pantolon, kot pantolon veya hakilerle mükemmel bir şekilde eşleşir. Bu ayakkabıları giyin ve konfor, destek ve stilin nasıl mükemmel bir uyum içinde bir araya gelebileceğini keşfedin.",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,KGShop
LNRCN117,M,Riccon Erkek Casual Ayakkabı 0012117,MR,Casual,Çift,U,003,E,2022-10-07 00:00:00,0E-10,0E-10,CNT,Riccon,C:\Resim\LNRCN1170440-1.jpg,10.0000000000,2025-03-26 00:00:00,,,Riccon,EM,Yetişkin,,Casual,0E-10,,,,Zeki,2024-07-08 09:41:38.147000,MUAZ,2025-03-26 15:10:46.060000, , ,,,Erkek Casual,Türkiye,E,,0E-10,,3 cm,1 cm,,,,1,,,,,, ,"Topuk yüksekliği;3 cm----Burun yüksekliği:1 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Bu Riccon günlük ayakkabılar konfor, stil ve çok yönlülüğü karşı konulmaz tek bir pakette harmanlıyor. Şık bir siluete ve zarif detaylara sahip olan bu ayakkabılar, ister ofise gidiyor olun ister gezintiye çıkmış olun, her kıyafete rahat bir şıklık katar. Yumuşak vegan deri giydiğiniz andan itibaren anında rahat bir uyum için ayağınıza uyum sağlarken, yastıklı iç taban ve hafif taban tüm gün destek ve yastıklama sağlar. Günlük kullanım için tasarlanan bu ayakkabılar, her profesyonelin gardırobunun vazgeçilmez bir parçasıdır; bir araya getirilmiş ancak zahmetsiz bir görünüm için pantolon, kot pantolon veya hakilerle mükemmel bir şekilde eşleşir. Bu ayakkabıları giyin ve konfor, destek ve stilin nasıl mükemmel bir uyum içinde bir araya gelebileceğini keşfedin.",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,KGShop
LNRCN133,M,Riccon Erkek Sneaker 0012133,MR,Sneaker,Çift,U,010,E,2022-10-07 00:00:00,0E-10,0E-10,CNT,Riccon,C:\Resim\LNRCN1330240-1.jpg,10.0000000000,2025-03-26 00:00:00,,,Riccon,EM,Yetişkin,,Sneaker,0E-10,,,,Zeki,2024-07-08 09:41:37.847000,MUAZ,2025-03-26 15:10:56.563000, , ,,,Erkek Sneaker,Türkiye,E,,0E-10,,4 cm,3 cm,,,,1,,,,,, ,"Topuk yüksekliği;4 cm----Burun yüksekliği:3 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Bu spor ayakkabılar konfor ve stil için üretildi. Hafif ama dayanıklı bir malzeme karışımından üretilen Riccon erkek spor ayakkabı, ister günlük işlerinizi yaparken ister şehirde gezerken tüm gün destek sunar. Yastıklı iç taban ve dolgulu yaka yorgunluğu azaltmak için ayağınızı sararken, esnek dış taban her adımda şoku emer.İster şehrin sokaklarında geziniyor ister spor salonuna gidiyor olun, Riccon sneaker günlük görünümünüzü yükselten konfor, destek ve çok yönlü stil vaatlerini yerine getirmeyi vaat ediyor.Riccon sneaker bunu destekleyici ve atletik bir tarzda yapmanızı sağlar. Çok yönlü tasarım, ruh halinize uyacak şekilde jogger, jean ve chino pantolonlarla eşleşirken, sade renk seçenekleri ve minimal ayrıntılar kişiliğinizin parlamasını sağlar. Bu rahat ve havalı spor ayakkabıları giyin, kaldırıma çıkın ve şehri fethedin - her seferinde bir adım, mükemmel adımlarla.",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,KGShop
LNRCN134,M,Riccon Erkek Fermuarlı Bot 0012134,MR,Bot & Bootie,Çift,U,002,E,2022-10-07 00:00:00,0E-10,0E-10,CNT,Riccon,C:\Resim\LNRCN1340140-1.jpg,10.0000000000,2025-03-26 00:00:00,,,Riccon,,Yetişkin,,Bot & Bootie,0E-10,,,,Zeki,2024-07-08 09:41:02.593000,MUAZ,2025-03-26 15:14:26.153000, , ,,,Erkek Bot & Bootie,Türkiye,E,,0E-10,,"3,5 cm",2 cm,,,,1,,,,,, ,"Topuk yüksekliği;3,5 cm----Burun yüksekliği:2 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Riccon'un bu sağlam erkek botları günlük konfor ve kalıcı stil için üretilmiştir. Zamana meydan okuyan dayanıklı vegan deri yapısıyla ister ofise giderken ister yürüyüşe çıkarken ayaklarınızı sıcak tutar ve korur. Yastıklı ayak tabanı, gün boyu destek için benzersiz adımınıza uyum sağlarken, birinci sınıf dikişler her adımda adımda kalmalarını sağlar. Sıkıcı ve sıradan günleri maceraya dönüştürmek için ayağınıza geçirmeniz yeterli.",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,KGShop
LNRCN149,M,Riccon Erkek Bot 0012149,MR,Bot & Bootie,Çift,U,002,E,2022-10-07 00:00:00,0E-10,0E-10,CNT,Riccon,C:\Resim\LNRCN1490140-1.jpg,10.0000000000,2025-03-26 00:00:00,,,Riccon,EM,Yetişkin,,Bot & Bootie,0E-10,,,,Zeki,2024-07-08 09:41:02.540000,MUAZ,2025-03-26 15:14:34.360000, , ,,,Erkek Bot & Bootie,Türkiye,E,,0E-10,,"3,5 cm","2,4 cm",,,,1,,,,,, ,"Topuk yüksekliği;3,5 cm----Burun yüksekliği:2,4 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Riccon'un bu sağlam erkek botları günlük konfor ve kalıcı stil için üretilmiştir. Zamana meydan okuyan dayanıklı vegan deri yapısıyla ister ofise giderken ister yürüyüşe çıkarken ayaklarınızı sıcak tutar ve korur. Yastıklı ayak tabanı, gün boyu destek için benzersiz adımınıza uyum sağlarken, birinci sınıf dikişler her adımda adımda kalmalarını sağlar. Sıkıcı ve sıradan günleri maceraya dönüştürmek için ayağınıza geçirmeniz yeterli.",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,KGShop
LNRCN176,M,Riccon Erkek Bot 0012176,MR,Bot & Bootie,Çift,U,002,E,2022-10-07 00:00:00,0E-10,0E-10,CNT,Riccon,C:\Resim\LNRCN1760140-1.jpg,10.0000000000,2025-03-26 00:00:00,,,Riccon,EM,Yetişkin,,Bot & Bootie,0E-10,,,,Zeki,2024-07-08 09:41:02.397000,MUAZ,2025-03-26 15:14:43.427000, , ,,,Erkek Bot & Bootie,Türkiye,E,,0E-10,,4 cm,"2,5 cm",,,,1,,,,,, ,"Topuk yüksekliği;4 cm----Burun yüksekliği:2,5 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Riccon'un bu sağlam erkek botları günlük konfor ve kalıcı stil için üretilmiştir. Zamana meydan okuyan dayanıklı vegan deri yapısıyla ister ofise giderken ister yürüyüşe çıkarken ayaklarınızı sıcak tutar ve korur. Yastıklı ayak tabanı, gün boyu destek için benzersiz adımınıza uyum sağlarken, birinci sınıf dikişler her adımda adımda kalmalarını sağlar. Sıkıcı ve sıradan günleri maceraya dönüştürmek için ayağınıza geçirmeniz yeterli.",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,KGShop
LNRCN192,M,Riccon Erkek Casual Ayakkabı 0012192,MR,Casual,Çift,U,003,E,2022-10-07 00:00:00,0E-10,0E-10,CNT,Riccon,C:\Resim\LNRCN1920140-1.jpg,10.0000000000,2025-03-26 00:00:00,,,Riccon,EM,Yetişkin,,Casual,0E-10,,,,Zeki,2024-07-08 09:41:37.937000,MUAZ,2025-03-26 15:15:02.107000, , ,,,Erkek Casual,Türkiye,E,,0E-10,,3 cm,"1,5 cm",,,,1,,,,,, ,"Topuk yüksekliği;3 cm----Burun yüksekliği:1,5 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Bu Riccon günlük ayakkabılar konfor, stil ve çok yönlülüğü karşı konulmaz tek bir pakette harmanlıyor. Şık bir siluete ve zarif detaylara sahip olan bu ayakkabılar, ister ofise gidiyor olun ister gezintiye çıkmış olun, her kıyafete rahat bir şıklık katar. Yumuşak vegan deri giydiğiniz andan itibaren anında rahat bir uyum için ayağınıza uyum sağlarken, yastıklı iç taban ve hafif taban tüm gün destek ve yastıklama sağlar. Günlük kullanım için tasarlanan bu ayakkabılar, her profesyonelin gardırobunun vazgeçilmez bir parçasıdır; bir araya getirilmiş ancak zahmetsiz bir görünüm için pantolon, kot pantolon veya hakilerle mükemmel bir şekilde eşleşir. Bu ayakkabıları giyin ve konfor, destek ve stilin nasıl mükemmel bir uyum içinde bir araya gelebileceğini keşfedin.",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,KGShop
LNRCN197,M,Riccon Unisex Sneaker 0012197,UNI,Sneaker,Çift,U,010,X,2022-10-07 00:00:00,0E-10,0E-10,CNT,Riccon,C:\Resim\LNRCN1970140-1.jpg,10.0000000000,2025-03-26 00:00:00,,,Riccon,EM,Yetişkin,,Sneaker,0E-10,,,,Zeki,2024-07-08 09:41:11.237000,MUAZ,2025-03-26 15:15:10.493000, , ,,,,Türkiye,E,,0E-10,,4 cm,3 cm,,,,1,,,,,, ,"Topuk yüksekliği;4 cm----Burun yüksekliği:3 cm Ayakkabınızın ömrünü uzatmak ve tam verim alabilmek için kullanım talimatlarına uymanızı tavsiye ederiz. Kullanım talimatlarını kutunuzun içinde bulabilirsiniz. Sade ve şık bu spor ayakkabılar, rahatlık ve gösterişin bir arada olabileceğini kanıtlıyor. Vegan deriden üretilen ve gün boyu kullanım için tasarlanan bu ayakkabılar, ayaklarınızın şafaktan gün batımına kadar ferah hissetmesi için ortopedik iç tabana ve kokuyla mücadele eden astara sahiptir. Kaliteli malzemeler ve özenli yapı, bu ayakkabıların her türlü maceraya dayanacak şekilde üretildiği anlamına gelir. Ofis veya dış mekan için eşit derecede uygun olan minimalist profili, her türlü kombini tamamlar. Gününüz durmaksızın hareket gerektirdiğinde, bu spor ayakkabılar destek ve yedek stil ile ayak uydurur. Vegan derinin bu kadar çok yönlü görünebileceğini ve bu kadar rahat hissettirebileceğini kim bilebilirdi? Tüm spor ayakkabılar eşit yaratılmamıştır, ancak bunlar stilden bir gram bile ödün vermeden maksimum konfor ve uzun ömürlülük için üretildi. Ayaklarınız size teşekkür edecek ve iltifatların ardı arkası kesilmeyecek. Sade, şık, rahat; bir spor ayakkabıdan daha ne isteyebilirsiniz ki?",0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,KGShop
LNRCN1KKYS06,M,Riccon Kadın Günlük Ayakkabı 0012Ys06,ZN,Casual,Çift,,003,K,2022-10-07 00:00:00,0E-10,0E-10,001,Riccon,C:\Resim\LNRCN1KKYS0660136-1.jpg,10.0000000000,2023-10-17 12:48:21.737000,,,Riccon,EM,Yetişkin,,Casual,0E-10,,,,Zeki,2024-07-08 09:41:53.723000,Zeki,2025-03-12 15:19:30.200000, , ,,,Kadın Casual,Türkiye,E,,0E-10,,2 cm,1 cm,,,,1,,,,,, ,Türkiye de üretilmiştir.;Ortapedik İç Taban; Koku ve Terleme Yapmayan İç Astar;1.sınıf Malzeme,0, ,0E-10,0E-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,
