SKOD,RKOD,BedKod,Modul,FisNo,FisHarinx,FisTip,TmpMiktar,kgid,insUN,insDT,insApp,updUN,updDT,updApp
LNRCNKM853,202,38,s,95,1339,g,1.0000000000,130,,,,,,
LNRCNKBL811,281,21,s,95,1349,g,1.0000000000,131,,,,,,
LNRCN373,175,5,s,95,1345,g,2.0000000000,132,,,,,,
LNRCNG8070,10,38,s,95,1348,g,1.0000000000,133,,,,,,
LNRCNNT300,78,2,s,95,1350,g,1.0000000000,134,,,,,,
LNRCN350,4,4,s,95,1346,g,1.0000000000,135,,,,,,
LNRCNT2021,4,5,s,95,1354,g,1.0000000000,136,,,,,,
LNRCNR109,9,36,s,95,1353,g,1.0000000000,137,,,,,,
LNRCNKST101,11,35,s,95,1352,g,1.0000000000,138,,,,,,
RCN928,1,4,s,95,1347,g,1.0000000000,139,,,,,,
LNRCNKLCZ900,47,24,s,95,1351,g,2.0000000000,140,,,,,,
LNRCNKB1120,333,20,s,95,1359,g,1.0000000000,141,,,,,,
LNRCN536,1,37,s,95,1358,g,1.0000000000,142,,,,,,
RCNCNT360,82,6,s,95,1357,g,1.0000000000,143,,,,,,
LNRCNR189,18,6,s,95,1356,g,1.0000000000,144,,,,,,
LNRCNDC116,19,4,s,95,1355,g,1.0000000000,145,,,,,,
RCNCNT360,76,3,s,67,860,g,1.0000000000,146,,,,,,
LNRCNTWG720,1,23,s,82,1063,g,20.0000000000,147,,,,,,
LNRCNPSM062,11,35,s,95,1360,g,1.0000000000,148,,,,,,
LNRCNKCS816S,463,24,s,95,1342,g,1.0000000000,149,,,,,,
LNRCNKRNS046,229,23,s,95,1329,g,1.0000000000,150,,,,,,
LNRCN801,1,3,s,95,1340,g,1.0000000000,151,,,,,,
LNRCNSPCT4000,18,2,s,95,1326,g,2.0000000000,152,,,,,,
LNRCNNT7053,17,4,s,95,1327,g,2.0000000000,153,,,,,,
LNRCNNT301,12,3,s,95,1328,g,1.0000000000,154,,,,,,
LNRCNKF161,9,23,s,95,1322,g,1.0000000000,155,,,,,,
RCNCNT360,76,6,s,236,3776,g,1.0000000000,156,,,,,,
LNRCNKRNS380,356,22,s,236,3772,g,1.0000000000,157,,,,,,
LNRCN420,313,3,s,294,4824,g,2.0000000000,158,,,,,,
LNRCNWKS1651,1,32,s,294,4826,g,1.0000000000,159,,,,,,
LNRCNKM350,506,24,s,354,5864,g,4.0000000000,160,,,,,,
LNRCNKM350,506,23,s,354,5864,g,3.0000000000,161,,,,,,
LNRCNKM350,506,22,s,354,5864,g,11.0000000000,162,,,,,,
LNRCNKM350,506,21,s,354,5864,g,8.0000000000,163,,,,,,
LNRCNKM350,506,20,s,354,5864,g,4.0000000000,164,,,,,,
LNRCNKM350,456,20,s,354,5864,g,4.0000000000,165,,,,,,
LNRCNKM360,351,21,s,432,6914,g,2.0000000000,166,,,,,,
LNRCNKM360,463,23,s,432,6914,g,1.0000000000,167,,,,,,
LNRCNKM360,46,21,s,440,6985,g,1.0000000000,168,,,,,,
LNRCNKM360,46,24,s,440,6985,g,1.0000000000,169,,,,,,
LNRCNKM299,463,24,s,508,8152,g,5.0000000000,170,,,,,,
LNRCNKM299,463,23,s,508,8152,g,16.0000000000,171,,,,,,
LNRCNKZZ1403,46,24,s,508,8155,g,1.0000000000,172,,,,,,
LNRCNKZZ1403,378,24,s,508,8155,g,2.0000000000,173,,,,,,
LNRCNKLCZ970,46,20,s,508,8154,g,1.0000000000,174,,,,,,
LNRCNKZZ1402,378,23,s,508,8153,g,2.0000000000,175,,,,,,
LNRCNKLCZ230,378,24,s,508,8157,g,1.0000000000,176,,,,,,
LNRCNKLCZ711,378,20,s,508,8148,g,2.0000000000,177,,,,,,
LNRCNKLCZ270,224,22,s,508,8151,g,4.0000000000,178,,,,,,
LNRCNKZZ1401,351,22,s,508,8146,g,1.0000000000,179,,,,,,
LNRCNKLCZ270,378,23,s,508,8151,g,1.0000000000,180,,,,,,
LNRCNKLCZ270,224,24,s,508,8151,g,3.0000000000,181,,,,,,
LNRCNKLCZ270,378,21,s,508,8151,g,1.0000000000,182,,,,,,
LNRCNKLCZ711,378,24,s,508,8148,g,1.0000000000,183,,,,,,
LNRCNKLCZ270,47,22,s,508,8151,g,2.0000000000,184,,,,,,
LNRCNKCS815Y,46,24,s,508,8149,g,1.0000000000,185,,,,,,
LNRCNKLCZ270,47,21,s,508,8151,g,2.0000000000,186,,,,,,
LNRCNKVT3000,47,24,s,508,8147,g,2.0000000000,187,,,,,,
LNRCNKM360,463,24,s,508,8150,g,11.0000000000,188,,,,,,
LNRCNKZZ1401,378,22,s,508,8146,g,2.0000000000,189,,,,,,
LNRCNKZZ1401,378,23,s,508,8146,g,1.0000000000,190,,,,,,
LNRCNKM299,463,21,s,508,8152,g,1.0000000000,191,,,,,,
LNRCNKLCZ270,224,23,s,508,8151,g,1.0000000000,192,,,,,,
LNRCNKVT3000,47,23,s,508,8147,g,2.0000000000,193,,,,,,
LNRCNKVT3000,47,24,s,508,8158,g,1.0000000000,194,,,,,,
LNRCNKZZ1402,46,22,s,508,8153,g,1.0000000000,195,,,,,,
LNRCNKVT3000,219,22,s,508,8147,g,1.0000000000,196,,,,,,
LNRCNKVT3000,219,23,s,508,8147,g,1.0000000000,197,,,,,,
LNRCNKVT3000,219,24,s,508,8147,g,2.0000000000,198,,,,,,
LNRCNKLCZ270,378,24,s,508,8151,g,2.0000000000,199,,,,,,
LNRCNKETL502,378,20,s,508,8156,g,1.0000000000,200,,,,,,
LNRCNKM360,66,21,s,649,11751,g,1.0000000000,201,,,,,,
LNRCNKM360,66,21,s,649,11758,g,1.0000000000,202,,,,,,
LNRCNKM360,46,24,s,649,11748,g,1.0000000000,203,,,,,,
LNRCNKM360,46,23,s,649,11746,g,1.0000000000,204,,,,,,
LNRCNKETL501,46,21,s,649,11948,g,1.0000000000,205,,,,,,
LNRCNKLCZ270,46,22,s,649,11814,g,1.0000000000,206,,,,,,
LNRCNKCS815Y,46,24,s,649,11788,g,1.0000000000,207,,,,,,
LNRCNKCS815Y,46,22,s,649,11803,g,1.0000000000,208,,,,,,
LNRCNKM360,46,24,s,649,11761,g,1.0000000000,209,,,,,,
LNRCNKCS815Y,46,24,s,649,11789,g,1.0000000000,210,,,,,,
LNRCNKCS815Y,46,24,s,649,11820,g,1.0000000000,211,,,,,,
LNRCNKCS815Y,46,24,s,649,11830,g,1.0000000000,212,,,,,,
LNRCNKM360,46,23,s,649,11749,g,1.0000000000,213,,,,,,
LNRCNKCS815Y,46,22,s,649,11919,g,1.0000000000,214,,,,,,
LNRCNKCS815Y,46,22,s,649,11967,g,1.0000000000,215,,,,,,
LNRCNKM360,66,22,s,649,11787,g,1.0000000000,216,,,,,,
LNRCNKM360,66,22,s,649,11794,g,1.0000000000,217,,,,,,
LNRCNKM360,46,23,s,649,11750,g,1.0000000000,218,,,,,,
LNRCNKM360,66,23,s,649,11744,g,1.0000000000,219,,,,,,
LNRCNKM360,46,23,s,649,11763,g,1.0000000000,220,,,,,,
LNRCNKM360,46,23,s,649,11765,g,1.0000000000,221,,,,,,
LNRCNKM360,66,22,s,649,11797,g,1.0000000000,222,,,,,,
LNRCNKM360,66,21,s,649,11836,g,1.0000000000,223,,,,,,
LNRCNKM360,66,21,s,649,11842,g,1.0000000000,224,,,,,,
LNRCNKM360,66,20,s,649,11870,g,1.0000000000,225,,,,,,
LNRCNKM360,46,24,s,649,11781,g,1.0000000000,226,,,,,,
LNRCNKM360,46,24,s,649,11786,g,1.0000000000,227,,,,,,
LNRCNKM360,46,24,s,649,11840,g,1.0000000000,228,,,,,,
LNRCNKM360,46,24,s,649,11843,g,1.0000000000,229,,,,,,
LNRCNKM360,46,24,s,649,11864,g,1.0000000000,230,,,,,,
LNRCNKM360,46,22,s,649,11747,g,1.0000000000,231,,,,,,
LNRCNKM360,46,22,s,649,11762,g,1.0000000000,232,,,,,,
LNRCNKM360,66,24,s,649,11773,g,1.0000000000,233,,,,,,
LNRCNKM360,66,23,s,649,11755,g,1.0000000000,234,,,,,,
LNRCNKM360,351,21,s,649,11835,g,1.0000000000,235,,,,,,
LNRCNKM360,46,22,s,649,11771,g,1.0000000000,236,,,,,,
LNRCNKM360,66,22,s,649,11804,g,1.0000000000,237,,,,,,
LNRCNKM360,66,24,s,649,11823,g,1.0000000000,238,,,,,,
LNRCNKM360,66,24,s,649,11873,g,1.0000000000,239,,,,,,
LNRCNKM360,66,22,s,649,11827,g,1.0000000000,240,,,,,,
LNRCNKM360,66,22,s,649,11834,g,1.0000000000,241,,,,,,
LNRCNKM360,66,24,s,649,11874,g,1.0000000000,242,,,,,,
LNRCNKM360,66,24,s,649,11876,g,1.0000000000,243,,,,,,
LNRCNKM360,46,24,s,649,11888,g,1.0000000000,244,,,,,,
LNRCNKM360,46,24,s,649,11897,g,1.0000000000,245,,,,,,
LNRCNKM360,46,20,s,649,11818,g,1.0000000000,246,,,,,,
LNRCNKM360,46,22,s,649,11775,g,1.0000000000,247,,,,,,
LNRCNKM360,46,22,s,649,11782,g,1.0000000000,248,,,,,,
LNRCNKM360,463,24,s,649,12013,g,1.0000000000,249,,,,,,
LNRCNKM360,378,22,s,649,11915,g,1.0000000000,250,,,,,,
LNRCNKM360,378,22,s,649,12079,g,1.0000000000,251,,,,,,
LNRCNKM360,378,24,s,649,11756,g,1.0000000000,252,,,,,,
LNRCNKM360,463,23,s,649,11759,g,1.0000000000,253,,,,,,
LNRCNKM360,378,23,s,649,11857,g,1.0000000000,254,,,,,,
LNRCNKM360,378,23,s,649,11996,g,1.0000000000,255,,,,,,
LNRCNKM360,463,23,s,649,11896,g,1.0000000000,256,,,,,,
LNRCNKM360,463,22,s,649,11798,g,1.0000000000,257,,,,,,
LNRCNLET4097,91,3,s,67,858,g,1.0000000000,258,,,,,,
LNRCNNT7053,10,5,s,67,871,g,1.0000000000,259,,,,,,
LNRCNKM863,364,35,s,67,862,g,1.0000000000,260,,,,,,
LNRCNPSM062,1,34,s,67,869,g,1.0000000000,261,,,,,,
RCNCNT360,76,5,s,67,860,g,1.0000000000,262,,,,,,
LNRCND102,4,3,s,67,867,g,1.0000000000,263,,,,,,
LNRCNKM189,9,21,s,67,877,g,1.0000000000,264,,,,,,
LNRCNSPCT4000,4,3,s,67,883,g,1.0000000000,265,,,,,,
LNRCNCNT538,17,34,s,67,872,g,1.0000000000,266,,,,,,
LNRCNKCS892Y,232,22,s,67,874,g,1.0000000000,267,,,,,,
LNRCN383,4,36,s,67,861,g,1.0000000000,268,,,,,,
LNRCNXSP065,82,33,s,67,881,g,1.0000000000,269,,,,,,
LNRCNR109,9,36,s,67,864,g,1.0000000000,270,,,,,,
LNRCNDC114,25,3,s,67,879,g,1.0000000000,271,,,,,,
RCN152,11,5,s,67,863,g,1.0000000000,272,,,,,,
RCN152,11,2,s,289,4734,g,1.0000000000,273,,,,,,
LNRCNKM189,428,21,s,289,4732,g,1.0000000000,274,,,,,,
LNRCNKD801,4,22,s,289,4733,g,1.0000000000,275,,,,,,
LNRCNKD801,4,24,s,289,4733,g,2.0000000000,276,,,,,,
LNRCNKD801,4,23,s,289,4733,g,1.0000000000,277,,,,,,
LNRCNKM350,9,21,s,354,5864,g,14.0000000000,278,,,,,,
LNRCNKM350,9,20,s,354,5864,g,8.0000000000,279,,,,,,
LNRCNKM350,9,22,s,354,5864,g,24.0000000000,280,,,,,,
LNRCNKM350,9,23,s,354,5864,g,7.0000000000,281,,,,,,
LNRCNKM350,9,24,s,354,5864,g,7.0000000000,282,,,,,,
LNRCNKM360,66,23,s,649,11927,g,1.0000000000,283,,,,,,
LNRCNKM360,46,24,s,649,12029,g,1.0000000000,284,,,,,,
LNRCNKM360,66,20,s,649,11988,g,1.0000000000,285,,,,,,
LNRCNKM360,66,20,s,649,12063,g,1.0000000000,286,,,,,,
LNRCNKM360,46,23,s,649,11968,g,1.0000000000,287,,,,,,
LNRCNKM360,66,22,s,649,11951,g,1.0000000000,288,,,,,,
LNRCNKM360,66,22,s,649,11980,g,1.0000000000,289,,,,,,
LNRCNKM360,351,23,s,649,11957,g,1.0000000000,290,,,,,,
LNRCNKM360,66,21,s,649,12082,g,1.0000000000,291,,,,,,
LNRCNKM360,66,22,s,649,12003,g,1.0000000000,292,,,,,,
LNRCNKM360,46,23,s,649,11972,g,1.0000000000,293,,,,,,
LNRCNKM360,46,22,s,649,11887,g,1.0000000000,294,,,,,,
LNRCNKM360,46,23,s,649,11973,g,1.0000000000,295,,,,,,
LNRCNKM360,46,22,s,649,11894,g,1.0000000000,296,,,,,,
LNRCNKM360,46,22,s,649,11899,g,1.0000000000,297,,,,,,
LNRCNKM360,46,21,s,649,11854,g,1.0000000000,298,,,,,,
LNRCNKM360,46,21,s,649,11856,g,1.0000000000,299,,,,,,
LNRCNKM360,46,22,s,649,11906,g,1.0000000000,300,,,,,,
LNRCNKM360,46,22,s,649,11916,g,1.0000000000,301,,,,,,
LNRCNKM360,46,22,s,649,11921,g,1.0000000000,302,,,,,,
LNRCNKM360,46,24,s,649,12052,g,1.0000000000,303,,,,,,
LNRCNKM360,46,24,s,649,12072,g,1.0000000000,304,,,,,,
LNRCNKM360,66,22,s,649,12017,g,1.0000000000,305,,,,,,
LNRCNKM360,66,22,s,649,12031,g,1.0000000000,306,,,,,,
LNRCNKM360,66,22,s,649,12066,g,1.0000000000,307,,,,,,
LNRCNKM360,66,22,s,649,12080,g,1.0000000000,308,,,,,,
LNRCNKM360,66,22,s,649,12084,g,1.0000000000,309,,,,,,
LNRCNKM360,46,24,s,649,12088,g,1.0000000000,310,,,,,,
LNRCNKM360,46,21,s,649,11889,g,1.0000000000,311,,,,,,
LNRCNKM360,46,21,s,649,11908,g,1.0000000000,312,,,,,,
LNRCNKM360,46,21,s,649,11940,g,1.0000000000,313,,,,,,
LNRCNKM360,46,22,s,649,11922,g,1.0000000000,314,,,,,,
LNRCNKM360,46,22,s,649,11923,g,1.0000000000,315,,,,,,
LNRCNKM360,46,22,s,649,11929,g,1.0000000000,316,,,,,,
LNRCNKM360,46,22,s,649,11930,g,1.0000000000,317,,,,,,
LNRCNKM360,46,22,s,649,11934,g,1.0000000000,318,,,,,,
LNRCNKM360,46,22,s,649,11941,g,1.0000000000,319,,,,,,
LNRCNKM360,46,22,s,649,11944,g,1.0000000000,320,,,,,,
LNRCNKM360,46,22,s,649,11945,g,1.0000000000,321,,,,,,
LNRCNKM360,46,22,s,649,11950,g,1.0000000000,322,,,,,,
LNRCNKM360,46,21,s,649,11960,g,1.0000000000,323,,,,,,
LNRCNKM360,46,23,s,649,11978,g,1.0000000000,324,,,,,,
LNRCNKM360,46,22,s,649,11955,g,1.0000000000,325,,,,,,
LNRCNKM360,463,22,s,649,12001,g,1.0000000000,326,,,,,,
LNRCNKM360,463,20,s,649,12018,g,1.0000000000,327,,,,,,
LNRCNKM360,463,22,s,649,12041,g,1.0000000000,328,,,,,,
LNRCNKM360,463,21,s,649,11792,g,1.0000000000,329,,,,,,
LNRCNKM360,463,20,s,649,12064,g,1.0000000000,330,,,,,,
LNRCNKM360,463,23,s,649,11903,g,1.0000000000,331,,,,,,
LNRCNKM360,46,22,s,649,11958,g,1.0000000000,332,,,,,,
LNRCNKM360,46,22,s,649,11961,g,1.0000000000,333,,,,,,
LNRCNKM360,46,22,s,649,11975,g,1.0000000000,334,,,,,,
LNRCNKM360,463,23,s,649,11952,g,1.0000000000,335,,,,,,
LNRCNKM360,463,23,s,649,12040,g,1.0000000000,336,,,,,,
LNRCNKM360,463,22,s,649,12050,g,1.0000000000,337,,,,,,
LNRCNKM360,46,23,s,649,11989,g,1.0000000000,338,,,,,,
LNRCNKM360,46,23,s,649,11994,g,1.0000000000,339,,,,,,
LNRCNKM360,46,23,s,649,12000,g,1.0000000000,340,,,,,,
RCN716,34,4,s,649,11982,g,1.0000000000,341,,,,,,
RCN716,34,3,s,649,11970,g,1.0000000000,342,,,,,,
RCN716,34,3,s,649,12047,g,1.0000000000,343,,,,,,
RCN716,34,6,s,649,11780,g,1.0000000000,344,,,,,,
RCN716,34,6,s,649,12044,g,1.0000000000,345,,,,,,
RCN716,34,6,s,649,12049,g,1.0000000000,346,,,,,,
LNRCN383,10,34,s,649,12038,g,1.0000000000,347,,,,,,
RCN716,34,5,s,649,11976,g,1.0000000000,348,,,,,,
RCN716,34,5,s,649,11986,g,1.0000000000,349,,,,,,
RCN716,34,3,s,649,12085,g,1.0000000000,350,,,,,,
LNRCN383,4,36,s,649,11816,g,1.0000000000,351,,,,,,
LNRCN383,4,36,s,649,11947,g,1.0000000000,352,,,,,,
LNRCNXSPX5,1,39,s,649,11969,g,1.0000000000,353,,,,,,
LNRCNXSPX5,1,38,s,649,12022,g,1.0000000000,354,,,,,,
LNRCNXSPX5,1,39,s,649,12008,g,1.0000000000,355,,,,,,
LNRCNKM299,66,21,s,649,12069,g,1.0000000000,356,,,,,,
LNRCNKPSJ333,46,21,s,649,11833,g,1.0000000000,357,,,,,,
LNRCNKCS892Y,232,22,s,649,12060,g,1.0000000000,358,,,,,,
LNRCNKM299,1,24,s,649,12046,g,1.0000000000,359,,,,,,
LNRCNKM299,196,22,s,649,11869,g,1.0000000000,360,,,,,,
LNRCNKPSJ333,46,22,s,649,11882,g,1.0000000000,361,,,,,,
LNRCNKPSJ333,218,22,s,649,11954,g,1.0000000000,362,,,,,,
LNRCNKM299,196,23,s,649,11813,g,1.0000000000,363,,,,,,
LNRCNTWG720,1,22,s,649,11859,g,1.0000000000,364,,,,,,
LNRCNKM360,66,23,s,649,11965,g,1.0000000000,365,,,,,,
LNRCNKCS815Y,46,22,s,649,12035,g,1.0000000000,366,,,,,,
LNRCNKCS815Y,46,22,s,649,12036,g,1.0000000000,367,,,,,,
LNRCNKCS815Y,46,22,s,649,12043,g,1.0000000000,368,,,,,,
LNRCNKCS815Y,46,22,s,649,12075,g,1.0000000000,369,,,,,,
LNRCNKPSJ333,46,22,s,694,13520,g,1.0000000000,370,,,,,,
LNRCN383,4,35,s,694,13513,g,1.0000000000,371,,,,,,
LNRCNKRNS064,47,22,s,95,1341,g,1.0000000000,372,,,,,,
RCN716,34,4,s,633,11158,g,1.0000000000,373,,,,,,
LNRCN383,4,40,s,786,14812,g,2.0000000000,374,,,,,,
LNRCNKCS893S,468,24,s,786,14823,g,1.0000000000,375,,,,,,
LNRCNKM299,1,23,s,786,14815,g,1.0000000000,376,,,,,,
LNRCNKM299,66,24,s,786,14815,g,1.0000000000,377,,,,,,
