BarCode,SKod,RKod,Asorti,Activ,OzKod1,OzKod2,OzKod3,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1487193615,RCNJLX20,58,m42,*,,,,3803,,,,,,
1487193616,RCNJLX20,58,m43,*,,,,3804,,,,,,
1487193617,RCNJLX20,58,m44,*,,,,3805,,,,,,
1487193618,RCNJLX20,1,m40,*,,,,3806,,,,,,
1487193619,RCNJLX20,1,m41,*,,,,3807,,,,,,
1487193620,RCNJLX20,1,m42,*,,,,3808,,,,,,
1487193621,RCNJLX20,1,m43,*,,,,3809,,,,,,
1487193622,RCNJLX20,1,m44,*,,,,3810,,,,,,
1487193623,RCNJLX20,11,m40,*,,,,3811,,,,,,
1487193624,RCNJLX20,11,m41,*,,,,3812,,,,,,
1487193625,RCNJLX20,11,m42,*,,,,3813,,,,,,
1487193626,RCNJLX20,11,m43,*,,,,3814,,,,,,
1487193627,RCNJLX20,11,m44,*,,,,3815,,,,,,
1487193628,RCN716,34,m40,*,,,,3758,,,,,,
1487193629,RCN716,34,m41,*,,,,3759,,,,,,
1487193630,RCN716,34,m42,*,,,,3760,,,,,,
1487193631,RCN716,34,m43,*,,,,3761,,,,,,
1487193632,RCN716,34,m44,*,,,,3762,,,,,,
1487193633,RCN716,40,m40,*,,,,3763,,,,,,
1487193634,RCN716,40,m41,*,,,,3764,,,,,,
1487193635,RCN716,40,m42,*,,,,3765,,,,,,
1487193636,RCN716,40,m43,*,,,,3766,,,,,,
1487193637,RCN716,40,m44,*,,,,3767,,,,,,
1487193638,RCN716,34,m45,*,,,,3768,,,,,,
1487193639,RCN716,40,m45,*,,,,3769,,,,,,
1487193640,LNRCN383,10,U40,*,,,,87,,,,,,
1487193641,LNRCN383,10,U41,*,,,,88,,,,,,
1487193642,LNRCN383,10,U42,*,,,,89,,,,,,
1487193643,LNRCN383,10,U43,*,,,,90,,,,,,
1487193644,LNRCN383,10,U44,*,,,,91,,,,,,
1487193645,LNRCN383,10,U45,*,,,,92,,,,,,
1487193646,LNRCN383,4,U36,*,,,,93,,,,,,
1487193647,LNRCN383,4,U37,*,,,,94,,,,,,
1487193648,LNRCN383,4,U38,*,,,,95,,,,,,
1487193649,LNRCN383,4,U39,*,,,,96,,,,,,
1487193650,LNRCN383,4,U40,*,,,,97,,,,,,
1487193651,LNRCN383,4,U41,*,,,,98,,,,,,
1487193652,LNRCN383,4,U42,*,,,,99,,,,,,
1487193653,LNRCN383,4,U43,*,,,,100,,,,,,
1487193654,LNRCN383,4,U44,*,,,,101,,,,,,
1487193655,LNRCN383,4,U45,*,,,,102,,,,,,
1487193656,LNRCN383,168,U36,*,,,,103,,,,,,
1487193657,LNRCN383,168,U37,*,,,,104,,,,,,
1487193658,LNRCN383,168,U38,*,,,,105,,,,,,
1487193659,LNRCN383,168,U39,*,,,,106,,,,,,
1487193660,LNRCN383,168,U40,*,,,,107,,,,,,
1487193661,LNRCN383,168,U41,*,,,,108,,,,,,
1487193662,LNRCN383,168,U42,*,,,,109,,,,,,
1487193663,LNRCN383,168,U43,*,,,,110,,,,,,
1487193664,LNRCN383,168,U44,*,,,,111,,,,,,
1487193665,LNRCN383,168,U45,*,,,,112,,,,,,
1487193666,LNRCN383,10,U46,*,,,,113,,,,,,
1487193667,LNRCN383,4,U46,*,,,,114,,,,,,
1487193668,LNRCN383,168,U46,*,,,,115,,,,,,
1487193669,LNRCNSBC722,18,m40,*,,,,3446,,,,,,
1487193670,LNRCNSBC722,18,m43,*,,,,3447,,,,,,
1487193671,LNRCNSBC722,18,m41,*,,,,3448,,,,,,
1487193672,LNRCNSBC722,18,m42,*,,,,3449,,,,,,
1487193673,LNRCNSBC722,18,m44,*,,,,3450,,,,,,
1487193674,LNRCNSBC722,9,m40,*,,,,3451,,,,,,
1487193675,LNRCNSBC722,9,m41,*,,,,3452,,,,,,
1487193676,LNRCNSBC722,9,m42,*,,,,3453,,,,,,
1487193677,LNRCNSBC722,9,m43,*,,,,3454,,,,,,
1487193678,LNRCNSBC722,9,m44,*,,,,3455,,,,,,
1487193679,LNRCNSBC722,13,m40,*,,,,3456,,,,,,
1487193680,LNRCNSBC722,13,m41,*,,,,3457,,,,,,
1487193681,LNRCNSBC722,13,m42,*,,,,3458,,,,,,
1487193682,LNRCNSBC722,13,m43,*,,,,3459,,,,,,
1487193683,LNRCNSBC722,13,m44,*,,,,3460,,,,,,
1487193684,LNRCNSBC722,161,m40,*,,,,3461,,,,,,
1487193685,LNRCNSBC722,161,m41,*,,,,3462,,,,,,
1487193686,LNRCNSBC722,161,m42,*,,,,3463,,,,,,
1487193687,LNRCNSBC722,161,m43,*,,,,3464,,,,,,
1487193688,LNRCNSBC722,161,m44,*,,,,3465,,,,,,
1487193689,LNRCNSBC722,11,m40,*,,,,3466,,,,,,
1487193690,LNRCNSBC722,11,m41,*,,,,3467,,,,,,
1487193691,LNRCNSBC722,11,m43,*,,,,3468,,,,,,
1487193692,LNRCNSBC722,11,m42,*,,,,3469,,,,,,
1487193693,LNRCNSBC722,11,m44,*,,,,3470,,,,,,
1487193694,LNRCNSBC723,9,m40,*,,,,3471,,,,,,
1487193695,LNRCNSBC723,9,m41,*,,,,3472,,,,,,
1487193696,LNRCNSBC723,9,m42,*,,,,3473,,,,,,
1487193697,LNRCNSBC723,9,m43,*,,,,3474,,,,,,
1487193698,LNRCNSBC723,9,m44,*,,,,3475,,,,,,
1487193699,LNRCNSBC723,13,m40,*,,,,3476,,,,,,
1487193700,LNRCNSBC723,13,m41,*,,,,3477,,,,,,
1487193701,LNRCNSBC723,13,m42,*,,,,3478,,,,,,
1487193702,LNRCNSBC723,13,m43,*,,,,3479,,,,,,
1487193703,LNRCNSBC723,13,m44,*,,,,3480,,,,,,
1487193704,LNRCNSBC723,161,m40,*,,,,3481,,,,,,
1487193705,LNRCNSBC723,161,m41,*,,,,3482,,,,,,
1487193706,LNRCNSBC723,161,m42,*,,,,3483,,,,,,
1487193707,LNRCNSBC723,161,m43,*,,,,3484,,,,,,
1487193708,LNRCNSBC723,161,m44,*,,,,3485,,,,,,
1487193709,LNRCNSBC723,11,m40,*,,,,3486,,,,,,
1487193710,LNRCNSBC723,11,m41,*,,,,3487,,,,,,
1487193711,LNRCNSBC723,11,m42,*,,,,3488,,,,,,
1487193712,LNRCNSBC723,11,m43,*,,,,3489,,,,,,
1487193713,LNRCNSBC723,11,m44,*,,,,3490,,,,,,
1487193714,LNRCNSBC723,18,m40,*,,,,3491,,,,,,
1487193715,LNRCNSBC723,18,m41,*,,,,3492,,,,,,
1487193716,LNRCNSBC723,18,m42,*,,,,3493,,,,,,
1487193717,LNRCNSBC723,18,m43,*,,,,3494,,,,,,
1487193718,LNRCNSBC723,18,m44,*,,,,3495,,,,,,
1487193719,LNRCNSBC808,196,z36,*,,,,3506,,,,,,
1487193720,LNRCNSBC808,196,z37,*,,,,3507,,,,,,
1487193721,LNRCNSBC808,196,z38,*,,,,3508,,,,,,
1487193722,LNRCNSBC808,196,z39,*,,,,3509,,,,,,
1487193723,LNRCNSBC808,196,z40,*,,,,3510,,,,,,
1487193724,LNRCNSBC808,1,z36,*,,,,3511,,,,,,
1487193725,LNRCNSBC808,1,z37,*,,,,3512,,,,,,
1487193726,LNRCNSBC808,1,z38,*,,,,3513,,,,,,
1487193727,LNRCNSBC808,1,z39,*,,,,3514,,,,,,
1487193728,LNRCNSBC808,1,z40,*,,,,3515,,,,,,
1487193729,LNRCNSBC803,196,z36,*,,,,3496,,,,,,
1487193730,LNRCNSBC803,196,z37,*,,,,3497,,,,,,
1487193731,LNRCNSBC803,196,z38,*,,,,3498,,,,,,
1487193732,LNRCNSBC803,196,z39,*,,,,3499,,,,,,
1487193733,LNRCNSBC803,196,z40,*,,,,3500,,,,,,
1487193734,LNRCNSBC803,1,z36,*,,,,3501,,,,,,
1487193735,LNRCNSBC803,1,z37,*,,,,3502,,,,,,
1487193736,LNRCNSBC803,1,z38,*,,,,3503,,,,,,
1487193737,LNRCNSBC803,1,z39,*,,,,3504,,,,,,
1487193738,LNRCNSBC803,1,z40,*,,,,3505,,,,,,
1487193739,LNRCNSBC1015,196,z36,*,,,,3427,,,,,,
1487193740,LNRCNSBC1015,196,z37,*,,,,3428,,,,,,
1487193741,LNRCNSBC1015,196,z38,*,,,,3429,,,,,,
1487193742,LNRCNSBC1015,196,z40,*,,,,3430,,,,,,
1487193743,LNRCNSBC1015,1,z36,*,,,,3431,,,,,,
1487193744,LNRCNSBC1015,1,z37,*,,,,3432,,,,,,
1487193745,LNRCNSBC1015,1,z38,*,,,,3433,,,,,,
1487193746,LNRCNSBC1015,1,z39,*,,,,3434,,,,,,
1487193747,LNRCNSBC1015,1,z40,*,,,,3435,,,,,,
1487193748,LNRCNSBC501,196,z36,*,,,,3436,,,,,,
1487193749,LNRCNSBC501,196,z37,*,,,,3437,,,,,,
1487193750,LNRCNSBC501,196,z38,*,,,,3438,,,,,,
1487193751,LNRCNSBC501,196,z39,*,,,,3439,,,,,,
1487193752,LNRCNSBC501,196,z40,*,,,,3440,,,,,,
1487193753,LNRCNSBC501,1,z36,*,,,,3441,,,,,,
1487193754,LNRCNSBC501,1,z37,*,,,,3442,,,,,,
1487193755,LNRCNSBC501,1,z38,*,,,,3443,,,,,,
1487193756,LNRCNSBC501,1,z39,*,,,,3444,,,,,,
1487193757,LNRCNSBC501,1,z40,*,,,,3445,,,,,,
1487193758,LNRCNAVS801,4,m40,*,,,,725,,,,,,
1487193759,LNRCNKCS815Y,462,z36,*,,,,1290,,,,,,
1487193760,LNRCN383,10,U36,*,,,,116,,,,,,
1487193761,LNRCN383,10,U37,*,,,,117,,,,,,
1487193762,LNRCN383,10,U38,*,,,,118,,,,,,
1487193763,LNRCN383,10,U39,*,,,,119,,,,,,
1487193764,LNRCNXSPX5,8,U40,*,,,,3685,,,,,,
1487193765,LNRCNXSPX5,8,U41,*,,,,3686,,,,,,
1487193766,LNRCNXSPX5,8,U42,*,,,,3687,,,,,,
1487193767,LNRCNXSPX5,8,U43,*,,,,3688,,,,,,
1487193768,LNRCNXSPX5,8,U44,*,,,,3689,,,,,,
1487193769,LNRCNXSPX5,8,U45,*,,,,3690,,,,,,
1487193770,LNRCNXSPX5,8,U46,*,,,,3691,,,,,,
1487193771,LNRCNXSPX5,17,U39,*,,,,3692,,,,,,
1487193772,LNRCNXSPX5,1,U39,*,,,,3693,,,,,,
1487193773,LNRCNXSPX5,1,U40,*,,,,3694,,,,,,
1487193774,LNRCNXSPX5,1,U41,*,,,,3695,,,,,,
1487193775,LNRCNXSPX5,1,U42,*,,,,3696,,,,,,
1487193776,LNRCNXSPX5,1,U44,*,,,,3697,,,,,,
1487193777,LNRCNXSPX6,1,U36,*,,,,3700,,,,,,
1487193778,LNRCNXSPX6,1,U37,*,,,,3701,,,,,,
1487193779,LNRCNXSPX6,1,U38,*,,,,3702,,,,,,
1487193780,LNRCNXSPX6,1,U39,*,,,,3703,,,,,,
1487193781,LNRCNXSPX6,1,U40,*,,,,3704,,,,,,
1487193782,LNRCNXSPX6,1,U41,*,,,,3705,,,,,,
1487193783,LNRCNXSPX6,1,U42,*,,,,3706,,,,,,
1487193784,LNRCNXSPX6,1,U43,*,,,,3707,,,,,,
1487193785,LNRCNXSPX6,1,U44,*,,,,3708,,,,,,
1487193786,LNRCNXSPX6,1,U45,*,,,,3709,,,,,,
1487193787,LNRCNXSPX6,1,U46,*,,,,3710,,,,,,
1487193788,LNRCNXSPX6,8,U36,*,,,,3711,,,,,,
1487193789,LNRCNXSPX6,8,U37,*,,,,3712,,,,,,
1487193790,LNRCNXSPX6,8,U38,*,,,,3713,,,,,,
1487193791,LNRCNXSPX6,8,U39,*,,,,3714,,,,,,
1487193792,LNRCNXSPX6,8,U40,*,,,,3715,,,,,,
1487193793,LNRCNXSPX6,8,U41,*,,,,3716,,,,,,
1487193794,LNRCNXSPX6,8,U42,*,,,,3717,,,,,,
1487193795,LNRCNXSPX6,8,U43,*,,,,3718,,,,,,
1487193796,LNRCNXSPX6,8,U44,*,,,,3719,,,,,,
1487193797,LNRCNXSPX6,8,U45,*,,,,3720,,,,,,
1487193798,LNRCNXSPX6,8,U46,*,,,,3721,,,,,,
1487193799,LNRCNXSPX6,8,0002,*,,,,3722,,,,,,
1487193800,LNRCNXSPX6,10,U36,*,,,,3723,,,,,,
1487193801,LNRCNXSPX6,10,U37,*,,,,3724,,,,,,
1487193802,LNRCNXSPX6,10,U38,*,,,,3725,,,,,,
1487193803,LNRCNXSPX6,10,U39,*,,,,3726,,,,,,
1487193804,LNRCNXSPX6,10,U40,*,,,,3727,,,,,,
1487193805,LNRCNXSPX6,10,U41,*,,,,3728,,,,,,
1487193806,LNRCNXSPX6,10,U42,*,,,,3729,,,,,,
1487193807,LNRCNXSPX6,10,U43,*,,,,3730,,,,,,
1487193808,LNRCNXSPX6,10,U44,*,,,,3731,,,,,,
1487193809,LNRCNXSPX6,19,U36,*,,,,3732,,,,,,
1487193810,LNRCNXSPX6,19,U37,*,,,,3733,,,,,,
1487193811,LNRCNXSPX6,19,U38,*,,,,3734,,,,,,
1487193812,LNRCNXSPX6,19,U39,*,,,,3735,,,,,,
1487193813,LNRCNXSPX6,19,U40,*,,,,3736,,,,,,
1487193814,LNRCNXSPX6,19,U41,*,,,,3737,,,,,,
1487193815,LNRCNXSPX6,19,U42,*,,,,3738,,,,,,
1487193816,LNRCNXSPX6,19,U43,*,,,,3739,,,,,,
1487193817,LNRCNXSPX6,19,U44,*,,,,3740,,,,,,
1487193818,LNRCNXSPX6,19,U45,*,,,,3741,,,,,,
1487193819,LNRCNXSPX6,19,U46,*,,,,3742,,,,,,
1487193820,LNRCNAVS815,4,z36,*,,,,757,,,,,,
1487193821,LNRCNAVS802,1,U31,*,,,,730,,,,,,
1487193822,LNRCNAVS801,4,m41,*,,,,726,,,,,,
1487193823,LNRCNAVS813,4,z36,*,,,,752,,,,,,
1487193824,LNRCNAVS813,4,z37,*,,,,753,,,,,,
1487193825,LNRCNAVS813,4,z38,*,,,,754,,,,,,
1487193826,LNRCNAVS813,4,z39,*,,,,755,,,,,,
1487193827,LNRCNAVS813,4,z40,*,,,,756,,,,,,
1487193828,LNRCNAVS811,66,z36,*,,,,737,,,,,,
1487193829,LNRCNAVS811,1,z36,*,,,,738,,,,,,
1487193830,LNRCNAVS811,1,z37,*,,,,739,,,,,,
1487193831,LNRCNAVS811,1,z38,*,,,,740,,,,,,
1487193832,LNRCNAVS811,1,z39,*,,,,741,,,,,,
1487193833,LNRCNAVS811,1,z40,*,,,,742,,,,,,
1487193834,LNRCNAVS811,66,z37,*,,,,743,,,,,,
1487193835,LNRCNAVS811,66,z38,*,,,,744,,,,,,
1487193836,LNRCNAVS811,66,z39,*,,,,745,,,,,,
1487193837,LNRCNAVS811,66,z40,*,,,,746,,,,,,
1487193838,LNRCNAVS801,4,m42,*,,,,727,,,,,,
1487193839,LNRCNAVS801,4,m43,*,,,,728,,,,,,
1487193840,LNRCNAVS801,4,m44,*,,,,729,,,,,,
1487193841,LNRCNAVS802,196,U36,*,,,,731,,,,,,
1487193842,LNRCNAVS802,196,U37,*,,,,732,,,,,,
1487193843,LNRCNAVS802,196,U38,*,,,,733,,,,,,
1487193844,LNRCNAVS802,196,U39,*,,,,734,,,,,,
1487193845,LNRCNAVS802,196,U40,*,,,,735,,,,,,
1487193846,LNRCNAVS802,9,U36,*,,,,736,,,,,,
1487193847,LNRCNAVS811,18,z36,*,,,,747,,,,,,
1487193848,LNRCNAVS811,18,z37,*,,,,748,,,,,,
1487193849,LNRCNAVS811,18,z38,*,,,,749,,,,,,
1487193850,LNRCNAVS811,18,z39,*,,,,750,,,,,,
1487193851,LNRCNAVS811,18,z40,*,,,,751,,,,,,
1487193852,LNRCNXSPX5,8,U47,*,,,,3698,,,,,,
1487193853,LNRCNXSPX5,1,U47,*,,,,3699,,,,,,
1487193854,LNRCNXSPX6,8,U47,*,,,,3743,,,,,,
1487193855,LNRCNXSPX6,1,U47,*,,,,3744,,,,,,
1487193856,LNRCNXSPX6,10,U47,*,,,,3745,,,,,,
1487193857,LNRCNACT68,91,m40,*,,,,342,,,,,,
1487193858,LNRCNACT68,91,m41,*,,,,343,,,,,,
1487193859,LNRCNACT68,91,m42,*,,,,344,,,,,,
1487193860,LNRCNACT68,91,m43,*,,,,345,,,,,,
1487193861,LNRCNACT68,91,m44,*,,,,346,,,,,,
1487193862,LNRCNACT68,8,m40,*,,,,347,,,,,,
1487193863,LNRCNACT68,8,m41,*,,,,348,,,,,,
1487193864,LNRCNACT68,8,m42,*,,,,349,,,,,,
1487193865,LNRCNACT68,8,m43,*,,,,350,,,,,,
1487193866,LNRCNACT68,8,m44,*,,,,351,,,,,,
1487193867,LNRCNACT68,10,m40,*,,,,352,,,,,,
1487193868,LNRCNACT68,10,m41,*,,,,353,,,,,,
1487193869,LNRCNACT68,10,m42,*,,,,354,,,,,,
1487193870,LNRCNACT68,10,m43,*,,,,355,,,,,,
1487193871,LNRCNACT68,10,m44,*,,,,356,,,,,,
1487193872,LNRCNACT68,5,m40,*,,,,357,,,,,,
1487193873,LNRCNACT68,5,m41,*,,,,358,,,,,,
1487193874,LNRCNACT68,5,m42,*,,,,359,,,,,,
1487193875,LNRCNACT68,5,m43,*,,,,360,,,,,,
1487193876,LNRCNACT68,5,m44,*,,,,361,,,,,,
1487193877,LNRCNACT68,4,m40,*,,,,362,,,,,,
1487193878,LNRCNACT68,4,m41,*,,,,363,,,,,,
1487193879,LNRCNACT68,4,m42,*,,,,364,,,,,,
1487193880,LNRCNACT68,4,m43,*,,,,365,,,,,,
1487193881,LNRCNACT68,4,m44,*,,,,366,,,,,,
1487193882,LNRCNACT72,91,m40,*,,,,367,,,,,,
1487193883,LNRCNACT72,91,m41,*,,,,368,,,,,,
1487193884,LNRCNACT72,91,m42,*,,,,369,,,,,,
1487193885,LNRCNACT72,91,m43,*,,,,370,,,,,,
1487193886,LNRCNACT72,91,m44,*,,,,371,,,,,,
1487193887,LNRCNACT72,8,m40,*,,,,372,,,,,,
1487193888,LNRCNACT72,8,m41,*,,,,373,,,,,,
1487193889,LNRCNACT72,8,m42,*,,,,374,,,,,,
1487193890,LNRCNACT72,8,m43,*,,,,375,,,,,,
1487193891,LNRCNACT72,8,m44,*,,,,376,,,,,,
1487193892,LNRCNACT72,10,m40,*,,,,377,,,,,,
1487193893,LNRCNACT72,10,m41,*,,,,378,,,,,,
1487193894,LNRCNACT72,10,m42,*,,,,379,,,,,,
1487193895,LNRCNACT72,10,m43,*,,,,380,,,,,,
1487193896,LNRCNACT72,10,m44,*,,,,381,,,,,,
1487193897,LNRCNACT72,5,m40,*,,,,382,,,,,,
1487193898,LNRCNACT72,5,m41,*,,,,383,,,,,,
1487193899,LNRCNACT72,5,m42,*,,,,384,,,,,,
1487193900,LNRCNACT72,5,m43,*,,,,385,,,,,,
1487193901,LNRCNACT72,5,m44,*,,,,386,,,,,,
1487193902,LNRCNACT72,4,m40,*,,,,387,,,,,,
1487193903,LNRCNACT72,4,m41,*,,,,388,,,,,,
1487193904,LNRCNACT72,4,m42,*,,,,389,,,,,,
1487193905,LNRCNACT72,4,m43,*,,,,390,,,,,,
1487193906,LNRCNACT72,4,m44,*,,,,391,,,,,,
1487193907,LNRCNLTM035,1,z36,*,,,,3191,,,,,,
1487193908,LNRCNLTM035,1,z37,*,,,,3192,,,,,,
1487193909,LNRCNLTM035,1,z38,*,,,,3193,,,,,,
1487193910,LNRCNLTM035,1,z39,*,,,,3194,,,,,,
1487193911,LNRCNLTM035,1,z40,*,,,,3195,,,,,,
1487193912,LNRCNLTM1603,196,z36,*,,,,3197,,,,,,
1487193913,LNRCNLTM1603,196,z37,*,,,,3198,,,,,,
1487193914,LNRCNLTM1603,196,z38,*,,,,3199,,,,,,
1487193915,LNRCNLTM1603,196,z39,*,,,,3200,,,,,,
1487193916,LNRCNLTM1603,196,z40,*,,,,3201,,,,,,
1487193917,LNRCNLTM1603,431,z36,*,,,,3202,,,,,,
1487193918,LNRCNLTM1603,431,z37,*,,,,3203,,,,,,
1487193919,LNRCNLTM1603,431,z38,*,,,,3204,,,,,,
1487193920,LNRCNLTM1603,431,z39,*,,,,3205,,,,,,
1487193921,LNRCNLTM1603,431,z40,*,,,,3206,,,,,,
1487193922,LNRCNLTM1603,82,z36,*,,,,3207,,,,,,
1487193923,LNRCNLTM1603,82,z37,*,,,,3208,,,,,,
1487193924,LNRCNLTM1603,82,z38,*,,,,3209,,,,,,
1487193925,LNRCNLTM1603,82,z39,*,,,,3210,,,,,,
1487193926,LNRCNLTM1603,82,z40,*,,,,3211,,,,,,
1487193927,LNRCNLTM1603,55,z36,*,,,,3212,,,,,,
1487193928,LNRCNLTM1603,55,z37,*,,,,3213,,,,,,
1487193929,LNRCNLTM1603,55,z38,*,,,,3214,,,,,,
1487193930,LNRCNLTM1603,55,z39,*,,,,3215,,,,,,
1487193931,LNRCNLTM1603,55,z40,*,,,,3216,,,,,,
1487193932,LNRCNLTM1603,11,z36,*,,,,3217,,,,,,
1487193933,LNRCNLTM1603,11,z37,*,,,,3218,,,,,,
1487193934,LNRCNLTM1603,11,z38,*,,,,3219,,,,,,
1487193935,LNRCNLTM1603,11,z39,*,,,,3220,,,,,,
1487193936,LNRCNLTM1603,11,z40,*,,,,3221,,,,,,
1487193937,LNRCNLTM1603,4,z36,*,,,,3222,,,,,,
1487193938,LNRCNLTM1603,4,z37,*,,,,3223,,,,,,
1487193939,LNRCNLTM1603,4,z38,*,,,,3224,,,,,,
1487193940,LNRCNLTM1603,4,z39,*,,,,3225,,,,,,
1487193941,LNRCNLTM1603,4,Z001,*,,,,3226,,,,,,
1487193942,LNRCNLTM1603,4,z40,*,,,,3227,,,,,,
1487193943,LNRCNT1963,474,m40,*,,,,3516,,,,,,
1487193944,LNRCNT1963,474,m41,*,,,,3517,,,,,,
1487193945,LNRCNT1963,474,m42,*,,,,3518,,,,,,
1487193946,LNRCNT1963,474,m43,*,,,,3519,,,,,,
1487193947,LNRCNT1963,474,m44,*,,,,3520,,,,,,
1487193948,LNRCNT1963,9,m40,*,,,,3521,,,,,,
1487193949,LNRCNT1963,9,m41,*,,,,3522,,,,,,
1487193950,LNRCNT1963,9,m42,*,,,,3523,,,,,,
1487193951,LNRCNT1963,9,m43,*,,,,3524,,,,,,
1487193952,LNRCNT1963,9,m44,*,,,,3525,,,,,,
1487193953,LNRCNT1963,364,m40,*,,,,3526,,,,,,
1487193954,LNRCNT1963,364,m41,*,,,,3527,,,,,,
1487193955,LNRCNT1963,364,m42,*,,,,3528,,,,,,
1487193956,LNRCNT1963,364,m43,*,,,,3529,,,,,,
1487193957,LNRCNT1963,364,m44,*,,,,3530,,,,,,
1487193958,LNRCNT1963,458,m40,*,,,,3531,,,,,,
1487193959,LNRCNT1963,458,m41,*,,,,3532,,,,,,
1487193960,LNRCNT1963,458,m42,*,,,,3533,,,,,,
1487193961,LNRCNT1963,458,m43,*,,,,3534,,,,,,
1487193962,LNRCNT1963,458,m44,*,,,,3535,,,,,,
1487193963,LNRCNT63,474,m40,*,,,,3584,,,,,,
1487193964,LNRCNT63,474,m41,*,,,,3585,,,,,,
1487193965,LNRCNT63,474,m42,*,,,,3586,,,,,,
1487193966,LNRCNT63,474,m43,*,,,,3587,,,,,,
