RENK_KOD,Tanim,OzKod1,OzKod2,OzKod3,Tip,kgid,insUN,insDT,insApp,updUN,updDT,updApp
96,Siyah Sax,,,,,97,,,,,,
97,Siyah Turuncu,,,,,98,,,,,,
98,Gri,,,,,99,,,,,,
99,Lacivert Krep Lacivert,,,,,100,,,,,,
100,Lacivert Beyaz Krep,,,,,101,,,,,,
101,Siyah Beyaz Krep,,,,,102,,,,,,
102,Siyah Grafiti,,,,,103,,,,,,
103,Beyaz Grafiti,,,,,104,,,,,,
104,Siyah Taba,,,,,105,,,,,,
105,Beyaz Taba,,,,,106,,,,,,
106,Siyah Turuncu Siyah,,,,,107,,,,,,
107,Beyaz Mavi,,,,,108,,,,,,
108,Füme Pembe,,,,,109,,,,,,
109,Buz Mor,,,,,110,,,,,,
110,Lacivert Gümüş,,,,,111,,,,,,
111,Pudra Pembe,,,,,112,,,,,,
112,Buz Fuşya,,,,,113,,,,,,
113,Lacivert Fuşya,,,,,114,,,,,,
114,Füme Fuşya,,,,,115,,,,,,
115,Beyaz Yeşil,,,,,116,,,,,,
116,Kırmızı Beyaz,,,,,117,,,,,,
117,Mavi Siyah,,,,,118,,,,,,
118,Petrol Yeşili Vizon,,,,,119,,,,,,
119,Lacivert Kırmızı Vizon,,,,,120,,,,,,
120,Lacivert Vizon,,,,,121,,,,,,
121,Siyah Mavi Vizon,,,,,122,,,,,,
122,Mavi Vizon,,,,,123,,,,,,
123,Siyah Vizon,,,,,124,,,,,,
124,Beyaz Fuşya,,,,,125,,,,,,
125,Füme Toz Pembe,,,,,126,,,,,,
126,Siyah Füme Beyaz,,,,,127,,,,,,
127,Beyaz Lacivert Kırmızı,,,,,128,,,,,,
128,Haki Beyaz,,,,,129,,,,,,
129,Pudra Pembe Beyaz,,,,,130,,,,,,
130,Siyah Siyah Kırmızı,,,,,131,,,,,,
131,Kırmızı Kırmızı,,,,,132,,,,,,
132,Mavi Beyaz,,,,,133,,,,,,
133,Vizon Beyaz,,,,,134,,,,,,
134,Siyah Kırmızı Füme,,,,,135,,,,,,
135,Lacivert Gümüş Kırmızı,,,,,136,,,,,,
136,Siyah Sax Gümüş,,,,,137,,,,,,
137,Kırmızı Turuncu Gümüş,,,,,138,,,,,,
138,Beyaz Sax Kırmızı,,,,,139,,,,,,
139,Siyah Kırmzı,,,,,140,,,,,,
140,Buz Beyaz Krep,,,,,141,,,,,,
141,Siyah Kırmızı Krep,,,,,142,,,,,,
142,Siyah Buz Beyaz,,,,,143,,,,,,
143,Siyah Buz,,,,,144,,,,,,
144,Siyah Beyaz Turuncu,,,,,145,,,,,,
145,Taba Buz,,,,,146,,,,,,
146,Cilt Siyah,,,,,147,,,,,,
147,Haki Beyaz Krep,,,,,148,,,,,,
148,Baskılı Siyah Beyaz,,,,,149,,,,,,
149,Baskılı Beyaz,,,,,150,,,,,,
150,Baskılı Taba,,,,,151,,,,,,
151,Baskılı Haki,,,,,152,,,,,,
152,Baskılı Siyah Siyah,,,,,153,,,,,,
153,Siyah Siyah Kadife,,,,,154,,,,,,
154,Siyah Siyah Cilt,,,,,155,,,,,,
155,Lacivert Lacivert Rugan,,,,,156,,,,,,
156,Lacivert Lacivert Kadife,,,,,157,,,,,,
157,Siyah Siyah Rugan,,,,,158,,,,,,
158,Lacivert Lacivert Cilt,,,,,159,,,,,,
159,Siyah Siyah Beyaz,,,,,160,,,,,,
160,Siyah Mavi Kırmızı,,,,,161,,,,,,
161,Mavi,,,,,162,,,,,,
162,Beyaz Beyaz Krep,,,,,163,,,,,,
163,Bej Siyah,,,,,164,,,,,,
164,Lacivert Beyaz Kırmızı Çizgili,,,,,165,,,,,,
165,Siyah Siyah Kırmızı Çizgili,,,,,166,,,,,,
166,Lacivert Beyaz Beyaz Çizgili,,,,,167,,,,,,
167,Siyah Siyah Beyaz Çizgili,,,,,168,,,,,,
168,Taba Siyah,,,,,169,,,,,,
169,Haki Kamuflaj,,,,,170,,,,,,
170,Petrol Mavisi,,,,,171,,,,,,
171,Süet Taba Siyah,,,,,172,,,,,,
172,Siyah Beyaz1,,,,,173,,,,,,
173,Haki Siyah1,,,,,174,,,,,,
174,Lacivert Beyaz1,,,,,175,,,,,,
175,Siyah Siyah Süet,,,,,176,,,,,,
176,Taba Siyah Süet,,,,,177,,,,,,
177,Buz1,,,,,178,,,,,,
178,Fuşya Beyaz,,,,,179,,,,,,
179,Siyah Pudra,,,,,180,,,,,,
180,Siyah Zümrüt,,,,,181,,,,,,
181,Siyah Kırmızı1,,,,,182,,,,,,
182,Kum Siyah,,,,,183,,,,,,
183,Kahverengi Siyah,,,,,184,,,,,,
184,Gri1,,,,,185,,,,,,
185,Vizon Siyah,,,,,186,,,,,,
186,Cilt Beyaz,,,,,187,,,,,,
187,Cilt Ten Rengi,,,,,188,,,,,,
188,Süet Taba,,,,,189,,,,,,
189,Süet Vizon,,,,,190,,,,,,
190,Rugan Ten Rengi,,,,,191,,,,,,
191,Süet Kırmızı,,,,,192,,,,,,
192,Rugan Beyaz,,,,,193,,,,,,
193,Süet Kahverengi,,,,,194,,,,,,
194,Parlak Cilt Siyah,,,,,195,,,,,,
195,Mat Cilt Siyah,,,,,196,,,,,,
196,Bej,,,,,197,,,,,,
197,Cilt Taba,,,,,198,,,,,,
198,Süet Füme,,,,,199,,,,,,
199,Süet Bej,,,,,200,,,,,,
200,Cilt Vizon,,,,,201,,,,,,
201,Cilt Pembe,,,,,202,,,,,,
202,Gri Beyaz,,,,,203,,,,,,
203,Kahverengi Beyaz,,,,,204,,,,,,
204,Kahverengi Desenli,,,,,205,,,,,,
205,Lacivert Desenli,,,,,206,,,,,,
206,Siyah Desenli,,,,,207,,,,,,
207,Vizon Desenli,,,,,208,,,,,,
208,Rugan Platin,,,,,209,,,,,,
209,Siyah Sarı1,,,,,210,,,,,,
210,Haki1,,,,,211,,,,,,
211,Cilt Kahverengi,,,,,212,,,,,,
212,Lacivert1,,,,,213,,,,,,
213,Füme1,,,,,214,,,,,,
214,Haki Beyaz1,,,,,215,,,,,,
215,Nubuk Tarçın,,,,,216,,,,,,
216,Süet Siyah Beyaz,,,,,217,,,,,,
217,Süet Vizon Siyah,,,,,218,,,,,,
218,Ten Süet,,,,,219,,,,,,
219,Taba Süet,,,,,220,,,,,,
220,Taba Cilt Leopar Desenli,,,,,221,,,,,,
221,Beyaz Cilt Leopar Desenli,,,,,222,,,,,,
222,Siyah Cilt Leopar Desenli,,,,,223,,,,,,
223,Süet Ten,,,,,224,,,,,,
224,Vizon Süet,,,,,225,,,,,,
225,Lacivert Füme,,,,,226,,,,,,
226,Süet Siyah Siyah,,,,,227,,,,,,
227,Taba Nubuk,,,,,228,,,,,,
228,Kahverengi Cilt,,,,,229,,,,,,
229,Taba Cilt,,,,,230,,,,,,
230,Siyah Cilt Süet Detay,,,,,231,,,,,,
231,Haki Cilt,,,,,232,,,,,,
232,Beyaz Cilt,,,,,233,,,,,,
233,Siyah Rugan,,,,,234,,,,,,
234,Bej Beyaz,,,,,235,,,,,,
235,Haki Sarı,,,,,236,,,,,,
236,Hasır Kahverengi,,,,,237,,,,,,
237,Süet Nude,,,,,238,,,,,,
238,Nude,,,,,239,,,,,,
239,Pudra,,,,,240,,,,,,
240,Platin,,,,,241,,,,,,
241,Siyah Simli,,,,,242,,,,,,
242,Beyaz Pudra,,,,,243,,,,,,
243,Turkuaz,,,,,244,,,,,,
244,Gi,,,,,245,,,,,,
245,Kırık Beyaz,,,,,246,,,,,,
246,Beyaz Nar,,,,,247,,,,,,
247,Pudra Turkuaz,,,,,248,,,,,,
248,Pudra Beyaz,,,,,249,,,,,,
249,Gümüş Turkuaz,,,,,250,,,,,,
250,Nude Süet,,,,,251,,,,,,
251,Kiremit,,,,,252,,,,,,
252,Lila,,,,,253,,,,,,
253,Kırmızı Süet,,,,,254,,,,,,
254,Cute Beyaz,,,,,255,,,,,,
255,Beyaz Hologram,,,,,256,,,,,,
256,Beyaz Beyaz Siyah,,,,,257,,,,,,
257,Beyaz Beyaz Beyaz,,,,,258,,,,,,
258,Siyah Hologram Beyaz,,,,,259,,,,,,
259,Siyah Beyaz Beyaz,,,,,260,,,,,,
260,Beyaz Hologram Kapitone,,,,,261,,,,,,
261,Beyaz Yılan,,,,,262,,,,,,
262,Bej Yılan,,,,,263,,,,,,
263,Siyah Yılan,,,,,264,,,,,,
264,Siyah Kırışık Rugan Kapitone,,,,,265,,,,,,
265,Beyaz Kırışık Rugan Kapitone,,,,,266,,,,,,
266,Beyaz Beyaz Siyah Detay,,,,,267,,,,,,
267,Turkuaz Siyah,,,,,268,,,,,,
268,Gri Kırmızı,,,,,269,,,,,,
269,Kırmızı Gri,,,,,270,,,,,,
270,Gri Siyah Kırmızı,,,,,271,,,,,,
271,Hardal Gri Siyah,,,,,272,,,,,,
272,Kırmızı Gri Siyah,,,,,273,,,,,,
273,Siyah Hardal,,,,,274,,,,,,
274,Siyah Kırmızı Beyaz,,,,,275,,,,,,
275,Siyah Kırmızı Cilt,,,,,276,,,,,,
276,Siyah Hardal Cilt,,,,,277,,,,,,
277,Beyaz Siyah Cilt,,,,,278,,,,,,
278,Pudra Süet,,,,,279,,,,,,
279,Hardal Süet,,,,,280,,,,,,
280,Beyaz Keten,,,,,281,,,,,,
281,Turuncu,,,,,282,,,,,,
282,Bej Haki,,,,,283,,,,,,
283,Gri Hologram,,,,,284,,,,,,
284,Altın Sarısı,,,,,285,,,,,,
285,Ten Rengi,,,,,286,,,,,,
286,Mit Yeşil,,,,,287,,,,,,
287,Camel,,,,,288,,,,,,
288,Bej Oranj Mavi,,,,,289,,,,,,
289,Beyaz Su Yeşili,,,,,290,,,,,,
290,Beyaz Vizon Mavi,,,,,291,,,,,,
291,Vizon Sarı,,,,,292,,,,,,
292,Tarçın,,,,,293,,,,,,
293,Ten,,,,,294,,,,,,
294,Beyaz Baykuş,,,,,295,,,,,,
295,Beyaz Panda,,,,,296,,,,,,
296,Beyaz Kuş,,,,,297,,,,,,
297,Beyaz Kelebek,,,,,298,,,,,,
298,Beyaz Kedi,,,,,299,,,,,,
299,Bakır,,,,,300,,,,,,
300,Lacivert Kadife,,,,,301,,,,,,
301,Siyah Kadife,,,,,302,,,,,,
302,Haki Süet,,,,,303,,,,,,
303,Siyah Siyah Örme,,,,,304,,,,,,
304,Lacivert Lacivert Baskılı,,,,,305,,,,,,
305,Siyah Siyah Baskılı,,,,,306,,,,,,
306,Siyah Baskılı,,,,,307,,,,,,
307,Lacivert Baskılı,,,,,308,,,,,,
308,Siyah Örgülü,,,,,309,,,,,,
309,Siyah Beyaz Süet,,,,,310,,,,,,
310,Lacivert Süet,,,,,311,,,,,,
311,Buz Siyah,,,,,312,,,,,,
312,Haki Zincir,,,,,313,,,,,,
313,Haki Turuncu,,,,,314,,,,,,
314,Buz Lacivert Kırmızı,,,,,315,,,,,,
315,Lacivert Beyaz Kırmızı,,,,,316,,,,,,
316,Siyah Beyaz Taba,,,,,317,,,,,,
317,Siyah Zincir,,,,,318,,,,,,
318,Siyah Sax Mavi,,,,,319,,,,,,
319,Siyah Oranj,,,,,320,,,,,,
320,Buz Oranj,,,,,321,,,,,,
321,Fuşya,,,,,322,,,,,,
322,Sax Beyaz,,,,,323,,,,,,
323,Siyah Bordo,,,,,324,,,,,,
324,Taş,,,,,325,,,,,,
325,Haki Siyah Siyah,,,,,326,,,,,,
326,Kot Mavi,,,,,327,,,,,,
327,Pembe,,,,,328,,,,,,
328,Kareli Siyah Beyaz,,,,,329,,,,,,
329,Siyah Yeşil,,,,,330,,,,,,
330,Beyaz Oranj,,,,,331,,,,,,
331,Buz Petrol,,,,,332,,,,,,
332,Pudra Siyah,,,,,333,,,,,,
333,Krem,,,,,334,,,,,,
334,Beyaz Triko,,,,,335,,,,,,
335,Siyah Triko,,,,,336,,,,,,
336,Mint Yeşili,,,,,337,,,,,,
337,Yeşil,,,,,338,,,,,,
338,Füme Füme,,,,,339,,,,,,
339,Siyah Siyah Siyah,,,,,340,,,,,,
340,Buz Buz,,,,,341,,,,,,
341,Gri Saks,,,,,342,,,,,,
342,Krem Süet,,,,,343,,,,,,
343,Kahverengi Süet,,,,,344,,,,,,
344,Altın Cilt,,,,,345,,,,,,
345,Platin Cilt,,,,,346,,,,,,
346,Gümüş Cilt,,,,,347,,,,,,
347,Taba Desenli,,,,,348,,,,,,
348,Beyaz Desenli,,,,,349,,,,,,
349,Kırmızı Desenli,,,,,350,,,,,,
350,Mercan,,,,,351,,,,,,
351,Nude Cilt,,,,,352,,,,,,
352,Altın,,,,,353,,,,,,
353,Siyah Pudra1,,,,,354,,,,,,
354,Şeffaf,,,,,355,,,,,,
355,Leopar,,,,,356,,,,,,
356,Bej Süet,,,,,357,,,,,,
357,Mint Mavi,,,,,358,,,,,,
358,Bakır Cilt,,,,,359,,,,,,
359,Lila Süet,,,,,360,,,,,,
360,Mint Mavi Süet,,,,,361,,,,,,
361,Beyaz Mavi Pudra,,,,,362,,,,,,
362,Beyaz Buz Pembe,,,,,363,,,,,,
363,Gri Turuncu,,,,,364,,,,,,
364,Siyah Saks,,,,,365,,,,,,
365,Beyaz Pudra Mavi,,,,,366,,,,,,
366,Beyaz Pudra Lila,,,,,367,,,,,,
367,Beyaz Lila Pudra,,,,,368,,,,,,
368,Haki Siyah Beyaz,,,,,369,,,,,,
369,Kum Süet,,,,,370,,,,,,
370,Gümüş,,,,,371,,,,,,
371,Siyah Bej,,,,,372,,,,,,
372,Mat Siyah Cilt,,,,,373,,,,,,
373,Füme Turuncu,,,,,374,,,,,,
374,Buz Turuncu,,,,,375,,,,,,
375,Buz Mavi,,,,,376,,,,,,
376,Bej Rugan,,,,,377,,,,,,
377,Beyaz Rugan,,,,,378,,,,,,
378,Bej Cilt,,,,,379,,,,,,
379,Gri Süet,,,,,380,,,,,,
380,Buz Beyaz Mavi,,,,,381,,,,,,
381,Buz Yeşil,,,,,382,,,,,,
382,Beyaz Turuncu,,,,,383,,,,,,
383,Siyah Siyah Sarı,,,,,384,,,,,,
384,Baskılı Siyah,,,,,385,,,,,,
385,Siyah Beyaz Sarı,,,,,386,,,,,,
386,Siyah Beyaz Kırmızı,,,,,387,,,,,,
387,Kum Cilt,,,,,388,,,,,,
388,Siyah Bakır,,,,,389,,,,,,
389,Kahverengi Taba,,,,,390,,,,,,
390,Siyah Fermuarsız,,,,,391,,,,,,
391,Siyah Krep Cilt,,,,,392,,,,,,
392,Siyah Beyaz Cilt,,,,,393,,,,,,
393,Füme Cilt,,,,,394,,,,,,
394,Şeffaf Siyah,,,,,395,,,,,,
395,Şeffaf Beyaz,,,,,396,,,,,,
396,Şeffaf Nude,,,,,397,,,,,,
397,Şeffaf Gümüş,,,,,398,,,,,,
398,Gül,,,,,399,,,,,,
399,Siyah Saten,,,,,400,,,,,,
400,Yeşil Saten,,,,,401,,,,,,
401,Lila Saten,,,,,402,,,,,,
402,Bej Saten,,,,,403,,,,,,
403,Lila Cilt,,,,,404,,,,,,
404,Siyah Sultan,,,,,405,,,,,,
405,Gümüş Sultan,,,,,406,,,,,,
406,Platin Sultan,,,,,407,,,,,,
407,Rose,,,,,408,,,,,,
408,Kırmızı Cilt,,,,,409,,,,,,
409,Siyah Yılan Beyaz,,,,,410,,,,,,
410,Siyah Rugan Siyah,,,,,411,,,,,,
411,Taş Yılan,,,,,412,,,,,,
412,Ekru,,,,,413,,,,,,
413,Beyaz Ekru Taba,,,,,414,,,,,,
414,Bej Vizon,,,,,415,,,,,,
415,Lacivert Buz,,,,,416,,,,,,
416,Füme Oranj,,,,,417,,,,,,
417,Buz Mint Mavi,,,,,418,,,,,,
418,Buz Siyah Oranj,,,,,419,,,,,,
419,Buz Siyah Saks,,,,,420,,,,,,
420,Füme Siyah Sarı,,,,,421,,,,,,
421,Lacivert Buz Kırmızı,,,,,422,,,,,,
422,Beyaz Buz Pudra,,,,,423,,,,,,
423,Beyaz Buz Siyah,,,,,424,,,,,,
424,Bej Lila Sarı,,,,,425,,,,,,
425,Beyaz Ten Süet,,,,,426,,,,,,
426,Siyah Lila,,,,,427,,,,,,
427,Beyaz  Buz,,,,,428,,,,,,
428,Beyaz Lila,,,,,429,,,,,,
429,Ten Turuncu,,,,,430,,,,,,
430,Bej Haki Turuncu,,,,,431,,,,,,
431,Beyaz Bej,,,,,432,,,,,,
432,Bej Vizon Turuncu,,,,,433,,,,,,
433,Siyah Buz Lila,,,,,434,,,,,,
434,Syah Füme,,,,,435,,,,,,
435,Beyaz Lacivert,,,,,436,,,,,,
436,Füme Sarı,,,,,437,,,,,,
437,Beyaz Füme,,,,,438,,,,,,
438,Füme Gri,,,,,439,,,,,,
439,Beyaz Kırmızı Füme,,,,,440,,,,,,
440,Füme Kırmızı,,,,,441,,,,,,
441,Buz Sarı,,,,,442,,,,,,
442,Bej Turuncu,,,,,443,,,,,,
443,İndigo Mavi,,,,,444,,,,,,
444,Beyaz Turkuaz,,,,,445,,,,,,
445,Gri Pembe,,,,,446,,,,,,
446,Siyah Saks Beyaz,,,,,447,,,,,,
447,Siyah Beyaz Saks,,,,,448,,,,,,
448,Hardal Sarısı,,,,,449,,,,,,
449,Buz Pudra,,,,,450,,,,,,
450,Vizon Kahverengi,,,,,451,,,,,,
451,Taba Cilt Süet Detay,,,,,452,,,,,,
452,Süet Buz,,,,,453,,,,,,
453,Cilt Siyah Siyah,,,,,454,,,,,,
454,Siyah Hasır,,,,,455,,,,,,
455,Ten Cilt,,,,,456,,,,,,
456,Siyah Bej Süet,,,,,457,,,,,,
457,Yeşil Süet,,,,,458,,,,,,
458,Beyaz Saks,,,,,459,,,,,,
459,Ten Süet Fuşya,,,,,460,,,,,,
460,Ten Süet Turuncu,,,,,461,,,,,,
461,Mat Haki,,,,,462,,,,,,
462,Mat Nude,,,,,463,,,,,,
463,Mat Bej,,,,,464,,,,,,
464,Mat Gri,,,,,465,,,,,,
465,Gri Cilt,,,,,466,,,,,,
466,Beyaz Gri,,,,,467,,,,,,
467,Mat Taba,,,,,468,,,,,,
468,Mat Beyaz,,,,,469,,,,,,
469,Fuşya Süet,,,,,470,,,,,,
470,Mavi Süet,,,,,471,,,,,,
471,Renk,,,,,472,,,,,,
472,Açık Yeşil Süet,,,,,473,,,,,,
473,Buz Gri,,,,,474,,,,,,
474,Beyaz Petrol,,,,,475,,,,,,
475,Bej Bej,,,,,476,,,,,,
476,Lacivert Siyah,,,,,477,,,,,,
477,Ekru Cilt,,,,,478,,,,,,
478,Yeşil Cilt,,,,,479,,,,,,
479,Fuşya Cilt,,,,,480,,,,,,
480,Camel Süet,,,,,481,,,,,,
481,Ten Saten,,,,,482,,,,,,
482,Gümüş Saten,,,,,483,,,,,,
483,Oranj Saten,,,,,484,,,,,,
484,Saks Saten,,,,,485,,,,,,
485,Nude Saten,,,,,486,,,,,,
486,Kırmızı Saten,,,,,487,,,,,,
487,Sax Mavi,,,,,488,,,,,,
488,Turuncu Cilt,,,,,489,,,,,,
489,Oranj Cilt,,,,,490,,,,,,
490,Altın Sultan,,,,,491,,,,,,
491,Gri Lila,,,,,492,,,,,,
492,Bej Hologram,,,,,493,,,,,,
493,Çimen Yeşil,,,,,494,,,,,,
494,Saks Mavi,,,,,495,,,,,,
495,Hardal Cilt,,,,,496,,,,,,
496,Buz Pembe,,,,,497,,,,,,
497,Bej Beyaz Süet Detay,,,,,498,,,,,,
498,Bej Süet Detay,,,,,499,,,,,,
499,Beyaz Pudra Mavi Bej,,,,,500,,,,,,
500,Siyah Beyaz Süet Detay,,,,,501,,,,,,
501,Bej Yeşil Süet Detay,,,,,502,,,,,,
502,Beyaz Bej Pudra,,,,,503,,,,,,
503,Bej Taba Süet Detay,,,,,504,,,,,,
504,Buz Lacivert Turuncu,,,,,505,,,,,,
505,Füme Sarı Siyah,,,,,506,,,,,,
506,Siyah Süet Detay,,,,,507,,,,,,
507,Bej Anorak,,,,,508,,,,,,
508,Siyah Beyaz Bej Süet Detay,,,,,509,,,,,,
509,Lacivert Örgülü,,,,,510,,,,,,
510,Baskılı Beyaz Beyaz,,,,,511,,,,,,
511,Siyah Siyah Örgülü,,,,,512,,,,,,
512,Taba Örgülü,,,,,513,,,,,,
513,Siyah Metalik,,,,,514,,,,,,
514,Platin Metalik,,,,,515,,,,,,
515,Rose Metalik,,,,,516,,,,,,
516,Altın Metalik,,,,,517,,,,,,
517,Gümüş Metalik,,,,,518,,,,,,
518,Oranj Metalik,,,,,519,,,,,,
519,Yeşil Metalik,,,,,520,,,,,,
520,Fuşya Metalik,,,,,521,,,,,,
521,Saks Mavi Metalik,,,,,522,,,,,,
522,Beyaz Yeşil Cilt,,,,,523,,,,,,
523,Toz Mavi,,,,,524,,,,,,
524,Safir Mavi,,,,,525,,,,,,
525,Ekru Taba,,,,,526,,,,,,
526,Siyah Pudra Mavi,,,,,527,,,,,,
527,Siyah Beyaz Mavi,,,,,528,,,,,,
528,Siyah Kırışık Rugan,,,,,529,,,,,,
529,Beyaz Kırışık Rugan,,,,,530,,,,,,
530,Gümüş Kırışık Rugan,,,,,531,,,,,,
531,Platin Kırışık Rugan,,,,,532,,,,,,
532,Siyah Platin,,,,,533,,,,,,
533,Buz Somon,,,,,534,,,,,,
534,Bej Taba,,,,,535,,,,,,
535,Vizon Cilt,,,,,536,,,,,,
536,Mat Siyah Rugan,,,,,537,,,,,,
537,Siyah Kroko,,,,,538,,,,,,
538,Taba Kroko,,,,,539,,,,,,
539,Fuşya Desenli,,,,,540,,,,,,
540,Siyah Desenli Simli,,,,,541,,,,,,
541,Beyaz Desenli Simli,,,,,542,,,,,,
542,Fuşya Desenli Simli,,,,,543,,,,,,
543,Krem Cilt,,,,,544,,,,,,
544,Turuncu Süet,,,,,545,,,,,,
545,testreng,,,,,546,,,,,,
546,Dokulu Siyah,,,,,547,,,,,,
547,Mat Ten,,,,,548,,,,,,
548,Ten Rugan,,,,,549,,,,,,
549,Nude Rugan,,,,,550,,,,,,
550,Gümüş Kırışık,,,,,551,,,,,,
551,Rose Kırışık,,,,,552,,,,,,
552,Altın Kırışık,,,,,553,,,,,,
553,Altın Saten,,,,,554,,,,,,
554,Mor Saten,,,,,555,,,,,,
555,Bordo Saten,,,,,556,,,,,,
556,Kot,,,,,557,,,,,,
557,Devetüyü Süet,,,,,558,,,,,,
558,Siyah Kot,,,,,559,,,,,,
559,Bej Kot,,,,,560,,,,,,
560,Lacivert Kot,,,,,561,,,,,,
561,Bej Oranj,,,,,562,,,,,,
562,Gümüş Rugan,,,,,563,,,,,,
563,Fuşya Fuşya,,,,,564,,,,,,
564,Yeşil Fuşya,,,,,565,,,,,,
565,Gri Siyah Saks,,,,,566,,,,,,
566,Bej Füme Taba,,,,,567,,,,,,
567,Gri Turkuaz,,,,,568,,,,,,
568,Toprak,,,,,569,,,,,,
569,Siyah Altın,,,,,570,,,,,,
570,Beyaz Altın,,,,,571,,,,,,
571,Vizon Kot,,,,,572,,,,,,
572,Bordo Rugan,,,,,573,,,,,,
573,Fuşya Rugan,,,,,574,,,,,,
574,Yeşil Rugan,,,,,575,,,,,,
575,Lacivert Rugan,,,,,576,,,,,,
576,Kırmızı Rugan,,,,,577,,,,,,
