RENK_KOD,Tanim,OzKod1,OzKod2,OzKod3,Tip
17162,02-36,,,,
17163,150-36-02,,,,
17164,01-36,,,,
17165,15-24,,,,
17166,129,,,,
17167,252,,,,
17168,128,,,,
17169,253,,,,
17170,301,,,,
17171,24,,,,
17172,36,,,,
17173,141-15,,,,
17174,77-15,,,,
17175,02-01,,,,
17176,92-01,,,,
17177,145-24,,,,
17178,146-36,,,,
17179,251,,,,
17180,116-36,,,,
17181,115,,,,
17182,92,,,,
17183,120,,,,
17184,77-01,,,,
17185,92-21,,,,
17186,06-34,,,,
17187,92-79,,,,
17188,36-116,,,,
17189,24-115,,,,
17190,252-116,,,,
17191,116,,,,
17192,92-172-24,,,,
17193,150-172-36,,,,
17194,01-15,,,,
17195,253-285,,,,
17196,252-36,,,,
17197,24-68,,,,
17198,36-15,,,,
17199,285-226-86,,,,
17200,02-116,,,,
17201,3120,,,,
17202,2004,,,,
17203,3124,,,,
17204,3123,,,,
17205,2120-4246,,,,
17206,4252-4248,,,,
17207,4224-4250,,,,
17208,Beyaz Rugan - 4249,,,,
17209,2277-4247,,,,
17210,2120-4251,,,,
17211,4244-4245,,,,
17212,4100-4245,,,,
17213,4243-01,,,,
17214,4224-4238,,,,
17215,4224-4240,,,,
17216,4224-2120,,,,
17217,4238-4224-4240,,,,
17218,4223-4224-2120,,,,
17219,3044-4224-4239,,,,
17220,7887,,,,
17221,33,,,,
17222,350-1,,,,
17223,93,,,,
17224,45-99,,,,
17225,33-1,,,,
17226,3633,,,,
17227,66-11,,,,
17228,888,,,,
17229,8147,,,,
17230,827,,,,
17231,45-475,,,,
17232,11,,,,
17233,800,,,,
17234,629,,,,
17235,609,,,,
17236,33328,,,,
17237,22474,,,,
17238,411,,,,
17239,5411,,,,
17240,4778,,,,
17241,81,,,,
17242,B23-P05,,,,
17243,B38-P05,,,,
17244,B16-S02,,,,
17245,S01-P06,,,,
17246,F11-S08,,,,
17247,L10-S03,,,,
17248,S08-F11,,,,
17249,S02-C02-P06,,,,
17250,B15-C02-S02,,,,
17251,S08-C02-P05,,,,
17252,B01-P01-S01-S02,,,,
17253,B23-P09-S08-P04,,,,
17254,P03-S05-F12,,,,
17255,F04-S08-F13,,,,
17256,F05-S02-F12,,,,
17257,P06-FL30,,,,
17258,P05-FL31,,,,
17259,S08-FL31,,,,
17260,Y10-S01,,,,
17261,Y12-S01,,,,
17262,173-186-10,,,,
17263,155-144-193,,,,
17264,114-09-193,,,,
17265,114-193-09,,,,
17266,141-196-151,,,,
17267,165-114-193,,,,
17268,114-165-09,,,,
17269,10-197,,,,
17270,185,,,,
17271,196,,,,
17272,10,,,,
17273,151,,,,
17274,165-114-09-193,,,,
17275,145-185,,,,
17276,145-188,,,,
17277,145-168,,,,
17278,151-141,,,,
17279,09-196,,,,
17280,168,,,,
17281,201-151,,,,
17282,200-09,,,,
17283,208-10,,,,
17284,170,,,,
17285,171,,,,
17286,165-114-193-09,,,,
17287,Y10-C07,,,,
17288,B01-P01-S02,,,,
17289,3008-4022,,,,
17290,110-244,,,,
17291,03-170,,,,
17292,10-206,,,,
17293,1-56,,,,
17294,56-1,,,,
17295,30,,,,
17296,143-176,,,,
17297,46,,,,
17298,74-1-214,,,,
17299,97-145-214,,,,
17300,23-01-2014,,,,
17301,145-20,,,,
17302,46-56,,,,
17303,30-214,,,,
17304,46-213,,,,
17305,13,,,,
17306,46-175,,,,
17307,30-176,,,,
17308,164-1,,,,
17309,220-97,,,,
17310,30-16,,,,
17311,46-74,,,,
17312,46-30,,,,
17313,176-211-1,,,,
17314,220,,,,
17315,20,,,,
17316,150,,,,
17317,46-221,,,,
17318,46-220,,,,
17319,164,,,,
17320,113-169,,,,
17321,114-170,,,,
17322,107-246,,,,
17323,01-167,,,,
17324,01-109-169,,,,
17325,109-183-360,,,,
17326,03-112-170,,,,
17327,132-214,,,,
17328,111-246,,,,
17329,Siyah Rugan-15,,,,
17330,08-13,,,,
17331,09-14,,,,
17332,Vizon Deri- 3022,,,,
17333,Bej Deri- 3022,,,,
17334,Siyah Deri- 3022,,,,
17335,Beyaz Floter-4002,,,,
17336,4012-05,,,,
17337,Siyah Floter- 06,,,,
17338,4021-3022-2001,,,,
17339,Syh.Floter- Syh. Yılan- Syh. Süet,,,,
17340,4022-3008-2001,,,,
17341,13-12,,,,
17342,15- Syh. Rugan,,,,
17343,14- Beyaz Rugan,,,,
17344,Beyaz Deri-17,,,,
17345,23-18,,,,
17346,Siyah Deri-16,,,,
17347,27,,,,
17348,4004,,,,
17349,4008,,,,
17350,Beyaz Deri- Beyaz Rugan,,,,
17351,Siyah Deri- Siyah Rugan,,,,
17352,11-09,,,,
17353,23-08,,,,
17354,23-13,,,,
17355,Beyaz Deri- 14,,,,
17356,Siyah Deri-15,,,,
17357,4021,,,,
17358,2005,,,,
17359,3022- Siyah Flotter,,,,
17360,Siyah Flotter- Siyah Yılan,,,,
17361,4022-3008,,,,
17362,2004-3027,,,,
17363,4012,,,,
17364,4022,,,,
17365,2003- Beyaz Deri,,,,
17366,2006-22,,,,
17367,2007-24,,,,
17368,4022-3025,,,,
17369,2002-23,,,,
17370,Siyah Deri- Siyah Süet,,,,
17371,3001- Siyah Deri,,,,
17372,3003-23,,,,
17373,3022-Beyaz Flotter,,,,
17374,3004-12,,,,
17375,11-2001,,,,
17376,12-2003,,,,
17377,3003-4022,,,,
17378,3026-Siyah Flotter,,,,
17379,23-2002,,,,
17380,Bej Deri- 2003,,,,
17381,Beyaz Deri- 2008,,,,
17382,Siyah Rugan- Siyah Süet,,,,
17383,23-2002-3025,,,,
17384,12-2003-3025,,,,
17385,Siyah Deri- Siyah Süet- 3010,,,,
17386,2004-21,,,,
17387,2003-21,,,,
17388,4013-3022,,,,
17389,4004-3022,,,,
17390,Beyaz Flotter- 3022,,,,
17391,4008-3022,,,,
17392,Syh. Floter-Syh. Süet- Syh. Yılan,,,,
17393,4005-2006-3022,,,,
17394,4021-2001-3022,,,,
17395,4021-3022,,,,
17396,202-451,,,,
17397,203-451,,,,
17398,039-312-520-203-306,,,,
17399,021-313-519-207-305,,,,
17400,038-305-102-406,,,,
17401,010-303-102-408,,,,
17402,815-724,,,,
17403,103-651,,,,
17404,813-724,,,,
17405,858-621,,,,
17406,804-713,,,,
17407,797-103,,,,
17408,713,,,,
17409,710,,,,
17410,323-851-837,,,,
17411,120-875-850,,,,
17412,149-872-103,,,,
17413,797,,,,
17414,804,,,,
17415,851,,,,
17416,850-724,,,,
17417,713-724,,,,
17418,879-873,,,,
17419,861-872,,,,
17420,854-875,,,,
17421,323-724-878-860,,,,
17422,386-724-877-859,,,,
17423,851-847-860,,,,
17424,713-725,,,,
17425,713-725-859,,,,
17426,103-849-840,,,,
17427,713-724-710,,,,
17428,103-651-696,,,,
17429,851-724-713,,,,
17430,Beyaz Boncuk Rugan,,,,
17431,Siyah Boncuk Rugan,,,,
17432,Kırmızı Boncuk Rugan,,,,
17433,Bej Boncuk Rugan,,,,
17434,Altın Kristal,,,,
17435,Gümüş Kristal,,,,
17436,Nohut File- Deri,,,,
17437,Siyah File- Deri,,,,
17438,Beyaz File Deri,,,,
17439,Bej Deri- Boncuk Rugan,,,,
17440,Kırmızı Deri- Boncuk Rugan,,,,
17441,Siyah Deri - Boncuk Rugan,,,,
17442,481-460,,,,
17443,346-405,,,,
17444,346-405-480,,,,
17445,384-468,,,,
17446,475-465-483,,,,
17447,460-468,,,,
17448,484-472,,,,
17449,237-485,,,,
17450,4262,,,,
17451,4006,,,,
17452,4789,,,,
17453,4245,,,,
17454,4063,,,,
17455,453-204-359,,,,
17456,453-204-339,,,,
17457,454-201-329,,,,
17458,2120-4239,,,,
17459,2120-4224,,,,
17460,2120-3044,,,,
17461,4224-4253,,,,
17462,2120-4245,,,,
17463,4224-4242,,,,
17464,Lame - Beyaz,,,,
17465,Dore - Bej Deri,,,,
17466,Bebe Mavi Deri,,,,
17467,001-102-044,,,,
17468,043-307-002,,,,
17469,L10,,,,
17470,B01,,,,
17471,B07,,,,
17472,B 23,,,,
17473,B23,,,,
17474,042-102-352,,,,
17475,038-109-342,,,,
17476,001-102-344,,,,
17477,001-752,,,,
17478,040-725,,,,
17479,001-751,,,,
17480,003-753,,,,
17481,031-107-405-313,,,,
17482,347-102-513-320,,,,
17483,342-313-513-355,,,,
17484,202-312-505-320,,,,
17485,203-312-503-320,,,,
17486,207-513-313,,,,
17487,202-513-312,,,,
17488,204-513-313,,,,
17489,452-207-358,,,,
17490,036-112-102-038-046,,,,
17491,009-303-312-102-037,,,,
17492,038-107-105-313,,,,
17493,001-102-116-327,,,,
17494,020-107-104-3132,,,,
17495,039-116-103-312,,,,
17496,022-102-101-327,,,,
17497,020-107-104-313,,,,
17498,216-513-323,,,,
17499,210-513-322,,,,
17500,215-513-322,,,,
17501,038-339-417-204-002,,,,
17502,039-329-417-207-039,,,,
17503,002-339-415-208-038,,,,
17504,040-313-523-202-304,,,,
17505,038-406-204,,,,
17506,039-414-203,,,,
17507,039-207-405,,,,
17508,204-342,,,,
17509,202-344,,,,
17510,001-001-102-306,,,,
17511,036-017-102-322,,,,
17512,038-305-016,,,,
17513,312-102-102,,,,
17514,102-313-313,,,,
17515,001-102-102-344,,,,
17516,003-102-102-348,,,,
17517,203-513,,,,
17518,102-351,,,,
17519,109-355,,,,
17520,211-513,,,,
17521,202-513,,,,
17522,040-102-752-104,,,,
17523,016-102-754-113,,,,
17524,047-102-751-132,,,,
17525,039-042-312,,,,
17526,002-016-313,,,,
17527,022-121-405,,,,
17528,002-355-038-035-034,,,,
17529,004-350-021-002-022,,,,
17530,011-600-102-102,,,,
17531,002-602-102-313,,,,
17532,001-601-102-111,,,,
17533,207-504-452,,,,
17534,203-503-451,,,,
17535,204-504-451,,,,
17536,202-507-320-312,,,,
17537,201-506-334-301-311,,,,
17538,201-416-121,,,,
17539,204-417-313,,,,
17540,038-211-453,,,,
17541,038-207-313,,,,
17542,038-204-313,,,,
17543,001-102-312,,,,
17544,001-702-102,,,,
17545,002-703-313,,,,
17546,038-204-406,,,,
17547,001-202-414,,,,
17548,211-504-453,,,,
17549,207-503-452,,,,
17550,205-016-515-313,,,,
17551,018-002-517-313,,,,
17552,102-036-516-313,,,,
17553,312-505,,,,
17554,313-504,,,,
17555,102-505,,,,
17556,035-322-107-322-409,,,,
17557,022-101-101-323-022,,,,
17558,303-010,,,,
17559,312-037,,,,
17560,102-018,,,,
17561,022-320-102-312-401-304,,,,
17562,001-323-305-312-407-114,,,,
17563,001-102-102-323-001,,,,
17564,201-519,,,,
17565,102-102-123-310,,,,
17566,035-113-410-313,,,,
17567,038-303-042,,,,
17568,020-308-035,,,,
17569,039-106-417-344,,,,
17570,038-102-417-342,,,,
17571,039-312,,,,
17572,038-313,,,,
17573,016-107,,,,
17574,001-702-329-414,,,,
17575,002-703-339-406,,,,
17576,022-701-329-407,,,,
17577,202-507,,,,
17578,201-506,,,,
17579,453-202-329,,,,
17580,201-402,,,,
17581,202-102-312,,,,
17582,203-103-312,,,,
17583,204-109-313,,,,
17584,004-107,,,,
17585,019-102,,,,
17586,012-105-403,,,,
17587,020-113-403,,,,
17588,213-038-453,,,,
17589,201-022-454,,,,
17590,202,,,,
17591,204-313-321,,,,
17592,202-312-320,,,,
